Time,ChActive,PrimT,HwTOutlet,HwTSet,HwActive,ActPow,PrimTSet
2017-12-28T00:00:04.099Z,,,8.2,55,,,
2017-12-28T00:00:14.099Z,,,8.2,55,,,
2017-12-28T00:00:24.098Z,,,8.2,55,,,
2017-12-28T00:00:34.097Z,,,8.2,55,,,
2017-12-28T00:00:44.125Z,,,8.2,55,,,
2017-12-28T00:00:54.097Z,,,8.2,55,,,
2017-12-28T00:01:05.096Z,,,8.2,55,,,
2017-12-28T00:01:14.097Z,,,8.2,55,,,
2017-12-28T00:01:24.135Z,,,8.2,55,,,
2017-12-28T00:01:34.098Z,,,8.2,55,,,
2017-12-28T00:01:44.098Z,,,8.2,55,,,
2017-12-28T00:01:54.098Z,,,8.2,55,,,
2017-12-28T00:02:04.103Z,,,8.2,55,,,
2017-12-28T00:02:14.100Z,,,8.2,55,,,
2017-12-28T00:02:24.098Z,,,8.2,55,,,
2017-12-28T00:02:34.103Z,,,8.2,55,,,
2017-12-28T00:02:44.101Z,,,8.2,55,,,
2017-12-28T00:02:54.098Z,,,8.2,55,,,
2017-12-28T00:03:04.098Z,,,8.2,55,,,
2017-12-28T00:03:14.101Z,,,8.2,55,,,
2017-12-28T00:03:24.098Z,,,8.2,55,,,
2017-12-28T00:03:34.100Z,,,8.2,55,,,
2017-12-28T00:03:44.098Z,,,8.2,55,,,
2017-12-28T00:03:55.185Z,,,8.2,55,,,
2017-12-28T00:04:04.098Z,,,8.2,55,,,
2017-12-28T00:04:14.098Z,0,8.2,8.2,55,0,0,5
2017-12-28T00:04:24.099Z,,,8.2,55,,,
2017-12-28T00:04:34.099Z,,,8.2,55,,,
2017-12-28T00:04:44.100Z,,,8.2,55,,,
2017-12-28T00:04:54.098Z,,,8.2,55,,,
2017-12-28T00:05:04.098Z,,,8.2,55,,,
2017-12-28T00:05:14.098Z,,,8.2,55,,,
2017-12-28T00:05:24.098Z,,,8.2,55,,,
2017-12-28T00:05:34.098Z,,,8.2,55,,,
2017-12-28T00:05:44.101Z,,,8.2,55,,,
2017-12-28T00:05:54.098Z,,,8.2,55,,,
2017-12-28T00:06:04.101Z,,,8.2,55,,,
2017-12-28T00:06:14.101Z,,,8.2,55,,,
2017-12-28T00:06:24.099Z,,,8.2,55,,,
2017-12-28T00:06:34.098Z,,,8.2,55,,,
2017-12-28T00:06:49.123Z,,,8.2,55,,,
2017-12-28T00:06:54.101Z,,,8.2,55,,,
2017-12-28T00:07:04.099Z,,,8.2,55,,,
2017-12-28T00:07:14.098Z,,,8.2,55,,,
2017-12-28T00:07:24.098Z,,,8.2,55,,,
2017-12-28T00:07:34.099Z,,,8.2,55,,,
2017-12-28T00:07:44.111Z,,,8.2,55,,,
2017-12-28T00:07:54.099Z,,,8.2,55,,,
2017-12-28T00:08:04.104Z,,,8.2,55,,,
2017-12-28T00:08:15.199Z,,,8.2,55,,,
2017-12-28T00:08:24.102Z,,,8.2,55,,,
2017-12-28T00:08:34.099Z,,,8.2,55,,,
2017-12-28T00:08:44.104Z,,,8.2,55,,,
2017-12-28T00:08:54.099Z,,,8.2,55,,,
2017-12-28T00:09:04.103Z,,,8.2,55,,,
2017-12-28T00:09:14.099Z,,,8.2,55,,,
2017-12-28T00:09:24.104Z,,,8.2,55,,,
2017-12-28T00:09:34.119Z,,,8.2,55,,,
2017-12-28T00:09:44.099Z,,,8.2,55,,,
2017-12-28T00:09:54.099Z,,,8.2,55,,,
2017-12-28T00:10:04.104Z,,,8.2,55,,,
2017-12-28T00:10:14.100Z,,,8.2,55,,,
2017-12-28T00:10:24.099Z,,,8.2,55,,,
2017-12-28T00:10:34.099Z,,,8.2,55,,,
2017-12-28T00:10:44.103Z,,,8.2,55,,,
2017-12-28T00:10:54.100Z,,,8.2,55,,,
2017-12-28T00:11:04.100Z,,,8.2,55,,,
2017-12-28T00:11:14.100Z,,,8.2,55,,,
2017-12-28T00:11:24.101Z,,,8.2,55,,,
2017-12-28T00:11:34.099Z,,,8.2,55,,,
2017-12-28T00:11:44.104Z,,,8.2,55,,,
2017-12-28T00:11:54.104Z,,,8.2,55,,,
2017-12-28T00:12:04.103Z,,,8.2,55,,,
2017-12-28T00:12:14.100Z,,,8.2,55,,,
2017-12-28T00:12:24.099Z,,,8.2,55,,,
2017-12-28T00:12:34.100Z,,,8.2,55,,,
2017-12-28T00:12:44.100Z,,,8.2,55,,,
2017-12-28T00:12:54.099Z,,,8.2,55,,,
2017-12-28T00:13:04.104Z,,,8.2,55,,,
2017-12-28T00:13:14.100Z,,,8.2,55,,,
2017-12-28T00:13:24.103Z,,,8.2,55,,,
2017-12-28T00:13:34.099Z,,,8.2,55,,,
2017-12-28T00:13:44.100Z,,,8.2,55,,,
2017-12-28T00:13:54.100Z,,,8.2,55,,,
2017-12-28T00:14:04.101Z,,,8.2,55,,,
2017-12-28T00:14:14.100Z,,,8.2,55,,,
2017-12-28T00:14:24.100Z,,,8.2,55,,,
2017-12-28T00:14:34.100Z,,,8.2,55,,,
2017-12-28T00:14:44.099Z,,,8.2,55,,,
2017-12-28T00:14:54.100Z,,,8.2,55,,,
2017-12-28T00:15:04.267Z,,,8.2,55,,,
2017-12-28T00:15:14.105Z,,,8.2,55,,,
2017-12-28T00:15:24.101Z,,,8.2,55,,,
2017-12-28T00:15:34.100Z,,,8.2,55,,,
2017-12-28T00:15:44.100Z,,,8.2,55,,,
2017-12-28T00:15:54.100Z,,,8.2,55,,,
2017-12-28T00:16:04.103Z,,,8.2,55,,,
2017-12-28T00:16:14.100Z,,,8.2,55,,,
2017-12-28T00:16:24.100Z,,,8.2,55,,,
2017-12-28T00:16:34.121Z,,,8.2,55,,,
2017-12-28T00:16:45.101Z,,,8.2,55,,,
2017-12-28T00:16:54.100Z,,,8.2,55,,,
2017-12-28T00:17:04.100Z,,,8.2,55,,,
2017-12-28T00:17:14.100Z,,,8.2,55,,,
2017-12-28T00:17:24.108Z,,,8.2,55,,,
2017-12-28T00:17:34.100Z,,,8.2,55,,,
2017-12-28T00:17:44.100Z,,,8.2,55,,,
2017-12-28T00:17:54.100Z,,,8.2,55,,,
2017-12-28T00:18:04.100Z,,,8.2,55,,,
2017-12-28T00:18:14.100Z,,,8.2,55,,,
2017-12-28T00:18:24.100Z,,,8.2,55,,,
2017-12-28T00:18:34.107Z,,,8.2,55,,,
2017-12-28T00:18:44.100Z,,,8.2,55,,,
2017-12-28T00:18:54.100Z,,,8.2,55,,,
2017-12-28T00:19:04.100Z,,,8.2,55,,,
2017-12-28T00:19:14.100Z,,,8.2,55,,,
