Time,PrimT,HwTSet,ActPow,HwTOutlet,PrimTSet,ChActive,HwActive
2017-12-03T00:17:36.272Z,43.2,55,,30.1,,,
2017-12-03T00:17:46.353Z,43.3,55,,30.1,,,
2017-12-03T00:17:56.273Z,43.5,55,,30.2,,,
2017-12-03T00:18:06.273Z,43.7,55,,30.2,,,
2017-12-03T00:18:16.272Z,44,55,,30.4,,,
2017-12-03T00:18:26.274Z,44.2,55,,30.4,,,
2017-12-03T00:18:36.273Z,44.3,55,,30.5,,,
2017-12-03T00:18:46.353Z,44.5,55,,30.5,,,
2017-12-03T00:18:56.272Z,45,55,,30.6,,,
2017-12-03T00:19:06.278Z,,55,,30.7,,,
2017-12-03T00:19:16.273Z,45.2,55,,30.9,,,
2017-12-03T00:19:26.278Z,45.4,55,,30.9,,,
2017-12-03T00:19:36.273Z,45.7,55,,31,,,
2017-12-03T00:19:46.353Z,46,55,,31.1,,,
2017-12-03T00:19:56.277Z,,55,,31.2,,,
2017-12-03T00:20:06.274Z,46.2,55,,31.2,,,
2017-12-03T00:20:16.304Z,46.8,55,0,31.4,,1,0
2017-12-03T00:20:26.273Z,45.9,55,,31.5,,,
2017-12-03T00:20:36.273Z,44.9,55,,31.6,,,
2017-12-03T00:20:46.368Z,43.2,55,,31.7,,,
2017-12-03T00:20:56.273Z,42.8,55,,31.9,,,
2017-12-03T00:21:06.278Z,42.5,55,,32,,,
2017-12-03T00:21:16.275Z,42.6,55,,32.1,,,
2017-12-03T00:21:26.274Z,42.9,55,,32.2,,,
2017-12-03T00:21:36.275Z,42.8,55,,32.3,,,
2017-12-03T00:21:46.354Z,,55,,32.5,,,
2017-12-03T00:21:56.278Z,42.5,55,,32.5,,,
2017-12-03T00:22:06.278Z,42.3,55,,32.6,,,
2017-12-03T00:22:16.273Z,41.9,55,,32.7,,,
2017-12-03T00:22:26.273Z,,55,,32.8,,,
2017-12-03T00:22:36.273Z,41.8,55,,32.8,,,
2017-12-03T00:22:46.353Z,41.6,55,,32.8,,,
2017-12-03T00:22:56.273Z,41.5,55,,33,,,
2017-12-03T00:23:06.274Z,41.2,55,,33,,,
2017-12-03T00:23:16.275Z,41.1,55,,33,,,
2017-12-03T00:23:26.273Z,41,55,,33.1,,,
2017-12-03T00:23:36.273Z,41.1,55,,33.1,,,
2017-12-03T00:23:46.354Z,41.4,55,,33.1,,,
2017-12-03T00:23:56.276Z,41.5,55,,33.1,,,
2017-12-03T00:24:06.275Z,41.7,55,,33.2,,,
2017-12-03T00:24:16.273Z,41.8,55,,33.2,,,
2017-12-03T00:24:26.278Z,41.9,55,,33.2,,,
2017-12-03T00:24:36.274Z,42,55,,33.2,,,
2017-12-03T00:24:46.353Z,,55,,33.2,,,
2017-12-03T00:24:56.273Z,42.2,55,,33.2,,,
2017-12-03T00:25:06.274Z,42.3,55,,33.2,,,
2017-12-03T00:25:16.277Z,42.4,55,,33.2,,,
2017-12-03T00:25:26.273Z,42.5,55,,33.2,,,
2017-12-03T00:25:36.273Z,,55,,33.2,,,
2017-12-03T00:25:46.354Z,42.6,55,,33.2,,,
2017-12-03T00:25:56.276Z,,55,,33.2,,,
2017-12-03T00:26:06.273Z,42.7,55,,33.2,,,
2017-12-03T00:26:16.273Z,,55,,33.2,,,
2017-12-03T00:26:26.276Z,42.8,55,,33.2,,,
2017-12-03T00:26:37.281Z,,55,,33.2,,,
2017-12-03T00:26:46.354Z,43,55,,33.1,,,
2017-12-03T00:26:56.277Z,,55,,33.1,,,
2017-12-03T00:27:06.274Z,43.1,55,,33.1,,,
2017-12-03T00:27:16.274Z,,55,,33.1,,,
2017-12-03T00:27:26.274Z,43.2,55,,33.1,,,
2017-12-03T00:27:36.273Z,,55,,33.1,,,
2017-12-03T00:27:46.353Z,,55,,33.1,,,
2017-12-03T00:27:56.274Z,43.3,55,,33,,,
2017-12-03T00:28:06.307Z,,55,,33.1,,,
2017-12-03T00:28:16.278Z,,55,,33,,,
2017-12-03T00:28:26.274Z,,55,,33,,,
2017-12-03T00:28:36.279Z,43.4,55,,33,,,
2017-12-03T00:28:46.354Z,,55,,33,,,
2017-12-03T00:28:56.274Z,,55,,33,,,
2017-12-03T00:29:06.279Z,,55,,33,,,
2017-12-03T00:29:16.286Z,,55,,32.8,,,
2017-12-03T00:29:31.310Z,43.5,55,,32.8,,,
2017-12-03T00:29:36.274Z,,55,,32.8,,,
2017-12-03T00:29:46.374Z,,55,,32.8,,,
2017-12-03T00:29:56.274Z,,55,,32.8,,,
2017-12-03T00:30:06.275Z,,55,,32.8,,,
2017-12-03T00:30:16.278Z,,55,,32.7,,,
2017-12-03T00:30:26.274Z,,55,,32.7,,,
2017-12-03T00:30:36.278Z,,55,,32.7,,,
2017-12-03T00:30:46.354Z,43.6,55,,32.7,,,
2017-12-03T00:30:56.274Z,45.6,55,80,32.7,,1,0
2017-12-03T00:31:06.275Z,51.4,55,62,32.6,,,
2017-12-03T00:31:16.274Z,53.3,55,41,32.6,,,
2017-12-03T00:31:26.278Z,49.6,55,29,32.6,,,
2017-12-03T00:31:36.274Z,45.8,55,,32.6,,,
2017-12-03T00:31:46.354Z,43.9,55,,32.6,,,
2017-12-03T00:31:56.279Z,42.9,55,,32.6,,,
2017-12-03T00:32:06.274Z,43,55,,32.6,,,
2017-12-03T00:32:21.483Z,44,55,,32.5,,,
2017-12-03T00:32:26.279Z,44.4,55,,32.5,,,
2017-12-03T00:32:36.279Z,45,55,,32.5,,,
2017-12-03T00:32:46.354Z,,55,,32.5,,,
