Time,HwActive,PrimT,ActPow,ChActive,HwTSet,PrimTSet,HwTOutlet
2017-11-05T00:00:02.121Z,,,,,55,,23.9
2017-11-05T00:00:12.138Z,,48,,,55,,23.9
2017-11-05T00:00:22.113Z,,47.8,,,55,,23.9
2017-11-05T00:00:32.194Z,,,,,55,,23.9
2017-11-05T00:00:42.114Z,,,,,55,,23.9
2017-11-05T00:00:52.114Z,,,,,55,,23.9
2017-11-05T00:01:02.118Z,,,,,55,,23.8
2017-11-05T00:01:12.114Z,,47.7,,,55,,23.9
2017-11-05T00:01:22.119Z,,,,,55,,23.9
2017-11-05T00:01:32.194Z,,,,,55,,23.9
2017-11-05T00:01:42.115Z,,,,,55,,23.8
2017-11-05T00:01:52.114Z,,,,,55,,23.8
2017-11-05T00:02:02.116Z,,,,,55,,23.8
2017-11-05T00:02:12.115Z,,47.6,,,55,,23.8
2017-11-05T00:02:22.116Z,,,,,55,,23.8
2017-11-05T00:02:32.195Z,,,,,55,,23.8
2017-11-05T00:02:43.155Z,,,,,55,,23.8
2017-11-05T00:02:52.117Z,,47.5,,,55,,23.8
2017-11-05T00:03:02.117Z,,,,,55,,23.8
2017-11-05T00:03:12.114Z,,,,,55,,23.8
2017-11-05T00:03:22.115Z,,,,,55,,23.8
2017-11-05T00:03:32.194Z,,,,,55,,23.8
2017-11-05T00:03:42.114Z,,47.4,,,55,,23.8
2017-11-05T00:03:52.114Z,,,,,55,,23.8
2017-11-05T00:04:02.114Z,,,,,55,,23.8
2017-11-05T00:04:12.118Z,,,,,55,,23.8
2017-11-05T00:04:23.116Z,,,,,55,,23.7
2017-11-05T00:04:32.204Z,,,,,55,,23.7
2017-11-05T00:04:42.114Z,,47.3,,,55,,23.7
2017-11-05T00:04:52.118Z,,,,,55,,23.7
2017-11-05T00:05:02.119Z,,,,,55,,23.7
2017-11-05T00:05:12.118Z,,,,,55,,23.7
2017-11-05T00:05:22.118Z,,,,,55,,23.7
2017-11-05T00:05:32.204Z,,,,,55,,23.7
2017-11-05T00:05:43.156Z,,47.2,,,55,,23.7
2017-11-05T00:05:52.115Z,,,,,55,,23.7
2017-11-05T00:06:02.120Z,,,,,55,,23.7
2017-11-05T00:06:17.137Z,,,,,55,,23.7
2017-11-05T00:06:22.114Z,,,,,55,,23.7
2017-11-05T00:06:32.195Z,,47,,,55,,23.5
2017-11-05T00:06:42.116Z,,,,,55,,23.7
2017-11-05T00:06:52.115Z,,,,,55,,23.7
2017-11-05T00:07:02.115Z,,,,,55,,23.5
2017-11-05T00:07:17.136Z,,,,,55,,23.5
2017-11-05T00:07:22.120Z,,46.9,,,55,,23.5
2017-11-05T00:07:32.205Z,,46.9,,,55,,23.5
2017-11-05T00:07:42.116Z,,,,,55,,23.5
2017-11-05T00:07:52.115Z,,,,,55,,23.5
2017-11-05T00:08:02.114Z,,,,,55,,23.5
2017-11-05T00:08:12.114Z,,,,,55,,23.5
2017-11-05T00:08:23.156Z,,46.8,,,55,,23.5
2017-11-05T00:08:32.200Z,,,,,55,,23.5
2017-11-05T00:08:42.117Z,,,,,55,,23.5
2017-11-05T00:08:52.115Z,,,,,55,,23.5
2017-11-05T00:09:02.115Z,,46.7,,,55,,23.5
2017-11-05T00:09:12.115Z,,,,,55,,23.5
2017-11-05T00:09:22.115Z,,,,,55,,23.5
2017-11-05T00:09:32.205Z,,,,,55,,23.4
2017-11-05T00:09:42.115Z,,,,,55,,23.4
2017-11-05T00:09:52.115Z,,,,,55,,23.5
2017-11-05T00:10:07.201Z,,,,,55,,23.4
2017-11-05T00:10:12.115Z,,46.6,,,55,,23.4
2017-11-05T00:10:22.115Z,,,,,55,,23.4
2017-11-05T00:10:32.214Z,,,,,55,,23.4
2017-11-05T00:10:42.117Z,,,,,55,,23.4
2017-11-05T00:10:52.115Z,,,,,55,,23.4
2017-11-05T00:11:02.115Z,,46.5,,,55,,23.4
2017-11-05T00:11:12.115Z,,,,,55,,23.4
2017-11-05T00:11:22.115Z,,,,,55,,23.4
2017-11-05T00:11:32.205Z,,,,,55,,23.4
2017-11-05T00:11:42.115Z,,,,,55,,23.4
2017-11-05T00:11:52.115Z,,,,,55,,23.4
2017-11-05T00:12:02.115Z,,46.4,,,55,,23.4
2017-11-05T00:12:12.115Z,,,,,55,,23.4
2017-11-05T00:12:22.120Z,,,,,55,,23.4
2017-11-05T00:12:32.205Z,,,,,55,,23.4
2017-11-05T00:12:42.115Z,,,,,55,,23.2
2017-11-05T00:12:57.135Z,,,,,55,,23.2
2017-11-05T00:13:02.115Z,,46.2,,,55,,23.2
2017-11-05T00:13:12.115Z,,,,,55,,23.2
2017-11-05T00:13:22.115Z,,,,,55,,23.2
2017-11-05T00:13:32.206Z,,,,,55,,23.2
2017-11-05T00:13:42.115Z,,,,,55,,23.2
2017-11-05T00:13:52.115Z,,46.1,,,55,,23.2
2017-11-05T00:14:02.115Z,,,,,55,,23.2
2017-11-05T00:14:12.117Z,,,,,55,,23.2
2017-11-05T00:14:23.357Z,,,,,55,,23.2
2017-11-05T00:14:32.196Z,,,,,55,,23.2
2017-11-05T00:14:42.118Z,,,,,55,,23.2
2017-11-05T00:14:52.115Z,,46,,,55,,23.2
2017-11-05T00:15:02.115Z,,,,,55,,23.2
2017-11-05T00:15:12.115Z,,,,,55,,23.2
2017-11-05T00:15:22.115Z,,,,,55,,23.2
2017-11-05T00:15:32.196Z,,,,,55,,23.2
2017-11-05T00:15:42.116Z,,45.9,,,55,,23.1
2017-11-05T00:15:52.118Z,,,,,55,,23.1
2017-11-05T00:16:02.115Z,,,,,55,,23.1
2017-11-05T00:16:12.115Z,,,,,55,,23.1
2017-11-05T00:16:22.116Z,,,,,55,,23.1
2017-11-05T00:16:32.196Z,,,,,55,,23.1
2017-11-05T00:16:42.117Z,,45.8,,,55,,23.1
2017-11-05T00:16:52.117Z,,,,,55,,23.1
2017-11-05T00:17:02.116Z,,,,,55,,23.1
2017-11-05T00:17:12.116Z,,,,,55,,23.1
2017-11-05T00:17:22.118Z,,,,,55,,23.1
2017-11-05T00:17:32.196Z,,45.7,,,55,,23.1
