Time,PrimTSet,HwActive,HwTOutlet,HwTSet,ChActive,PrimT,ActPow
2017-12-23T00:21:34.047Z,,,13.2,55,,,
2017-12-23T00:21:44.047Z,,,13.2,55,,,
2017-12-23T00:21:54.047Z,,,13.2,55,,,
2017-12-23T00:22:04.137Z,,,13.2,55,,,
2017-12-23T00:22:14.047Z,,,13.2,55,,,
2017-12-23T00:22:24.048Z,,,13.2,55,,,
2017-12-23T00:22:34.047Z,,,13.2,55,,,
2017-12-23T00:22:45.043Z,,,13.2,55,,,
2017-12-23T00:22:54.047Z,,,13.2,55,,,
2017-12-23T00:23:04.128Z,,,13.2,55,,,
2017-12-23T00:23:14.051Z,,,13.2,55,,,
2017-12-23T00:23:24.047Z,,,13.2,55,,,
2017-12-23T00:23:34.047Z,,,13.2,55,,,
2017-12-23T00:23:44.047Z,,,13.2,55,,,
2017-12-23T00:23:54.048Z,,,13.2,55,,,
2017-12-23T00:24:04.137Z,,,13.2,55,,,
2017-12-23T00:24:14.048Z,,,13.2,55,,,
2017-12-23T00:24:24.048Z,,,13.2,55,,,
2017-12-23T00:24:34.048Z,,,13.2,55,,,
2017-12-23T00:24:44.047Z,,,13.2,55,,,
2017-12-23T00:24:54.052Z,,,13.2,55,,,
2017-12-23T00:25:04.142Z,,,13.2,55,,,
2017-12-23T00:25:14.051Z,,,13.2,55,,,
2017-12-23T00:25:24.047Z,,,13.2,55,,,
2017-12-23T00:25:34.048Z,,,13.2,55,,,
2017-12-23T00:25:44.050Z,,,13.2,55,,,
2017-12-23T00:25:54.048Z,,,13.2,55,,,
2017-12-23T00:26:04.138Z,,,13.2,55,,,
2017-12-23T00:26:14.048Z,,,13.2,55,,,
2017-12-23T00:26:24.049Z,,,13.2,55,,,
2017-12-23T00:26:34.053Z,,,13.2,55,,,
2017-12-23T00:26:44.048Z,,,13.2,55,,,
2017-12-23T00:26:54.048Z,,,13.2,55,,,
2017-12-23T00:27:04.140Z,,,13.2,55,,,
2017-12-23T00:27:14.048Z,,,13.2,55,,,
2017-12-23T00:27:24.048Z,,,13.2,55,,,
2017-12-23T00:27:34.048Z,,,13.2,55,,,
2017-12-23T00:27:44.048Z,,,13.2,55,,,
2017-12-23T00:27:54.048Z,,,13.2,55,,,
2017-12-23T00:28:04.138Z,,,13.2,55,,,
2017-12-23T00:28:14.049Z,,,13.2,55,,,
2017-12-23T00:28:25.041Z,,,13.2,55,,,
2017-12-23T00:28:34.048Z,,,13.2,55,,,
2017-12-23T00:28:44.048Z,,,13.2,55,,,
2017-12-23T00:28:54.048Z,,,13.2,55,,,
2017-12-23T00:29:04.128Z,,,13.2,55,,,
2017-12-23T00:29:14.049Z,,,13.2,55,,,
2017-12-23T00:29:24.053Z,,,13.2,55,,,
2017-12-23T00:29:34.048Z,,,13.2,55,,,
2017-12-23T00:29:44.049Z,,,13.2,55,,,
2017-12-23T00:29:54.049Z,,,13.2,55,,,
2017-12-23T00:30:04.129Z,,,13.2,55,,,
2017-12-23T00:30:14.048Z,,,13.2,55,,,
2017-12-23T00:30:24.050Z,,,13.2,55,,,
2017-12-23T00:30:34.053Z,,,13.2,55,,,
2017-12-23T00:30:44.050Z,,,13.2,55,,,
2017-12-23T00:30:54.051Z,,,13.2,55,,,
2017-12-23T00:31:04.139Z,,,13.2,55,,,
2017-12-23T00:31:19.069Z,,,13.2,55,,,
2017-12-23T00:31:24.051Z,,,13.2,55,,,
2017-12-23T00:31:34.049Z,,,13.2,55,,,
2017-12-23T00:31:44.050Z,,,13.2,55,,,
2017-12-23T00:31:54.052Z,,,13.2,55,,,
2017-12-23T00:32:04.142Z,,,13.2,55,,,
2017-12-23T00:32:14.051Z,,,13.2,55,,,
2017-12-23T00:32:24.050Z,,,13.2,55,,,
2017-12-23T00:32:34.053Z,,,13.2,55,,,
2017-12-23T00:32:44.054Z,,,13.2,55,,,
2017-12-23T00:32:54.053Z,,,13.2,55,,,
2017-12-23T00:33:04.139Z,,,13.2,55,,,
2017-12-23T00:33:14.053Z,,,13.2,55,,,
2017-12-23T00:33:24.050Z,,,13.2,55,,,
2017-12-23T00:33:34.054Z,,,13.2,55,,,
2017-12-23T00:33:44.049Z,,,13.2,55,,,
2017-12-23T00:33:54.049Z,,,13.2,55,,,
2017-12-23T00:34:09.159Z,,,13.2,55,,,
2017-12-23T00:34:14.049Z,,,13.2,55,,,
2017-12-23T00:34:24.053Z,,,13.2,55,,,
2017-12-23T00:34:34.051Z,,,13.2,55,,,
2017-12-23T00:34:44.053Z,,,13.2,55,,,
2017-12-23T00:34:54.049Z,,,13.2,55,,,
2017-12-23T00:35:04.139Z,,,13.2,55,,,
2017-12-23T00:35:14.049Z,,,13.2,55,,,
2017-12-23T00:35:24.054Z,,,13.2,55,,,
2017-12-23T00:35:34.050Z,,,13.2,55,,,
2017-12-23T00:35:44.049Z,,,13.2,55,,,
2017-12-23T00:35:54.050Z,,,13.2,55,,,
2017-12-23T00:36:04.129Z,,,13.2,55,,,
2017-12-23T00:36:14.049Z,,,13.2,55,,,
2017-12-23T00:36:24.055Z,,,13.2,55,,,
2017-12-23T00:36:34.050Z,,,13.2,55,,,
2017-12-23T00:36:44.049Z,,,13.2,55,,,
2017-12-23T00:36:59.073Z,,,13.2,55,,,
2017-12-23T00:37:04.134Z,,,13.2,55,,,
2017-12-23T00:37:14.051Z,,,13.2,55,,,
2017-12-23T00:37:24.050Z,,,13.2,55,,,
2017-12-23T00:37:34.050Z,,,13.2,55,,,
2017-12-23T00:37:44.050Z,,,13.2,55,,,
2017-12-23T00:37:54.050Z,,,13.2,55,,,
2017-12-23T00:38:04.139Z,,,13.2,55,,,
2017-12-23T00:38:14.050Z,,,13.2,55,,,
2017-12-23T00:38:24.327Z,,,13.2,55,,,
2017-12-23T00:38:34.050Z,,,13.2,55,,,
2017-12-23T00:38:44.055Z,,,13.2,55,,,
2017-12-23T00:38:54.050Z,,,13.2,55,,,
2017-12-23T00:39:04.140Z,,,13.2,55,,,
2017-12-23T00:39:14.050Z,,,13.2,55,,,
2017-12-23T00:39:24.050Z,,,13.2,55,,,
2017-12-23T00:39:34.050Z,,,13.2,55,,,
2017-12-23T00:39:44.050Z,,,13.2,55,,,
2017-12-23T00:39:54.052Z,,,13.2,55,,,
2017-12-23T00:40:04.140Z,,,13.2,55,,,
2017-12-23T00:40:14.050Z,,,13.2,55,,,
2017-12-23T00:40:24.050Z,,,13.2,55,,,
2017-12-23T00:40:34.050Z,,,13.2,55,,,
2017-12-23T00:40:44.050Z,,,13.2,55,,,
2017-12-23T00:40:54.050Z,,,13.2,55,,,
2017-12-23T00:41:04.142Z,,,13.2,55,,,
2017-12-23T00:41:15.049Z,,,13.2,55,,,
2017-12-23T00:41:24.050Z,,,13.2,55,,,
2017-12-23T00:41:34.051Z,,,13.2,55,,,
2017-12-23T00:41:44.055Z,,,13.2,55,,,
2017-12-23T00:41:54.055Z,,,13.2,55,,,
2017-12-23T00:42:04.151Z,,,13.2,55,,,
2017-12-23T00:42:14.050Z,,,13.2,55,,,
2017-12-23T00:42:24.051Z,,,13.2,55,,,
2017-12-23T00:42:34.052Z,,,13.2,55,,,
2017-12-23T00:42:44.050Z,,,13.2,55,,,
2017-12-23T00:42:54.050Z,,,13.2,55,,,
2017-12-23T00:43:04.132Z,,,13.2,55,,,
2017-12-23T00:43:14.051Z,,,13.2,55,,,
2017-12-23T00:43:24.050Z,,,13.2,55,,,
2017-12-23T00:43:34.050Z,,,13.2,55,,,
2017-12-23T00:43:44.051Z,,,13.2,55,,,
2017-12-23T00:43:54.050Z,,,13.2,55,,,
2017-12-23T00:44:05.135Z,,,13.2,55,,,
2017-12-23T00:44:14.051Z,,,13.2,55,,,
2017-12-23T00:44:24.050Z,,,13.2,55,,,
2017-12-23T00:44:34.051Z,,,13.2,55,,,
2017-12-23T00:44:44.051Z,,,13.2,55,,,
2017-12-23T00:44:54.051Z,,,13.2,55,,,
2017-12-23T00:45:04.140Z,,,13.2,55,,,
2017-12-23T00:45:14.052Z,,,13.2,55,,,
2017-12-23T00:45:24.051Z,,,13.2,55,,,
2017-12-23T00:45:34.052Z,,,13.2,55,,,
2017-12-23T00:45:44.051Z,,,13.2,55,,,
2017-12-23T00:45:54.051Z,,,13.2,55,,,
2017-12-23T00:46:04.146Z,,,13.2,55,,,
2017-12-23T00:46:14.054Z,,,13.2,55,,,
2017-12-23T00:46:24.051Z,,,13.2,55,,,
2017-12-23T00:46:34.053Z,,,13.2,55,,,
2017-12-23T00:46:44.057Z,,,13.2,55,,,
2017-12-23T00:46:55.047Z,,,13.2,55,,,
2017-12-23T00:47:04.141Z,,,13.2,55,,,
2017-12-23T00:47:14.051Z,,,13.2,55,,,
2017-12-23T00:47:24.051Z,,,13.2,55,,,
2017-12-23T00:47:34.051Z,,,13.2,55,,,
2017-12-23T00:47:44.051Z,,,13.2,55,,,
2017-12-23T00:47:54.053Z,,,13.2,55,,,
2017-12-23T00:48:04.141Z,,,13.2,55,,,
2017-12-23T00:48:14.051Z,,,13.2,55,,,
2017-12-23T00:48:24.054Z,,,13.2,55,,,
2017-12-23T00:48:34.051Z,,,13.2,55,,,
2017-12-23T00:48:44.051Z,,,13.2,55,,,
2017-12-23T00:48:54.056Z,,,13.2,55,,,
2017-12-23T00:49:04.131Z,,,13.2,55,,,
2017-12-23T00:49:14.051Z,,,13.2,55,,,
2017-12-23T00:49:24.051Z,,,13.2,55,,,
2017-12-23T00:49:34.051Z,,,13.2,55,,,
2017-12-23T00:49:45.051Z,,,13.2,55,,,
2017-12-23T00:49:54.056Z,,,13.2,55,,,
2017-12-23T00:50:04.143Z,,,13.2,55,,,
2017-12-23T00:50:14.051Z,,,13.2,55,,,
2017-12-23T00:50:24.051Z,,,13.2,55,,,
2017-12-23T00:50:34.054Z,,,13.2,55,,,
2017-12-23T00:50:44.051Z,,,13.2,55,,,
2017-12-23T00:50:54.052Z,,,13.2,55,,,
2017-12-23T00:51:04.131Z,,,13.2,55,,,
2017-12-23T00:51:14.052Z,,,13.2,55,,,
2017-12-23T00:51:24.052Z,,,13.2,55,,,
