Time,ActPow,HwTOutlet,ChActive,PrimTSet,PrimT,HwTSet,HwActive
2017-12-11T00:18:21.766Z,,46.5,,,,55,
2017-12-11T00:18:31.764Z,,46.4,,,67.2,55,
2017-12-11T00:18:41.765Z,,46.4,,,,55,
2017-12-11T00:18:51.765Z,,46.2,,,,55,
2017-12-11T00:19:01.846Z,,46.2,,,67.1,55,
2017-12-11T00:19:11.766Z,,46.1,,,,55,
2017-12-11T00:19:21.766Z,,46.1,,,,55,
2017-12-11T00:19:31.766Z,,46,,,,55,
2017-12-11T00:19:41.766Z,,45.9,,,67,55,
2017-12-11T00:19:51.766Z,,45.9,,,,55,
2017-12-11T00:20:01.857Z,,45.8,,,,55,
2017-12-11T00:20:11.766Z,,45.8,,,67,55,
2017-12-11T00:20:21.766Z,,45.7,,,66.9,55,
2017-12-11T00:20:31.766Z,,45.7,,,,55,
2017-12-11T00:20:41.766Z,,45.6,,,,55,
2017-12-11T00:20:51.766Z,,45.6,,,66.7,55,
2017-12-11T00:21:01.845Z,,45.5,,,,55,
2017-12-11T00:21:11.766Z,,45.5,,,,55,
2017-12-11T00:21:21.767Z,,45.3,,,,55,
2017-12-11T00:21:31.765Z,,45.2,,,66.6,55,
2017-12-11T00:21:41.766Z,,45.2,,,,55,
2017-12-11T00:21:51.766Z,,45.1,,,,55,
2017-12-11T00:22:01.856Z,,45.1,,,,55,
2017-12-11T00:22:11.766Z,,45,,,66.5,55,
2017-12-11T00:22:21.767Z,,45,,,,55,
2017-12-11T00:22:31.766Z,,44.9,,,,55,
2017-12-11T00:22:42.758Z,,44.9,,,66.4,55,
2017-12-11T00:22:51.767Z,,44.8,,,,55,
2017-12-11T00:23:01.845Z,,44.8,,,,55,
2017-12-11T00:23:11.766Z,,44.7,,,,55,
2017-12-11T00:23:21.766Z,,44.7,,,66.2,55,
2017-12-11T00:23:31.766Z,,44.5,,,,55,
2017-12-11T00:23:41.768Z,,44.5,,,,55,
2017-12-11T00:23:51.766Z,,44.4,,,,55,
2017-12-11T00:24:01.846Z,,44.4,,,66.1,55,
2017-12-11T00:24:11.766Z,,44.3,,,,55,
2017-12-11T00:24:21.766Z,,44.3,,,,55,
2017-12-11T00:24:31.766Z,,44.2,,,,55,
2017-12-11T00:24:41.767Z,,44.1,,,66,55,
2017-12-11T00:24:51.766Z,,44.1,,,,55,
2017-12-11T00:25:01.846Z,,44.1,,,65.9,55,
2017-12-11T00:25:11.766Z,,44,,,,55,
2017-12-11T00:25:21.767Z,,43.9,,,,55,
2017-12-11T00:25:32.761Z,,43.9,,,,55,
2017-12-11T00:25:41.766Z,,43.7,,,,55,
2017-12-11T00:25:51.766Z,,43.7,,,65.7,55,
2017-12-11T00:26:01.847Z,,43.6,,,,55,
2017-12-11T00:26:11.767Z,,43.6,,,,55,
