Time,HwTOutlet,ChActive,HwTSet,PrimTSet,HwActive,ActPow,PrimT
2017-12-27T00:00:03.874Z,9.5,,55,,,,
2017-12-27T00:00:13.874Z,9.5,,55,,,,
2017-12-27T00:00:23.875Z,9.5,,55,,,,
2017-12-27T00:00:33.874Z,9.5,,55,,,,
2017-12-27T00:00:43.874Z,9.5,,55,,,,
2017-12-27T00:00:54.340Z,9.5,,55,,,,10
2017-12-27T00:01:03.875Z,9.5,,55,,,,
2017-12-27T00:01:13.874Z,9.5,,55,,,,
2017-12-27T00:01:23.874Z,9.5,,55,,,,
2017-12-27T00:01:33.875Z,9.5,,55,,,,
2017-12-27T00:01:43.875Z,9.5,,55,,,,
2017-12-27T00:01:53.875Z,9.5,,55,,,,10
2017-12-27T00:02:03.874Z,9.5,,55,,,,
2017-12-27T00:02:19.034Z,9.5,0,55,5,0,0,10
2017-12-27T00:02:23.875Z,9.5,,55,,,,
2017-12-27T00:02:33.875Z,9.5,,55,,,,
2017-12-27T00:02:43.875Z,9.5,,55,,,,10
2017-12-27T00:02:53.874Z,9.5,,55,,,,10
2017-12-27T00:03:03.874Z,9.5,,55,,,,
2017-12-27T00:03:13.875Z,9.5,,55,,,,10
2017-12-27T00:03:23.875Z,9.5,,55,,,,
2017-12-27T00:03:33.876Z,9.5,,55,,,,
2017-12-27T00:03:44.866Z,9.5,,55,,,,
2017-12-27T00:03:53.874Z,9.5,,55,,,,
2017-12-27T00:04:03.877Z,9.5,,55,,,,
2017-12-27T00:04:13.874Z,9.5,,55,,,,
2017-12-27T00:04:23.878Z,9.5,,55,,,,
2017-12-27T00:04:33.875Z,9.5,,55,,,,
2017-12-27T00:04:43.875Z,9.5,,55,,,,
2017-12-27T00:04:53.875Z,9.5,,55,,,,
2017-12-27T00:05:03.875Z,9.5,,55,,,,
2017-12-27T00:05:13.875Z,9.5,,55,,,,
2017-12-27T00:05:23.875Z,9.5,,55,,,,
2017-12-27T00:05:33.875Z,9.5,,55,,,,
2017-12-27T00:05:43.875Z,9.5,,55,,,,
2017-12-27T00:05:53.875Z,9.5,,55,,,,
2017-12-27T00:06:03.875Z,9.5,,55,,,,
2017-12-27T00:06:13.875Z,9.5,,55,,,,
2017-12-27T00:06:23.875Z,9.5,,55,,,,9.8
2017-12-27T00:06:34.871Z,9.5,,55,,,,10
2017-12-27T00:06:43.875Z,9.5,,55,,,,
2017-12-27T00:06:53.875Z,9.5,,55,,,,9.8
2017-12-27T00:07:03.875Z,9.5,,55,,,,10
2017-12-27T00:07:13.875Z,9.5,,55,,,,
2017-12-27T00:07:23.876Z,9.5,,55,,,,
2017-12-27T00:07:33.875Z,9.5,,55,,,,10
2017-12-27T00:07:43.875Z,9.5,,55,,,,10
2017-12-27T00:07:53.875Z,9.5,,55,,,,
2017-12-27T00:08:03.876Z,9.5,,55,,,,9.8
2017-12-27T00:08:13.875Z,9.5,,55,,,,9.8
2017-12-27T00:08:23.875Z,9.5,,55,,,,10
2017-12-27T00:08:33.876Z,9.5,,55,,,,9.8
2017-12-27T00:08:43.876Z,9.5,,55,,,,9.8
2017-12-27T00:08:53.875Z,9.5,,55,,,,10
2017-12-27T00:09:03.875Z,9.5,,55,,,,9.8
2017-12-27T00:09:13.876Z,9.5,,55,,,,10
2017-12-27T00:09:24.873Z,9.5,,55,,,,9.8
2017-12-27T00:09:33.875Z,9.5,,55,,,,9.8
2017-12-27T00:09:43.876Z,9.5,,55,,,,9.8
2017-12-27T00:09:53.876Z,9.5,,55,,,,9.8
2017-12-27T00:10:03.876Z,9.5,,55,,,,10
2017-12-27T00:10:13.876Z,9.5,,55,,,,10
2017-12-27T00:10:23.876Z,9.5,,55,,,,9.8
2017-12-27T00:10:33.876Z,9.5,,55,,,,10
2017-12-27T00:10:43.876Z,9.5,,55,,,,9.8
2017-12-27T00:10:53.876Z,9.5,,55,,,,10
2017-12-27T00:11:03.876Z,9.5,,55,,,,
2017-12-27T00:11:13.876Z,9.5,,55,,,,10
2017-12-27T00:11:23.876Z,9.5,,55,,,,10
2017-12-27T00:11:33.880Z,9.5,,55,,,,10
2017-12-27T00:11:43.876Z,9.5,,55,,,,10
2017-12-27T00:11:53.876Z,9.5,,55,,,,
2017-12-27T00:12:03.876Z,9.5,,55,,,,10
2017-12-27T00:12:18.896Z,9.5,,55,,,,9.8
