Time,PrimTSet,ActPow,HwActive,ChActive,HwTOutlet,HwTSet,PrimT
2017-12-22T00:18:43.846Z,,,,,13.3,55,
2017-12-22T00:18:53.846Z,,,,,13.3,55,
2017-12-22T00:19:03.949Z,,,,,13.3,55,
2017-12-22T00:19:13.846Z,,,,,13.3,55,
2017-12-22T00:19:23.845Z,,,,,13.3,55,
2017-12-22T00:19:33.846Z,,,,,13.3,55,
2017-12-22T00:19:43.846Z,,,,,13.3,55,
2017-12-22T00:19:53.846Z,,,,,13.3,55,
2017-12-22T00:20:03.936Z,,,,,13.3,55,
2017-12-22T00:20:13.846Z,,,,,13.3,55,
2017-12-22T00:20:23.846Z,,,,,13.3,55,
2017-12-22T00:20:33.846Z,,,,,13.3,55,
2017-12-22T00:20:43.846Z,,,,,13.3,55,
2017-12-22T00:20:53.847Z,,,,,13.3,55,
2017-12-22T00:21:04.926Z,,,,,13.3,55,
2017-12-22T00:21:13.846Z,,,,,13.3,55,
2017-12-22T00:21:23.846Z,,,,,13.3,55,
2017-12-22T00:21:33.849Z,,,,,13.3,55,
2017-12-22T00:21:43.846Z,,,,,13.3,55,
2017-12-22T00:21:53.846Z,,,,,13.3,55,
2017-12-22T00:22:03.936Z,,,,,13.3,55,
2017-12-22T00:22:13.846Z,,,,,13.3,55,
2017-12-22T00:22:23.847Z,,,,,13.3,55,
2017-12-22T00:22:33.846Z,,,,,13.3,55,
2017-12-22T00:22:43.849Z,,,,,13.3,55,
2017-12-22T00:22:53.846Z,,,,,13.3,55,
2017-12-22T00:23:03.936Z,,,,,13.3,55,
2017-12-22T00:23:13.846Z,,,,,13.3,55,
2017-12-22T00:23:23.846Z,,,,,13.3,55,
2017-12-22T00:23:33.847Z,,,,,13.3,55,
2017-12-22T00:23:43.846Z,,,,,13.3,55,
2017-12-22T00:23:58.866Z,,,,,13.3,55,
2017-12-22T00:24:03.941Z,,,,,13.3,55,
2017-12-22T00:24:13.846Z,,,,,13.3,55,
2017-12-22T00:24:23.847Z,,,,,13.3,55,
2017-12-22T00:24:33.846Z,,,,,13.3,55,
2017-12-22T00:24:48.936Z,,,,,13.3,55,
2017-12-22T00:24:53.846Z,,,,,13.3,55,
2017-12-22T00:25:03.926Z,,,,,13.3,55,
2017-12-22T00:25:13.847Z,,,,,13.3,55,
2017-12-22T00:25:23.846Z,,,,,13.3,55,
2017-12-22T00:25:33.846Z,,,,,13.3,55,
2017-12-22T00:25:43.847Z,,,,,13.3,55,
2017-12-22T00:25:53.847Z,,,,,13.3,55,
2017-12-22T00:26:03.936Z,,,,,13.3,55,
2017-12-22T00:26:13.848Z,,,,,13.3,55,
2017-12-22T00:26:23.848Z,,,,,13.3,55,
2017-12-22T00:26:33.846Z,,,,,13.3,55,
2017-12-22T00:26:49.099Z,,,,,13.3,55,
2017-12-22T00:26:53.846Z,,,,,13.3,55,
2017-12-22T00:27:03.937Z,,,,,13.3,55,
2017-12-22T00:27:13.847Z,,,,,13.3,55,
2017-12-22T00:27:23.847Z,,,,,13.3,55,
2017-12-22T00:27:33.853Z,,,,,13.3,55,
2017-12-22T00:27:43.849Z,,,,,13.3,55,
2017-12-22T00:27:53.847Z,,,,,13.3,55,
2017-12-22T00:28:03.937Z,,,,,13.3,55,
2017-12-22T00:28:13.847Z,,,,,13.3,55,
2017-12-22T00:28:23.847Z,,,,,13.3,55,
2017-12-22T00:28:33.847Z,,,,,13.3,55,
2017-12-22T00:28:43.847Z,,,,,13.3,55,
2017-12-22T00:28:53.848Z,,,,,13.3,55,
2017-12-22T00:29:03.984Z,,,,,13.3,55,
2017-12-22T00:29:13.847Z,,,,,13.3,55,
2017-12-22T00:29:23.848Z,,,,,13.3,55,
2017-12-22T00:29:39.908Z,,,,,13.3,55,
2017-12-22T00:29:43.848Z,,,,,13.3,55,
2017-12-22T00:29:53.847Z,,,,,13.3,55,
2017-12-22T00:30:03.937Z,,,,,13.3,55,
2017-12-22T00:30:13.847Z,,,,,13.3,55,
2017-12-22T00:30:23.853Z,,,,,13.3,55,
2017-12-22T00:30:33.847Z,,,,,13.3,55,
2017-12-22T00:30:43.847Z,,,,,13.3,55,
2017-12-22T00:30:53.847Z,,,,,13.3,55,
2017-12-22T00:31:04.377Z,,,,,13.3,55,
2017-12-22T00:31:13.847Z,,,,,13.3,55,
2017-12-22T00:31:23.847Z,,,,,13.3,55,
2017-12-22T00:31:33.849Z,,,,,13.3,55,
2017-12-22T00:31:43.849Z,,,,,13.3,55,
2017-12-22T00:31:53.848Z,,,,,13.3,55,
2017-12-22T00:32:03.938Z,,,,,13.3,55,
2017-12-22T00:32:13.848Z,,,,,13.3,55,
2017-12-22T00:32:23.848Z,,,,,13.3,55,
2017-12-22T00:32:33.848Z,,,,,13.3,55,
2017-12-22T00:32:43.847Z,,,,,13.3,55,
2017-12-22T00:32:53.848Z,,,,,13.3,55,
2017-12-22T00:33:03.928Z,,,,,13.3,55,
2017-12-22T00:33:13.847Z,,,,,13.3,55,
2017-12-22T00:33:23.848Z,,,,,13.3,55,
2017-12-22T00:33:33.847Z,,,,,13.3,55,
2017-12-22T00:33:43.848Z,,,,,13.3,55,
2017-12-22T00:33:53.848Z,,,,,13.3,55,
2017-12-22T00:34:03.928Z,,,,,13.3,55,
2017-12-22T00:34:13.849Z,,,,,13.3,55,
2017-12-22T00:34:23.848Z,,,,,13.3,55,
2017-12-22T00:34:33.848Z,,,,,13.3,55,
2017-12-22T00:34:43.848Z,,,,,13.3,55,
2017-12-22T00:34:53.848Z,,,,,13.3,55,
2017-12-22T00:35:03.938Z,,,,,13.3,55,
2017-12-22T00:35:13.848Z,,,,,13.3,55,
2017-12-22T00:35:23.848Z,,,,,13.3,55,
2017-12-22T00:35:33.848Z,,,,,13.3,55,
2017-12-22T00:35:43.848Z,,,,,13.3,55,
2017-12-22T00:35:53.848Z,,,,,13.3,55,
2017-12-22T00:36:03.938Z,,,,,13.3,55,
2017-12-22T00:36:13.848Z,,,,,13.3,55,
2017-12-22T00:36:23.848Z,,,,,13.3,55,
2017-12-22T00:36:33.849Z,,,,,13.3,55,
2017-12-22T00:36:44.840Z,,,,,13.3,55,
2017-12-22T00:36:53.850Z,,,,,13.3,55,
2017-12-22T00:37:03.938Z,,,,,13.3,55,
2017-12-22T00:37:13.854Z,,,,,13.3,55,
2017-12-22T00:37:23.848Z,,,,,13.3,55,
2017-12-22T00:37:33.848Z,,,,,13.3,55,
2017-12-22T00:37:43.848Z,,,,,13.3,55,
2017-12-22T00:37:53.848Z,,,,,13.3,55,
2017-12-22T00:38:03.938Z,,,,,13.3,55,
2017-12-22T00:38:13.850Z,,,,,13.3,55,
2017-12-22T00:38:23.848Z,,,,,13.3,55,
2017-12-22T00:38:33.848Z,,,,,13.3,55,
2017-12-22T00:38:43.848Z,,,,,13.3,55,
2017-12-22T00:38:53.848Z,,,,,13.3,55,
2017-12-22T00:39:03.938Z,,,,,13.3,55,
2017-12-22T00:39:13.849Z,,,,,13.3,55,
2017-12-22T00:39:23.848Z,,,,,13.3,55,
2017-12-22T00:39:34.844Z,,,,,13.3,55,
2017-12-22T00:39:43.848Z,,,,,13.3,55,
2017-12-22T00:39:53.849Z,,,,,13.3,55,
2017-12-22T00:40:03.930Z,,,,,13.3,55,
2017-12-22T00:40:13.848Z,,,,,13.3,55,
2017-12-22T00:40:23.849Z,,,,,13.3,55,
2017-12-22T00:40:33.848Z,,,,,13.3,55,
2017-12-22T00:40:43.849Z,,,,,13.3,55,
2017-12-22T00:40:53.848Z,,,,,13.3,55,
2017-12-22T00:41:03.938Z,,,,,13.3,55,
2017-12-22T00:41:13.849Z,,,,,13.3,55,
2017-12-22T00:41:23.849Z,,,,,13.3,55,
2017-12-22T00:41:33.849Z,,,,,13.3,55,
2017-12-22T00:41:43.849Z,,,,,13.3,55,
2017-12-22T00:41:53.849Z,,,,,13.3,55,
2017-12-22T00:42:03.939Z,,,,,13.3,55,
2017-12-22T00:42:13.851Z,,,,,13.3,55,
2017-12-22T00:42:24.849Z,,,,,13.3,55,
2017-12-22T00:42:33.849Z,,,,,13.3,55,
2017-12-22T00:42:43.849Z,,,,,13.3,55,
2017-12-22T00:42:53.849Z,,,,,13.3,55,
2017-12-22T00:43:03.938Z,,,,,13.3,55,
2017-12-22T00:43:13.849Z,,,,,13.3,55,
2017-12-22T00:43:23.849Z,,,,,13.3,55,
2017-12-22T00:43:33.851Z,,,,,13.3,55,
2017-12-22T00:43:43.849Z,,,,,13.3,55,
2017-12-22T00:43:53.849Z,,,,,13.3,55,
2017-12-22T00:44:03.939Z,,,,,13.3,55,
2017-12-22T00:44:13.851Z,,,,,13.3,55,
2017-12-22T00:44:23.849Z,,,,,13.3,55,
2017-12-22T00:44:33.849Z,,,,,13.3,55,
2017-12-22T00:44:43.849Z,,,,,13.3,55,
2017-12-22T00:44:53.851Z,,,,,13.3,55,
2017-12-22T00:45:03.929Z,,,,,13.3,55,
2017-12-22T00:45:18.869Z,,,,,13.3,55,
2017-12-22T00:45:23.849Z,,,,,13.3,55,
2017-12-22T00:45:33.849Z,,,,,13.3,55,
2017-12-22T00:45:43.850Z,,,,,13.3,55,
2017-12-22T00:45:53.849Z,,,,,13.3,55,
2017-12-22T00:46:03.939Z,,,,,13.3,55,
2017-12-22T00:46:13.851Z,,,,,13.3,55,
2017-12-22T00:46:23.849Z,,,,,13.3,55,
2017-12-22T00:46:33.849Z,,,,,13.3,55,
2017-12-22T00:46:43.849Z,,,,,13.3,55,
2017-12-22T00:46:53.850Z,,,,,13.3,55,
2017-12-22T00:47:03.939Z,,,,,13.3,55,
2017-12-22T00:47:13.850Z,,,,,13.3,55,
2017-12-22T00:47:23.849Z,,,,,13.3,55,
2017-12-22T00:47:33.849Z,,,,,13.3,55,
2017-12-22T00:47:43.852Z,,,,,13.3,55,
2017-12-22T00:47:53.849Z,,,,,13.3,55,
2017-12-22T00:48:04.982Z,,,,,13.3,55,
2017-12-22T00:48:13.850Z,,,,,13.3,55,
2017-12-22T00:48:23.850Z,,,,,13.3,55,
2017-12-22T00:48:33.850Z,,,,,13.3,55,
2017-12-22T00:48:43.850Z,,,,,13.3,55,
2017-12-22T00:48:53.850Z,,,,,13.3,55,
2017-12-22T00:49:03.940Z,,,,,13.3,55,
2017-12-22T00:49:13.850Z,,,,,13.3,55,
2017-12-22T00:49:23.850Z,,,,,13.3,55,
2017-12-22T00:49:33.850Z,,,,,13.3,55,
2017-12-22T00:49:43.850Z,,,,,13.3,55,
2017-12-22T00:49:53.850Z,,,,,13.3,55,
2017-12-22T00:50:03.940Z,,,,,13.3,55,
2017-12-22T00:50:13.850Z,,,,,13.3,55,
2017-12-22T00:50:23.850Z,,,,,13.3,55,
2017-12-22T00:50:33.850Z,,,,,13.3,55,
2017-12-22T00:50:43.850Z,,,,,13.3,55,
2017-12-22T00:50:53.850Z,,,,,13.3,55,
2017-12-22T00:51:03.942Z,,,,,13.3,55,
2017-12-22T00:51:13.850Z,,,,,13.3,55,
2017-12-22T00:51:23.850Z,,,,,13.3,55,
2017-12-22T00:51:33.850Z,,,,,13.3,55,
2017-12-22T00:51:43.850Z,,,,,13.3,55,
2017-12-22T00:51:53.850Z,,,,,13.3,55,
2017-12-22T00:52:03.940Z,5,0,0,0,13.3,55,13.3
2017-12-22T00:52:13.850Z,,,,,13.3,55,
2017-12-22T00:52:24.843Z,,,,,13.3,55,
2017-12-22T00:52:33.850Z,,,,,13.3,55,
2017-12-22T00:52:43.851Z,,,,,13.3,55,
2017-12-22T00:52:53.850Z,,,,,13.3,55,
2017-12-22T00:53:03.930Z,,,,,13.3,55,
2017-12-22T00:53:13.851Z,,,,,13.3,55,
2017-12-22T00:53:23.850Z,,,,,13.3,55,
2017-12-22T00:53:33.850Z,,,,,13.3,55,
2017-12-22T00:53:43.850Z,,,,,13.3,55,
2017-12-22T00:53:53.851Z,,,,,13.3,55,
2017-12-22T00:54:03.930Z,,,,,13.3,55,
2017-12-22T00:54:13.851Z,,,,,13.3,55,
2017-12-22T00:54:23.853Z,,,,,13.3,55,
2017-12-22T00:54:33.850Z,,,,,13.3,55,
2017-12-22T00:54:43.851Z,,,,,13.3,55,
2017-12-22T00:54:53.850Z,,,,,13.3,55,
2017-12-22T00:55:03.940Z,,,,,13.3,55,
2017-12-22T00:55:14.847Z,,,,,13.3,55,
2017-12-22T00:55:23.851Z,,,,,13.3,55,
2017-12-22T00:55:33.850Z,,,,,13.3,55,
2017-12-22T00:55:43.851Z,,,,,13.3,55,
2017-12-22T00:55:53.851Z,,,,,13.3,55,
2017-12-22T00:56:03.951Z,,,,,13.3,55,
2017-12-22T00:56:13.851Z,,,,,13.3,55,
2017-12-22T00:56:23.851Z,,,,,13.3,55,
2017-12-22T00:56:33.851Z,,,,,13.3,55,
2017-12-22T00:56:43.851Z,,,,,13.3,55,
2017-12-22T00:56:53.851Z,,,,,13.3,55,
2017-12-22T00:57:03.944Z,,,,,13.3,55,
2017-12-22T00:57:13.851Z,,,,,13.3,55,
2017-12-22T00:57:23.850Z,,,,,13.3,55,
2017-12-22T00:57:33.850Z,,,,,13.3,55,
2017-12-22T00:57:43.851Z,,,,,13.3,55,
2017-12-22T00:57:53.851Z,,,,,13.3,55,
2017-12-22T00:58:04.971Z,,,,,13.3,55,
2017-12-22T00:58:13.851Z,,,,,13.3,55,
2017-12-22T00:58:23.851Z,,,,,13.3,55,
2017-12-22T00:58:33.851Z,,,,,13.3,55,
2017-12-22T00:58:43.851Z,,,,,13.3,55,
2017-12-22T00:58:53.851Z,,,,,13.3,55,
2017-12-22T00:59:03.941Z,,,,,13.3,55,
2017-12-22T00:59:13.856Z,,,,,13.3,55,
2017-12-22T00:59:23.851Z,,,,,13.3,55,
2017-12-22T00:59:33.851Z,,,,,13.3,55,
2017-12-22T00:59:43.851Z,,,,,13.3,55,
2017-12-22T00:59:53.851Z,,,,,13.3,55,
2017-12-22T01:00:03.941Z,,,,,13.3,55,
2017-12-22T01:00:13.851Z,,,,,13.3,55,
2017-12-22T01:00:23.851Z,,,,,13.3,55,
2017-12-22T01:00:33.852Z,,,,,13.3,55,
2017-12-22T01:00:43.851Z,,,,,13.3,55,
2017-12-22T01:00:54.844Z,,,,,13.3,55,
2017-12-22T01:01:03.933Z,,,,,13.3,55,
2017-12-22T01:01:13.852Z,,,,,13.3,55,
2017-12-22T01:01:23.851Z,,,,,13.3,55,
2017-12-22T01:01:33.851Z,,,,,13.3,55,
2017-12-22T01:01:43.855Z,,,,,13.3,55,
2017-12-22T01:01:53.851Z,,,,,13.3,55,
2017-12-22T01:02:03.931Z,,,,,13.3,55,
2017-12-22T01:02:13.852Z,,,,,13.3,55,
2017-12-22T01:02:23.851Z,,,,,13.3,55,
2017-12-22T01:02:33.852Z,,,,,13.3,55,
2017-12-22T01:02:43.852Z,,,,,13.3,55,
2017-12-22T01:02:53.852Z,,,,,13.3,55,
2017-12-22T01:03:03.942Z,,,,,13.3,55,
2017-12-22T01:03:13.853Z,,,,,13.3,55,
2017-12-22T01:03:23.852Z,,,,,13.3,55,
2017-12-22T01:03:33.851Z,,,,,13.3,55,
2017-12-22T01:03:48.872Z,,,,,13.3,55,
2017-12-22T01:03:53.852Z,,,,,13.3,55,
2017-12-22T01:04:03.942Z,,,,,13.3,55,
2017-12-22T01:04:13.852Z,,,,,13.3,55,
2017-12-22T01:04:23.851Z,,,,,13.3,55,
2017-12-22T01:04:33.852Z,,,,,13.3,55,
2017-12-22T01:04:43.852Z,,,,,13.3,55,
2017-12-22T01:04:53.852Z,,,,,13.3,55,
2017-12-22T01:05:03.942Z,,,,,13.3,55,
2017-12-22T01:05:14.032Z,,,,,13.3,55,
2017-12-22T01:05:23.852Z,,,,,13.3,55,
2017-12-22T01:05:33.852Z,,,,,13.3,55,
2017-12-22T01:05:43.852Z,,,,,13.3,55,
2017-12-22T01:05:53.852Z,,,,,13.3,55,
2017-12-22T01:06:03.942Z,,,,,13.3,55,
2017-12-22T01:06:13.852Z,,,,,13.3,55,
2017-12-22T01:06:23.852Z,,,,,13.3,55,
2017-12-22T01:06:38.872Z,,,,,13.3,55,
2017-12-22T01:06:43.852Z,,,,,13.3,55,
2017-12-22T01:06:53.852Z,,,,,13.3,55,
2017-12-22T01:07:03.942Z,,,,,13.3,55,
2017-12-22T01:07:13.852Z,,,,,13.3,55,
2017-12-22T01:07:23.852Z,,,,,13.3,55,
2017-12-22T01:07:33.852Z,,,,,13.3,55,
2017-12-22T01:07:43.852Z,,,,,13.3,55,
2017-12-22T01:07:53.852Z,,,,,13.3,55,
2017-12-22T01:08:04.934Z,,,,,13.3,55,
2017-12-22T01:08:13.852Z,,,,,13.3,55,
2017-12-22T01:08:23.853Z,,,,,13.3,55,
2017-12-22T01:08:33.852Z,,,,,13.3,55,
2017-12-22T01:08:43.852Z,,,,,13.3,55,
2017-12-22T01:08:53.853Z,,,,,13.3,55,
2017-12-22T01:09:03.942Z,,,,,13.3,55,
2017-12-22T01:09:13.852Z,,,,,13.3,55,
2017-12-22T01:09:29.284Z,,,,,13.3,55,
2017-12-22T01:09:33.852Z,,,,,13.3,55,
2017-12-22T01:09:43.853Z,,,,,13.3,55,
2017-12-22T01:09:53.852Z,,,,,13.3,55,
2017-12-22T01:10:03.934Z,,,,,13.3,55,
2017-12-22T01:10:13.853Z,,,,,13.3,55,
2017-12-22T01:10:23.852Z,,,,,13.3,55,
2017-12-22T01:10:33.862Z,,,,,13.3,55,
2017-12-22T01:10:43.853Z,,,,,13.3,55,
2017-12-22T01:10:54.848Z,,,,,13.3,55,
2017-12-22T01:11:03.943Z,,,,,13.3,55,
2017-12-22T01:11:13.853Z,,,,,13.3,55,
2017-12-22T01:11:23.852Z,,,,,13.3,55,
2017-12-22T01:11:33.854Z,,,,,13.3,55,
2017-12-22T01:11:43.853Z,,,,,13.3,55,
2017-12-22T01:11:54.895Z,,,,,13.3,55,
2017-12-22T01:12:03.943Z,,,,,13.3,55,
2017-12-22T01:12:13.853Z,,,,,13.3,55,
2017-12-22T01:12:23.853Z,,,,,13.3,55,
2017-12-22T01:12:33.853Z,,,,,13.3,55,
2017-12-22T01:12:43.853Z,,,,,13.3,55,
2017-12-22T01:12:53.853Z,,,,,13.3,55,
2017-12-22T01:13:03.943Z,,,,,13.3,55,
2017-12-22T01:13:13.853Z,,,,,13.3,55,
2017-12-22T01:13:23.853Z,,,,,13.3,55,
2017-12-22T01:13:33.853Z,,,,,13.3,55,
