Time,PrimT,PrimTSet,HwTSet,HwTOutlet,HwActive,ChActive,ActPow
2018-02-11T00:00:04.823Z,60.5,59,55,55.9,0,0,0
2018-02-11T00:00:14.823Z,62.3,,55,55,,,
2018-02-11T00:00:24.823Z,64.5,,55,54.4,,,
2018-02-11T00:00:34.823Z,66.3,,55,54,,,
2018-02-11T00:00:44.823Z,67.5,,55,54.6,,,
2018-02-11T00:00:54.850Z,68.6,,55,55.7,,,
2018-02-11T00:01:04.823Z,69.9,75,55,56.7,0,2,
2018-02-11T00:01:19.843Z,74.4,,55,57.5,,,80
2018-02-11T00:01:24.825Z,80.5,,55,58.2,0,2,0
2018-02-11T00:01:34.824Z,77.9,,55,58.7,,,
2018-02-11T00:01:44.823Z,72.7,,55,59,,,
2018-02-11T00:01:55.865Z,69.4,,55,59.3,,,
2018-02-11T00:02:04.824Z,67.9,,55,59.5,,,
2018-02-11T00:02:14.823Z,67.5,,55,59.8,,,
2018-02-11T00:02:24.823Z,67.6,,55,60,,,
2018-02-11T00:02:34.823Z,67.7,,55,60.1,,,
2018-02-11T00:02:44.823Z,67.4,,55,60.3,,,
2018-02-11T00:02:54.825Z,66.7,,55,60.5,,,
2018-02-11T00:03:04.823Z,66,,55,60.5,,,
2018-02-11T00:03:14.823Z,65.6,,55,60.6,,,
2018-02-11T00:03:24.824Z,65.4,,55,60.6,,,
2018-02-11T00:03:34.823Z,65.1,,55,60.7,,,
2018-02-11T00:03:44.824Z,64.9,,55,60.7,,,
2018-02-11T00:03:54.824Z,64.8,,55,60.7,,,
2018-02-11T00:04:10.835Z,64.4,,55,60.7,,,
2018-02-11T00:04:14.824Z,64.2,,55,60.7,,,
2018-02-11T00:04:24.824Z,64,,55,60.7,,,
2018-02-11T00:04:34.824Z,63.7,0,55,53.9,1,0,
2018-02-11T00:04:44.825Z,62.4,59,55,50.4,1,0,123
2018-02-11T00:04:54.824Z,57.6,,55,50.2,0,0,0
2018-02-11T00:05:04.823Z,56.9,,55,50.8,,,
2018-02-11T00:05:14.823Z,57.6,,55,51,,,
2018-02-11T00:05:24.823Z,58.3,,55,51.1,,,
2018-02-11T00:05:34.824Z,58.9,,55,51,,,
2018-02-11T00:05:44.823Z,59.1,,55,51.1,,,
2018-02-11T00:05:54.826Z,59.3,75,55,51.2,0,2,
2018-02-11T00:06:04.824Z,64.5,,55,51.4,,,79
2018-02-11T00:06:14.824Z,71.8,,55,51.7,,,42
2018-02-11T00:06:24.823Z,72.5,,55,51.9,,,29
2018-02-11T00:06:34.824Z,69.2,,55,52,,,
2018-02-11T00:06:44.830Z,67.4,,55,52.1,,,
2018-02-11T00:06:54.826Z,65.7,,55,52.2,,,
2018-02-11T00:07:04.824Z,64.7,,55,52.3,,,
2018-02-11T00:07:14.823Z,65,,55,52.4,,,
2018-02-11T00:07:24.824Z,65.6,,55,52.7,,,
2018-02-11T00:07:34.824Z,65.9,,55,52.8,,,
2018-02-11T00:07:44.823Z,65.9,,55,53,,,
2018-02-11T00:07:54.823Z,,,55,53.1,,,30
2018-02-11T00:08:04.823Z,66,,55,53.2,,,32
2018-02-11T00:08:14.825Z,66.3,,55,53.4,,,33
2018-02-11T00:08:24.823Z,66.7,,55,53.6,,,35
2018-02-11T00:08:34.824Z,67.1,,55,53.7,,,36
2018-02-11T00:08:44.824Z,67.3,,55,53.9,,,37
2018-02-11T00:08:54.823Z,67.7,,55,54,,,39
2018-02-11T00:09:04.824Z,68.1,,55,54.1,,,40
2018-02-11T00:09:14.824Z,68.3,,55,54.2,,,41
2018-02-11T00:09:24.824Z,68.7,,55,54.3,,,42
2018-02-11T00:09:34.826Z,69.1,,55,54.4,,,43
2018-02-11T00:09:44.824Z,69.5,,55,54.7,,,44
2018-02-11T00:09:54.828Z,69.9,,55,54.8,,,45
2018-02-11T00:10:04.824Z,70.3,,55,54.9,,,46
2018-02-11T00:10:14.824Z,70.5,,55,55,,,47
2018-02-11T00:10:24.825Z,70.9,,55,55.1,,,
2018-02-11T00:10:34.824Z,71.2,,55,55.2,,,48
2018-02-11T00:10:44.824Z,71.6,,55,55.3,,,49
2018-02-11T00:10:54.827Z,72,,55,55.5,,,
2018-02-11T00:11:04.826Z,72.3,,55,55.7,,,50
2018-02-11T00:11:15.815Z,72.7,,55,55.8,,,
2018-02-11T00:11:24.824Z,73,,55,55.9,,,
2018-02-11T00:11:34.826Z,73.2,,55,56,,,
2018-02-11T00:11:44.825Z,73.7,0,55,57.4,1,0,0
2018-02-11T00:11:54.824Z,72.1,,55,53.1,,,
2018-02-11T00:12:04.836Z,56.5,59,55,51.4,0,0,78
2018-02-11T00:12:14.826Z,51.7,,55,48.7,0,0,0
2018-02-11T00:12:24.824Z,50.5,,55,49.1,,,
2018-02-11T00:12:34.825Z,51.4,,55,49.1,,,
2018-02-11T00:12:44.825Z,53,,55,49,,,
2018-02-11T00:12:54.851Z,54.1,,55,48.9,,,
2018-02-11T00:13:04.826Z,54.6,75,55,48.7,0,2,
2018-02-11T00:13:14.825Z,54.9,,55,48.6,0,2,80
2018-02-11T00:13:24.825Z,62,,55,48.5,,,74
2018-02-11T00:13:34.834Z,70.6,,55,48.5,0,2,0
2018-02-11T00:13:44.826Z,69.5,,55,48.6,,,
2018-02-11T00:13:54.824Z,66.6,,55,48.6,,,
2018-02-11T00:14:09.844Z,65.4,,55,48.7,,,
2018-02-11T00:14:14.825Z,64.5,,55,48.9,,,
2018-02-11T00:14:24.825Z,64.1,,55,48.9,,,
2018-02-11T00:14:34.825Z,,,55,49.1,,,
2018-02-11T00:14:44.825Z,64,,55,49.2,,,
2018-02-11T00:14:54.825Z,63.6,,55,49.4,,,
2018-02-11T00:15:04.826Z,63.1,,55,49.7,,,
2018-02-11T00:15:14.825Z,62.7,,55,49.9,,,
2018-02-11T00:15:24.824Z,62.3,,55,50,,,
2018-02-11T00:15:34.829Z,62.1,,55,50.2,0,2,
2018-02-11T00:15:44.825Z,62,,55,50.3,,,
2018-02-11T00:15:54.825Z,61.9,,55,50.6,,,
2018-02-11T00:16:04.929Z,61.6,,55,50.7,,,
2018-02-11T00:16:14.824Z,61.3,,55,50.8,,,
2018-02-11T00:16:24.825Z,60.9,,55,50.9,,,
2018-02-11T00:16:34.825Z,60.7,,55,50.9,,,
2018-02-11T00:16:44.825Z,60.5,,55,51,,,
2018-02-11T00:16:59.847Z,60.2,,55,51,,,
2018-02-11T00:17:04.825Z,60.1,,55,51.1,,,
2018-02-11T00:17:14.825Z,59.9,,55,51.1,,,
2018-02-11T00:17:24.825Z,59.8,,55,51.2,,,
2018-02-11T00:17:34.826Z,59.5,,55,51.2,,,
2018-02-11T00:17:44.826Z,59.4,,55,51.2,,,
2018-02-11T00:17:54.826Z,59.2,,55,51.2,,,
2018-02-11T00:18:04.827Z,59,,55,51.2,,,
2018-02-11T00:18:14.825Z,59.1,,55,51.2,0,2,79
2018-02-11T00:18:24.826Z,64.3,,55,51.2,,,71
2018-02-11T00:18:34.826Z,67.1,,55,51.2,,,33
2018-02-11T00:18:44.825Z,66.4,,55,51.2,,,29
2018-02-11T00:18:54.825Z,64.6,,55,51.2,,,
2018-02-11T00:19:04.827Z,63.5,,55,51.2,,,
2018-02-11T00:19:14.825Z,62.6,,55,51.2,,,
2018-02-11T00:19:24.826Z,62.2,,55,51.2,,,
2018-02-11T00:19:34.825Z,62.7,,55,51.2,,,
2018-02-11T00:19:49.848Z,63,,55,51.2,,,
2018-02-11T00:19:54.825Z,63.1,,55,51.3,,,
2018-02-11T00:20:04.826Z,,,55,51.3,,,
2018-02-11T00:20:14.825Z,63.2,,55,51.4,,,31
2018-02-11T00:20:24.826Z,63.5,,55,51.6,,,33
2018-02-11T00:20:34.826Z,63.9,,55,51.6,,,35
2018-02-11T00:20:44.825Z,64.4,,55,51.7,,,37
2018-02-11T00:20:54.825Z,64.7,,55,51.8,,,39
2018-02-11T00:21:04.828Z,65.3,,55,51.8,,,40
2018-02-11T00:21:14.827Z,65.8,,55,51.9,,,42
2018-02-11T00:21:24.825Z,66.2,,55,52,,,44
2018-02-11T00:21:34.826Z,66.7,,55,52,,,45
2018-02-11T00:21:44.825Z,67.2,,55,52.1,,,47
2018-02-11T00:21:54.826Z,67.7,,55,52.2,,,48
2018-02-11T00:22:04.827Z,68.1,,55,52.2,,,50
2018-02-11T00:22:14.826Z,68.7,,55,52.3,,,51
2018-02-11T00:22:24.826Z,69.1,,55,52.4,,,
2018-02-11T00:22:34.826Z,69.6,,55,52.6,,,53
2018-02-11T00:22:44.827Z,70,,55,52.6,,,54
2018-02-11T00:22:54.829Z,70.4,,55,52.7,,,
2018-02-11T00:23:04.840Z,70.9,,55,52.8,,,55
2018-02-11T00:23:14.826Z,71.4,,55,52.9,,,56
2018-02-11T00:23:24.825Z,71.8,,55,53.1,,,
2018-02-11T00:23:34.826Z,72.2,,55,53.2,,,57
2018-02-11T00:23:44.828Z,72.6,,55,53.3,,,
2018-02-11T00:23:54.826Z,73,,55,53.4,,,57
2018-02-11T00:24:04.827Z,73.2,,55,53.6,,,58
2018-02-11T00:24:14.826Z,73.6,,55,53.8,,,
2018-02-11T00:24:24.826Z,74.1,,55,53.9,,,
2018-02-11T00:24:34.826Z,74.3,,55,54,,,59
2018-02-11T00:24:44.826Z,74.6,,55,54.2,,,58
2018-02-11T00:24:54.856Z,74.9,,55,54.3,,,
2018-02-11T00:25:04.827Z,75.1,,55,54.6,,,58
2018-02-11T00:25:15.867Z,75.4,,55,54.7,,,57
2018-02-11T00:25:24.826Z,75.6,,55,54.8,,,55
2018-02-11T00:25:34.826Z,75.7,,55,55,,,52
2018-02-11T00:25:44.826Z,75.6,,55,55.1,,,50
2018-02-11T00:25:54.826Z,75.4,,55,55.3,,,48
2018-02-11T00:26:04.826Z,75.1,,55,55.5,,,47
2018-02-11T00:26:14.827Z,,,55,55.6,,,46
2018-02-11T00:26:24.826Z,,,55,55.8,,,
2018-02-11T00:26:34.826Z,,,55,55.9,,,
2018-02-11T00:26:44.827Z,,,55,56,,,
2018-02-11T00:26:54.826Z,,,55,56.1,,,45
2018-02-11T00:27:04.828Z,75.3,,55,56.2,,,
2018-02-11T00:27:14.827Z,,,55,56.4,,,43
2018-02-11T00:27:24.826Z,,,55,56.5,,,42
2018-02-11T00:27:34.826Z,,,55,56.6,,,41
2018-02-11T00:27:44.827Z,75.1,,55,56.7,,,
2018-02-11T00:27:54.826Z,,,55,56.8,,,40
2018-02-11T00:28:04.939Z,,,55,56.9,,,
2018-02-11T00:28:14.828Z,,,55,57,,,39
2018-02-11T00:28:24.826Z,,,55,57,,,
2018-02-11T00:28:34.827Z,,,55,57.2,,,38
2018-02-11T00:28:44.827Z,,,55,57.3,,,37
2018-02-11T00:28:54.827Z,,,55,57.4,,,
2018-02-11T00:29:04.829Z,,,55,57.4,,,
2018-02-11T00:29:14.826Z,,,55,57.5,,,36
2018-02-11T00:29:24.826Z,75,,55,57.6,,,
2018-02-11T00:29:35.888Z,,,55,57.6,,,35
2018-02-11T00:29:45.823Z,75.1,,55,57.7,,,
2018-02-11T00:29:54.827Z,75,,55,57.7,,,
2018-02-11T00:30:04.827Z,,,55,57.8,,,
2018-02-11T00:30:14.827Z,,,55,57.8,,,
2018-02-11T00:30:24.826Z,75.1,,55,58,,,
2018-02-11T00:30:34.827Z,75,,55,58.1,,,34
2018-02-11T00:30:44.827Z,,,55,58.1,,,
2018-02-11T00:30:54.826Z,,,55,58.2,,,
2018-02-11T00:31:04.829Z,,,55,58.2,,,
2018-02-11T00:31:14.827Z,,,55,58.3,,,
2018-02-11T00:31:24.827Z,75.1,,55,58.3,,,
2018-02-11T00:31:34.827Z,,,55,58.4,,,
2018-02-11T00:31:44.826Z,,,55,58.5,,,33
2018-02-11T00:31:54.827Z,75,,55,58.5,,,
2018-02-11T00:32:04.826Z,,,55,58.6,,,
2018-02-11T00:32:14.830Z,,,55,58.6,,,
2018-02-11T00:32:24.827Z,,,55,58.7,,,
2018-02-11T00:32:39.846Z,,,55,58.7,,,
2018-02-11T00:32:44.827Z,75.1,,55,58.7,,,
2018-02-11T00:32:54.826Z,75,,55,58.9,,,
2018-02-11T00:33:04.827Z,,,55,58.9,,,
2018-02-11T00:33:14.826Z,,,55,59,,,32
2018-02-11T00:33:24.827Z,,,55,59,,,
2018-02-11T00:33:34.827Z,,,55,59,,,
2018-02-11T00:33:44.827Z,,,55,59.1,,,
2018-02-11T00:33:54.829Z,,,55,59.1,,,
2018-02-11T00:34:04.828Z,,,55,59.2,,,
2018-02-11T00:34:14.827Z,,,55,59.2,,,
2018-02-11T00:34:24.828Z,,,55,59.2,,,
2018-02-11T00:34:34.827Z,75.1,,55,59.3,,,
2018-02-11T00:34:44.827Z,,,55,59.3,,,31
2018-02-11T00:34:54.828Z,75,,55,59.3,,,
2018-02-11T00:35:04.827Z,,,55,59.4,,,32
2018-02-11T00:35:14.829Z,,,55,59.4,,,31
2018-02-11T00:35:29.847Z,,,55,59.5,,,32
2018-02-11T00:35:34.827Z,,,55,59.5,,,
2018-02-11T00:35:44.828Z,,,55,59.5,,,
2018-02-11T00:35:54.828Z,,,55,59.7,,,
2018-02-11T00:36:04.827Z,75.1,,55,59.7,,,31
2018-02-11T00:36:14.830Z,,,55,59.7,,,
2018-02-11T00:36:24.827Z,75,,55,59.8,,,32
2018-02-11T00:36:34.829Z,,,55,59.8,,,
2018-02-11T00:36:44.828Z,,,55,59.8,,,
2018-02-11T00:36:54.827Z,75.1,,55,59.9,,,
2018-02-11T00:37:04.828Z,75,75,55,59.9,0,2,31
2018-02-11T00:37:14.828Z,,,55,59.9,,,
2018-02-11T00:37:24.827Z,,,55,59.9,,,
2018-02-11T00:37:34.827Z,,,55,60,,,
2018-02-11T00:37:44.828Z,,,55,60,,,
2018-02-11T00:37:54.828Z,75.1,,55,60,,,
2018-02-11T00:38:04.827Z,75,,55,60,,,
2018-02-11T00:38:20.849Z,,,55,60.1,,,
2018-02-11T00:38:24.829Z,,,55,60.1,,,
2018-02-11T00:38:34.827Z,,,55,60.1,,,
2018-02-11T00:38:44.827Z,,,55,60.2,,,
2018-02-11T00:38:54.827Z,,,55,60.2,,,
2018-02-11T00:39:04.828Z,,,55,60.2,,,
2018-02-11T00:39:14.828Z,,,55,60.2,,,
2018-02-11T00:39:24.832Z,,,55,60.3,,,
2018-02-11T00:39:34.828Z,,,55,60.3,,,
2018-02-11T00:39:44.828Z,,,55,60.3,,,
2018-02-11T00:39:54.829Z,,,55,60.3,,,
2018-02-11T00:40:04.830Z,,,55,60.3,,,
2018-02-11T00:40:14.828Z,,,55,60.5,,,
2018-02-11T00:40:24.829Z,,,55,60.5,,,
2018-02-11T00:40:34.827Z,,,55,60.5,,,
2018-02-11T00:40:44.828Z,,,55,60.5,,,
2018-02-11T00:40:54.827Z,,,55,60.6,,,
2018-02-11T00:41:04.828Z,,,55,60.6,,,
2018-02-11T00:41:14.828Z,,,55,60.6,,,
2018-02-11T00:41:24.829Z,,,55,60.6,,,
2018-02-11T00:41:34.829Z,,,55,60.7,,,
2018-02-11T00:41:44.828Z,,,55,60.7,,,
2018-02-11T00:41:54.828Z,,,55,60.7,,,
2018-02-11T00:42:04.827Z,,,55,60.7,,,
2018-02-11T00:42:14.828Z,,,55,60.8,,,
2018-02-11T00:42:24.828Z,,,55,60.8,,,
2018-02-11T00:42:34.828Z,,,55,60.8,,,
2018-02-11T00:42:44.839Z,,,55,60.8,,,
2018-02-11T00:42:54.828Z,,,55,60.8,,,
2018-02-11T00:43:04.828Z,,,55,60.8,,,30
2018-02-11T00:43:14.828Z,75.1,,55,60.9,,,31
2018-02-11T00:43:24.829Z,75,,55,60.9,,,30
2018-02-11T00:43:34.828Z,,,55,60.9,,,
2018-02-11T00:43:44.829Z,,,55,61,,,31
2018-02-11T00:43:54.828Z,,,55,61,,,
2018-02-11T00:44:04.829Z,,,55,61,,,30
2018-02-11T00:44:14.830Z,,,55,61,,,
2018-02-11T00:44:24.828Z,,,55,61,,,31
2018-02-11T00:44:34.830Z,,,55,61.2,,,30
2018-02-11T00:44:44.829Z,,,55,61.2,,,
2018-02-11T00:44:54.829Z,,,55,61.2,,,
2018-02-11T00:45:04.828Z,,,55,61.2,,,
2018-02-11T00:45:14.828Z,,,55,61.2,,,
2018-02-11T00:45:25.828Z,,,55,61.2,,,
2018-02-11T00:45:34.834Z,,,55,61.3,,,
2018-02-11T00:45:44.829Z,,,55,61.3,,,
2018-02-11T00:45:54.829Z,,,55,61.3,,,
2018-02-11T00:46:04.829Z,,,55,61.3,,,
2018-02-11T00:46:14.828Z,,,55,61.3,,,
2018-02-11T00:46:24.830Z,,,55,61.3,,,
2018-02-11T00:46:34.829Z,,,55,61.3,,,
2018-02-11T00:46:44.831Z,,,55,61.3,,,
2018-02-11T00:46:54.829Z,,,55,61.4,,,
2018-02-11T00:47:04.829Z,,,55,61.4,,,
2018-02-11T00:47:14.829Z,,,55,61.4,,,
2018-02-11T00:47:24.830Z,,,55,61.4,,,
2018-02-11T00:47:34.828Z,,,55,61.4,,,
2018-02-11T00:47:44.829Z,,,55,61.4,,,
2018-02-11T00:47:54.829Z,,,55,61.4,,,
2018-02-11T00:48:04.828Z,,,55,61.5,,,
2018-02-11T00:48:19.849Z,,,55,61.5,,,
2018-02-11T00:48:24.831Z,,,55,61.5,,,
2018-02-11T00:48:34.829Z,,,55,61.5,,,
2018-02-11T00:48:44.831Z,,,55,61.5,,,
2018-02-11T00:48:54.829Z,,,55,61.5,,,
2018-02-11T00:49:04.831Z,,,55,61.5,,,
2018-02-11T00:49:14.830Z,,,55,61.5,,,
2018-02-11T00:49:24.829Z,,,55,61.5,,,
2018-02-11T00:49:34.829Z,,,55,61.6,,,
2018-02-11T00:49:44.829Z,,,55,61.6,,,
2018-02-11T00:49:54.830Z,,,55,61.6,,,
2018-02-11T00:50:04.830Z,75.1,,55,61.6,,,
2018-02-11T00:50:14.830Z,75,,55,61.6,,,
2018-02-11T00:50:24.829Z,,,55,61.6,,,
2018-02-11T00:50:34.829Z,,,55,61.7,,,
2018-02-11T00:50:44.829Z,,,55,61.7,,,
2018-02-11T00:50:54.833Z,,,55,61.7,,,
2018-02-11T00:51:09.849Z,,,55,61.7,,,
2018-02-11T00:51:14.829Z,,,55,61.7,,,
2018-02-11T00:51:24.829Z,,,55,61.7,,,
2018-02-11T00:51:34.830Z,,,55,61.7,,,
2018-02-11T00:51:44.829Z,,,55,61.7,,,
2018-02-11T00:51:54.830Z,,,55,61.7,,,
2018-02-11T00:52:04.830Z,,,55,61.7,,,
2018-02-11T00:52:14.830Z,,,55,61.7,,,
2018-02-11T00:52:24.830Z,,,55,61.9,,,
2018-02-11T00:52:34.829Z,,,55,61.9,,,
2018-02-11T00:52:44.829Z,,,55,61.9,,,
2018-02-11T00:52:54.829Z,,,55,61.9,,,
2018-02-11T00:53:04.829Z,,,55,61.9,,,
2018-02-11T00:53:14.829Z,,,55,61.9,,,
2018-02-11T00:53:29.919Z,,,55,61.9,,,
2018-02-11T00:53:34.829Z,,,55,61.9,,,
2018-02-11T00:53:44.830Z,,,55,61.9,,,
2018-02-11T00:54:00.842Z,,,55,61.9,,,
2018-02-11T00:54:04.830Z,,,55,61.9,,,
2018-02-11T00:54:14.830Z,,,55,61.9,,,
2018-02-11T00:54:24.833Z,,,55,61.9,,,
2018-02-11T00:54:34.830Z,,,55,61.9,,,
2018-02-11T00:54:44.830Z,,,55,62,,,
2018-02-11T00:54:54.830Z,,,55,62,,,
2018-02-11T00:55:04.831Z,,,55,62,,,
2018-02-11T00:55:14.830Z,,,55,62,,,
2018-02-11T00:55:24.830Z,,,55,62,,,
2018-02-11T00:55:34.830Z,,,55,62,,,
2018-02-11T00:55:44.830Z,,,55,62,,,
2018-02-11T00:55:54.831Z,,,55,62,,,
2018-02-11T00:56:04.830Z,,,55,62,,,
2018-02-11T00:56:14.829Z,,,55,62,,,
2018-02-11T00:56:34.832Z,,,55,62,,,
2018-02-11T00:56:44.830Z,,,55,62.1,,,
2018-02-11T00:56:54.831Z,,,55,62.1,,,
2018-02-11T00:57:04.830Z,,,55,62.1,,,
2018-02-11T00:57:14.831Z,,,55,62.1,,,
2018-02-11T00:57:24.830Z,,,55,62.1,,,
2018-02-11T00:57:34.833Z,,,55,62.1,,,
2018-02-11T00:57:45.872Z,,,55,62.1,,,
2018-02-11T00:58:04.830Z,,,55,62.1,,,
2018-02-11T00:58:15.934Z,,,55,62.1,,,
2018-02-11T00:58:24.830Z,,,55,62.1,,,
