Time,ActPow,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet,ChActive
2018-01-12T00:18:31.066Z,,55,,,27.5,,
2018-01-12T00:18:41.066Z,,55,,,27.5,,
2018-01-12T00:18:51.071Z,,55,,,27.5,,
2018-01-12T00:19:01.066Z,,55,,,27.3,,
2018-01-12T00:19:11.067Z,,55,46.6,,27.3,,
2018-01-12T00:19:21.070Z,,55,,,27.3,,
2018-01-12T00:19:32.065Z,,55,,,27.3,,
2018-01-12T00:19:41.066Z,,55,,,27.3,,
2018-01-12T00:19:51.066Z,,55,,,27.3,,
2018-01-12T00:20:01.066Z,,55,,,27.3,,
2018-01-12T00:20:11.066Z,,55,46.5,,27.2,,
2018-01-12T00:20:21.067Z,,55,,,27.2,,
2018-01-12T00:20:31.068Z,,55,,,27.2,,
2018-01-12T00:20:41.067Z,,55,,,27.2,,
2018-01-12T00:20:51.066Z,,55,,,27.2,,
2018-01-12T00:21:01.066Z,,55,46.4,,27.2,,
2018-01-12T00:21:11.066Z,,55,,,27.2,,
2018-01-12T00:21:21.066Z,,55,,,27,,
2018-01-12T00:21:31.066Z,,55,,,27,,
2018-01-12T00:21:41.066Z,,55,,,27,,
2018-01-12T00:21:51.068Z,,55,,,27,,
2018-01-12T00:22:01.066Z,,55,46.2,,27,,
2018-01-12T00:22:11.066Z,,55,,,27,,
2018-01-12T00:22:22.059Z,,55,,,26.9,,
2018-01-12T00:22:31.066Z,,55,,,26.9,,
2018-01-12T00:22:41.066Z,,55,,,26.9,,
2018-01-12T00:22:51.067Z,,55,,,26.9,,
2018-01-12T00:23:01.067Z,,55,46.1,,26.9,,
2018-01-12T00:23:11.068Z,,55,,,26.9,,
2018-01-12T00:23:21.067Z,,55,,,26.9,,
2018-01-12T00:23:31.067Z,,55,,,26.8,,
2018-01-12T00:23:41.066Z,,55,,,26.8,,
2018-01-12T00:23:51.066Z,,55,46,,26.8,,
2018-01-12T00:24:01.067Z,,55,,,26.8,,
2018-01-12T00:24:11.069Z,,55,,,26.8,,
2018-01-12T00:24:21.066Z,,55,,,26.8,,
2018-01-12T00:24:31.070Z,,55,46,,26.8,,
