Time,HwTOutlet,ActPow,PrimTSet,HwActive,ChActive,PrimT,HwTSet
2017-12-26T00:18:43.664Z,12.3,,,,,,55
2017-12-26T00:18:53.662Z,12.3,,,,,,55
2017-12-26T00:19:03.662Z,12.3,,,,,,55
2017-12-26T00:19:13.664Z,12.3,,,,,,55
2017-12-26T00:19:23.669Z,12.3,,,,,,55
2017-12-26T00:19:33.669Z,12.3,,,,,,55
2017-12-26T00:19:43.662Z,12.3,,,,,,55
2017-12-26T00:19:53.662Z,12.3,,,,,,55
2017-12-26T00:20:03.662Z,12.3,,,,,,55
2017-12-26T00:20:13.664Z,12.3,,,,,,55
2017-12-26T00:20:23.663Z,12.3,,,,,,55
2017-12-26T00:20:34.647Z,12.3,,,,,,55
2017-12-26T00:20:43.663Z,12.3,,,,,,55
2017-12-26T00:20:53.663Z,12.3,,,,,,55
2017-12-26T00:21:03.663Z,12.3,,,,,,55
2017-12-26T00:21:13.663Z,12.3,,,,,,55
2017-12-26T00:21:23.673Z,12.3,,,,,,55
2017-12-26T00:21:33.663Z,12.3,,,,,,55
2017-12-26T00:21:43.663Z,12.3,,,,,,55
2017-12-26T00:21:53.665Z,12.3,,,,,,55
2017-12-26T00:22:03.662Z,12.3,,,,,,55
2017-12-26T00:22:13.663Z,12.3,,,,,,55
2017-12-26T00:22:23.673Z,12.3,,,,,,55
2017-12-26T00:22:33.663Z,12.3,,,,,,55
2017-12-26T00:22:43.663Z,12.3,,,,,,55
2017-12-26T00:22:53.662Z,12.3,,,,,,55
2017-12-26T00:23:03.663Z,12.3,,,,,,55
2017-12-26T00:23:13.664Z,12.3,,,,,,55
2017-12-26T00:23:24.660Z,12.3,,,,,,55
2017-12-26T00:23:33.663Z,12.3,,,,,,55
2017-12-26T00:23:43.664Z,12.3,,,,,,55
2017-12-26T00:23:53.665Z,12.3,,,,,,55
2017-12-26T00:24:03.664Z,12.3,,,,,,55
2017-12-26T00:24:13.663Z,12.3,,,,,,55
2017-12-26T00:24:23.663Z,12.3,,,,,,55
2017-12-26T00:24:33.666Z,12.3,,,,,,55
2017-12-26T00:24:43.663Z,12.3,,,,,,55
2017-12-26T00:25:03.663Z,12.3,,,,,,55
2017-12-26T00:25:13.663Z,12.3,,,,,,55
2017-12-26T00:25:23.664Z,12.3,,,,,,55
2017-12-26T00:25:33.663Z,12.3,,,,,,55
2017-12-26T00:25:43.664Z,12.3,,,,,,55
2017-12-26T00:25:53.666Z,12.3,,,,,,55
2017-12-26T00:26:03.663Z,12.3,,,,,,55
2017-12-26T00:26:18.684Z,12.3,,,,,,55
2017-12-26T00:26:23.663Z,12.3,,,,,,55
2017-12-26T00:26:33.664Z,12.3,,,,,,55
2017-12-26T00:26:43.664Z,12.3,,,,,,55
2017-12-26T00:26:53.663Z,12.3,,,,,,55
2017-12-26T00:27:03.663Z,12.3,,,,,,55
2017-12-26T00:27:13.665Z,12.3,,,,,,55
2017-12-26T00:27:23.673Z,12.3,,,,,,55
2017-12-26T00:27:33.663Z,12.3,,,,,,55
2017-12-26T00:27:43.664Z,12.3,,,,,,55
2017-12-26T00:27:53.664Z,12.3,,,,,,55
2017-12-26T00:28:03.666Z,12.3,,,,,,55
2017-12-26T00:28:13.663Z,12.3,,,,,,55
2017-12-26T00:28:23.670Z,12.3,,,,,,55
2017-12-26T00:28:33.665Z,12.3,,,,,,55
2017-12-26T00:28:43.664Z,12.3,,,,,,55
2017-12-26T00:28:53.663Z,12.3,,,,,,55
2017-12-26T00:29:09.008Z,12.3,,,,,,55
2017-12-26T00:29:13.664Z,12.3,,,,,,55
2017-12-26T00:29:23.670Z,12.3,,,,,,55
2017-12-26T00:29:33.663Z,12.3,,,,,,55
2017-12-26T00:29:43.664Z,12.3,,,,,,55
2017-12-26T00:29:53.668Z,12.3,,,,,,55
2017-12-26T00:30:03.664Z,12.3,,,,,,55
2017-12-26T00:30:13.664Z,12.3,,,,,,55
2017-12-26T00:30:23.671Z,12.3,,,,,,55
2017-12-26T00:30:33.670Z,12.3,,,,,,55
2017-12-26T00:30:43.666Z,12.3,,,,,,55
2017-12-26T00:30:53.666Z,12.3,,,,,,55
2017-12-26T00:31:03.664Z,12.3,,,,,,55
2017-12-26T00:31:13.668Z,12.3,,,,,,55
2017-12-26T00:31:23.665Z,12.3,,,,,,55
2017-12-26T00:31:33.664Z,12.3,,,,,,55
2017-12-26T00:31:43.664Z,12.3,,,,,,55
2017-12-26T00:31:58.934Z,12.3,,,,,,55
2017-12-26T00:32:03.664Z,12.3,,,,,,55
2017-12-26T00:32:13.664Z,12.3,,,,,,55
2017-12-26T00:32:23.672Z,12.3,,,,,,55
2017-12-26T00:32:33.666Z,12.3,,,,,,55
2017-12-26T00:32:43.666Z,12.3,,,,,,55
2017-12-26T00:32:53.669Z,12.3,,,,,,55
2017-12-26T00:33:03.668Z,12.3,,,,,,55
2017-12-26T00:33:13.664Z,12.3,,,,,,55
2017-12-26T00:33:23.671Z,12.3,,,,,,55
2017-12-26T00:33:33.666Z,12.3,,,,,,55
2017-12-26T00:33:43.667Z,12.3,,,,,,55
2017-12-26T00:33:53.665Z,12.3,,,,,,55
2017-12-26T00:34:03.667Z,12.3,,,,,,55
2017-12-26T00:34:13.664Z,12.3,,,,,,55
2017-12-26T00:34:23.675Z,12.3,,,,,,55
2017-12-26T00:34:33.665Z,12.3,,,,,,55
2017-12-26T00:34:43.665Z,12.3,,,,,,55
2017-12-26T00:34:53.667Z,12.3,,,,,,55
2017-12-26T00:35:03.664Z,12.3,,,,,,55
2017-12-26T00:35:13.673Z,12.3,,,,,,55
2017-12-26T00:35:23.664Z,12.3,,,,,,55
2017-12-26T00:35:33.665Z,12.3,,,,,,55
2017-12-26T00:35:43.668Z,12.3,,,,,,55
2017-12-26T00:35:53.669Z,12.3,,,,,,55
2017-12-26T00:36:03.666Z,12.3,,,,,,55
2017-12-26T00:36:14.657Z,12.3,,,,,,55
2017-12-26T00:36:23.677Z,12.3,,,,,,55
2017-12-26T00:36:33.664Z,12.3,,,,,,55
2017-12-26T00:36:43.665Z,12.3,,,,,,55
2017-12-26T00:36:53.665Z,12.3,,,,,,55
2017-12-26T00:37:03.665Z,12.3,,,,,,55
2017-12-26T00:37:13.665Z,12.3,,,,,,55
2017-12-26T00:37:23.674Z,12.3,,,,,,55
2017-12-26T00:37:33.665Z,12.3,,,,,,55
2017-12-26T00:37:43.665Z,12.3,,,,,,55
2017-12-26T00:37:53.669Z,12.3,,,,,,55
2017-12-26T00:38:03.667Z,12.3,,,,,,55
2017-12-26T00:38:13.665Z,12.3,,,,,,55
2017-12-26T00:38:23.675Z,12.3,,,,,,55
2017-12-26T00:38:33.665Z,12.3,,,,,,55
2017-12-26T00:38:43.665Z,12.3,,,,,,55
2017-12-26T00:38:53.665Z,12.3,,,,,,55
2017-12-26T00:39:04.661Z,12.3,,,,,,55
2017-12-26T00:39:13.667Z,12.3,,,,,,55
2017-12-26T00:39:23.678Z,12.3,,,,,,55
2017-12-26T00:39:33.665Z,12.3,,,,,,55
2017-12-26T00:39:43.665Z,12.3,,,,,,55
2017-12-26T00:39:53.665Z,12.3,,,,,,55
2017-12-26T00:40:03.666Z,12.3,,,,,,55
2017-12-26T00:40:13.665Z,12.3,,,,,,55
2017-12-26T00:40:23.679Z,12.3,,,,,,55
2017-12-26T00:40:33.670Z,12.3,,,,,,55
2017-12-26T00:40:43.665Z,12.3,,,,,,55
2017-12-26T00:40:53.665Z,12.3,,,,,,55
2017-12-26T00:41:03.665Z,12.3,,,,,,55
2017-12-26T00:41:13.666Z,12.3,,,,,,55
2017-12-26T00:41:23.665Z,12.3,,,,,,55
2017-12-26T00:41:33.669Z,12.3,,,,,,55
2017-12-26T00:41:43.666Z,12.3,,,,,,55
2017-12-26T00:41:54.665Z,12.3,,,,,,55
2017-12-26T00:42:03.666Z,12.3,,,,,,55
2017-12-26T00:42:13.666Z,12.3,,,,,,55
2017-12-26T00:42:23.665Z,12.3,,,,,,55
2017-12-26T00:42:33.666Z,12.3,,,,,,55
2017-12-26T00:42:43.665Z,12.3,,,,,,55
2017-12-26T00:42:53.666Z,12.3,,,,,,55
2017-12-26T00:43:03.665Z,12.3,,,,,,55
2017-12-26T00:43:13.668Z,12.3,,,,,,55
2017-12-26T00:43:23.666Z,12.3,,,,,,55
2017-12-26T00:43:33.666Z,12.3,,,,,,55
2017-12-26T00:43:43.666Z,12.3,,,,,,55
2017-12-26T00:43:53.666Z,12.3,,,,,,55
2017-12-26T00:44:03.669Z,12.3,,,,,,55
2017-12-26T00:44:13.665Z,12.3,,,,,,55
2017-12-26T00:44:23.666Z,12.3,,,,,,55
2017-12-26T00:44:33.667Z,12.3,,,,,,55
2017-12-26T00:44:48.690Z,12.3,,,,,,55
2017-12-26T00:44:53.665Z,12.3,,,,,,55
2017-12-26T00:45:03.666Z,12.3,,,,,,55
2017-12-26T00:45:13.666Z,12.3,,,,,,55
2017-12-26T00:45:23.666Z,12.3,,,,,,55
2017-12-26T00:45:33.666Z,12.3,,,,,,55
2017-12-26T00:45:43.666Z,12.3,,,,,,55
2017-12-26T00:45:53.671Z,12.3,,,,,,55
2017-12-26T00:46:03.666Z,12.3,,,,,,55
2017-12-26T00:46:14.073Z,12.3,,,,,,55
2017-12-26T00:46:23.666Z,12.3,,,,,,55
2017-12-26T00:46:33.666Z,12.3,,,,,,55
2017-12-26T00:46:43.666Z,12.3,,,,,,55
2017-12-26T00:46:53.666Z,12.3,,,,,,55
2017-12-26T00:47:03.666Z,12.1,,,,,,55
2017-12-26T00:47:13.666Z,12.3,,,,,,55
2017-12-26T00:47:23.677Z,12.3,,,,,,55
2017-12-26T00:47:38.686Z,12.3,,,,,,55
2017-12-26T00:47:43.670Z,12.3,,,,,,55
2017-12-26T00:47:53.666Z,12.3,,,,,,55
2017-12-26T00:48:03.666Z,12.3,,,,,,55
2017-12-26T00:48:13.666Z,12.3,,,,,,55
2017-12-26T00:48:23.666Z,12.3,,,,,,55
2017-12-26T00:48:33.666Z,12.3,,,,,,55
2017-12-26T00:48:43.666Z,12.3,,,,,,55
2017-12-26T00:48:53.666Z,12.3,,,,,,55
2017-12-26T00:49:03.667Z,12.3,,,,,,55
2017-12-26T00:49:13.667Z,12.3,,,,,,55
2017-12-26T00:49:23.667Z,12.3,,,,,,55
2017-12-26T00:49:33.666Z,12.3,,,,,,55
2017-12-26T00:49:43.666Z,12.3,,,,,,55
2017-12-26T00:49:53.669Z,12.3,,,,,,55
2017-12-26T00:50:03.666Z,12.3,,,,,,55
2017-12-26T00:50:13.667Z,12.3,,,,,,55
2017-12-26T00:50:23.667Z,12.3,,,,,,55
2017-12-26T00:50:33.666Z,12.3,,,,,,55
2017-12-26T00:50:43.668Z,12.1,,,,,,55
2017-12-26T00:50:53.666Z,12.3,,,,,,55
2017-12-26T00:51:03.667Z,12.3,,,,,,55
2017-12-26T00:51:13.667Z,12.3,,,,,,55
2017-12-26T00:51:23.668Z,12.3,,,,,,55
2017-12-26T00:51:33.667Z,12.1,,,,,,55
2017-12-26T00:51:43.670Z,12.3,,,,,,55
2017-12-26T00:51:53.667Z,12.3,,,,,,55
2017-12-26T00:52:03.892Z,12.3,,,,,,55
2017-12-26T00:52:13.667Z,12.3,,,,,,55
2017-12-26T00:52:23.667Z,12.3,,,,,,55
2017-12-26T00:52:33.667Z,12.1,,,,,,55
2017-12-26T00:52:43.667Z,12.3,,,,,,55
