Time,HwActive,PrimTSet,ChActive,HwTOutlet,ActPow,HwTSet,PrimT
2017-11-25T00:17:39.874Z,,,,45.7,,55,
2017-11-25T00:17:49.874Z,,,,45.6,,55,
2017-11-25T00:18:01.759Z,,,,45.6,,55,
2017-11-25T00:18:09.875Z,,,,45.5,,55,
2017-11-25T00:18:19.874Z,,,,45.5,,55,
2017-11-25T00:18:29.875Z,,,,45.3,,55,
2017-11-25T00:18:39.874Z,,,,45.3,,55,
2017-11-25T00:18:49.876Z,,,,45.2,,55,
2017-11-25T00:18:59.874Z,,,,45.2,,55,
2017-11-25T00:19:09.878Z,,,,45.1,,55,
2017-11-25T00:19:19.875Z,,,,45.1,,55,
2017-11-25T00:19:29.874Z,,,,45.1,,55,
2017-11-25T00:19:39.874Z,,,,45,,55,
2017-11-25T00:19:49.874Z,,,,45,,55,
2017-11-25T00:19:59.874Z,,,,44.9,,55,
2017-11-25T00:20:09.874Z,,,,44.9,,55,
2017-11-25T00:20:19.875Z,,,,44.8,,55,
2017-11-25T00:20:29.874Z,,,,44.8,,55,
2017-11-25T00:20:39.879Z,,,,44.7,,55,
2017-11-25T00:20:50.869Z,,,,44.7,,55,
2017-11-25T00:20:59.874Z,,,,44.5,,55,53.9
2017-11-25T00:21:11.160Z,,,,44.5,,55,
2017-11-25T00:21:19.874Z,,,,44.4,,55,
2017-11-25T00:21:29.874Z,,,,44.4,,55,
2017-11-25T00:21:39.874Z,,,,44.3,,55,
2017-11-25T00:21:49.878Z,,,,44.3,,55,
2017-11-25T00:21:59.878Z,,,,44.3,,55,
2017-11-25T00:22:09.874Z,,,,44.2,,55,
2017-11-25T00:22:19.876Z,,,,44.2,,55,
2017-11-25T00:22:29.875Z,,,,44.1,,55,
2017-11-25T00:22:39.874Z,,,,44.1,,55,
2017-11-25T00:22:49.876Z,,,,44,,55,
2017-11-25T00:22:59.875Z,,,,44,,55,53.8
2017-11-25T00:23:09.875Z,,,,43.9,,55,
2017-11-25T00:23:19.874Z,,,,43.9,,55,
2017-11-25T00:23:29.878Z,,,,43.9,,55,
2017-11-25T00:23:40.873Z,,,,43.7,,55,
2017-11-25T00:23:49.880Z,,,,43.7,,55,
2017-11-25T00:23:59.879Z,,,,43.6,,55,
2017-11-25T00:24:09.874Z,,,,43.6,,55,
2017-11-25T00:24:19.877Z,,,,43.6,,55,
2017-11-25T00:24:29.875Z,,,,43.5,,55,53.7
2017-11-25T00:24:39.875Z,,,,43.5,,55,
2017-11-25T00:24:49.875Z,,,,43.4,,55,
2017-11-25T00:24:59.875Z,,,,43.4,,55,
2017-11-25T00:25:09.875Z,,,,43.3,,55,
2017-11-25T00:25:19.875Z,,,,43.3,,55,
2017-11-25T00:25:29.875Z,,,,43.3,,55,
2017-11-25T00:25:39.880Z,,,,43.2,,55,53.6
2017-11-25T00:25:49.875Z,,,,43.2,,55,53.7
