Time,PrimTSet,ActPow,ChActive,HwTOutlet,HwTSet,HwActive,PrimT
2017-12-21T00:18:33.648Z,,,,14.9,55,,17.5
2017-12-21T00:18:43.656Z,,,,14.7,55,,17.4
2017-12-21T00:18:53.648Z,,,,14.7,55,,
2017-12-21T00:19:03.648Z,,,,14.7,55,,17.5
2017-12-21T00:19:13.654Z,,,,14.7,55,,17.4
2017-12-21T00:19:28.993Z,,,,14.7,55,,
2017-12-21T00:19:33.649Z,,,,14.7,55,,
2017-12-21T00:19:43.649Z,,,,14.7,55,,
2017-12-21T00:19:53.649Z,,,,14.7,55,,
2017-12-21T00:20:03.649Z,,,,14.7,55,,
2017-12-21T00:20:13.648Z,,,,14.7,55,,
2017-12-21T00:20:23.648Z,,,,14.7,55,,
2017-12-21T00:20:33.648Z,,,,14.7,55,,
2017-12-21T00:20:43.648Z,,,,14.7,55,,
2017-12-21T00:20:54.645Z,,,,14.7,55,,
2017-12-21T00:21:03.649Z,,,,14.7,55,,
2017-12-21T00:21:13.653Z,,,,14.7,55,,
2017-12-21T00:21:23.649Z,,,,14.7,55,,
2017-12-21T00:21:33.649Z,,,,14.7,55,,
2017-12-21T00:21:43.650Z,,,,14.7,55,,
2017-12-21T00:21:53.649Z,,,,14.7,55,,
2017-12-21T00:22:03.650Z,,,,14.7,55,,
2017-12-21T00:22:13.649Z,,,,14.7,55,,
2017-12-21T00:22:23.649Z,,,,14.7,55,,
2017-12-21T00:22:33.649Z,,,,14.7,55,,
2017-12-21T00:22:43.649Z,,,,14.7,55,,
2017-12-21T00:22:53.649Z,,,,14.7,55,,
2017-12-21T00:23:03.649Z,,,,14.7,55,,
2017-12-21T00:23:13.649Z,,,,14.7,55,,
2017-12-21T00:23:23.649Z,,,,14.7,55,,
2017-12-21T00:23:33.649Z,,,,14.7,55,,
2017-12-21T00:23:44.649Z,,,,14.7,55,,
2017-12-21T00:23:53.649Z,,,,14.7,55,,
2017-12-21T00:24:03.649Z,,,,14.7,55,,
2017-12-21T00:24:13.649Z,,,,14.7,55,,
2017-12-21T00:24:23.649Z,,,,14.7,55,,
2017-12-21T00:24:33.651Z,,,,14.7,55,,
2017-12-21T00:24:43.649Z,,,,14.7,55,,
2017-12-21T00:24:53.653Z,,,,14.7,55,,
