Time,PrimT,ChActive,PrimTSet,ActPow,HwTSet,HwTOutlet,HwActive
2018-01-17T00:19:25.026Z,68.9,,,,55,61.2,
2018-01-17T00:19:40.046Z,67.3,,,,55,61,
2018-01-17T00:19:45.028Z,66.9,,,,55,61,
2018-01-17T00:19:55.026Z,65.9,,,,55,60.9,
2018-01-17T00:20:05.026Z,65.4,,,,55,60.8,
2018-01-17T00:20:15.026Z,65.5,,,,,,
2018-01-17T00:20:25.026Z,65.9,,,,55,60.7,
2018-01-17T00:20:35.027Z,66,,,,55,60.7,
2018-01-17T00:20:45.026Z,65.9,,,,55,60.6,
2018-01-17T00:20:55.027Z,,,,,55,60.3,
2018-01-17T00:21:05.026Z,66,,,31,,,
2018-01-17T00:21:15.026Z,66.3,,,33,55,60.3,
2018-01-17T00:21:25.026Z,66.5,,,34,55,60.1,
2018-01-17T00:21:35.027Z,67.1,,,35,,,
2018-01-17T00:21:45.034Z,67.3,,,37,55,60,
2018-01-17T00:21:55.131Z,,,,,55,59.9,
2018-01-17T00:22:05.036Z,67.6,,,38,,,
2018-01-17T00:22:15.026Z,68.1,,,,55,59.8,
2018-01-17T00:22:30.184Z,68.2,,,,55,59.7,
2018-01-17T00:22:35.026Z,68.3,,,,,,
2018-01-17T00:22:45.027Z,68.5,,,,55,59.7,
2018-01-17T00:22:55.026Z,68.6,,,,55,59.5,
2018-01-17T00:23:05.026Z,,,,,55,59.4,
2018-01-17T00:23:15.026Z,68.7,,,36,55,59.4,
2018-01-17T00:23:25.026Z,,,,,55,59.3,
2018-01-17T00:23:35.026Z,,,,,55,59.3,
2018-01-17T00:23:45.027Z,,,,,55,59.3,
2018-01-17T00:23:55.026Z,68.8,,,,55,59.2,
2018-01-17T00:24:05.027Z,,,,,55,59.1,
2018-01-17T00:24:15.026Z,,,,34,,,
2018-01-17T00:24:25.026Z,,,,,55,59.1,
2018-01-17T00:24:35.027Z,,,,,55,59.1,
2018-01-17T00:24:45.027Z,68.7,,,,55,59.1,
2018-01-17T00:24:55.026Z,68.8,,,,55,59.1,
2018-01-17T00:25:05.026Z,69,,,32,55,59.1,
2018-01-17T00:25:15.026Z,68.8,,,,55,59.1,
2018-01-17T00:25:25.028Z,,,,,55,59,
2018-01-17T00:25:35.026Z,68.7,,,33,55,59,
2018-01-17T00:25:45.026Z,69,,,34,55,59,
2018-01-17T00:25:55.026Z,69.1,,,36,55,59,
2018-01-17T00:26:05.026Z,69.2,,,,55,59,
2018-01-17T00:26:15.026Z,69.6,,,35,55,59,
2018-01-17T00:26:25.026Z,,,,,55,59,
2018-01-17T00:26:35.027Z,,,,,55,59,
2018-01-17T00:26:45.027Z,,,,,55,59,
2018-01-17T00:26:55.028Z,,,,,55,59,
2018-01-17T00:27:05.027Z,69.7,,,,55,59,
2018-01-17T00:27:15.028Z,,,,,55,59,
2018-01-17T00:27:25.027Z,70,,,36,55,59,
2018-01-17T00:27:35.027Z,,,,,55,59,
2018-01-17T00:27:45.030Z,70.1,,,,55,59,
2018-01-17T00:27:55.026Z,70.3,,,,55,59,
2018-01-17T00:28:05.029Z,,,,,55,59,
2018-01-17T00:28:15.026Z,,,,,55,59,
2018-01-17T00:28:25.027Z,70.4,,,,55,59,
2018-01-17T00:28:35.026Z,,,,,55,59,
2018-01-17T00:28:45.028Z,70.5,,,,55,59,
2018-01-17T00:28:55.027Z,,,,,55,59,
2018-01-17T00:29:05.027Z,,,,,55,59.1,
2018-01-17T00:29:15.027Z,70.7,,,35,55,59.1,
2018-01-17T00:29:25.029Z,,,,,55,59.1,
2018-01-17T00:29:35.028Z,70.5,,,,55,59.1,
2018-01-17T00:29:45.027Z,70.7,,,,55,59.1,
2018-01-17T00:29:55.027Z,,,,,55,59.1,
2018-01-17T00:30:05.027Z,,,,,55,59.1,
2018-01-17T00:30:15.027Z,,,,,55,59.1,
2018-01-17T00:30:25.028Z,70.8,,,36,55,59.1,
2018-01-17T00:30:35.027Z,71.1,,,37,55,59.1,
2018-01-17T00:30:45.028Z,,,,,55,59.1,
2018-01-17T00:30:55.027Z,71.2,,,38,55,59.1,
2018-01-17T00:31:05.027Z,71.4,,,39,55,59.1,
2018-01-17T00:31:15.027Z,71.6,,,,55,59.1,
2018-01-17T00:31:25.027Z,71.8,,,40,55,59.1,
2018-01-17T00:31:35.027Z,72,,,,55,59.1,
2018-01-17T00:31:45.028Z,,,,41,55,59.2,
