Time,PrimTSet,HwActive,HwTOutlet,HwTSet,ChActive,ActPow,PrimT
2018-02-08T00:00:04.252Z,,,38.9,55,,,
2018-02-08T00:00:14.252Z,,,38.9,55,,,
2018-02-08T00:00:24.251Z,,,38.8,55,,,55.8
2018-02-08T00:00:34.253Z,,,38.8,55,,,
2018-02-08T00:00:44.252Z,,,38.6,55,,,
2018-02-08T00:00:54.252Z,,,38.6,55,,,
2018-02-08T00:01:04.261Z,,,38.5,55,,,55.7
2018-02-08T00:01:14.280Z,,,38.5,55,,,
2018-02-08T00:01:24.252Z,,,38.4,55,,,
2018-02-08T00:01:34.254Z,,,38.4,55,,,
2018-02-08T00:01:54.252Z,,,38.3,55,,,55.6
2018-02-08T00:02:04.252Z,,,38.3,55,,,
2018-02-08T00:02:14.252Z,,,38.1,55,,,
2018-02-08T00:02:24.253Z,,,38.1,55,,,55.5
2018-02-08T00:02:35.250Z,,,38,55,,,
2018-02-08T00:02:44.252Z,,,38,55,,,
2018-02-08T00:02:54.252Z,,,37.9,55,,,
2018-02-08T00:03:04.252Z,,,37.9,55,,,55.3
2018-02-08T00:03:14.253Z,,,37.9,55,,,
2018-02-08T00:03:24.256Z,,,37.8,55,,,
2018-02-08T00:03:34.253Z,,,37.8,55,,,
2018-02-08T00:03:44.252Z,,,37.7,55,,,55.2
2018-02-08T00:03:54.252Z,,,37.7,55,,,
2018-02-08T00:04:04.252Z,,,37.5,55,,,
2018-02-08T00:04:14.252Z,,,37.5,55,,,
2018-02-08T00:04:24.252Z,,,37.4,55,,,55.1
2018-02-08T00:04:34.256Z,,,37.4,55,,,
2018-02-08T00:04:44.252Z,,,37.4,55,,,
2018-02-08T00:04:54.252Z,,,37.3,55,,,
2018-02-08T00:05:04.255Z,,,37.3,55,,,55
2018-02-08T00:05:14.252Z,,,37.2,55,,,
2018-02-08T00:05:29.273Z,,,37.2,55,,,
2018-02-08T00:05:34.253Z,,,37,55,,,54.9
2018-02-08T00:05:44.253Z,,,37,55,,,54.9
2018-02-08T00:05:55.244Z,,,36.9,55,,,
2018-02-08T00:06:04.254Z,,,36.9,55,,,
2018-02-08T00:06:14.252Z,,,36.9,55,,,
2018-02-08T00:06:24.254Z,,,36.8,55,,,54.8
2018-02-08T00:06:34.252Z,,,36.8,55,,,
2018-02-08T00:06:44.252Z,,,36.8,55,,,
2018-02-08T00:06:54.403Z,,,36.7,55,,,
2018-02-08T00:07:04.252Z,,,36.7,55,,,
2018-02-08T00:07:14.252Z,,,36.5,55,,,54.7
2018-02-08T00:07:24.254Z,,,36.5,55,,,
2018-02-08T00:07:34.253Z,,,36.4,55,,,
2018-02-08T00:07:44.253Z,,,36.4,55,,,
2018-02-08T00:07:54.253Z,,,36.4,55,,,54.6
2018-02-08T00:08:04.253Z,,,36.3,55,,,
2018-02-08T00:08:14.252Z,,,36.3,55,,,
2018-02-08T00:08:24.255Z,,,36.2,55,,,
2018-02-08T00:08:34.253Z,,,36.2,55,,,54.4
2018-02-08T00:08:44.253Z,,,36.2,55,,,
2018-02-08T00:08:54.253Z,,,36,55,,,
2018-02-08T00:09:04.253Z,,,36,55,,,
2018-02-08T00:09:14.253Z,,,35.9,55,,,54.3
2018-02-08T00:09:24.253Z,,,35.9,55,,,
2018-02-08T00:09:34.253Z,,,35.9,55,,,
2018-02-08T00:09:44.253Z,,,35.8,55,,,
2018-02-08T00:09:54.253Z,,,35.8,55,,,54.2
2018-02-08T00:10:04.253Z,,,35.7,55,,,
2018-02-08T00:10:14.253Z,,,35.7,55,,,
2018-02-08T00:10:24.252Z,,,35.7,55,,,
2018-02-08T00:10:34.253Z,,,35.6,55,,,54.1
2018-02-08T00:10:44.253Z,,,35.6,55,,,
2018-02-08T00:10:54.253Z,75,0,35.4,55,2,,
2018-02-08T00:11:04.254Z,,,35.4,55,,,
2018-02-08T00:11:14.291Z,5,0,35.4,55,0,,54
2018-02-08T00:11:24.257Z,75,0,35.3,55,2,,
2018-02-08T00:11:34.273Z,,,35.3,55,,,
2018-02-08T00:11:44.253Z,,,35.3,55,,,
2018-02-08T00:11:54.275Z,,,35.2,55,,,
2018-02-08T00:12:04.280Z,,,35.2,55,,,53.9
2018-02-08T00:12:14.280Z,,,35.2,55,,,
2018-02-08T00:12:24.254Z,,,35.1,55,,,
2018-02-08T00:12:34.342Z,,,35.1,55,,,
2018-02-08T00:12:44.253Z,,,34.9,55,,,53.8
2018-02-08T00:12:54.269Z,,,34.9,55,,,
2018-02-08T00:13:04.269Z,,,34.9,55,,,
2018-02-08T00:13:14.279Z,,,34.8,55,,,
2018-02-08T00:13:24.256Z,,,34.8,55,,,53.7
2018-02-08T00:13:34.253Z,,,34.8,55,,,
2018-02-08T00:13:44.256Z,,,34.7,55,,,
2018-02-08T00:13:54.254Z,,,34.7,55,,,
2018-02-08T00:14:04.253Z,,,34.6,55,,,53.6
2018-02-08T00:14:14.253Z,5,0,,,0,,
2018-02-08T00:14:24.254Z,75,0,34.6,55,2,,
2018-02-08T00:14:34.253Z,,0,34.4,55,2,80,55.2
2018-02-08T00:14:44.254Z,,,34.4,55,,54,52.3
2018-02-08T00:14:54.254Z,,,34.4,55,,29,46.6
2018-02-08T00:15:04.254Z,,,34.3,55,,,39.6
2018-02-08T00:15:14.255Z,,,34.3,55,,,35.6
2018-02-08T00:15:25.249Z,,,34.3,55,,,32.6
2018-02-08T00:15:34.253Z,,,34.2,55,,,32.1
2018-02-08T00:15:44.254Z,,,34.2,55,,,33
2018-02-08T00:15:54.256Z,,,34.2,55,,,34.1
2018-02-08T00:16:04.254Z,,,34.1,55,,,34.5
2018-02-08T00:16:14.255Z,,,34.1,55,,,
2018-02-08T00:16:24.256Z,,,34,55,,,34.4
2018-02-08T00:16:34.254Z,,,34,55,,,34.6
2018-02-08T00:16:44.254Z,,,34,55,,,35
2018-02-08T00:16:54.254Z,,,33.8,55,,,35.5
2018-02-08T00:17:04.254Z,,,33.8,55,,,35.8
2018-02-08T00:17:14.256Z,,,33.7,55,,,36
2018-02-08T00:17:24.254Z,,,33.7,55,,,36.1
2018-02-08T00:17:34.254Z,,,33.7,55,,,36.4
2018-02-08T00:17:44.254Z,,,33.6,55,,,36.6
2018-02-08T00:17:54.254Z,,,33.6,55,,,37
2018-02-08T00:18:04.254Z,,,33.6,55,,,
2018-02-08T00:18:15.256Z,,,33.5,55,,,37.4
