Time,PrimT,HwActive,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-12-29T00:18:37.332Z,8.4,,,55,7.3,,
2017-12-29T00:18:47.333Z,,,,55,7.3,,
2017-12-29T00:18:57.333Z,,,,55,7.3,,
2017-12-29T00:19:07.332Z,,,,55,7.3,,
2017-12-29T00:19:17.334Z,,,,55,7.3,,
2017-12-29T00:19:27.423Z,8.2,,,55,7.3,,
2017-12-29T00:19:37.336Z,8.4,,,55,7.3,,
2017-12-29T00:19:48.474Z,,,,55,7.3,,
2017-12-29T00:19:57.333Z,8.2,,,55,7.3,,
2017-12-29T00:20:07.333Z,,,,55,7.3,,
2017-12-29T00:20:17.333Z,,,,55,7.3,,
2017-12-29T00:20:27.423Z,,,,55,7.3,,
2017-12-29T00:20:37.334Z,,,,55,7.3,,
2017-12-29T00:20:47.334Z,8.4,,,55,7.3,,
2017-12-29T00:20:57.335Z,8.2,,,55,7.3,,
2017-12-29T00:21:07.333Z,8.4,,,55,7.3,,
2017-12-29T00:21:17.334Z,,,,55,7.3,,
2017-12-29T00:21:27.422Z,8.2,,,55,7.3,,
2017-12-29T00:21:37.333Z,,,,55,7.3,,
2017-12-29T00:21:47.332Z,,,,55,7.3,,
2017-12-29T00:21:57.334Z,8.4,,,55,7.3,,
2017-12-29T00:22:07.333Z,,,,55,7.3,,
2017-12-29T00:22:17.333Z,8.2,,,55,7.3,,
2017-12-29T00:22:27.423Z,8.4,,,55,7.3,,
2017-12-29T00:22:42.353Z,8.2,,,55,7.3,,
2017-12-29T00:22:47.335Z,,,,55,7.3,,
2017-12-29T00:22:57.335Z,,,,55,7.3,,
2017-12-29T00:23:07.333Z,,,,55,7.3,,
2017-12-29T00:23:17.334Z,,,,55,7.3,,
2017-12-29T00:23:27.423Z,,,,55,7.3,,
2017-12-29T00:23:37.333Z,,,,55,7.3,,
2017-12-29T00:23:47.333Z,,,,55,7.3,,
2017-12-29T00:23:57.333Z,,,,55,7.3,,
2017-12-29T00:24:07.333Z,8.4,,,55,7.3,,
2017-12-29T00:24:17.334Z,8.2,,,55,7.3,,
2017-12-29T00:24:27.423Z,,,,55,7.3,,
2017-12-29T00:24:37.335Z,,,,55,7.3,,
2017-12-29T00:24:47.338Z,,,,55,7.3,,
2017-12-29T00:24:57.333Z,,,,55,7.3,,
2017-12-29T00:25:07.334Z,,,,55,7.3,,
2017-12-29T00:25:17.333Z,,,,55,7.3,,
2017-12-29T00:25:33.006Z,,,,55,7.3,,
2017-12-29T00:25:37.334Z,,,,55,7.3,,
2017-12-29T00:25:47.335Z,,,,55,7.3,,
2017-12-29T00:25:57.334Z,,,,55,7.3,,
2017-12-29T00:26:07.334Z,,,,55,7.3,,
2017-12-29T00:26:17.337Z,,,,55,7.3,,
2017-12-29T00:26:27.414Z,,,,55,7.3,,
2017-12-29T00:26:37.334Z,,,,55,7.3,,
2017-12-29T00:26:47.334Z,,,,55,7.3,,
2017-12-29T00:26:57.334Z,,,,55,7.3,,
2017-12-29T00:27:07.334Z,,,,55,7.3,,
2017-12-29T00:27:17.334Z,,,,55,7.3,,
2017-12-29T00:27:27.413Z,,,,55,7.3,,
2017-12-29T00:27:37.336Z,,,,55,7.3,,
2017-12-29T00:27:47.334Z,,,,55,7.3,,
2017-12-29T00:27:57.334Z,,,,55,7.3,,
2017-12-29T00:28:07.385Z,,,,55,7.3,,
2017-12-29T00:28:17.348Z,,,,55,7.3,,
2017-12-29T00:28:27.434Z,,,,55,7.3,,
2017-12-29T00:28:37.334Z,,,,55,7.3,,
2017-12-29T00:28:47.334Z,,,,55,7.3,,
2017-12-29T00:28:57.334Z,,,,55,7.3,,
2017-12-29T00:29:07.334Z,,,,55,7.3,,
2017-12-29T00:29:17.334Z,,,,55,7.3,,
2017-12-29T00:29:27.428Z,,,,55,7.3,,
2017-12-29T00:29:37.334Z,,,,55,7.3,,
2017-12-29T00:29:48.325Z,,,,55,7.3,,
2017-12-29T00:29:57.335Z,,,,55,7.3,,
2017-12-29T00:30:07.338Z,,,,55,7.3,,
2017-12-29T00:30:17.334Z,,,,55,7.3,,
2017-12-29T00:30:27.425Z,,,,55,7.3,,
2017-12-29T00:30:37.335Z,,,,55,7.3,,
2017-12-29T00:30:47.334Z,,,,55,7.3,,
2017-12-29T00:30:57.334Z,,,,55,7.3,,
2017-12-29T00:31:07.334Z,,,,55,7.3,,
2017-12-29T00:31:17.334Z,,,,55,7.3,,
2017-12-29T00:31:27.424Z,,,,55,7.3,,
2017-12-29T00:31:37.336Z,,,,55,7.3,,
2017-12-29T00:31:47.335Z,,,,55,7.3,,
2017-12-29T00:31:57.334Z,,,,55,7.3,,
2017-12-29T00:32:07.334Z,,,,55,7.3,,
2017-12-29T00:32:17.334Z,,,,55,7.3,,
2017-12-29T00:32:27.424Z,,,,55,7.3,,
2017-12-29T00:32:38.339Z,,,,55,7.3,,
2017-12-29T00:32:47.335Z,,,,55,7.3,,
2017-12-29T00:32:57.334Z,,,,55,7.3,,
2017-12-29T00:33:07.335Z,,,,55,7.3,,
2017-12-29T00:33:17.335Z,,,,55,7.3,,
2017-12-29T00:33:27.424Z,,,,55,7.3,,
2017-12-29T00:33:37.335Z,,,,55,7.3,,
2017-12-29T00:33:47.340Z,,,,55,7.3,,
2017-12-29T00:33:57.335Z,,,,55,7.3,,
2017-12-29T00:34:07.335Z,,,,55,7.3,,
2017-12-29T00:34:17.335Z,,,,55,7.3,,
2017-12-29T00:34:27.426Z,,,,55,7.3,,
2017-12-29T00:34:37.335Z,,,,55,7.3,,
2017-12-29T00:34:47.335Z,,,,55,7.3,,
2017-12-29T00:34:57.335Z,,,,55,7.3,,
2017-12-29T00:35:07.335Z,,,,55,7.3,,
2017-12-29T00:35:17.335Z,,,,55,7.3,,
2017-12-29T00:35:28.415Z,,,,55,7.3,,
2017-12-29T00:35:37.334Z,,,,55,7.3,,
2017-12-29T00:35:47.335Z,,,,55,7.3,,
2017-12-29T00:35:57.335Z,,,,55,7.3,,
2017-12-29T00:36:07.335Z,,,,55,7.3,,
2017-12-29T00:36:17.335Z,,,,55,7.3,,
2017-12-29T00:36:27.425Z,,,,55,7.3,,
2017-12-29T00:36:37.336Z,,,,55,7.3,,
2017-12-29T00:36:47.335Z,,,,55,7.3,,
2017-12-29T00:36:57.340Z,,,,55,7.3,,
2017-12-29T00:37:07.336Z,,,,55,7.3,,
2017-12-29T00:37:17.335Z,,,,55,7.3,,
2017-12-29T00:37:27.415Z,,,,55,7.3,,
2017-12-29T00:37:37.340Z,,,,55,7.3,,
2017-12-29T00:37:47.336Z,,,,55,7.3,,
2017-12-29T00:37:57.335Z,,,,55,7.3,,
2017-12-29T00:38:07.335Z,,,,55,7.3,,
2017-12-29T00:38:18.336Z,,,,55,7.3,,
2017-12-29T00:38:27.426Z,,,,55,7.3,,
2017-12-29T00:38:37.336Z,,,,55,7.3,,
2017-12-29T00:38:47.336Z,,,,55,7.3,,
2017-12-29T00:38:57.335Z,,,,55,7.3,,
2017-12-29T00:39:07.336Z,,,,55,7.3,,
2017-12-29T00:39:17.335Z,,,,55,7.3,,
2017-12-29T00:39:27.417Z,,,,55,7.3,,
2017-12-29T00:39:37.336Z,,,,55,7.3,,
2017-12-29T00:39:47.336Z,,,,55,7.3,,
2017-12-29T00:39:57.336Z,,,,55,7.3,,
2017-12-29T00:40:07.336Z,,,,55,7.3,,
2017-12-29T00:40:17.335Z,,,,55,7.3,,
2017-12-29T00:40:27.416Z,,,,55,7.3,,
2017-12-29T00:40:37.336Z,,,,55,7.3,,
2017-12-29T00:40:47.336Z,,,,55,7.3,,
2017-12-29T00:40:57.336Z,,,,55,7.3,,
2017-12-29T00:41:12.379Z,,,,55,7.3,,
2017-12-29T00:41:17.336Z,,,,55,7.3,,
2017-12-29T00:41:27.426Z,,,,55,7.3,,
2017-12-29T00:41:37.336Z,,,,55,7.3,,
2017-12-29T00:41:47.337Z,,,,55,7.3,,
2017-12-29T00:41:57.336Z,,,,55,7.3,,
2017-12-29T00:42:07.338Z,,,,55,7.3,,
2017-12-29T00:42:17.337Z,,,,55,7.3,,
2017-12-29T00:42:27.426Z,,,,55,7.3,,
2017-12-29T00:42:37.545Z,,,,55,7.3,,
2017-12-29T00:42:47.336Z,,,,55,7.3,,
2017-12-29T00:42:57.338Z,,,,55,7.3,,
2017-12-29T00:43:07.336Z,,,,55,7.3,,
2017-12-29T00:43:17.336Z,,,,55,7.3,,
2017-12-29T00:43:27.426Z,,,,55,7.3,,
2017-12-29T00:43:37.337Z,,,,55,7.3,,
2017-12-29T00:43:47.339Z,,,,55,7.3,,
2017-12-29T00:43:57.336Z,,,,55,7.3,,
2017-12-29T00:44:07.337Z,,,,55,7.3,,
2017-12-29T00:44:17.337Z,,,,55,7.3,,
2017-12-29T00:44:27.427Z,,,,55,7.3,,
2017-12-29T00:44:37.337Z,,,,55,7.3,,
2017-12-29T00:44:47.337Z,,,,55,7.3,,
2017-12-29T00:44:57.337Z,,,,55,7.3,,
2017-12-29T00:45:07.336Z,,,,55,7.3,,
2017-12-29T00:45:17.337Z,,,,55,7.3,,
2017-12-29T00:45:27.417Z,,,,55,7.3,,
2017-12-29T00:45:37.337Z,,,,55,7.3,,
2017-12-29T00:45:47.337Z,,,,55,7.3,,
2017-12-29T00:45:57.337Z,,,,55,7.3,,
2017-12-29T00:46:07.337Z,,,,55,7.3,,
2017-12-29T00:46:17.337Z,,,,55,7.3,,
2017-12-29T00:46:27.427Z,,,,55,7.3,,
2017-12-29T00:46:37.337Z,,,,55,7.3,,
2017-12-29T00:46:47.337Z,,,,55,7.3,,
2017-12-29T00:46:57.337Z,,,,55,7.3,,
2017-12-29T00:47:07.338Z,,,,55,7.3,,
2017-12-29T00:47:17.337Z,,,,55,7.3,,
2017-12-29T00:47:27.427Z,,,,55,7.3,,
2017-12-29T00:47:37.337Z,,,,55,7.3,,
2017-12-29T00:47:47.338Z,,,,55,7.3,,
2017-12-29T00:47:57.337Z,,,,55,7.3,,
2017-12-29T00:48:07.337Z,,,,55,7.3,,
2017-12-29T00:48:18.343Z,,,,55,7,,
2017-12-29T00:48:27.427Z,,,,55,7.3,,
2017-12-29T00:48:37.338Z,,,,55,7.3,,
2017-12-29T00:48:47.337Z,,,,55,7.3,,
2017-12-29T00:48:57.337Z,,,,55,7.3,,
2017-12-29T00:49:07.344Z,,,,55,7.3,,
2017-12-29T00:49:17.337Z,,,,55,7.3,,
2017-12-29T00:49:27.437Z,,,,55,7.3,,
2017-12-29T00:49:37.337Z,,,,55,7.3,,
2017-12-29T00:49:48.329Z,,,,55,7.3,,
2017-12-29T00:49:57.337Z,,,,55,7.3,,
2017-12-29T00:50:07.338Z,,,,55,7,,
2017-12-29T00:50:17.337Z,,,,55,7.3,,
2017-12-29T00:50:27.429Z,,,,55,7.3,,
2017-12-29T00:50:37.338Z,,,,55,7.3,,
2017-12-29T00:50:47.338Z,,,,55,7.3,,
2017-12-29T00:50:57.337Z,,,,55,7.3,,
2017-12-29T00:51:08.331Z,,,,55,7.3,,
2017-12-29T00:51:17.337Z,,,,55,7.3,,
2017-12-29T00:51:27.429Z,,,,55,7.3,,
2017-12-29T00:51:37.339Z,,,,55,7.3,,
2017-12-29T00:51:47.339Z,,,,55,7.3,,
2017-12-29T00:51:57.337Z,,,,55,7.3,,
2017-12-29T00:52:07.338Z,,,,55,7.3,,
2017-12-29T00:52:17.338Z,,,,55,7.3,,
2017-12-29T00:52:27.429Z,,,,55,7.3,,
2017-12-29T00:52:37.338Z,,,,55,7.3,,
2017-12-29T00:52:47.338Z,,,,55,7.3,,
2017-12-29T00:52:57.338Z,,,,55,7.3,,
2017-12-29T00:53:07.338Z,,,,55,7,,
2017-12-29T00:53:17.338Z,,,,55,7.3,,
2017-12-29T00:53:27.428Z,,,,55,7.3,,
2017-12-29T00:53:37.338Z,,,,55,7.3,,
2017-12-29T00:53:47.338Z,,,,55,7,,
2017-12-29T00:54:02.359Z,,,,55,7,,
2017-12-29T00:54:07.339Z,,,,55,7,,
2017-12-29T00:54:17.338Z,,,,55,7.3,,
2017-12-29T00:54:27.428Z,,,,55,7.3,,
2017-12-29T00:54:37.338Z,,,,55,7.3,,
2017-12-29T00:54:47.339Z,,,,55,7.3,,
2017-12-29T00:54:57.339Z,,,,55,7.3,,
2017-12-29T00:55:07.338Z,,,,55,7.3,,
2017-12-29T00:55:17.339Z,,,,55,7.3,,
2017-12-29T00:55:27.508Z,,,,55,7.3,,
2017-12-29T00:55:37.339Z,,,,55,7.3,,
2017-12-29T00:55:47.339Z,,,,55,7.3,,
2017-12-29T00:55:57.338Z,,,,55,7.3,,
2017-12-29T00:56:07.339Z,,,,55,7.3,,
2017-12-29T00:56:17.339Z,,,,55,7.3,,
2017-12-29T00:56:27.419Z,,,,55,7,,
2017-12-29T00:56:37.339Z,,,,55,7.3,,
2017-12-29T00:56:48.550Z,,,,55,7.3,,
2017-12-29T00:56:57.339Z,,,,55,7,,
2017-12-29T00:57:07.339Z,,,,55,7,,
2017-12-29T00:57:17.338Z,,,,55,7.3,,
2017-12-29T00:57:27.429Z,,,,55,7,,
2017-12-29T00:57:37.339Z,,,,55,7.3,,
2017-12-29T00:57:47.341Z,,,,55,7.3,,
2017-12-29T00:57:57.339Z,,,,55,7,,
2017-12-29T00:58:07.339Z,,,,55,7,,
2017-12-29T00:58:17.340Z,,,,55,7,,
2017-12-29T00:58:27.429Z,,,,55,7.3,,
2017-12-29T00:58:37.339Z,,,,55,7.3,,
2017-12-29T00:58:47.340Z,,,,55,7.3,,
2017-12-29T00:58:57.339Z,,,,55,7,,
2017-12-29T00:59:07.339Z,,,,55,7.3,,
2017-12-29T00:59:17.339Z,,,,55,7.3,,
2017-12-29T00:59:27.447Z,,,,55,7,,
2017-12-29T00:59:42.708Z,,,,55,7,,
2017-12-29T00:59:47.340Z,,,,55,7.3,,
2017-12-29T00:59:57.339Z,,,,55,7,,
2017-12-29T01:00:07.363Z,,,,55,7.3,,
2017-12-29T01:00:17.345Z,,,,55,7,,
2017-12-29T01:00:27.447Z,,,,55,7,,
2017-12-29T01:00:38.319Z,,,,55,7,,
2017-12-29T01:00:47.341Z,,,,55,7,,
2017-12-29T01:00:57.340Z,,,,55,7,,
2017-12-29T01:01:07.339Z,,,,55,7,,
2017-12-29T01:01:17.345Z,,,,55,7,,
2017-12-29T01:01:27.430Z,,,,55,7,,
2017-12-29T01:01:37.373Z,,,,55,7,,
2017-12-29T01:01:47.340Z,,,,55,7,,
2017-12-29T01:01:57.340Z,,,,55,7,,
2017-12-29T01:02:07.339Z,,,,55,7,,
2017-12-29T01:02:17.340Z,,,,55,7.3,,
2017-12-29T01:02:27.434Z,,,,55,7,,
2017-12-29T01:02:37.340Z,,,,55,7,,
2017-12-29T01:02:47.340Z,,,,55,7,,
2017-12-29T01:02:57.340Z,,,,55,7,,
2017-12-29T01:03:07.342Z,8,,,55,7,,
2017-12-29T01:03:17.340Z,8.2,,,55,7,,
2017-12-29T01:03:27.420Z,,,,55,7,,
2017-12-29T01:03:37.340Z,,,,55,7.3,,
