Time,HwActive,ChActive,ActPow,PrimT,PrimTSet,HwTOutlet,HwTSet
2018-01-10T00:18:32.684Z,,,,55.9,,38.9,55
2018-01-10T00:18:42.681Z,,,,,,38.9,55
2018-01-10T00:18:52.681Z,,,,,,38.9,55
2018-01-10T00:19:02.680Z,,,,55.8,,38.8,55
2018-01-10T00:19:12.681Z,,,,,,38.8,55
2018-01-10T00:19:23.782Z,,,,,,38.6,55
2018-01-10T00:19:32.681Z,,,,,,38.6,55
2018-01-10T00:19:42.681Z,,,,55.7,,38.6,55
2018-01-10T00:19:52.682Z,,,,,,38.5,55
2018-01-10T00:20:02.681Z,,,,,,38.5,55
2018-01-10T00:20:12.681Z,,,,,,38.4,55
2018-01-10T00:20:22.681Z,,,,55.6,,38.4,55
2018-01-10T00:20:32.681Z,,,,,,38.4,55
2018-01-10T00:20:45.076Z,,,,,,38.3,55
2018-01-10T00:20:52.681Z,,,,,,38.3,55
2018-01-10T00:21:02.681Z,,,,55.5,,38.1,55
2018-01-10T00:21:12.681Z,,,,,,38.1,55
2018-01-10T00:21:22.681Z,,,,,,38,55
2018-01-10T00:21:32.682Z,,,,,,38,55
2018-01-10T00:21:42.681Z,,,,55.3,,37.9,55
2018-01-10T00:21:52.682Z,,,,,,37.9,55
2018-01-10T00:22:02.681Z,,,,,,37.9,55
2018-01-10T00:22:13.677Z,,,,,,37.8,55
2018-01-10T00:22:22.681Z,,,,55.2,,37.8,55
2018-01-10T00:22:32.683Z,,,,,,37.7,55
2018-01-10T00:22:42.681Z,,,,,,37.7,55
2018-01-10T00:22:52.681Z,,,,55.1,,37.7,55
2018-01-10T00:23:02.681Z,,,,,,37.5,55
2018-01-10T00:23:12.683Z,,,,,,37.5,55
2018-01-10T00:23:22.681Z,,,,,,37.4,55
2018-01-10T00:23:32.681Z,,,,,,37.4,55
2018-01-10T00:23:42.681Z,,,,55,,37.4,55
2018-01-10T00:23:52.683Z,,,,,,37.3,55
2018-01-10T00:24:02.682Z,,,,,,37.3,55
2018-01-10T00:24:12.681Z,,,,54.9,,37.2,55
2018-01-10T00:24:22.682Z,,,,,,37.2,55
2018-01-10T00:24:32.681Z,,,,,,37.2,55
2018-01-10T00:24:42.683Z,,,,,,37,55
2018-01-10T00:24:52.682Z,,,,,,37,55
2018-01-10T00:25:03.673Z,,,,54.8,,36.9,55
