Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTSet,HwTOutlet
2017-12-25T00:18:03.455Z,12.3,,,,,55,12.8
2017-12-25T00:18:13.457Z,12.5,,,,,55,12.8
2017-12-25T00:18:23.455Z,,,,,,55,12.8
2017-12-25T00:18:33.455Z,12.3,,,,,55,12.8
2017-12-25T00:18:43.455Z,,,,,,55,12.8
2017-12-25T00:18:54.452Z,12.5,,,,,55,12.8
2017-12-25T00:19:03.456Z,12.3,,,,,55,12.8
2017-12-25T00:19:13.455Z,12.5,,,,,55,12.8
2017-12-25T00:19:23.455Z,,,,,,55,12.8
2017-12-25T00:19:33.456Z,,,,,,55,12.8
2017-12-25T00:19:43.456Z,,,,,,55,12.8
2017-12-25T00:19:53.459Z,,,,,,55,12.8
2017-12-25T00:20:03.459Z,12.3,,,,,55,12.8
2017-12-25T00:20:13.455Z,12.5,,,,,55,12.6
2017-12-25T00:20:23.455Z,12.3,,,,,55,12.8
2017-12-25T00:20:33.455Z,12.5,,,,,55,12.8
2017-12-25T00:20:43.455Z,12.3,,,,,55,12.8
2017-12-25T00:20:53.458Z,12.5,,,,,55,12.6
2017-12-25T00:21:03.455Z,12.3,,,,,55,12.8
2017-12-25T00:21:13.455Z,12.5,,,,,55,12.8
2017-12-25T00:21:23.455Z,,,,,,55,12.6
2017-12-25T00:21:33.455Z,,,,,,55,12.8
2017-12-25T00:21:44.453Z,,,,,,55,12.6
2017-12-25T00:21:53.461Z,12.3,,,,,55,12.6
2017-12-25T00:22:03.456Z,12.5,,,,,55,12.8
2017-12-25T00:22:13.459Z,,,,,,55,12.8
2017-12-25T00:22:23.456Z,12.3,,,,,55,12.8
2017-12-25T00:22:33.456Z,,,,,,55,12.6
2017-12-25T00:22:43.455Z,,,,,,55,12.8
2017-12-25T00:22:53.455Z,,,,,,55,12.8
2017-12-25T00:23:03.463Z,,,,,,55,12.6
2017-12-25T00:23:13.456Z,,,,,,55,12.8
2017-12-25T00:23:23.456Z,12.5,,,,,55,12.8
2017-12-25T00:23:33.458Z,12.3,,,,,55,12.8
2017-12-25T00:23:43.461Z,12.5,,,,,55,12.8
2017-12-25T00:23:53.457Z,,,,,,55,12.8
2017-12-25T00:24:03.456Z,,,,,,55,12.6
2017-12-25T00:24:13.456Z,,,,,,55,12.8
2017-12-25T00:24:23.456Z,12.3,,,,,55,12.6
2017-12-25T00:24:38.484Z,12.5,,,,,55,12.6
2017-12-25T00:24:43.457Z,12.3,,,,,55,12.6
2017-12-25T00:24:53.456Z,,,,,,55,12.6
2017-12-25T00:25:03.456Z,12.5,,,,,55,12.8
2017-12-25T00:25:13.456Z,,,,,,55,12.8
2017-12-25T00:25:23.456Z,12.3,,,,,55,12.8
2017-12-25T00:25:33.456Z,,,,,,55,12.6
2017-12-25T00:25:43.462Z,12.5,,,,,55,12.8
2017-12-25T00:25:53.457Z,12.3,,,,,55,12.8
2017-12-25T00:26:04.449Z,12.5,,,,,55,12.8
2017-12-25T00:26:13.460Z,,,,,,55,12.8
2017-12-25T00:26:23.457Z,,,,,,55,12.8
2017-12-25T00:26:33.456Z,12.3,,,,,55,12.8
2017-12-25T00:26:43.459Z,12.5,,,,,55,12.8
2017-12-25T00:26:53.456Z,12.3,,,,,55,12.6
2017-12-25T00:27:03.457Z,,,,,,55,12.6
2017-12-25T00:27:13.459Z,,,,,,55,12.6
2017-12-25T00:27:28.552Z,12.5,,,,,55,12.6
2017-12-25T00:27:33.465Z,,,,,,55,12.8
2017-12-25T00:27:43.456Z,,,,,,55,12.6
2017-12-25T00:27:53.458Z,12.3,,,,,55,12.8
2017-12-25T00:28:03.462Z,12.5,,,,,55,12.6
2017-12-25T00:28:13.458Z,12.3,,,,,55,12.8
2017-12-25T00:28:23.456Z,,,,,,55,12.6
2017-12-25T00:28:33.461Z,12.5,,,,,55,12.6
2017-12-25T00:28:43.461Z,,,,,,55,12.8
2017-12-25T00:28:54.458Z,,,,,,55,12.6
2017-12-25T00:29:03.458Z,,,,,,55,12.8
2017-12-25T00:29:13.456Z,,,,,,55,12.8
2017-12-25T00:29:23.458Z,,,,,,55,12.8
2017-12-25T00:29:33.456Z,,,,,,55,12.8
2017-12-25T00:29:43.459Z,,,,,,55,12.6
2017-12-25T00:29:53.457Z,,,,,,55,12.8
2017-12-25T00:30:03.457Z,,,,,,55,12.8
2017-12-25T00:30:19.193Z,,,,,,55,12.6
2017-12-25T00:30:23.457Z,,,,,,55,12.8
2017-12-25T00:30:33.457Z,,,,,,55,12.8
2017-12-25T00:30:43.456Z,12.3,,,,,55,12.8
2017-12-25T00:30:53.457Z,,,,,,55,12.6
2017-12-25T00:31:03.459Z,12.5,,,,,55,12.8
2017-12-25T00:31:13.459Z,,,,,,55,12.8
2017-12-25T00:31:23.457Z,12.3,,,,,55,12.8
2017-12-25T00:31:33.461Z,12.5,,,,,55,12.8
2017-12-25T00:31:43.896Z,12.3,,,,,55,12.8
2017-12-25T00:31:53.462Z,,,,,,55,12.6
2017-12-25T00:32:03.457Z,12.5,,,,,55,12.8
2017-12-25T00:32:13.457Z,,,,,,55,12.8
2017-12-25T00:32:23.459Z,,,,,,55,12.6
2017-12-25T00:32:33.457Z,,,,,,55,12.8
2017-12-25T00:32:43.459Z,,,,,,55,12.8
2017-12-25T00:32:53.457Z,,,,,,55,12.8
2017-12-25T00:33:03.460Z,12.3,,,,,55,12.8
2017-12-25T00:33:13.462Z,12.5,,,,,55,12.8
2017-12-25T00:33:23.458Z,,,,,,55,12.8
2017-12-25T00:33:33.457Z,,,,,,55,12.6
2017-12-25T00:33:43.460Z,12.3,,,,,55,12.8
2017-12-25T00:33:53.457Z,12.5,,,,,55,12.6
2017-12-25T00:34:03.462Z,12.3,,,,,55,12.8
2017-12-25T00:34:13.457Z,12.5,,,,,55,12.8
2017-12-25T00:34:23.459Z,,,,,,55,12.8
2017-12-25T00:34:35.407Z,,,,,,55,12.8
2017-12-25T00:34:43.457Z,,,,,,55,12.8
2017-12-25T00:34:53.457Z,,,,,,55,12.8
2017-12-25T00:35:03.457Z,12.3,,,,,55,12.6
2017-12-25T00:35:13.463Z,,,,,,55,12.8
2017-12-25T00:35:23.462Z,,,,,,55,12.8
2017-12-25T00:35:33.457Z,12.5,,,,,55,12.6
2017-12-25T00:35:43.457Z,12.3,,,,,55,12.8
2017-12-25T00:35:53.457Z,12.5,,,,,55,12.6
2017-12-25T00:36:03.457Z,,,,,,55,12.8
2017-12-25T00:36:13.457Z,12.3,,,,,55,12.6
2017-12-25T00:36:23.458Z,12.5,,,,,55,12.8
2017-12-25T00:36:33.461Z,,,,,,55,12.6
2017-12-25T00:36:43.458Z,12.3,,,,,55,12.8
2017-12-25T00:36:53.462Z,,,,,,55,12.6
2017-12-25T00:37:03.458Z,12.5,,,,,55,12.6
2017-12-25T00:37:13.462Z,,,,,,55,12.6
2017-12-25T00:37:24.454Z,,,,,,55,12.8
2017-12-25T00:37:33.458Z,12.3,,,,,55,12.6
2017-12-25T00:37:43.458Z,,,,,,55,12.6
2017-12-25T00:37:53.458Z,12.5,,,,,55,12.8
2017-12-25T00:38:03.462Z,12.3,,,,,55,12.8
2017-12-25T00:38:13.461Z,12.5,,,,,55,12.8
2017-12-25T00:38:23.458Z,,,,,,55,12.6
2017-12-25T00:38:33.457Z,,,,,,55,12.8
2017-12-25T00:38:43.458Z,,,,,,55,12.8
2017-12-25T00:38:53.458Z,12.3,,,,,55,12.6
2017-12-25T00:39:03.458Z,12.5,,,,,55,12.8
2017-12-25T00:39:13.458Z,12.3,,,,,55,12.8
2017-12-25T00:39:23.463Z,12.5,,,,,55,12.8
2017-12-25T00:39:33.463Z,,,,,,55,12.8
2017-12-25T00:39:43.463Z,,,,,,55,12.6
2017-12-25T00:39:53.459Z,12.3,,,,,55,12.8
2017-12-25T00:40:03.463Z,12.5,,,,,55,12.6
2017-12-25T00:40:14.457Z,,,,,,55,12.8
2017-12-25T00:40:23.458Z,,,,,,55,12.8
2017-12-25T00:40:33.459Z,12.3,,,,,55,12.6
2017-12-25T00:40:43.458Z,12.5,,,,,55,12.8
2017-12-25T00:40:53.458Z,,,,,,55,12.6
2017-12-25T00:41:03.461Z,,,,,,55,12.8
2017-12-25T00:41:13.459Z,12.3,,,,,55,12.8
2017-12-25T00:41:23.459Z,,,,,,55,12.6
2017-12-25T00:41:33.463Z,12.5,,,,,55,12.6
2017-12-25T00:41:43.459Z,12.3,,,,,55,12.8
2017-12-25T00:41:53.458Z,12.5,,,,,55,12.8
2017-12-25T00:42:03.459Z,,,,,,55,12.8
2017-12-25T00:42:13.458Z,12.3,,,,,55,12.8
2017-12-25T00:42:23.458Z,12.5,,,,,55,12.8
2017-12-25T00:42:33.458Z,12.3,,,,,55,12.6
2017-12-25T00:42:43.459Z,12.5,,,,,55,12.6
2017-12-25T00:42:53.459Z,12.3,,,,,55,12.8
2017-12-25T00:43:08.484Z,,,,,,55,12.8
2017-12-25T00:43:13.459Z,12.5,,,,,55,12.6
2017-12-25T00:43:23.464Z,,,,,,55,12.6
2017-12-25T00:43:33.461Z,12.3,,,,,55,12.8
2017-12-25T00:43:43.459Z,12.5,,,,,55,12.8
2017-12-25T00:43:53.459Z,,,,,,55,12.8
2017-12-25T00:44:03.458Z,,,,,,55,12.6
2017-12-25T00:44:13.458Z,,,,,,55,12.6
2017-12-25T00:44:23.464Z,,,,,,55,12.8
2017-12-25T00:44:33.535Z,,,,,,55,12.6
2017-12-25T00:44:43.463Z,,,,,,55,12.8
2017-12-25T00:44:53.458Z,12.3,,,,,55,12.8
2017-12-25T00:45:03.459Z,12.5,,,,,55,12.8
2017-12-25T00:45:13.459Z,,,,,,55,12.8
2017-12-25T00:45:23.458Z,,,,,,55,12.6
2017-12-25T00:45:33.459Z,,,,,,55,12.8
2017-12-25T00:45:43.459Z,12.3,,,,,55,12.8
2017-12-25T00:45:58.482Z,12.5,,,,,55,12.8
2017-12-25T00:46:03.460Z,,,,,,55,12.6
2017-12-25T00:46:13.459Z,,,,,,55,12.8
2017-12-25T00:46:23.459Z,,,,,,55,12.6
2017-12-25T00:46:33.459Z,,,,,,55,12.6
2017-12-25T00:46:43.459Z,,,,,,55,12.8
2017-12-25T00:46:53.459Z,12.3,,,,,55,12.8
2017-12-25T00:47:03.459Z,,,,,,55,12.6
2017-12-25T00:47:13.459Z,12.5,,,,,55,12.8
