Time,ActPow,PrimT,HwTOutlet,HwActive,ChActive,PrimTSet,HwTSet
2017-11-19T00:18:31.819Z,,57.2,43.1,,,,55
2017-11-19T00:18:41.739Z,,,43,,,,55
2017-11-19T00:18:51.739Z,,,43,,,,55
2017-11-19T00:19:01.741Z,,,42.8,,,,55
2017-11-19T00:19:11.739Z,,,42.8,,,,55
2017-11-19T00:19:21.743Z,,,42.7,,,,55
2017-11-19T00:19:31.830Z,,57,42.7,,,,55
2017-11-19T00:19:41.739Z,,,42.7,,,,55
2017-11-19T00:19:51.739Z,,,42.6,,,,55
2017-11-19T00:20:01.741Z,,,42.6,,,,55
2017-11-19T00:20:11.741Z,,56.9,42.5,,,,55
2017-11-19T00:20:21.739Z,,,42.5,,,,55
2017-11-19T00:20:31.820Z,,,42.5,,,,55
2017-11-19T00:20:41.740Z,,,42.4,,,,55
2017-11-19T00:20:51.740Z,,,42.4,,,,55
2017-11-19T00:21:01.741Z,,56.8,42.4,,,,55
2017-11-19T00:21:12.736Z,,,42.3,,,,55
2017-11-19T00:21:21.740Z,,,42.3,,,,55
2017-11-19T00:21:31.820Z,,,42.2,,,,55
2017-11-19T00:21:41.743Z,,,42.2,,,,55
2017-11-19T00:21:51.739Z,,,42.2,,,,55
2017-11-19T00:22:01.739Z,,56.7,42,,,,55
2017-11-19T00:22:11.740Z,0,56.7,42,0,0,5,55
2017-11-19T00:22:21.740Z,,,41.9,,,,55
2017-11-19T00:22:31.830Z,,,41.9,,,,55
2017-11-19T00:22:41.740Z,,,41.9,,,,55
2017-11-19T00:22:51.740Z,,56.6,41.8,,,,55
2017-11-19T00:23:11.740Z,,,41.7,,,,55
2017-11-19T00:23:21.740Z,,,41.7,,,,55
2017-11-19T00:23:31.820Z,,,41.7,,,,55
2017-11-19T00:23:41.742Z,,56.5,41.6,,,,55
2017-11-19T00:23:51.742Z,,,41.6,,,,55
2017-11-19T00:24:01.739Z,,,41.6,,,,55
2017-11-19T00:24:11.740Z,,,41.5,,,,55
2017-11-19T00:24:21.743Z,,,41.5,,,,55
2017-11-19T00:24:31.832Z,,56.4,41.5,,,,55
2017-11-19T00:24:41.740Z,,,41.4,,,,55
2017-11-19T00:24:51.739Z,,,41.4,,,,55
2017-11-19T00:25:01.740Z,,,41.2,,,,55
2017-11-19T00:25:11.740Z,,,41.2,,,,55
2017-11-19T00:25:21.740Z,,56.2,41.2,,,,55
2017-11-19T00:25:31.820Z,,,41.1,,,,55
2017-11-19T00:25:41.743Z,,,41.1,,,,55
2017-11-19T00:25:51.740Z,,,41.1,,,,55
2017-11-19T00:26:01.742Z,,,41,,,,55
2017-11-19T00:26:11.740Z,,56.1,41,,,,55
2017-11-19T00:26:21.740Z,,,40.9,,,,55
2017-11-19T00:26:31.830Z,,,40.9,,,,55
2017-11-19T00:26:41.740Z,,,40.9,,,,55
2017-11-19T00:26:56.768Z,,,40.8,,,,55
2017-11-19T00:27:01.740Z,,56,40.8,,,,55
2017-11-19T00:27:11.740Z,,,40.8,,,,55
2017-11-19T00:27:21.741Z,,,40.7,,,,55
2017-11-19T00:27:31.820Z,,,40.7,,,,55
2017-11-19T00:27:41.740Z,,55.9,40.6,,,,55
2017-11-19T00:27:51.741Z,,,40.6,,,,55
2017-11-19T00:28:01.740Z,,,40.6,,,,55
2017-11-19T00:28:11.741Z,,,40.5,,,,55
2017-11-19T00:28:21.742Z,,,40.5,,,,55
2017-11-19T00:28:31.825Z,,,40.5,,,,55
2017-11-19T00:28:41.741Z,,55.8,40.3,,,,55
2017-11-19T00:28:51.745Z,,,40.3,,,,55
2017-11-19T00:29:01.740Z,,,40.3,,,,55
2017-11-19T00:29:11.745Z,,,40.2,,,,55
2017-11-19T00:29:21.740Z,,,40.2,,,,55
