Time,HwTOutlet,HwTSet,PrimT,ActPow,HwActive,PrimTSet,ChActive
2018-01-26T00:00:09.747Z,41.4,55,49.9,,,,
2018-01-26T00:00:19.747Z,,,50,,,,
2018-01-26T00:00:29.748Z,41.4,55,50.1,,,,
2018-01-26T00:00:39.843Z,41.2,55,,,,,
2018-01-26T00:00:49.747Z,41.2,55,50.2,,,,
2018-01-26T00:00:59.747Z,,,50.3,,,,
2018-01-26T00:01:09.748Z,41.1,55,,,,,
2018-01-26T00:01:19.747Z,41,55,,,,,
2018-01-26T00:01:29.748Z,41,55,50.4,,,,
2018-01-26T00:01:39.832Z,,,50.6,,,,
2018-01-26T00:01:49.747Z,40.9,55,,,,,
2018-01-26T00:01:59.747Z,40.9,55,50.7,,,,
2018-01-26T00:02:19.747Z,40.8,55,,,,,
2018-01-26T00:02:29.749Z,40.8,55,50.8,,,,
2018-01-26T00:02:49.747Z,40.7,55,,,,,
2018-01-26T00:02:59.748Z,40.6,55,50.9,,,,
2018-01-26T00:03:09.747Z,40.6,55,,,,,
2018-01-26T00:03:19.747Z,40.5,55,,,,,
2018-01-26T00:03:29.747Z,40.5,55,,,,,
2018-01-26T00:03:39.838Z,,,50.9,,,,
2018-01-26T00:03:49.747Z,40.3,55,51,0,0,75,2
2018-01-26T00:03:59.748Z,40.3,55,,,,,
2018-01-26T00:04:19.747Z,40.2,55,,,,,
2018-01-26T00:04:29.748Z,40.1,55,,,,,
2018-01-26T00:04:39.838Z,,,51.1,,,,
2018-01-26T00:04:49.748Z,40,55,51,,,,
2018-01-26T00:04:59.748Z,40,55,51.1,,,,
2018-01-26T00:05:19.747Z,39.9,55,,,,,
2018-01-26T00:05:29.748Z,39.9,55,,,,,
2018-01-26T00:05:49.749Z,39.8,55,,,,,
2018-01-26T00:05:59.748Z,39.8,55,,,,,
2018-01-26T00:06:19.748Z,39.6,55,,,,,
2018-01-26T00:06:29.749Z,,,52.7,80,0,,2
2018-01-26T00:06:39.838Z,39.5,55,57.8,59,,,
2018-01-26T00:06:49.759Z,39.5,55,59.1,29,,,
2018-01-26T00:06:59.748Z,39.4,55,54.9,,,,
2018-01-26T00:07:09.748Z,39.4,55,50.7,,,,
2018-01-26T00:07:19.754Z,39.4,55,48.8,,,,
2018-01-26T00:07:29.749Z,39.3,55,47.8,,,,
2018-01-26T00:07:39.838Z,39.3,55,48.1,,,,
2018-01-26T00:07:49.748Z,39.3,55,49.1,,,,
2018-01-26T00:07:59.748Z,39.1,55,49.7,,,,
2018-01-26T00:08:09.748Z,39.1,55,49.8,,,,
2018-01-26T00:08:19.748Z,,,49.7,,,,
2018-01-26T00:08:29.749Z,39.1,55,49.8,,,,
2018-01-26T00:08:44.858Z,39.1,55,49.9,,,,
2018-01-26T00:08:49.748Z,,,50.1,,,,
2018-01-26T00:08:59.748Z,39.1,55,50.3,,,,
2018-01-26T00:09:09.748Z,39.3,55,50.5,,,,
2018-01-26T00:09:19.755Z,,,50.7,,,,
2018-01-26T00:09:29.751Z,39.3,55,50.8,,,,
2018-01-26T00:09:39.828Z,39.3,55,50.9,,,,
2018-01-26T00:09:49.749Z,,,51.1,,,,
2018-01-26T00:09:59.748Z,39.4,55,51.2,,,,
2018-01-26T00:10:10.213Z,39.5,55,,,,,
2018-01-26T00:10:19.749Z,,,51.5,,,,
2018-01-26T00:10:29.750Z,39.5,55,51.7,,,,
2018-01-26T00:10:39.828Z,39.6,55,51.8,,,,
2018-01-26T00:10:49.750Z,,,52,,,,
2018-01-26T00:10:59.748Z,39.8,55,,,,,
2018-01-26T00:11:09.748Z,39.9,55,52.3,,,,
2018-01-26T00:11:19.750Z,,,52.5,,,,
2018-01-26T00:11:29.749Z,39.9,55,52.6,,,,
2018-01-26T00:11:39.838Z,40,55,52.8,,,,
2018-01-26T00:11:49.748Z,,,53,,,,
2018-01-26T00:11:59.748Z,40.1,55,,,,,
2018-01-26T00:12:09.753Z,40.2,55,53.2,,,,
2018-01-26T00:12:19.748Z,,,53.4,,,,
2018-01-26T00:12:29.759Z,40.3,55,53.5,,,,
2018-01-26T00:12:39.828Z,40.5,55,53.6,,,,
2018-01-26T00:12:49.748Z,40.5,55,53.7,,,,
2018-01-26T00:12:59.748Z,,,53.9,,,,
2018-01-26T00:13:09.749Z,40.6,55,54,,,,
2018-01-26T00:13:19.749Z,40.7,55,54.1,,,,
2018-01-26T00:13:29.749Z,40.8,55,,,,,
2018-01-26T00:13:39.829Z,,,54.4,,,,
2018-01-26T00:13:49.749Z,40.9,55,54.7,0,0,,2
2018-01-26T00:13:59.748Z,40.9,55,53.6,,,,
2018-01-26T00:14:09.749Z,41,55,52,,,,
2018-01-26T00:14:19.748Z,41.1,55,51.2,,,,
2018-01-26T00:14:29.749Z,41.1,55,50.8,,,,
2018-01-26T00:14:39.838Z,41.4,55,50.9,,,,
2018-01-26T00:14:49.752Z,,,51.2,,,,
2018-01-26T00:14:59.749Z,41.5,55,,,,,
2018-01-26T00:15:09.749Z,,,51.3,,,,
2018-01-26T00:15:19.748Z,41.5,55,50.8,,,,
2018-01-26T00:15:29.749Z,41.6,55,50.4,,,,
2018-01-26T00:15:39.829Z,41.6,55,50.2,,,,
2018-01-26T00:15:50.749Z,41.7,55,,,,,
2018-01-26T00:15:59.749Z,,,49.8,,,,
2018-01-26T00:16:09.749Z,41.6,55,49.7,,,,
2018-01-26T00:16:19.749Z,41.7,55,,,,,
2018-01-26T00:16:29.751Z,41.6,55,49.4,,,,
2018-01-26T00:16:39.839Z,,,49.1,,,,
2018-01-26T00:16:49.748Z,41.6,55,49,,,,
2018-01-26T00:16:59.750Z,41.6,55,49.1,,,,
2018-01-26T00:17:09.748Z,41.6,55,,,,,
2018-01-26T00:17:19.749Z,,,49.4,,,,
2018-01-26T00:17:29.750Z,41.5,55,49.5,,,,
2018-01-26T00:17:39.839Z,41.5,55,49.7,,,,
2018-01-26T00:17:59.749Z,41.4,55,49.9,,,,
2018-01-26T00:18:09.749Z,41.4,55,,,,,
2018-01-26T00:18:19.749Z,,,50,,,,
2018-01-26T00:18:29.751Z,41.2,55,50.1,,,,
2018-01-26T00:18:40.829Z,41.2,55,,,,,
2018-01-26T00:18:49.749Z,41.1,55,,,,,
2018-01-26T00:18:59.749Z,,,50.3,,,,
2018-01-26T00:19:09.749Z,41,55,,,,,
2018-01-26T00:19:19.749Z,41,55,,,,,
2018-01-26T00:19:29.752Z,40.9,55,50.4,,,,
2018-01-26T00:19:39.829Z,,,50.6,,,,
2018-01-26T00:19:49.749Z,40.9,55,,,,,
2018-01-26T00:19:59.753Z,40.8,55,50.7,,,,
2018-01-26T00:20:19.750Z,40.8,55,,,,,
2018-01-26T00:20:29.750Z,40.7,55,50.8,,,,
2018-01-26T00:20:49.750Z,40.6,55,,,,,
2018-01-26T00:20:59.749Z,40.6,55,50.9,,,,
2018-01-26T00:21:19.750Z,40.5,55,,,,,
2018-01-26T00:21:29.755Z,,,51,,,,
2018-01-26T00:21:39.829Z,40.3,55,,,,,
2018-01-26T00:21:49.750Z,40.3,55,,,,,
2018-01-26T00:22:09.751Z,40.2,55,51.1,,,,
2018-01-26T00:22:29.750Z,40.1,55,,,,,
2018-01-26T00:22:49.754Z,40,55,,,,,
2018-01-26T00:22:59.750Z,40,55,,,,,
2018-01-26T00:23:19.749Z,39.9,55,,,,,
2018-01-26T00:23:29.751Z,39.8,55,,,,,
2018-01-26T00:23:49.751Z,39.8,55,,,,,
2018-01-26T00:24:09.750Z,39.6,55,,,,,
2018-01-26T00:24:24.771Z,39.5,55,,,,,
2018-01-26T00:24:29.750Z,,,51.1,,,,
2018-01-26T00:24:39.830Z,39.5,55,54.6,79,0,,2
2018-01-26T00:24:49.751Z,39.4,55,59,48,,,
2018-01-26T00:24:59.751Z,39.4,55,58,29,,,
2018-01-26T00:25:09.751Z,39.4,55,53.8,,,,
2018-01-26T00:25:19.750Z,39.3,55,50.4,,,,
2018-01-26T00:25:29.752Z,39.3,55,48.9,,,,
2018-01-26T00:25:39.830Z,39.1,55,,,,,
2018-01-26T00:25:49.750Z,,,48.1,,,,
2018-01-26T00:25:59.750Z,39.1,55,49.7,,,,
2018-01-26T00:26:09.750Z,39.1,55,50,,,,
2018-01-26T00:26:19.751Z,39.1,55,49.9,,,,
2018-01-26T00:26:29.750Z,39,55,50,,,,
2018-01-26T00:26:39.830Z,39.1,55,,,,,
2018-01-26T00:26:49.750Z,39.1,55,,,,,
2018-01-26T00:26:59.750Z,,,50.5,,,,
2018-01-26T00:27:14.874Z,39.1,55,,,,,
2018-01-26T00:27:19.751Z,,,50.7,,,,
2018-01-26T00:27:29.750Z,39.1,55,51,,,,
2018-01-26T00:27:39.830Z,39.3,55,,,,,
2018-01-26T00:27:49.751Z,,,51.1,,,,
2018-01-26T00:27:59.758Z,39.3,55,51.6,,,,
2018-01-26T00:28:09.751Z,39.4,55,,,,,
2018-01-26T00:28:19.750Z,,,51.7,,,,
2018-01-26T00:28:29.751Z,39.5,55,52,,,,
2018-01-26T00:28:39.844Z,39.6,55,,,,,
2018-01-26T00:28:49.751Z,,,52.3,,,,
2018-01-26T00:28:59.750Z,39.6,55,52.6,,,,
2018-01-26T00:29:09.752Z,39.9,55,,,,,
2018-01-26T00:29:19.751Z,,,52.8,,,,
2018-01-26T00:29:29.751Z,40,55,53,,,,
2018-01-26T00:29:39.831Z,,,53.1,,,,
2018-01-26T00:29:49.751Z,40.1,55,53.3,,,,
2018-01-26T00:29:59.751Z,40.1,55,53.5,,,,
2018-01-26T00:30:09.759Z,,,53.7,,,,
2018-01-26T00:30:19.758Z,40.3,55,,,,,
2018-01-26T00:30:29.751Z,,,54.1,,,,
2018-01-26T00:30:39.831Z,40.3,55,,,,,
2018-01-26T00:30:49.751Z,40.5,55,54.3,,,,
2018-01-26T00:30:59.757Z,40.6,55,54.4,,,,
2018-01-26T00:31:09.752Z,40.7,55,54.5,,,,
2018-01-26T00:31:19.752Z,,,54.8,,,,
2018-01-26T00:31:29.758Z,40.8,55,55,,,,
2018-01-26T00:31:39.830Z,40.9,55,,,,,
2018-01-26T00:31:49.751Z,41,55,55.1,,,,
2018-01-26T00:31:59.757Z,,,55.5,,,,
2018-01-26T00:32:09.757Z,41.1,55,,,,,
2018-01-26T00:32:19.757Z,41.2,55,55.6,,,,
2018-01-26T00:32:29.760Z,41.2,55,55.7,,,,
2018-01-26T00:32:39.831Z,41.4,55,55.8,,,,
2018-01-26T00:32:49.751Z,41.5,55,56.2,,,,
2018-01-26T00:32:59.751Z,41.6,55,,,,,
2018-01-26T00:33:09.759Z,,,56.7,0,0,,2
2018-01-26T00:33:19.752Z,41.7,55,55.7,,,,
2018-01-26T00:33:29.755Z,41.8,55,54.8,,,,
2018-01-26T00:33:39.831Z,41.9,55,53.2,,,,
2018-01-26T00:33:49.752Z,42,55,52.7,,,,
2018-01-26T00:33:59.758Z,42.2,55,,,,,
2018-01-26T00:34:09.751Z,,,52.9,,,,
2018-01-26T00:34:19.757Z,42.3,55,,,,,
2018-01-26T00:34:29.758Z,,,53.2,,,,
2018-01-26T00:34:39.838Z,42.4,55,52.7,,,,
2018-01-26T00:34:49.751Z,42.4,55,,,,,
2018-01-26T00:34:59.751Z,42.5,55,52.3,,,,
2018-01-26T00:35:09.751Z,42.5,55,51.9,,,,
2018-01-26T00:35:19.751Z,42.5,55,,,,,
2018-01-26T00:35:29.752Z,42.5,55,51.7,,,,
2018-01-26T00:35:39.832Z,42.5,55,51.4,,,,
2018-01-26T00:35:49.751Z,42.5,55,51.2,,,,
2018-01-26T00:35:59.752Z,42.5,55,51.1,,,,
2018-01-26T00:36:09.751Z,42.5,55,50.8,,,,
2018-01-26T00:36:19.751Z,42.5,55,,,,,
2018-01-26T00:36:29.752Z,42.4,55,51,,,,
2018-01-26T00:36:39.832Z,42.4,55,,,,,
2018-01-26T00:36:49.753Z,,,51.1,,,,
2018-01-26T00:36:59.751Z,42.4,55,51.2,,,,
2018-01-26T00:37:10.754Z,42.3,55,51.3,,,,
2018-01-26T00:37:19.751Z,,,51.4,,,,
2018-01-26T00:37:29.752Z,42.3,55,51.6,,,,
2018-01-26T00:37:39.832Z,42.3,55,51.7,,,,
2018-01-26T00:37:49.752Z,42.2,55,51.8,,,,
2018-01-26T00:37:59.751Z,42.2,55,,,,,
2018-01-26T00:38:09.751Z,42.2,55,52,,,,
2018-01-26T00:38:19.752Z,42,55,,,,,
2018-01-26T00:38:39.834Z,41.9,55,52.1,,,,
2018-01-26T00:38:49.754Z,41.9,55,,,,,
2018-01-26T00:38:59.752Z,,,52.2,,,,
2018-01-26T00:39:09.752Z,41.9,55,,,,,
2018-01-26T00:39:19.752Z,41.8,55,52.3,,,,
2018-01-26T00:39:29.752Z,41.8,55,,,,,
2018-01-26T00:39:39.833Z,41.8,55,52.4,,,,
2018-01-26T00:39:49.752Z,41.7,55,,,,,
2018-01-26T00:40:00.744Z,41.7,55,,,,,
2018-01-26T00:40:09.752Z,41.6,55,52.6,,,,
2018-01-26T00:40:19.752Z,41.6,55,,,,,
2018-01-26T00:40:29.753Z,41.6,55,,,,,
2018-01-26T00:40:39.833Z,41.5,55,52.7,,,,
2018-01-26T00:40:49.755Z,41.5,55,,,,,
2018-01-26T00:40:59.751Z,41.4,55,,,,,
2018-01-26T00:41:09.751Z,41.4,55,,,,,
2018-01-26T00:41:19.752Z,41.2,55,,,,,
2018-01-26T00:41:29.753Z,41.2,55,52.8,,,,
2018-01-26T00:41:39.832Z,41.2,55,,,,,
2018-01-26T00:41:49.752Z,41.1,55,,,,,
2018-01-26T00:41:59.752Z,41.1,55,,,,,
2018-01-26T00:42:09.753Z,41,55,,,,,
2018-01-26T00:42:19.752Z,41,55,,,,,
2018-01-26T00:42:29.752Z,41,55,,,,,
2018-01-26T00:42:39.842Z,40.9,55,,,,,
2018-01-26T00:42:54.773Z,40.9,55,,,,,
2018-01-26T00:42:59.752Z,40.9,55,,,,,
2018-01-26T00:43:09.756Z,40.8,55,,,,,
2018-01-26T00:43:19.753Z,40.8,55,,,,,
2018-01-26T00:43:29.758Z,40.7,55,,,,,
2018-01-26T00:43:39.834Z,40.7,55,52.9,,,,
2018-01-26T00:43:49.753Z,40.6,55,52.8,,,,
2018-01-26T00:43:59.752Z,40.6,55,52.9,,,,
2018-01-26T00:44:09.752Z,40.6,55,52.8,,,,
2018-01-26T00:44:20.050Z,40.5,55,,,,,
