Time,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet,HwActive,ActPow
2018-01-11T00:00:01.878Z,,,55,,43.2,,
2018-01-11T00:00:12.870Z,,,55,,43.2,,
2018-01-11T00:00:21.871Z,,51.2,55,,43.1,,
2018-01-11T00:00:31.871Z,,,55,,43.1,,
2018-01-11T00:00:41.870Z,,,55,,43.1,,
2018-01-11T00:00:51.870Z,,,55,,43.1,,
2018-01-11T00:01:01.871Z,,,55,,43,,
2018-01-11T00:01:11.870Z,,,55,,43,,
2018-01-11T00:01:21.870Z,,,55,,43,,
2018-01-11T00:01:31.871Z,,,55,,42.8,,
2018-01-11T00:01:41.871Z,,,55,,42.8,,
2018-01-11T00:01:51.876Z,,,55,,42.7,,
2018-01-11T00:02:01.870Z,,,55,,42.7,,
2018-01-11T00:02:11.873Z,,,55,,42.7,,
2018-01-11T00:02:21.871Z,,,55,,42.6,,
2018-01-11T00:02:31.873Z,,,55,,42.6,,
2018-01-11T00:02:41.870Z,,,55,,42.6,,
2018-01-11T00:02:51.870Z,,,55,,42.5,,
2018-01-11T00:03:02.862Z,,,55,,42.5,,
2018-01-11T00:03:11.873Z,,,55,,42.4,,
2018-01-11T00:03:21.870Z,,,55,,42.4,,
2018-01-11T00:03:31.871Z,,,55,,42.3,,
2018-01-11T00:03:41.870Z,,51.1,55,,42.3,,
2018-01-11T00:03:51.871Z,,,55,,42.2,,
2018-01-11T00:04:01.870Z,,,55,,42.2,,
2018-01-11T00:04:11.871Z,,,55,,42,,
2018-01-11T00:04:21.876Z,,,55,,42,,
2018-01-11T00:04:31.870Z,,,55,,41.9,,
2018-01-11T00:04:41.870Z,,,55,,41.9,,
2018-01-11T00:04:51.871Z,,,55,,41.8,,
2018-01-11T00:05:01.870Z,,,55,,41.8,,
2018-01-11T00:05:11.870Z,,,55,,41.7,,
2018-01-11T00:05:21.874Z,,51,55,,41.7,,
2018-01-11T00:05:31.871Z,,,55,,41.6,,
2018-01-11T00:05:41.871Z,,,55,,41.6,,
2018-01-11T00:05:52.867Z,,,55,,41.5,,
2018-01-11T00:06:01.871Z,,,55,,41.5,,
2018-01-11T00:06:11.871Z,,,55,,41.4,,
2018-01-11T00:06:21.871Z,,,55,,41.4,,
2018-01-11T00:06:31.872Z,,51,55,,41.2,,
2018-01-11T00:06:41.871Z,,50.9,55,,41.2,,
2018-01-11T00:06:51.873Z,,,55,,41.1,,
2018-01-11T00:07:01.877Z,,,55,,41.1,,
2018-01-11T00:07:11.871Z,,,55,,41,,
2018-01-11T00:07:21.879Z,,,55,,41,,
2018-01-11T00:07:31.871Z,,,55,,40.9,,
2018-01-11T00:07:41.870Z,,,55,,40.9,,
2018-01-11T00:07:51.875Z,,50.8,55,,40.8,,
2018-01-11T00:08:01.873Z,,,55,,40.8,,
2018-01-11T00:08:11.871Z,,,55,,40.7,,
2018-01-11T00:08:21.871Z,,,55,,40.7,,
2018-01-11T00:08:31.875Z,,,55,,40.6,,
2018-01-11T00:08:46.891Z,,,55,,40.6,,
2018-01-11T00:08:51.871Z,,,55,,40.5,,
2018-01-11T00:09:01.871Z,,50.7,55,,40.5,,
2018-01-11T00:09:11.874Z,,,55,,40.3,,
2018-01-11T00:09:21.871Z,,,55,,40.3,,
2018-01-11T00:09:31.871Z,,,55,,40.2,,
2018-01-11T00:09:41.892Z,,,55,,40.2,,
2018-01-11T00:09:51.871Z,,,55,,40.2,,
2018-01-11T00:10:01.872Z,,50.6,55,,40.1,,
2018-01-11T00:10:12.971Z,,,55,,40.1,,
2018-01-11T00:10:21.873Z,,,55,,40,,
2018-01-11T00:10:31.871Z,,,55,,40,,
2018-01-11T00:10:41.871Z,,,55,,39.9,,
2018-01-11T00:10:51.872Z,,,55,,39.9,,
2018-01-11T00:11:01.871Z,,,55,,39.8,,
2018-01-11T00:11:11.872Z,,50.4,55,,39.8,,
2018-01-11T00:11:21.876Z,,,55,,39.6,,
2018-01-11T00:11:32.865Z,,,55,,39.6,,
2018-01-11T00:11:41.871Z,,,55,,39.5,,
2018-01-11T00:11:51.874Z,,,55,,39.5,,
2018-01-11T00:12:01.872Z,,50.3,55,,39.5,,
2018-01-11T00:12:11.872Z,,,55,,39.4,,
2018-01-11T00:12:21.872Z,,,55,,39.4,,
2018-01-11T00:12:31.871Z,,,55,,39.3,,
