Time,PrimTSet,HwTOutlet,PrimT,HwActive,HwTSet,ActPow,ChActive
2018-02-12T00:18:25.017Z,,34.6,,,55,,
2018-02-12T00:18:35.016Z,,34.6,,,55,,
2018-02-12T00:18:45.017Z,,34.6,54.6,,55,,
2018-02-12T00:18:55.016Z,,34.4,,,55,,
2018-02-12T00:19:05.017Z,,34.4,,,55,,
2018-02-12T00:19:15.017Z,,34.4,54.4,,55,,
2018-02-12T00:19:25.016Z,,34.3,,,55,,
2018-02-12T00:19:35.017Z,,34.3,,,55,,
2018-02-12T00:19:45.016Z,,34.3,,,55,,
2018-02-12T00:19:55.019Z,,34.2,54.3,,55,,
2018-02-12T00:20:05.017Z,,34.2,,,55,,
2018-02-12T00:20:15.017Z,,34.1,,,55,,
2018-02-12T00:20:25.017Z,,34.1,,,55,,
2018-02-12T00:20:35.017Z,,34.1,54.2,,55,,
2018-02-12T00:20:46.014Z,,34,,,55,,
2018-02-12T00:20:55.018Z,,34,,,55,,
2018-02-12T00:21:05.018Z,,34,,,55,,
2018-02-12T00:21:15.017Z,,33.8,54.1,,55,,
2018-02-12T00:21:25.043Z,,33.8,,,55,,
2018-02-12T00:21:35.017Z,,33.8,,,55,,
2018-02-12T00:21:45.018Z,,33.8,,,55,,
2018-02-12T00:21:55.018Z,,33.7,54,,55,,
2018-02-12T00:22:05.017Z,,33.7,,,55,,
2018-02-12T00:22:15.019Z,,33.6,,,55,,
2018-02-12T00:22:25.018Z,,33.6,,,55,,
2018-02-12T00:22:35.017Z,,33.6,53.9,,55,,
2018-02-12T00:22:45.017Z,,33.5,,,55,,
2018-02-12T00:22:55.071Z,,33.5,,,55,,
2018-02-12T00:23:05.019Z,,33.5,,,55,,
2018-02-12T00:23:15.017Z,,33.5,53.8,,55,,
2018-02-12T00:23:25.017Z,,33.3,,,55,,
2018-02-12T00:23:40.038Z,,33.3,,,55,,
2018-02-12T00:23:45.019Z,,33.3,,,55,,
2018-02-12T00:23:55.017Z,,33.2,,,55,,
2018-02-12T00:24:05.020Z,,33.2,53.7,,55,,
2018-02-12T00:24:15.018Z,,33.2,,,55,,
2018-02-12T00:24:25.020Z,,33.1,,,55,,
2018-02-12T00:24:35.018Z,,33.1,53.6,,55,,
2018-02-12T00:24:45.017Z,,33.1,,,55,,
2018-02-12T00:24:55.018Z,,33,,,55,,
2018-02-12T00:25:05.151Z,,33,,,55,,
2018-02-12T00:25:15.017Z,,33,,,55,,
2018-02-12T00:25:25.017Z,,32.8,53.4,,55,,
2018-02-12T00:25:35.017Z,,32.8,,,55,,
2018-02-12T00:25:45.017Z,,32.8,,,55,,
2018-02-12T00:25:55.018Z,,32.8,,,55,,
2018-02-12T00:26:05.017Z,,32.7,53.3,,55,,
2018-02-12T00:26:15.017Z,,32.7,,,55,,
2018-02-12T00:26:25.019Z,,32.7,,,55,,
2018-02-12T00:26:35.018Z,,32.6,,,55,,
2018-02-12T00:26:45.018Z,,32.6,53.2,,55,,
2018-02-12T00:26:55.018Z,,32.6,,,55,,
2018-02-12T00:27:05.018Z,,32.5,,,55,,
2018-02-12T00:27:15.018Z,,32.5,,,55,,
2018-02-12T00:27:25.018Z,,32.5,53.1,,55,,
2018-02-12T00:27:35.018Z,,32.5,,,55,,
2018-02-12T00:27:45.019Z,,32.3,,,55,,
2018-02-12T00:27:55.018Z,,32.3,,,55,,
2018-02-12T00:28:05.018Z,,32.3,53,,55,,
2018-02-12T00:28:15.020Z,,32.2,,,55,,
2018-02-12T00:28:25.055Z,,32.2,,,55,,
2018-02-12T00:28:35.020Z,,32.2,,,55,,
2018-02-12T00:28:45.019Z,,32.2,52.9,,55,,
2018-02-12T00:28:55.029Z,,32.1,,,55,,
2018-02-12T00:29:05.020Z,,32.1,,,55,,
2018-02-12T00:29:15.019Z,,32.1,,,55,,
2018-02-12T00:29:25.018Z,,32,,,55,,
2018-02-12T00:29:35.019Z,,32,52.8,,55,,
2018-02-12T00:29:45.018Z,,32,,,55,,
2018-02-12T00:29:55.018Z,,32,,,55,,
2018-02-12T00:30:05.018Z,,31.9,,,55,,
2018-02-12T00:30:15.018Z,,31.9,52.7,,55,,
2018-02-12T00:30:25.018Z,,31.9,,,55,,
2018-02-12T00:30:35.020Z,,31.7,,,55,,
2018-02-12T00:30:45.018Z,,31.7,,,55,,
2018-02-12T00:30:55.019Z,,31.7,52.6,,55,,
2018-02-12T00:31:05.018Z,,31.7,,,55,,
2018-02-12T00:31:15.019Z,,31.6,,,55,,
2018-02-12T00:31:25.018Z,,31.6,,,55,,
2018-02-12T00:31:35.019Z,,31.6,52.4,,55,,
2018-02-12T00:31:45.018Z,,31.5,,,55,,
2018-02-12T00:31:55.019Z,,31.5,,,55,,
2018-02-12T00:32:05.018Z,,31.5,,,55,,
2018-02-12T00:32:15.019Z,,31.5,52.3,,55,,
2018-02-12T00:32:25.018Z,,31.4,,,55,,
2018-02-12T00:32:35.018Z,,31.4,,,55,,
2018-02-12T00:32:45.018Z,,31.4,,,55,,
2018-02-12T00:32:55.018Z,,31.4,52.2,,55,,
2018-02-12T00:33:05.026Z,,31.2,,,55,,
2018-02-12T00:33:15.032Z,,31.2,,,55,,
2018-02-12T00:33:25.019Z,,31.2,,,55,,
2018-02-12T00:33:35.018Z,,31.1,,,55,,
2018-02-12T00:33:45.018Z,,31.1,52.1,,55,,
2018-02-12T00:33:55.020Z,,31.1,,,55,,
2018-02-12T00:34:05.018Z,,31.1,,,55,,
2018-02-12T00:34:15.020Z,,31.1,,,55,,
2018-02-12T00:34:25.019Z,,31,52,,55,,
2018-02-12T00:34:35.018Z,,31,,,55,,
2018-02-12T00:34:45.018Z,,31,,,55,,
2018-02-12T00:34:55.018Z,,30.9,52,,55,,
2018-02-12T00:35:05.019Z,,30.9,51.9,,55,,
2018-02-12T00:35:15.019Z,,30.9,,,55,,
2018-02-12T00:35:25.019Z,,30.9,,,55,,
2018-02-12T00:35:35.019Z,,30.7,,,55,,
2018-02-12T00:35:45.019Z,,30.7,51.8,,55,,
2018-02-12T00:35:55.019Z,,30.7,,,55,,
2018-02-12T00:36:05.019Z,,30.7,,,55,,
2018-02-12T00:36:15.020Z,,30.6,,,55,,
2018-02-12T00:36:26.017Z,,30.6,,,55,,
2018-02-12T00:36:35.019Z,,30.6,51.7,,55,,
2018-02-12T00:36:45.021Z,,30.5,,,55,,
2018-02-12T00:36:55.019Z,,30.5,,,55,,
2018-02-12T00:37:05.019Z,,30.5,,,55,,
2018-02-12T00:37:15.019Z,,30.5,51.6,,55,,
2018-02-12T00:37:25.019Z,,30.5,,,55,,
2018-02-12T00:37:35.019Z,,30.4,,,55,,
2018-02-12T00:37:45.020Z,,30.4,,,55,,
2018-02-12T00:37:55.045Z,,30.4,51.4,,55,,
2018-02-12T00:38:05.019Z,,30.4,,,55,,
2018-02-12T00:38:15.019Z,,30.2,,,55,,
2018-02-12T00:38:25.019Z,,30.2,,,55,,
2018-02-12T00:38:35.018Z,,30.2,,,55,,
2018-02-12T00:38:45.021Z,,30.2,51.3,,55,,
2018-02-12T00:38:55.019Z,,30.1,,,55,,
2018-02-12T00:39:05.021Z,5,30.1,51.3,0,55,0,0
2018-02-12T00:39:20.040Z,,30.1,,,55,,
2018-02-12T00:39:25.019Z,,30.1,51.2,,55,,
2018-02-12T00:39:35.019Z,,30,,,55,,
2018-02-12T00:39:45.019Z,,30,,,55,,
2018-02-12T00:39:55.019Z,,30,,,55,,
2018-02-12T00:40:05.019Z,,30,51.1,,55,,
2018-02-12T00:40:15.020Z,,30,,,55,,
2018-02-12T00:40:25.020Z,,29.9,,,55,,
2018-02-12T00:40:35.019Z,,29.9,,,55,,
2018-02-12T00:40:45.034Z,,29.9,51,,55,,
2018-02-12T00:40:55.020Z,,29.7,,,55,,
2018-02-12T00:41:05.020Z,,29.7,,,55,,
2018-02-12T00:41:15.020Z,,29.7,,,55,,
2018-02-12T00:41:25.020Z,,29.7,50.9,,55,,
2018-02-12T00:41:35.020Z,,29.6,,,55,,
2018-02-12T00:41:45.019Z,,29.6,,,55,,
2018-02-12T00:41:55.020Z,,29.6,,,55,,
2018-02-12T00:42:10.387Z,,29.6,,,55,,
2018-02-12T00:42:15.020Z,,29.4,50.8,,55,,
2018-02-12T00:42:25.019Z,,29.4,,,55,,
2018-02-12T00:42:35.020Z,,29.4,,,55,,
2018-02-12T00:42:45.019Z,,29.4,,,55,,
2018-02-12T00:42:55.020Z,,29.4,50.7,,55,,
2018-02-12T00:43:05.019Z,,29.3,,,55,,
2018-02-12T00:43:15.020Z,,29.3,,,55,,
2018-02-12T00:43:25.020Z,,29.3,,,55,,
2018-02-12T00:43:36.018Z,,29.3,,,55,,
2018-02-12T00:43:45.020Z,,29.3,50.6,,55,,
2018-02-12T00:43:55.020Z,,29.2,,,55,,
2018-02-12T00:44:05.020Z,,29.2,,,55,,
2018-02-12T00:44:15.020Z,,29.2,,,55,,
2018-02-12T00:44:25.020Z,,29.2,50.4,,55,,
2018-02-12T00:44:35.021Z,,29,,,55,,
2018-02-12T00:44:45.020Z,,29,,,55,,
