Time,PrimT,HwTSet,PrimTSet,ActPow,HwTOutlet,ChActive,HwActive
2017-12-31T00:00:09.740Z,45.7,55,,,30.9,,
2017-12-31T00:00:19.744Z,,55,,,30.9,,
2017-12-31T00:00:29.740Z,,55,,,30.9,,
2017-12-31T00:00:39.739Z,,55,,,30.9,,
2017-12-31T00:00:50.738Z,,55,,,30.7,,
2017-12-31T00:00:59.740Z,,55,,,30.7,,
2017-12-31T00:01:09.740Z,45.6,55,,,30.7,,
2017-12-31T00:01:19.740Z,,55,,,30.7,,
2017-12-31T00:01:29.740Z,,55,,,30.7,,
2017-12-31T00:01:39.991Z,,55,,,30.6,,
2017-12-31T00:01:49.740Z,,55,,,30.6,,
2017-12-31T00:01:59.740Z,,55,,,30.6,,
2017-12-31T00:02:09.816Z,,55,,,30.6,,
2017-12-31T00:02:19.741Z,45.5,55,,,30.6,,
2017-12-31T00:02:29.740Z,,55,,,30.5,,
2017-12-31T00:02:39.740Z,,55,,,30.5,,
2017-12-31T00:02:49.740Z,,55,,,30.5,,
2017-12-31T00:02:59.742Z,,55,,,30.5,,
2017-12-31T00:03:09.740Z,,55,,,30.5,,
2017-12-31T00:03:19.740Z,,55,,,30.4,,
2017-12-31T00:03:29.740Z,45.3,55,,,30.4,,
2017-12-31T00:03:40.731Z,,55,,,30.4,,
2017-12-31T00:03:49.740Z,,55,,,30.4,,
2017-12-31T00:03:59.741Z,,55,,,30.4,,
2017-12-31T00:04:09.740Z,,55,,,30.4,,
2017-12-31T00:04:19.744Z,,55,,,30.2,,
2017-12-31T00:04:29.742Z,45.2,55,,,30.2,,
2017-12-31T00:04:39.740Z,,55,,,30.2,,
2017-12-31T00:04:49.740Z,,55,,,30.2,,
2017-12-31T00:04:59.741Z,,55,,,30.2,,
2017-12-31T00:05:09.742Z,,55,,,30.1,,
2017-12-31T00:05:19.741Z,,55,,,30.1,,
2017-12-31T00:05:29.740Z,,55,,,30.1,,
2017-12-31T00:05:39.741Z,45.1,55,,,30.1,,
2017-12-31T00:05:49.741Z,,55,,,30.1,,
2017-12-31T00:05:59.740Z,,55,,,30,,
2017-12-31T00:06:09.740Z,,55,,,30,,
2017-12-31T00:06:19.740Z,,55,,,30,,
2017-12-31T00:06:33.851Z,45,55,,,30,,
2017-12-31T00:06:39.741Z,,55,,,30,,
2017-12-31T00:06:49.741Z,,55,,,30,,
2017-12-31T00:06:59.741Z,,55,,,29.9,,
2017-12-31T00:07:09.741Z,,55,,,29.9,,
2017-12-31T00:07:19.740Z,,55,,,29.9,,
2017-12-31T00:07:29.741Z,45,55,,,29.9,,
2017-12-31T00:07:39.742Z,44.9,55,,,29.9,,
2017-12-31T00:07:49.741Z,,55,,,29.9,,
2017-12-31T00:07:59.741Z,,55,,,29.7,,
2017-12-31T00:08:09.741Z,,55,,,29.7,,
2017-12-31T00:08:19.741Z,,55,,,29.7,,
2017-12-31T00:08:29.741Z,,55,,,29.7,,
2017-12-31T00:08:39.741Z,44.8,55,,,29.7,,
2017-12-31T00:08:49.741Z,,55,,,29.6,,
2017-12-31T00:08:59.742Z,,55,,,29.6,,
2017-12-31T00:09:09.741Z,,55,,,29.6,,
2017-12-31T00:09:24.761Z,,55,,,29.6,,
2017-12-31T00:09:29.741Z,,55,,,29.6,,
2017-12-31T00:09:39.741Z,,55,,,29.4,,
2017-12-31T00:09:49.744Z,44.7,55,,,29.4,,
2017-12-31T00:09:59.741Z,,55,,,29.4,,
2017-12-31T00:10:09.741Z,,55,,,29.4,,
2017-12-31T00:10:19.749Z,,55,,,29.4,,
2017-12-31T00:10:29.741Z,,55,,,29.4,,
2017-12-31T00:10:39.741Z,44.7,55,5,0,29.4,0,0
2017-12-31T00:10:49.742Z,,55,,,29.3,,
2017-12-31T00:10:59.741Z,44.5,55,,,29.3,,
2017-12-31T00:11:09.741Z,,55,,,29.3,,
2017-12-31T00:11:19.741Z,,55,,,29.3,,
2017-12-31T00:11:29.741Z,,55,,,29.3,,
2017-12-31T00:11:39.741Z,,55,,,29.3,,
2017-12-31T00:11:49.741Z,,55,,,29.2,,
2017-12-31T00:11:59.741Z,44.4,55,,,29.2,,
2017-12-31T00:12:09.742Z,,55,,,29.2,,
2017-12-31T00:12:19.741Z,,55,,,29.2,,
2017-12-31T00:12:29.741Z,,55,,,29.2,,
2017-12-31T00:12:39.742Z,,55,,,29,,
2017-12-31T00:12:49.741Z,,55,,,29,,
2017-12-31T00:12:59.741Z,,55,,,29,,
2017-12-31T00:13:09.741Z,44.3,55,,,29,,
2017-12-31T00:13:19.743Z,,55,,,29,,
2017-12-31T00:13:29.741Z,,55,,,29,,
2017-12-31T00:13:40.736Z,,55,,,28.9,,
2017-12-31T00:13:49.742Z,,55,,,28.9,,
2017-12-31T00:13:59.741Z,,55,,,28.9,,
2017-12-31T00:14:09.742Z,44.2,55,,,28.9,,
