Time,PrimTSet,PrimT,HwActive,HwTOutlet,HwTSet,ActPow,ChActive
2018-01-23T00:00:03.170Z,,,,18.9,55,,
2018-01-23T00:00:13.170Z,,,,18.9,55,,
2018-01-23T00:00:23.170Z,,,,18.9,55,,
2018-01-23T00:00:33.170Z,,,,18.9,55,,
2018-01-23T00:00:43.170Z,,,,18.9,55,,
2018-01-23T00:00:53.171Z,,,,18.9,55,,
2018-01-23T00:01:03.171Z,,,,18.9,55,,
2018-01-23T00:01:13.170Z,,,,18.9,55,,
2018-01-23T00:01:23.170Z,,,,18.9,55,,
2018-01-23T00:01:33.170Z,,,,18.9,55,,
2018-01-23T00:01:43.170Z,,,,18.9,55,,
2018-01-23T00:01:53.170Z,,,,18.9,55,,
2018-01-23T00:02:03.170Z,,,,18.9,55,,
2018-01-23T00:02:13.170Z,,27.9,,18.9,55,,
2018-01-23T00:02:23.171Z,,27.9,,18.9,55,,
2018-01-23T00:02:33.170Z,,27.9,,18.9,55,,
2018-01-23T00:02:43.170Z,,,,18.9,55,,
2018-01-23T00:02:53.170Z,,,,18.9,55,,
2018-01-23T00:03:03.171Z,,,,18.9,55,,
2018-01-23T00:03:13.172Z,,,,18.8,55,,
2018-01-23T00:03:23.175Z,,,,18.8,55,,
2018-01-23T00:03:33.170Z,,,,18.8,55,,
2018-01-23T00:03:43.171Z,,,,18.8,55,,
2018-01-23T00:03:53.171Z,,,,18.9,55,,
2018-01-23T00:04:03.170Z,,,,18.8,55,,
2018-01-23T00:04:13.171Z,,,,18.8,55,,
2018-01-23T00:04:23.170Z,,,,18.8,55,,
2018-01-23T00:04:33.171Z,,,,18.8,55,,
2018-01-23T00:04:43.170Z,,,,18.8,55,,
2018-01-23T00:04:53.170Z,,,,18.8,55,,
2018-01-23T00:05:03.170Z,,,,18.8,55,,
2018-01-23T00:05:13.171Z,,,,18.8,55,,
2018-01-23T00:05:23.171Z,,,,18.8,55,,
2018-01-23T00:05:33.171Z,,27.7,,18.8,55,,
2018-01-23T00:05:43.170Z,,,,18.8,55,,
2018-01-23T00:05:53.171Z,,,,18.8,55,,
2018-01-23T00:06:08.191Z,,,,18.8,55,,
2018-01-23T00:06:13.171Z,,,,18.8,55,,
2018-01-23T00:06:23.183Z,,,,18.8,55,,
2018-01-23T00:06:33.171Z,,,,18.8,55,,
2018-01-23T00:06:43.171Z,,,,18.8,55,,
2018-01-23T00:06:53.171Z,,,,18.8,55,,
2018-01-23T00:07:03.171Z,,,,18.8,55,,
2018-01-23T00:07:13.171Z,,,,18.8,55,,
2018-01-23T00:07:23.171Z,,,,18.8,55,,
2018-01-23T00:07:33.171Z,,,,18.8,55,,
2018-01-23T00:07:43.171Z,,,,18.8,55,,
2018-01-23T00:07:53.171Z,,,,18.8,55,,
2018-01-23T00:08:03.172Z,,,,18.6,55,,
2018-01-23T00:08:13.172Z,,,,18.8,55,,
2018-01-23T00:08:23.171Z,,,,18.8,55,,
2018-01-23T00:08:33.171Z,,,,18.8,55,,
