Time,ActPow,HwActive,PrimT,PrimTSet,HwTOutlet,HwTSet,ChActive
2017-12-20T00:14:03.459Z,,,51.9,,44.2,55,
2017-12-20T00:14:13.459Z,,,51.7,,44.2,55,
2017-12-20T00:14:23.459Z,,,51.3,,44.3,55,
2017-12-20T00:14:33.459Z,,,51.1,,44.3,55,
2017-12-20T00:14:44.336Z,,,51,,44.3,55,
2017-12-20T00:14:53.459Z,,,50.8,,44.3,55,
2017-12-20T00:15:03.462Z,,,50.7,,44.3,55,
2017-12-20T00:15:13.459Z,,,50.4,,44.2,55,
2017-12-20T00:15:23.458Z,,,50.3,,44.2,55,
2017-12-20T00:15:33.459Z,,,50.2,,44.2,55,
2017-12-20T00:15:43.458Z,,,50.1,,44.2,55,
2017-12-20T00:15:53.459Z,,,50.2,,44.2,55,
2017-12-20T00:16:03.459Z,,,50.4,,44.1,55,
2017-12-20T00:16:13.458Z,,,50.6,,44.1,55,
2017-12-20T00:16:23.459Z,,,50.7,,44.1,55,
2017-12-20T00:16:33.459Z,,,50.8,,44,55,
2017-12-20T00:16:43.459Z,,,50.9,,44,55,
2017-12-20T00:16:53.459Z,,,51,,43.9,55,
2017-12-20T00:17:03.459Z,,,51.1,,43.9,55,
2017-12-20T00:17:13.459Z,,,51.2,,43.9,55,
2017-12-20T00:17:23.461Z,,,,,43.7,55,
2017-12-20T00:17:34.454Z,,,51.3,,43.7,55,
2017-12-20T00:17:43.459Z,,,51.4,,43.6,55,
2017-12-20T00:17:53.460Z,,,51.6,,43.6,55,
2017-12-20T00:18:03.459Z,,,,,43.6,55,
2017-12-20T00:18:13.460Z,,,51.7,,43.5,55,
2017-12-20T00:18:23.460Z,,,,,43.5,55,
2017-12-20T00:18:33.459Z,,,51.8,,43.4,55,
2017-12-20T00:18:43.460Z,,,,,43.4,55,
2017-12-20T00:18:53.461Z,,,51.9,,43.3,55,
2017-12-20T00:19:03.460Z,,,,,43.3,55,
2017-12-20T00:19:13.459Z,,,52,,43.2,55,
2017-12-20T00:19:23.459Z,,,,,43.2,55,
2017-12-20T00:19:33.459Z,,,,,43.2,55,
2017-12-20T00:19:43.460Z,,,52.1,,43.1,55,
2017-12-20T00:19:53.459Z,,,,,43.1,55,
2017-12-20T00:20:03.460Z,,,,,43,55,
2017-12-20T00:20:13.460Z,,,,,43,55,
2017-12-20T00:20:23.461Z,,,52.2,,42.8,55,
2017-12-20T00:20:33.459Z,79,0,52.7,,42.8,55,2
2017-12-20T00:20:43.459Z,67,,59.1,,42.7,55,
2017-12-20T00:20:53.461Z,29,,62.1,,42.7,55,
2017-12-20T00:21:03.459Z,,,58.2,,42.7,55,
2017-12-20T00:21:13.460Z,,,54.1,,42.6,55,
2017-12-20T00:21:23.462Z,,,52.2,,42.6,55,
2017-12-20T00:21:33.459Z,,,51.1,,42.5,55,
2017-12-20T00:21:43.618Z,,,50.8,,42.5,55,
2017-12-20T00:21:53.460Z,,,51.7,,42.5,55,
2017-12-20T00:22:03.459Z,,,52.2,,42.5,55,
2017-12-20T00:22:13.460Z,,,52.3,,42.5,55,
2017-12-20T00:22:23.460Z,,,,,42.5,55,
2017-12-20T00:22:33.459Z,,,52.4,,42.5,55,
2017-12-20T00:22:43.461Z,,,52.5,,42.5,55,
2017-12-20T00:22:53.460Z,,,52.6,,42.5,55,
2017-12-20T00:23:03.459Z,,,52.7,,42.5,55,
2017-12-20T00:23:14.454Z,,,52.8,,42.5,55,
2017-12-20T00:23:23.460Z,,,53,,42.6,55,
2017-12-20T00:23:33.460Z,,,53.1,,42.6,55,
2017-12-20T00:23:43.459Z,,,53.2,,42.6,55,
2017-12-20T00:23:53.461Z,,,53.3,,42.6,55,
2017-12-20T00:24:03.461Z,,,53.4,,42.7,55,
2017-12-20T00:24:13.461Z,,,53.5,,42.7,55,
2017-12-20T00:24:23.460Z,,,53.6,,42.7,55,
2017-12-20T00:24:33.461Z,,,53.9,,42.8,55,
2017-12-20T00:24:43.460Z,,,54,,42.8,55,
2017-12-20T00:24:53.460Z,,,54.1,,43,55,
2017-12-20T00:25:03.460Z,,,54.3,,43,55,
2017-12-20T00:25:13.467Z,,,54.4,,43,55,
2017-12-20T00:25:23.460Z,,,54.5,,43.1,55,
2017-12-20T00:25:33.460Z,,,54.7,,43.1,55,
2017-12-20T00:25:43.461Z,,,54.8,,43.2,55,
2017-12-20T00:25:53.461Z,,,54.9,,43.2,55,
2017-12-20T00:26:08.480Z,,,55,,43.3,55,
2017-12-20T00:26:13.461Z,,,55.1,,43.3,55,
2017-12-20T00:26:23.460Z,,,55.3,,43.4,55,
2017-12-20T00:26:33.460Z,,,,,43.4,55,
2017-12-20T00:26:43.460Z,,,55.5,,43.5,55,
2017-12-20T00:26:53.460Z,,,55.7,,43.5,55,
