Time,HwTSet,ActPow,ChActive,HwTOutlet,PrimTSet,HwActive,PrimT
2017-12-15T00:00:03.524Z,55,,,61.4,,,
2017-12-15T00:00:12.525Z,55,,,61.4,,,
2017-12-15T00:00:22.527Z,55,,,61.5,,,
2017-12-15T00:00:32.521Z,55,,,61.5,,,
2017-12-15T00:00:42.526Z,55,,,61.5,,,75.1
2017-12-15T00:00:52.521Z,55,,,61.5,,,75
2017-12-15T00:01:02.527Z,55,31,,61.5,,,
2017-12-15T00:01:12.522Z,55,32,,61.5,,,
2017-12-15T00:01:22.527Z,55,,,61.5,,,
2017-12-15T00:01:32.522Z,55,,,61.5,,,
2017-12-15T00:01:42.527Z,55,31,,61.5,,,
2017-12-15T00:01:52.522Z,55,32,,61.5,,,
2017-12-15T00:02:02.524Z,55,,,61.5,,,
2017-12-15T00:02:12.523Z,55,,,61.5,,,
2017-12-15T00:02:22.523Z,55,,,61.5,,,
2017-12-15T00:02:32.522Z,55,,,61.5,,,
2017-12-15T00:02:42.523Z,55,,,61.5,,,
2017-12-15T00:02:53.518Z,55,,,61.6,,,75.1
2017-12-15T00:03:02.526Z,55,31,,61.6,,,
2017-12-15T00:03:12.522Z,55,,,61.6,,,75
2017-12-15T00:03:22.536Z,55,,,61.6,,,
2017-12-15T00:03:32.522Z,55,,,61.6,,,
2017-12-15T00:03:42.523Z,55,,,61.6,,,
2017-12-15T00:03:52.522Z,55,,,61.6,,,
2017-12-15T00:04:02.526Z,55,,,61.6,,,
2017-12-15T00:04:12.522Z,55,,,61.6,,,
2017-12-15T00:04:22.525Z,55,,,61.6,,,
2017-12-15T00:04:32.525Z,55,,,61.6,,,
2017-12-15T00:04:42.522Z,55,,,61.6,,,
2017-12-15T00:04:52.522Z,55,,,61.7,,,
2017-12-15T00:05:02.522Z,55,,,61.7,,,
2017-12-15T00:05:12.522Z,55,,,61.7,,,
2017-12-15T00:05:22.529Z,55,,,61.7,,,
2017-12-15T00:05:32.522Z,55,,,61.7,,,
2017-12-15T00:05:43.520Z,55,,,61.7,,,
2017-12-15T00:05:52.522Z,55,,,61.7,,,
2017-12-15T00:06:02.522Z,55,,,61.7,,,
2017-12-15T00:06:12.522Z,55,,,61.7,,,
2017-12-15T00:06:22.523Z,55,,,61.7,,,
2017-12-15T00:06:32.522Z,55,,,61.7,,,
2017-12-15T00:06:42.522Z,55,,,61.7,,,
2017-12-15T00:06:52.522Z,55,,,61.7,,,
2017-12-15T00:07:02.525Z,55,,,61.7,,,
2017-12-15T00:07:12.523Z,55,,,61.7,,,
2017-12-15T00:07:22.523Z,55,,,61.7,,,
2017-12-15T00:07:32.523Z,55,,,61.7,,,
2017-12-15T00:07:42.523Z,55,,,61.7,,,
2017-12-15T00:07:52.522Z,55,,,61.9,,,
2017-12-15T00:08:02.522Z,55,,,61.9,,,
2017-12-15T00:08:12.524Z,55,,,61.9,,,
2017-12-15T00:08:22.522Z,55,,,61.9,,,
2017-12-15T00:08:33.515Z,55,,,61.9,,,
2017-12-15T00:08:42.522Z,55,,,61.9,,,
2017-12-15T00:08:52.525Z,55,,,61.9,,,
2017-12-15T00:09:02.527Z,55,,,61.9,,,
2017-12-15T00:09:12.523Z,55,,,61.9,,,
2017-12-15T00:09:22.523Z,55,,,61.9,,,
2017-12-15T00:09:32.523Z,55,,,61.9,,,
2017-12-15T00:09:42.528Z,55,,,61.9,,,
2017-12-15T00:09:52.523Z,55,,,62,,,
2017-12-15T00:10:02.523Z,55,,,62,,,
2017-12-15T00:10:12.523Z,55,,,62,,,
2017-12-15T00:10:22.523Z,55,,,62,,,
2017-12-15T00:10:32.523Z,55,,,62,,,
2017-12-15T00:10:42.523Z,55,,,62,,,
2017-12-15T00:10:52.523Z,55,,,62,,,
2017-12-15T00:11:02.523Z,55,,0,62,5,0,75.1
2017-12-15T00:11:12.523Z,55,0,0,62,,0,74.8
2017-12-15T00:11:27.543Z,55,,,62,,,73.6
2017-12-15T00:11:32.523Z,55,,,62,,,72
2017-12-15T00:11:42.529Z,55,,,62,,,71.6
2017-12-15T00:11:52.523Z,55,,,62,,,71.4
2017-12-15T00:12:02.523Z,55,,,62,,,
2017-12-15T00:12:12.523Z,55,,,62,,,71.6
2017-12-15T00:12:22.523Z,55,,,62,,,71.4
2017-12-15T00:12:32.523Z,55,,,61.9,,,70.9
2017-12-15T00:12:42.523Z,55,,,61.9,,,70.5
2017-12-15T00:12:52.523Z,55,,,61.7,,,70.1
2017-12-15T00:13:02.523Z,55,,,61.7,,,69.9
2017-12-15T00:13:12.523Z,55,,,61.6,,,69.5
2017-12-15T00:13:22.523Z,55,,,61.5,,,69.2
2017-12-15T00:13:32.523Z,55,,,61.5,,,68.9
2017-12-15T00:13:42.527Z,55,,,61.4,,,68.7
2017-12-15T00:13:52.523Z,55,,,61.3,,,68.4
2017-12-15T00:14:02.523Z,55,,,61.2,,,68.1
2017-12-15T00:14:17.717Z,55,,,61,,,68
2017-12-15T00:14:22.523Z,55,,,60.9,,,68.1
2017-12-15T00:14:32.524Z,55,,,60.8,,,68.2
2017-12-15T00:14:42.524Z,55,,,60.7,,,68.4
2017-12-15T00:14:52.523Z,55,,,60.6,,,68.5
2017-12-15T00:15:02.524Z,55,,,60.5,,,68.6
2017-12-15T00:15:12.524Z,55,,,60.3,,,
2017-12-15T00:15:22.523Z,55,,,60.2,,,68.7
2017-12-15T00:15:32.523Z,55,,,60.1,,,68.9
2017-12-15T00:15:43.516Z,55,,,60,,,
2017-12-15T00:15:52.523Z,55,,,59.9,,,69
2017-12-15T00:16:02.523Z,55,,,59.8,,,
2017-12-15T00:16:12.523Z,55,,,59.8,,,69.1
2017-12-15T00:16:22.524Z,55,,,59.5,,,
2017-12-15T00:16:32.523Z,55,,,59.5,,,
2017-12-15T00:16:42.524Z,55,,,59.4,,,69.2
2017-12-15T00:16:52.523Z,55,,,59.3,,,
2017-12-15T00:17:02.524Z,55,,,59.2,,,
2017-12-15T00:17:12.526Z,55,,,59.1,,,69.4
2017-12-15T00:17:22.524Z,55,,,59,,,
2017-12-15T00:17:32.524Z,55,,,58.9,,,
2017-12-15T00:17:42.524Z,55,,,58.7,,,
2017-12-15T00:17:52.524Z,55,,,58.6,,,69.5
2017-12-15T00:18:02.524Z,55,,,58.5,,,
2017-12-15T00:18:12.524Z,55,,,58.5,,,
2017-12-15T00:18:22.526Z,55,,,58.4,,,
2017-12-15T00:18:33.519Z,55,,,58.3,,,
2017-12-15T00:18:42.524Z,55,,,58.2,,,
2017-12-15T00:18:52.526Z,55,,,58.1,,,
