Time,HwActive,PrimTSet,ChActive,HwTOutlet,ActPow,HwTSet,PrimT
2018-01-28T00:00:00.133Z,,,,37.8,,55,48.1
2018-01-28T00:00:10.133Z,,,,37.9,,55,
2018-01-28T00:00:20.133Z,,,,38,,55,47.8
2018-01-28T00:00:30.133Z,,,,38,,55,47.5
2018-01-28T00:00:41.216Z,,,,38.1,,55,47.3
2018-01-28T00:00:50.133Z,,,,38.1,,55,46.9
2018-01-28T00:01:00.134Z,,,,38.3,,55,46.7
2018-01-28T00:01:10.134Z,,,,38.3,,55,46.5
2018-01-28T00:01:20.133Z,,,,38.3,,55,46.4
2018-01-28T00:01:30.133Z,,,,38.4,,55,46.1
2018-01-28T00:01:40.213Z,,,,38.4,,55,45.9
2018-01-28T00:01:50.133Z,,,,38.4,,55,45.8
2018-01-28T00:02:00.134Z,,,,38.4,,55,45.7
2018-01-28T00:02:10.134Z,,,,38.4,,55,45.9
2018-01-28T00:02:20.134Z,,,,38.4,,55,46
2018-01-28T00:02:30.134Z,,,,38.4,,55,46.2
2018-01-28T00:02:40.213Z,,,,38.4,,55,46.4
2018-01-28T00:02:50.134Z,,,,38.4,,55,46.5
2018-01-28T00:03:00.150Z,,,,38.4,,55,46.6
2018-01-28T00:03:10.133Z,,,,38.3,,55,46.7
2018-01-28T00:03:20.134Z,,,,38.3,,55,46.8
2018-01-28T00:03:31.125Z,,,,38.3,,55,46.9
2018-01-28T00:03:40.214Z,,,,38.3,,55,47
2018-01-28T00:03:50.135Z,,,,38.3,,55,
2018-01-28T00:04:00.133Z,,,,38.3,,55,47.2
2018-01-28T00:04:10.134Z,,,,38.1,,55,47.3
2018-01-28T00:04:20.134Z,,,,38.1,,55,
2018-01-28T00:04:30.134Z,,,,38.1,,55,47.4
2018-01-28T00:04:40.214Z,,,,38.1,,55,
2018-01-28T00:04:50.135Z,,,,38.1,,55,47.5
2018-01-28T00:05:00.134Z,,,,38,,55,
2018-01-28T00:05:10.134Z,,,,38,,55,47.6
2018-01-28T00:05:20.134Z,,,,38,,55,
2018-01-28T00:05:30.134Z,,,,38,,55,47.7
2018-01-28T00:05:40.215Z,,,,38,,55,
2018-01-28T00:05:50.134Z,,,,37.9,,55,47.8
2018-01-28T00:06:00.134Z,,,,37.9,,55,
2018-01-28T00:06:10.134Z,,,,37.9,,55,
2018-01-28T00:06:25.153Z,,,,37.9,,55,48
2018-01-28T00:06:30.135Z,,,,37.8,,55,
2018-01-28T00:06:40.214Z,,,,37.8,,55,
2018-01-28T00:06:50.134Z,,,,37.8,,55,48.1
2018-01-28T00:07:00.134Z,,,,37.8,,55,
2018-01-28T00:07:10.134Z,,,,37.7,,55,
2018-01-28T00:07:20.134Z,,,,37.7,,55,
2018-01-28T00:07:30.134Z,,,,37.7,,55,
2018-01-28T00:07:40.214Z,,,,37.7,,55,
2018-01-28T00:07:50.183Z,,,,37.5,,55,48.2
2018-01-28T00:08:00.136Z,0,75,2,37.5,0,55,48.2
2018-01-28T00:08:10.136Z,,,,37.5,,55,
2018-01-28T00:08:20.134Z,,,,37.4,,55,
2018-01-28T00:08:30.135Z,,,,37.4,,55,
2018-01-28T00:08:40.224Z,,,,37.4,,55,
2018-01-28T00:08:50.134Z,,,,37.4,,55,
2018-01-28T00:09:00.134Z,,,,37.3,,55,
2018-01-28T00:09:15.154Z,,,,37.3,,55,
2018-01-28T00:09:20.134Z,,,,37.3,,55,48.3
2018-01-28T00:09:30.351Z,,,,37.3,,55,
2018-01-28T00:09:40.204Z,,,,37.2,,55,
2018-01-28T00:09:50.134Z,,,,37.2,,55,
2018-01-28T00:10:00.135Z,,,,37.2,,55,
2018-01-28T00:10:10.134Z,,,,37,,55,
2018-01-28T00:10:20.140Z,,,,37,,55,48.2
2018-01-28T00:10:30.134Z,,,,37,,55,48.3
2018-01-28T00:10:40.219Z,,,,37,,55,
2018-01-28T00:10:50.135Z,,,,36.9,,55,
2018-01-28T00:11:00.137Z,,,,36.9,,55,
2018-01-28T00:11:10.134Z,,,,36.9,,55,
2018-01-28T00:11:20.135Z,,,,36.8,,55,
2018-01-28T00:11:30.134Z,,,,36.8,,55,48.2
2018-01-28T00:11:40.214Z,,,,36.8,,55,
2018-01-28T00:11:50.134Z,,,,36.8,,55,
2018-01-28T00:12:05.349Z,,,,36.8,,55,
2018-01-28T00:12:10.135Z,,,,36.7,,55,
2018-01-28T00:12:20.134Z,,,,36.7,,55,
2018-01-28T00:12:30.134Z,,,,36.5,,55,
2018-01-28T00:12:40.215Z,,,,36.5,,55,
2018-01-28T00:12:50.136Z,,,,36.5,,55,
2018-01-28T00:13:00.135Z,,,,36.5,,55,
2018-01-28T00:13:10.135Z,,,,36.5,,55,
2018-01-28T00:13:20.135Z,,,,36.4,,55,
2018-01-28T00:13:30.135Z,,,,36.4,,55,
2018-01-28T00:13:40.215Z,,,,36.4,,55,
2018-01-28T00:13:50.135Z,,,,36.3,,55,
2018-01-28T00:14:00.135Z,,,,36.3,,55,48.1
2018-01-28T00:14:10.135Z,,,,36.3,,55,
2018-01-28T00:14:20.135Z,,,,36.3,,55,
2018-01-28T00:14:30.135Z,,,,36.2,,55,
2018-01-28T00:14:40.215Z,,,,36.2,,55,
2018-01-28T00:14:50.135Z,,,,36.2,,55,
2018-01-28T00:15:00.135Z,,,,36,,55,
2018-01-28T00:15:10.135Z,,,,36,,55,
2018-01-28T00:15:20.135Z,,,,36,,55,
2018-01-28T00:15:30.137Z,,,,36,,55,
2018-01-28T00:15:40.216Z,,,,35.9,,55,48
2018-01-28T00:15:50.135Z,,,,35.9,,55,
2018-01-28T00:16:00.135Z,,,,35.9,,55,
2018-01-28T00:16:10.135Z,,,,35.9,,55,
2018-01-28T00:16:21.134Z,,,,35.8,,55,
2018-01-28T00:16:30.135Z,,,,35.8,,55,
2018-01-28T00:16:40.215Z,,,,35.8,,55,
2018-01-28T00:16:50.135Z,,,,35.8,,55,
2018-01-28T00:17:00.135Z,,,,35.7,,55,
2018-01-28T00:17:10.135Z,,,,35.7,,55,48
2018-01-28T00:17:20.135Z,,,,35.7,,55,47.8
2018-01-28T00:17:30.135Z,,,,35.6,,55,
2018-01-28T00:17:40.218Z,,,,35.6,,55,
2018-01-28T00:17:50.135Z,,,,35.6,,55,
2018-01-28T00:18:00.135Z,,,,35.6,,55,
2018-01-28T00:18:10.136Z,,,,35.4,,55,
2018-01-28T00:18:20.139Z,,,,35.4,,55,
2018-01-28T00:18:30.136Z,,,,35.4,,55,47.7
2018-01-28T00:18:40.217Z,,,,35.3,,55,
2018-01-28T00:18:50.135Z,,,,35.3,,55,
2018-01-28T00:19:00.135Z,,,,35.3,,55,
2018-01-28T00:19:11.128Z,,,,35.3,,55,
2018-01-28T00:19:20.136Z,,,,35.2,,55,
2018-01-28T00:19:30.135Z,,,,35.2,,55,
2018-01-28T00:19:40.217Z,,,,35.2,,55,47.6
2018-01-28T00:19:50.136Z,,,,35.2,,55,
2018-01-28T00:20:00.136Z,,,,35.1,,55,
2018-01-28T00:20:10.136Z,,,,35.1,,55,
2018-01-28T00:20:20.136Z,,,,35.1,,55,
2018-01-28T00:20:30.136Z,,,,35.1,,55,
2018-01-28T00:20:40.216Z,,,,34.9,,55,
2018-01-28T00:20:50.136Z,,,,34.9,,55,
2018-01-28T00:21:00.136Z,,,,34.9,,55,47.5
2018-01-28T00:21:10.136Z,,,,34.9,,55,
2018-01-28T00:21:20.136Z,,,,34.9,,55,
2018-01-28T00:21:30.146Z,,,,34.8,,55,
2018-01-28T00:21:40.227Z,,,,34.8,,55,
2018-01-28T00:21:50.136Z,,,,34.8,,55,
2018-01-28T00:22:05.156Z,,,,34.7,,55,
2018-01-28T00:22:10.136Z,,,,34.7,,55,47.4
2018-01-28T00:22:20.136Z,,,,34.7,,55,
2018-01-28T00:22:30.136Z,,,,34.7,,55,
2018-01-28T00:22:40.218Z,,,,34.7,,55,
2018-01-28T00:22:50.136Z,,,,34.6,,55,
2018-01-28T00:23:00.136Z,,,,34.6,,55,
2018-01-28T00:23:10.136Z,,,,34.6,,55,47.3
2018-01-28T00:23:20.137Z,,,,34.6,,55,
2018-01-28T00:23:30.136Z,,,,34.4,,55,
2018-01-28T00:23:40.216Z,,,,34.4,,55,
2018-01-28T00:23:50.137Z,,,,34.4,,55,
2018-01-28T00:24:00.136Z,,,,34.4,,55,
2018-01-28T00:24:10.136Z,,,,34.3,,55,
2018-01-28T00:24:20.137Z,,,,34.3,,55,47.2
2018-01-28T00:24:30.136Z,,,,34.3,,55,
2018-01-28T00:24:40.216Z,,,,34.3,,55,
2018-01-28T00:24:56.226Z,,,,34.2,,55,
2018-01-28T00:25:00.137Z,,,,34.2,,55,
2018-01-28T00:25:10.137Z,,,,34.2,,55,
2018-01-28T00:25:20.136Z,,,,34.2,,55,
2018-01-28T00:25:30.136Z,,,,34.1,,55,
2018-01-28T00:25:40.217Z,,,,34.1,,55,47
2018-01-28T00:25:50.136Z,,,,34.1,,55,
2018-01-28T00:26:00.136Z,,,,34.1,,55,
2018-01-28T00:26:10.137Z,,,,34.1,,55,
2018-01-28T00:26:20.139Z,,,,34,,55,
2018-01-28T00:26:30.136Z,,,,34,,55,
2018-01-28T00:26:40.218Z,,,,34,,55,47
2018-01-28T00:26:50.137Z,,,,34,,55,47
2018-01-28T00:27:00.137Z,,,,34,,55,46.9
2018-01-28T00:27:10.138Z,,,,33.8,,55,
2018-01-28T00:27:20.136Z,,,,33.8,,55,
2018-01-28T00:27:30.139Z,,,,33.8,,55,
2018-01-28T00:27:45.227Z,,,,33.8,,55,
