Time,PrimT,HwTSet,PrimTSet,HwActive,ChActive,HwTOutlet,ActPow
2018-02-15T00:18:29.669Z,,54,,,,23.7,
2018-02-15T00:18:39.669Z,,54,,,,23.8,
2018-02-15T00:18:49.665Z,,54,,,,23.7,30
2018-02-15T00:18:59.704Z,64.8,54,,,,23.6,29
2018-02-15T00:19:09.670Z,,54,,,,23.7,30
2018-02-15T00:19:19.711Z,,54,,,,23.7,29
2018-02-15T00:19:29.839Z,,54,,,,23.7,
2018-02-15T00:19:39.664Z,,54,,,,23.8,
2018-02-15T00:19:49.669Z,,54,,,,23.9,
2018-02-15T00:19:59.661Z,,54,,,,23.8,
2018-02-15T00:20:09.771Z,,54,,,,23.8,
2018-02-15T00:20:19.783Z,,54,,,,23.7,30
2018-02-15T00:20:29.667Z,,54,,,,23.8,29
2018-02-15T00:20:39.720Z,,54,,,,23.9,
2018-02-15T00:20:49.667Z,,54,,,,23.9,
2018-02-15T00:20:59.704Z,,54,,,,23.9,
2018-02-15T00:21:09.690Z,,54,,,,23.8,
2018-02-15T00:21:19.692Z,64.9,54,,,,23.8,
2018-02-15T00:21:29.674Z,,54,,,,23.8,
2018-02-15T00:21:39.663Z,,54,,,,23.8,
2018-02-15T00:21:49.699Z,,54,,,,23.8,
2018-02-15T00:21:59.664Z,,54,,,,23.7,30
2018-02-15T00:22:10.113Z,,54,,,,23.7,29
2018-02-15T00:22:19.709Z,,54,,,,23.7,
2018-02-15T00:22:29.671Z,,54,,,,23.7,
2018-02-15T00:22:39.724Z,,54,,,,23.8,
2018-02-15T00:22:49.694Z,,54,,,,23.8,
2018-02-15T00:22:59.687Z,63.5,54,,0,2,23.8,0
2018-02-15T00:23:14.852Z,61.8,54,,,,23.9,
2018-02-15T00:23:20.777Z,60.9,54,,,,23.9,
2018-02-15T00:23:29.693Z,59.7,54,61,0,2,23.8,0
2018-02-15T00:23:39.704Z,58.8,54,,,,23.6,
2018-02-15T00:23:49.738Z,57.9,54,,,,23.6,
2018-02-15T00:23:59.666Z,57.3,54,,,,23.3,
2018-02-15T00:24:09.686Z,56.8,54,,,,23.2,
2018-02-15T00:24:20.811Z,56.2,54,,,,23.2,
2018-02-15T00:24:29.737Z,55.7,54,,,,23,
2018-02-15T00:24:44.841Z,55.3,54,,,,22.8,
2018-02-15T00:24:49.787Z,54.8,54,,0,2,22.8,
2018-02-15T00:24:59.797Z,58.1,54,,,,22.8,38
2018-02-15T00:25:09.837Z,58.8,54,,,,22.6,30
2018-02-15T00:25:19.745Z,59,54,,,,22.6,30
2018-02-15T00:25:29.745Z,60,54,,,,22.5,29
2018-02-15T00:25:39.676Z,60.4,54,,,,22.6,
2018-02-15T00:25:49.746Z,61.1,54,,,,22.6,30
2018-02-15T00:25:59.747Z,61.2,54,,,,22.7,
2018-02-15T00:26:09.748Z,61.6,54,,,,22.7,29
2018-02-15T00:26:19.767Z,61.9,54,,,,22.8,30
