Time,ChActive,HwActive,HwTSet,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-21T00:17:48.636Z,,,54,24.2,,,
2017-12-21T00:17:58.636Z,,,54,24,,26.5,
2017-12-21T00:18:08.737Z,,,54,24,,26.6,
2017-12-21T00:18:18.629Z,,,54,24,,,
2017-12-21T00:18:28.630Z,,,54,24,,,
2017-12-21T00:18:38.633Z,,,54,23.9,,,
2017-12-21T00:18:48.629Z,,,54,23.9,,,
2017-12-21T00:18:58.630Z,,,54,23.9,,,
2017-12-21T00:19:08.735Z,,,54,23.9,,,
2017-12-21T00:19:18.632Z,,,54,23.8,,,
2017-12-21T00:19:28.632Z,,,54,23.8,,,
2017-12-21T00:19:38.633Z,,,54,23.8,,,
2017-12-21T00:19:48.636Z,,,54,23.8,,,
2017-12-21T00:19:58.634Z,,,54,23.8,,,
2017-12-21T00:20:08.735Z,,,54,23.8,,,
2017-12-21T00:20:18.634Z,,,54,23.7,,,
2017-12-21T00:20:28.635Z,,,54,23.7,,,
2017-12-21T00:20:38.638Z,,,54,23.7,,26.7,
2017-12-21T00:20:48.631Z,,,54,23.6,,,
2017-12-21T00:20:58.638Z,,,54,23.6,,,
2017-12-21T00:21:08.746Z,,,54,23.6,,,
2017-12-21T00:21:18.636Z,,,54,23.6,,,
2017-12-21T00:21:28.640Z,,,54,23.6,,,
2017-12-21T00:21:38.637Z,,,54,23.4,,,
2017-12-21T00:21:48.637Z,,,54,23.4,,,
2017-12-21T00:21:58.641Z,,,54,23.4,,,
2017-12-21T00:22:08.744Z,,,54,23.3,,26.9,
2017-12-21T00:22:18.633Z,,,54,23.3,,,
2017-12-21T00:22:28.633Z,,,54,23.3,,,
2017-12-21T00:22:38.632Z,,,54,23.3,,,
2017-12-21T00:22:48.632Z,,,54,23.2,,,
2017-12-21T00:22:58.636Z,,,54,23.2,,,
2017-12-21T00:23:08.732Z,,,54,23.2,,,
2017-12-21T00:23:18.633Z,,,54,23.2,,,
2017-12-21T00:23:28.638Z,,,54,23.1,,,
2017-12-21T00:23:38.639Z,,,54,23.1,,,
2017-12-21T00:23:48.633Z,,,54,23.1,,,
2017-12-21T00:23:58.633Z,,,54,23.1,,,
2017-12-21T00:24:08.757Z,,,54,23,,,
2017-12-21T00:24:18.633Z,,,54,23,,,
2017-12-21T00:24:28.635Z,,,54,23,,,
2017-12-21T00:24:38.634Z,,,54,23,,,
2017-12-21T00:24:48.639Z,,,54,22.8,,,
2017-12-21T00:24:58.634Z,,,54,22.8,,,
2017-12-21T00:25:08.732Z,,,54,22.8,,,
2017-12-21T00:25:18.635Z,,,54,22.8,,,
2017-12-21T00:25:28.634Z,,,54,22.7,,,
2017-12-21T00:25:38.639Z,,,54,22.7,,,
2017-12-21T00:25:48.635Z,,,54,22.7,,,
2017-12-21T00:25:58.635Z,,,54,22.7,,,
2017-12-21T00:26:08.743Z,,,54,22.6,,,
2017-12-21T00:26:18.636Z,,,54,22.6,,,
2017-12-21T00:26:28.636Z,,,54,22.6,,,
2017-12-21T00:26:38.641Z,,,54,22.6,,,
2017-12-21T00:26:48.636Z,,,54,22.6,,,
2017-12-21T00:26:58.637Z,,,54,22.6,,,
2017-12-21T00:27:08.729Z,,,54,22.5,,,
2017-12-21T00:27:18.636Z,,,54,22.5,,,
2017-12-21T00:27:28.635Z,,,54,22.5,,,
2017-12-21T00:27:38.635Z,,,54,22.5,,,
2017-12-21T00:27:48.640Z,,,54,22.4,,26.7,
2017-12-21T00:27:58.637Z,,,54,22.4,,,
2017-12-21T00:28:08.730Z,,,54,22.4,,,
2017-12-21T00:28:18.638Z,,,54,22.4,,,
2017-12-21T00:28:28.635Z,,,54,22.4,,,
2017-12-21T00:28:38.636Z,,,54,22.2,,,
2017-12-21T00:28:48.638Z,,,54,22.2,,,
2017-12-21T00:28:58.638Z,,,54,22.2,,,
2017-12-21T00:29:08.740Z,,,54,22.2,,,
2017-12-21T00:29:18.636Z,,,54,22.1,,,
2017-12-21T00:29:28.639Z,,,54,22.1,,,
2017-12-21T00:29:38.639Z,,,54,22.1,,,
2017-12-21T00:29:48.639Z,,,54,22.1,,,
2017-12-21T00:29:58.639Z,,,54,22.1,,,
2017-12-21T00:30:08.742Z,,,54,22.1,,,
2017-12-21T00:30:18.636Z,,,54,22.1,,,
2017-12-21T00:30:28.636Z,,,54,22,,,
2017-12-21T00:30:38.637Z,,,54,22,,,
2017-12-21T00:30:48.638Z,,,54,22,,26.6,
2017-12-21T00:30:58.639Z,,,54,22,,,
2017-12-21T00:31:08.740Z,,,54,22,,,
2017-12-21T00:31:18.640Z,,,54,22,,,
2017-12-21T00:31:28.640Z,,,54,21.9,,,
2017-12-21T00:31:38.641Z,,,54,21.9,,,
2017-12-21T00:31:48.642Z,,,54,21.9,,,
2017-12-21T00:31:58.641Z,,,54,21.9,,,
2017-12-21T00:32:08.739Z,,,54,21.9,,,
2017-12-21T00:32:18.643Z,,,54,21.9,,,
2017-12-21T00:32:28.641Z,,,54,21.7,,,
2017-12-21T00:32:38.640Z,,,54,21.7,,,
2017-12-21T00:32:48.637Z,,,54,21.7,,,
2017-12-21T00:32:58.639Z,,,54,21.7,,,
2017-12-21T00:33:08.742Z,,,54,21.7,,,
2017-12-21T00:33:18.643Z,,,54,21.7,,,
2017-12-21T00:33:28.638Z,,,54,21.7,,26.5,
2017-12-21T00:33:38.639Z,,,54,21.6,,26.6,
2017-12-21T00:33:48.639Z,,,54,21.6,,26.5,
2017-12-21T00:33:58.640Z,,,54,21.6,,,
2017-12-21T00:34:08.769Z,,,54,21.6,,,
2017-12-21T00:34:18.642Z,,,54,21.6,,,
2017-12-21T00:34:28.647Z,,,54,21.6,,,
2017-12-21T00:34:38.644Z,,,54,21.5,,,
2017-12-21T00:34:48.644Z,,,54,21.5,,,
2017-12-21T00:34:58.649Z,,,54,21.5,,,
