Time,PrimTSet,HwTOutlet,HwActive,HwTSet,ActPow,PrimT,ChActive
2017-12-15T00:17:33.738Z,,26.8,,54,,42.1,
2017-12-15T00:17:43.730Z,,26.9,,54,,42.2,
2017-12-15T00:17:53.735Z,,26.9,,54,,,
2017-12-15T00:18:03.835Z,,27.1,,54,,,
2017-12-15T00:18:13.735Z,,27.1,,54,,,
2017-12-15T00:18:23.735Z,,28.6,,54,,,
2017-12-15T00:18:33.732Z,,28.9,,54,,,
2017-12-15T00:18:43.732Z,,28.4,,54,,42.3,
2017-12-15T00:18:53.731Z,,27.7,,54,,42.4,
2017-12-15T00:19:03.839Z,,27.5,,54,,42.6,
2017-12-15T00:19:13.732Z,,27.7,,54,,42.7,
2017-12-15T00:19:23.733Z,,27.7,,54,,42.8,
2017-12-15T00:19:33.732Z,,27.8,,54,,,
2017-12-15T00:19:43.743Z,,28,,54,,42.9,
2017-12-15T00:19:53.733Z,,27.8,,54,29,43,
2017-12-15T00:20:03.834Z,,27.8,,54,,43.1,
2017-12-15T00:20:13.734Z,,27.8,,54,,43.2,
2017-12-15T00:20:23.733Z,,27.8,,54,,43.3,
2017-12-15T00:20:33.738Z,,27.8,,54,,43.4,
2017-12-15T00:20:43.737Z,,27.9,,54,,43.5,
2017-12-15T00:20:53.730Z,,27.9,,54,,43.6,
2017-12-15T00:21:03.839Z,,27.9,,54,,43.7,
2017-12-15T00:21:13.739Z,,27.9,,54,30,43.8,
2017-12-15T00:21:23.762Z,,27.9,,54,29,43.9,
2017-12-15T00:21:33.739Z,,27.9,,54,,44,
2017-12-15T00:21:43.738Z,,27.9,,54,,44.1,
2017-12-15T00:21:53.739Z,,27.9,,54,,44.2,
2017-12-15T00:22:03.850Z,,27.8,,54,,,
2017-12-15T00:22:13.735Z,,27.8,,54,,44.3,
2017-12-15T00:22:23.742Z,,27.8,,54,,44.5,
2017-12-15T00:22:33.735Z,,27.7,,54,,44.6,
2017-12-15T00:22:43.735Z,,27.7,,54,,,
2017-12-15T00:22:53.736Z,,27.5,,54,,44.7,
2017-12-15T00:23:03.837Z,,27.5,,54,,44.8,
2017-12-15T00:23:13.739Z,,27.5,,54,,44.9,
2017-12-15T00:23:23.733Z,,27.5,,54,,45,
2017-12-15T00:23:33.739Z,,27.5,,54,,45.1,
2017-12-15T00:23:43.737Z,,27.4,,54,,45.2,
2017-12-15T00:23:53.732Z,,27.4,,54,,45.3,
2017-12-15T00:24:03.862Z,,27.4,,54,,45.4,
2017-12-15T00:24:13.737Z,,27.3,,54,,,
2017-12-15T00:24:23.736Z,,27.3,,54,,45.5,
2017-12-15T00:24:33.735Z,,27.2,,54,,45.6,
2017-12-15T00:24:43.738Z,,27.2,,54,,45.7,
2017-12-15T00:24:53.733Z,,27.1,,54,,45.8,
2017-12-15T00:25:03.833Z,,27.1,,54,,45.9,
2017-12-15T00:25:13.738Z,,27.1,,54,30,46,
2017-12-15T00:25:28.847Z,,26.9,,54,29,,
2017-12-15T00:25:33.734Z,,26.9,,54,,46.1,
2017-12-15T00:25:43.733Z,,26.9,,54,,46.2,
2017-12-15T00:25:53.739Z,,26.9,,54,,46.3,
2017-12-15T00:26:03.835Z,,26.7,,54,,,
2017-12-15T00:26:13.739Z,,,,,,46.4,
2017-12-15T00:26:23.735Z,,26.8,,54,,46.5,
2017-12-15T00:26:33.742Z,,26.8,,54,30,,
2017-12-15T00:26:43.736Z,,26.8,,54,29,46.6,
2017-12-15T00:26:53.743Z,,26.8,,54,,46.7,
2017-12-15T00:27:03.836Z,,26.8,,54,,46.8,
2017-12-15T00:27:13.744Z,,26.8,,54,,46.9,
2017-12-15T00:27:23.736Z,,26.8,0,54,0,45.6,2
2017-12-15T00:27:33.736Z,,26.8,,54,,43.9,
2017-12-15T00:27:43.736Z,,26.7,,54,,43.3,
2017-12-15T00:27:53.746Z,,26.5,,54,,42.6,
2017-12-15T00:28:03.859Z,,26.2,,54,,41.8,
2017-12-15T00:28:13.747Z,,26.1,,54,,41.4,
2017-12-15T00:28:23.737Z,,25.9,,54,,40.9,
2017-12-15T00:28:33.737Z,,25.6,,54,,40.6,
2017-12-15T00:28:43.736Z,,25.5,,54,,40.2,
2017-12-15T00:28:53.742Z,,25.4,,54,,39.9,
2017-12-15T00:29:03.849Z,,25.3,,54,,39.6,
2017-12-15T00:29:13.740Z,,25,,54,,39.4,
2017-12-15T00:29:23.738Z,,24.9,,54,,39.2,
2017-12-15T00:29:33.738Z,,24.8,,54,,38.9,
2017-12-15T00:29:43.739Z,,24.7,,54,,38.7,
2017-12-15T00:29:53.738Z,,24.5,,54,,38.5,
2017-12-15T00:30:03.838Z,,24.5,,54,,38.3,
2017-12-15T00:30:13.736Z,,24.4,,54,,38.2,
2017-12-15T00:30:23.737Z,,24.3,,54,,38.1,
2017-12-15T00:30:33.738Z,,24.2,,54,,,
2017-12-15T00:30:43.738Z,,24,,54,,,
2017-12-15T00:30:53.739Z,,24.2,,54,,,
2017-12-15T00:31:03.852Z,,24.3,,54,,,
2017-12-15T00:31:13.744Z,,24,,54,,38,
2017-12-15T00:31:23.741Z,,23.8,,54,,,
2017-12-15T00:31:33.740Z,,23.4,,54,,,
2017-12-15T00:31:43.738Z,,23.2,,54,,,
2017-12-15T00:31:53.739Z,,22.8,,54,,,
2017-12-15T00:32:03.861Z,,22.6,,54,,,
2017-12-15T00:32:13.738Z,,22.4,,54,,38.1,
2017-12-15T00:32:23.741Z,,22.1,,54,,,
2017-12-15T00:32:33.738Z,,21.9,,54,,,
2017-12-15T00:32:43.738Z,,21.6,,54,,,
2017-12-15T00:32:53.737Z,,21.5,,54,,38.2,
2017-12-15T00:33:03.889Z,,21.2,,54,,,
2017-12-15T00:33:13.743Z,,,,,,38.3,
2017-12-15T00:33:23.814Z,,20.9,,54,,,
2017-12-15T00:33:33.738Z,,20.8,,54,,38.4,
2017-12-15T00:33:43.737Z,,20.5,,54,,,
2017-12-15T00:33:53.742Z,,20.4,,54,,,
2017-12-15T00:34:03.872Z,,20.2,,54,,38.5,
2017-12-15T00:34:13.742Z,,20.1,,54,,,
2017-12-15T00:34:23.741Z,,20,,54,,38.6,
2017-12-15T00:34:33.744Z,,19.8,,54,,,
2017-12-15T00:34:43.742Z,,19.8,,54,,,
2017-12-15T00:34:53.740Z,,19.7,,54,,,
2017-12-15T00:35:03.854Z,,19.7,,54,,,
2017-12-15T00:35:13.745Z,,19.6,,54,,38.7,
2017-12-15T00:35:23.744Z,,19.6,,54,,,
2017-12-15T00:35:33.745Z,,19.4,,54,,,
2017-12-15T00:35:43.746Z,,19.4,,54,,,
