Time,HwTOutlet,HwActive,PrimT,HwTSet,ChActive,PrimTSet,ActPow
2017-12-20T00:17:57.811Z,28.3,,34.4,54,,,
2017-12-20T00:18:07.919Z,28.3,,33.9,54,,,
2017-12-20T00:18:17.810Z,28.3,,33.6,54,,,
2017-12-20T00:18:27.815Z,28.3,,33.3,54,,,
2017-12-20T00:18:37.813Z,28.4,,32.9,54,,,
2017-12-20T00:18:47.812Z,28.3,,32.7,54,,,
2017-12-20T00:18:57.814Z,28.4,,32.5,54,,,
2017-12-20T00:19:07.916Z,28.4,,32.3,54,,,
2017-12-20T00:19:17.814Z,28.3,,32.2,54,,,
2017-12-20T00:19:27.816Z,28.4,,32,54,,,
2017-12-20T00:19:37.815Z,28.3,,31.9,54,,,
2017-12-20T00:19:47.816Z,28.3,,31.7,54,,,
2017-12-20T00:19:57.816Z,28.3,,31.6,54,,,
2017-12-20T00:20:07.914Z,28.3,,,54,,,
2017-12-20T00:20:17.817Z,28.3,,,54,,,
2017-12-20T00:20:27.817Z,28.3,,,54,,,
2017-12-20T00:20:37.815Z,28.1,,,54,,,
2017-12-20T00:20:47.812Z,28.1,,,54,,,
2017-12-20T00:20:57.820Z,28.1,,31.5,54,,,
2017-12-20T00:21:07.921Z,28.3,,,54,,,
2017-12-20T00:21:17.815Z,28.3,,,54,,,
2017-12-20T00:21:27.818Z,28.3,,,54,,,
2017-12-20T00:21:37.813Z,28.3,,,54,,,
2017-12-20T00:21:47.818Z,28.1,,,54,,,
2017-12-20T00:21:57.813Z,28.1,,,54,,,
2017-12-20T00:22:07.905Z,28.1,,,54,,,
2017-12-20T00:22:17.815Z,28.1,,,54,,,
2017-12-20T00:22:27.827Z,28,,,54,,,
2017-12-20T00:22:37.817Z,28,,,54,,,
2017-12-20T00:22:47.813Z,28,,,54,,,
2017-12-20T00:22:57.825Z,27.9,,,54,,,
2017-12-20T00:23:07.903Z,27.9,,31.6,54,,,
2017-12-20T00:23:17.814Z,27.8,,,54,,,
2017-12-20T00:23:27.819Z,27.8,,,54,,,
2017-12-20T00:23:37.819Z,27.8,,,54,,,
2017-12-20T00:23:47.813Z,27.7,,,54,,,
2017-12-20T00:23:57.817Z,27.7,,31.7,54,,,
2017-12-20T00:24:07.945Z,27.5,,,54,,,
