Time,HwTOutlet,PrimTSet,PrimT,ChActive,HwTSet,HwActive,ActPow
2018-01-05T00:17:57.973Z,29.1,,,,54,,
2018-01-05T00:18:07.983Z,29.1,,,,54,,
2018-01-05T00:18:17.973Z,29.1,,,,54,,
2018-01-05T00:18:27.973Z,29.1,,,,54,,
2018-01-05T00:18:37.984Z,29.1,,,,54,,
2018-01-05T00:18:47.974Z,29.1,,,,54,,
2018-01-05T00:18:57.972Z,29.1,,,,54,,
2018-01-05T00:19:07.974Z,29.1,,37.1,,54,,
2018-01-05T00:19:17.974Z,29.1,,,,54,,
2018-01-05T00:19:27.983Z,29.1,,,,54,,
2018-01-05T00:19:37.974Z,29.1,,,,54,,
2018-01-05T00:19:47.984Z,29.1,,37.2,,54,,
2018-01-05T00:19:57.983Z,29.1,,,,54,,
2018-01-05T00:20:07.990Z,29,,,,54,,
2018-01-05T00:20:17.983Z,29.1,,37.3,,54,,
2018-01-05T00:20:27.982Z,29,,,,54,,
2018-01-05T00:20:37.984Z,29,,,,54,,
2018-01-05T00:20:47.974Z,29,,,,54,,
2018-01-05T00:20:57.983Z,29.1,,,,54,,
2018-01-05T00:21:07.976Z,29,,37.4,,54,,
2018-01-05T00:21:17.982Z,29,,,,54,,
2018-01-05T00:21:27.983Z,29,,,,54,,
2018-01-05T00:21:37.984Z,29.1,,,,54,,
2018-01-05T00:21:47.982Z,29,,,,54,,
2018-01-05T00:21:57.983Z,29,,,,54,,
2018-01-05T00:22:07.983Z,29,,,,54,,
2018-01-05T00:22:17.982Z,29,,,,54,,
2018-01-05T00:22:27.982Z,29,,,,54,,
2018-01-05T00:22:37.983Z,29,,,,54,,
2018-01-05T00:22:47.982Z,29,,,,54,,
2018-01-05T00:22:57.983Z,29,,,,54,,
2018-01-05T00:23:07.974Z,29,,,,54,,
2018-01-05T00:23:17.981Z,29,,,,54,,
2018-01-05T00:23:27.990Z,29,,,,54,,
2018-01-05T00:23:37.983Z,29,,,,54,,
2018-01-05T00:23:47.982Z,29,,,,54,,
2018-01-05T00:23:57.983Z,29,,,,54,,
2018-01-05T00:24:07.984Z,29,,39.1,1,54,0,43
2018-01-05T00:24:17.981Z,28.9,,43.1,,54,,31
2018-01-05T00:24:27.988Z,28.9,,41.7,,54,,29
2018-01-05T00:24:37.987Z,28.9,,42,,54,,29
2018-01-05T00:24:47.982Z,28.9,,42.3,,54,,30
2018-01-05T00:24:57.983Z,28.9,,42.4,,54,,29
2018-01-05T00:25:07.981Z,28.9,,42.6,,54,,
2018-01-05T00:25:17.981Z,28.9,,,,54,,
2018-01-05T00:25:27.983Z,28.9,,42.7,,54,,
2018-01-05T00:25:37.982Z,28.9,,,,54,,
2018-01-05T00:25:47.985Z,28.9,,42.8,,54,,
2018-01-05T00:25:57.983Z,28.9,,43,,54,,
2018-01-05T00:26:07.982Z,28.9,,,,54,,
2018-01-05T00:26:17.981Z,28.9,,43.1,,54,,
2018-01-05T00:26:27.983Z,28.9,,43.2,,54,,
2018-01-05T00:26:37.981Z,28.9,,,,54,,
2018-01-05T00:26:47.981Z,28.9,,43.3,,54,,
2018-01-05T00:26:57.983Z,28.9,,,,54,,
2018-01-05T00:27:07.981Z,28.9,,,,54,,
