Time,PrimTSet,HwTOutlet,HwTSet,PrimT,HwActive,ActPow,ChActive
2017-12-28T00:19:56.389Z,,29,54,,,,
2017-12-28T00:20:06.429Z,,29,54,,,,
2017-12-28T00:20:16.390Z,,28.9,54,,,,
2017-12-28T00:20:26.392Z,,28.9,54,,,,
2017-12-28T00:20:36.397Z,,28.7,54,,,,
2017-12-28T00:20:46.392Z,,28.6,54,,,,
2017-12-28T00:20:56.393Z,,28.5,54,,,,
2017-12-28T00:21:06.399Z,,28.5,54,,,,
2017-12-28T00:21:16.393Z,,28.4,54,34.3,0,44,1
2017-12-28T00:21:26.397Z,,28.4,54,39.3,,36,
2017-12-28T00:21:36.398Z,,28.3,54,38.8,,30,
2017-12-28T00:21:46.396Z,,28.1,54,38.6,,29,
2017-12-28T00:21:56.396Z,,28.1,54,39.1,,,
2017-12-28T00:22:06.392Z,,28.1,54,39.4,,,
2017-12-28T00:22:16.391Z,,28.1,54,,,,
2017-12-28T00:22:26.390Z,,28.1,54,39.5,,,
2017-12-28T00:22:36.390Z,,28.3,54,39.6,,,
2017-12-28T00:22:46.395Z,,28.4,54,,,,
2017-12-28T00:22:56.416Z,,28.5,54,39.7,,,
2017-12-28T00:23:06.392Z,,28.7,54,39.8,,,
2017-12-28T00:23:16.398Z,,28.9,54,40,,29,
2017-12-28T00:23:26.394Z,,29,54,,,30,
2017-12-28T00:23:36.392Z,,29.1,54,,,29,
2017-12-28T00:23:46.399Z,,29.1,54,40.1,,,
2017-12-28T00:23:56.398Z,,29.2,54,,,,
2017-12-28T00:24:06.404Z,,29.3,54,,,,
2017-12-28T00:24:16.391Z,,29.3,54,,,,
2017-12-28T00:24:26.397Z,,29.5,54,40.2,,,
2017-12-28T00:24:36.398Z,,29.5,54,,,30,
2017-12-28T00:24:46.399Z,,29.5,54,40.4,,29,
2017-12-28T00:24:56.399Z,,29.5,54,40.5,,30,
2017-12-28T00:25:06.398Z,,29.6,54,40.6,,29,
2017-12-28T00:25:16.392Z,,29.6,54,40.7,,,
2017-12-28T00:25:26.400Z,,29.6,54,40.8,,,
2017-12-28T00:25:36.484Z,,29.6,54,41,,,
2017-12-28T00:25:46.393Z,,29.7,54,41.1,,,
2017-12-28T00:25:56.404Z,,29.7,54,41.2,,,
2017-12-28T00:26:06.399Z,,29.8,54,41.3,,,
2017-12-28T00:26:16.394Z,,30,54,41.4,,,
2017-12-28T00:26:26.393Z,,30,54,41.6,,,
2017-12-28T00:26:36.397Z,,30.1,54,41.7,,,
2017-12-28T00:26:46.392Z,,30.1,54,41.8,,,
2017-12-28T00:26:56.400Z,,30.2,54,42,,30,
2017-12-28T00:27:06.393Z,,30.3,54,,,29,
2017-12-28T00:27:16.392Z,,30.3,54,42.1,,,
2017-12-28T00:27:26.392Z,,30.4,54,42.2,,,
2017-12-28T00:27:36.397Z,,30.6,54,42.3,,,
2017-12-28T00:27:46.394Z,,30.7,54,42.4,,,
2017-12-28T00:27:56.394Z,,30.7,54,42.6,,,
2017-12-28T00:28:06.396Z,,30.8,54,42.8,,,
2017-12-28T00:28:16.393Z,,30.9,54,,,,
2017-12-28T00:28:26.396Z,,31,54,43,,,
2017-12-28T00:28:36.393Z,,31.2,54,43.1,,,
2017-12-28T00:28:46.396Z,,31.2,54,43.2,,,
2017-12-28T00:28:56.403Z,,31.3,54,43.3,,,
2017-12-28T00:29:06.406Z,,31.4,54,43.4,0,0,1
2017-12-28T00:29:16.393Z,,31.4,54,40.8,,,
2017-12-28T00:29:26.443Z,,31.5,54,39.9,,,
2017-12-28T00:29:36.403Z,,31.6,54,39.4,,,
2017-12-28T00:29:46.399Z,,31.8,54,38.9,,,
2017-12-28T00:29:56.404Z,,31.9,54,37.9,,,
2017-12-28T00:30:06.394Z,,31.9,54,37.8,,,
2017-12-28T00:30:16.408Z,,32,54,36.9,,,
2017-12-28T00:30:26.399Z,,32,54,,,,
2017-12-28T00:30:36.401Z,,32.1,54,36.5,,,
2017-12-28T00:30:46.408Z,,32.1,54,36.2,,,
2017-12-28T00:30:56.405Z,,32.1,54,35.9,,,
2017-12-28T00:31:06.399Z,,32.1,54,35.7,,,
2017-12-28T00:31:16.405Z,,32.1,54,35.5,,,
2017-12-28T00:31:26.403Z,,32.1,54,35.3,,,
2017-12-28T00:31:36.404Z,,32,54,34.9,,,
2017-12-28T00:31:46.410Z,,32,54,34.8,,,
2017-12-28T00:31:56.407Z,,32,54,34.7,,,
2017-12-28T00:32:06.397Z,,31.9,54,34.4,,,
2017-12-28T00:32:16.405Z,,31.9,54,,,,
2017-12-28T00:32:26.397Z,,31.9,54,,,,
2017-12-28T00:32:36.415Z,,31.8,54,38.3,0,39,1
2017-12-28T00:32:46.399Z,,31.8,54,41.1,,33,
2017-12-28T00:32:56.397Z,,31.8,54,40.8,,29,
2017-12-28T00:33:06.397Z,,31.6,54,41,,,
2017-12-28T00:33:16.398Z,,31.8,54,41.1,,30,
2017-12-28T00:33:26.395Z,,31.8,54,41.5,,29,
