Time,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive,ActPow
2018-02-14T00:17:28.855Z,54,12.5,,43.5,,,
2018-02-14T00:17:38.875Z,54,12.3,,43.2,,,
2018-02-14T00:17:48.843Z,54,12.3,,42.9,,,
2018-02-14T00:17:58.962Z,54,12.3,,42.6,,,
2018-02-14T00:18:08.844Z,54,12.2,,42.3,,,
2018-02-14T00:18:18.964Z,54,12.2,,42.1,,,
2018-02-14T00:18:28.843Z,54,12.2,,41.9,,,
2018-02-14T00:18:38.850Z,54,11.6,,41.8,,,
2018-02-14T00:18:48.865Z,54,11.6,,41.6,,,
2018-02-14T00:18:58.890Z,54,12,,41.5,1,0,44
2018-02-14T00:19:08.855Z,54,12.5,,45.5,,,36
2018-02-14T00:19:18.976Z,54,12.9,,46,,,29
2018-02-14T00:19:28.880Z,54,13.2,,47,,,
2018-02-14T00:19:38.853Z,54,13.4,,47.8,,,
2018-02-14T00:19:48.857Z,54,13.6,,48.3,,,
2018-02-14T00:19:58.910Z,54,13.6,,49,,,
2018-02-14T00:20:08.905Z,54,13.7,,49.3,,,
2018-02-14T00:20:18.951Z,54,13.9,,49.6,,,
2018-02-14T00:20:28.842Z,54,13.9,,50,,,
2018-02-14T00:20:38.877Z,54,13.9,,50.2,,,
2018-02-14T00:20:48.846Z,54,13.9,,50.4,,,
2018-02-14T00:20:58.879Z,54,13.9,,50.6,,,30
2018-02-14T00:21:08.989Z,54,13.9,,50.9,,,29
2018-02-14T00:21:19.000Z,54,13.9,,51.1,,,30
2018-02-14T00:21:28.846Z,54,14,,51.2,,,29
2018-02-14T00:21:38.859Z,54,14,61,51.4,1,0,29
2018-02-14T00:21:48.901Z,54,14,,51.5,,,
2018-02-14T00:21:58.869Z,54,14,,51.6,,,
2018-02-14T00:22:08.869Z,54,14.2,,51.7,,,
2018-02-14T00:22:18.989Z,54,14,,51.8,,,30
2018-02-14T00:22:28.948Z,54,14,,,,,
2018-02-14T00:22:38.896Z,54,14.2,,51.9,,,29
2018-02-14T00:22:48.878Z,54,14,,,,,30
2018-02-14T00:22:58.876Z,54,14.2,,52,,,29
2018-02-14T00:23:08.857Z,54,14.2,,,,,
2018-02-14T00:23:18.995Z,54,14.2,,,,,
2018-02-14T00:23:28.851Z,54,14,,,,,
2018-02-14T00:23:38.902Z,54,14,,,,,
2018-02-14T00:23:48.894Z,54,14.2,,52.1,,,
2018-02-14T00:23:58.845Z,54,14,,,,,
2018-02-14T00:24:08.941Z,54,14.2,,,,,
2018-02-14T00:24:19.061Z,54,14.2,,52.2,,,
2018-02-14T00:24:28.866Z,54,14.2,,,,,
2018-02-14T00:24:38.851Z,54,14.2,,52.3,,,
2018-02-14T00:24:48.845Z,54,14,,,,,
2018-02-14T00:24:58.850Z,54,14.2,,52.4,,,30
2018-02-14T00:25:08.862Z,54,14.2,,,,,29
2018-02-14T00:25:18.944Z,54,14.2,,52.6,,,30
2018-02-14T00:25:28.862Z,54,14.3,,,,,29
2018-02-14T00:25:39.025Z,54,14.2,,52.7,,,
2018-02-14T00:25:48.895Z,54,14.2,,52.8,,,
2018-02-14T00:25:58.880Z,54,14.2,,,,,
2018-02-14T00:26:08.862Z,54,14.2,,52.9,,,
2018-02-14T00:26:19.014Z,54,14.2,,,,,
2018-02-14T00:26:28.877Z,54,14.3,,53,,,
2018-02-14T00:26:38.952Z,54,14.2,,53.1,,,30
2018-02-14T00:26:49.123Z,54,14.2,,,,,29
2018-02-14T00:26:58.847Z,54,14.2,,53.2,,,
2018-02-14T00:27:08.912Z,54,14.2,,,,,
2018-02-14T00:27:19.023Z,54,14.3,,53.3,,,
2018-02-14T00:27:28.945Z,54,14.3,,,,,
2018-02-14T00:27:38.956Z,54,14.3,,53.4,,,
2018-02-14T00:27:48.895Z,54,14.3,,53.5,,,
2018-02-14T00:27:58.856Z,54,14.3,,,,,
2018-02-14T00:28:08.845Z,54,14.3,,53.6,,,
2018-02-14T00:28:18.946Z,54,14.5,,,,,
2018-02-14T00:28:29.024Z,54,14.5,,53.7,,,
2018-02-14T00:28:38.882Z,54,14.3,,,,,
2018-02-14T00:28:48.860Z,54,14.2,,53.8,,,
2018-02-14T00:28:58.864Z,54,14.3,,,,,
2018-02-14T00:29:08.892Z,54,14.3,,53.9,,,30
2018-02-14T00:29:18.961Z,54,14.3,,,,,29
2018-02-14T00:29:29.273Z,54,14.3,,54,,,
2018-02-14T00:29:38.857Z,54,14.5,,,,,
2018-02-14T00:29:48.866Z,54,14.5,,54.1,,,
2018-02-14T00:29:58.857Z,54,14.3,,,,,
2018-02-14T00:30:08.899Z,54,14.5,,54.3,,,30
2018-02-14T00:30:18.997Z,54,14.3,,,,,29
2018-02-14T00:30:28.858Z,54,14.5,,54.4,,,30
2018-02-14T00:30:38.908Z,54,14.5,,,,,29
2018-02-14T00:30:48.847Z,54,14.5,,,,,30
2018-02-14T00:30:59.864Z,54,14.3,,54.5,,,29
2018-02-14T00:31:08.851Z,54,14.5,,53.8,1,0,0
2018-02-14T00:31:19.012Z,54,13.7,,51.5,,,
2018-02-14T00:31:28.899Z,54,13.4,,50.5,,,
2018-02-14T00:31:38.853Z,54,13.1,,49.8,,,
2018-02-14T00:31:48.850Z,54,12.9,,48.9,,,
2018-02-14T00:31:58.885Z,54,12.8,,48.4,,,
2018-02-14T00:32:08.880Z,54,12.8,,47.9,,,
2018-02-14T00:32:19.041Z,54,12.6,,47.3,,,
2018-02-14T00:32:28.986Z,54,12.5,,46.9,,,
2018-02-14T00:32:38.932Z,54,12.5,,46.5,,,
2018-02-14T00:32:48.853Z,54,12.5,,46.2,,,
2018-02-14T00:32:58.868Z,54,12.3,,45.9,,,
2018-02-14T00:33:08.893Z,54,12.3,,45.6,,,
2018-02-14T00:33:19.009Z,54,12.3,,45.3,,,
2018-02-14T00:33:38.861Z,54,12.3,,44.9,,,
2018-02-14T00:33:48.906Z,54,12.2,,44.7,,,
2018-02-14T00:33:59.292Z,54,12.2,,44.5,,,
2018-02-14T00:34:09.123Z,54,12.2,,44.4,,,
2018-02-14T00:34:19.061Z,54,11.8,,,,,
2018-02-14T00:34:28.909Z,54,12.9,,44.3,,,
2018-02-14T00:34:38.931Z,54,12,,,,,
2018-02-14T00:34:48.953Z,54,11.1,,,,,
2018-02-14T00:34:58.854Z,54,10.5,,,,,
2018-02-14T00:35:08.984Z,54,10.3,,,,,
2018-02-14T00:35:18.960Z,54,10.1,,44.4,,,
2018-02-14T00:35:28.858Z,54,10,,,,,
2018-02-14T00:35:38.891Z,54,10,,44.5,,,
2018-02-14T00:35:49.193Z,54,9.8,,,,,
2018-02-14T00:35:58.850Z,54,9.8,,44.6,,,
2018-02-14T00:36:09.438Z,54,9.8,,,,,
2018-02-14T00:36:19.270Z,54,9.6,,44.7,,,
2018-02-14T00:36:28.943Z,54,9.6,,,,,
2018-02-14T00:36:39.002Z,54,9.6,,,,,
2018-02-14T00:36:48.875Z,54,9.4,,44.8,,,
2018-02-14T00:36:59.017Z,54,9.4,,,,,
2018-02-14T00:37:08.854Z,54,9.4,,,,,
2018-02-14T00:37:19.116Z,54,9.4,,,,,
2018-02-14T00:37:28.852Z,54,9.2,,,,,
2018-02-14T00:37:39.008Z,54,9.2,,,,,
2018-02-14T00:37:48.875Z,54,9.2,,44.9,,,
2018-02-14T00:37:58.874Z,54,9.8,,48.4,1,0,38
2018-02-14T00:38:08.855Z,54,10.9,,49.7,,,29
2018-02-14T00:38:18.997Z,54,12,,48.1,,,
2018-02-14T00:38:28.898Z,54,12.5,,49.2,,,
2018-02-14T00:38:39.004Z,54,12.9,,49.7,,,
2018-02-14T00:38:48.851Z,54,13.2,,,,,
2018-02-14T00:38:58.866Z,54,13.4,,49.9,,,30
2018-02-14T00:39:08.884Z,54,13.4,,,,,29
2018-02-14T00:39:19.000Z,54,13.7,,50,,,
2018-02-14T00:39:28.852Z,54,13.7,,50.1,,,
2018-02-14T00:39:38.899Z,54,13.7,,50.2,,,
2018-02-14T00:39:48.854Z,54,13.6,,50.3,,,
2018-02-14T00:39:58.860Z,54,13.7,,50.4,,,
2018-02-14T00:40:08.869Z,54,13.7,,50.5,,,
2018-02-14T00:40:19.002Z,54,13.7,,50.6,,,
2018-02-14T00:40:28.858Z,54,13.7,,50.9,,,
2018-02-14T00:40:38.946Z,54,13.7,,51,,,
2018-02-14T00:40:48.933Z,54,13.9,,51.1,,,
2018-02-14T00:40:58.854Z,54,13.7,,,,,
2018-02-14T00:41:08.917Z,54,13.9,,51.2,,,
2018-02-14T00:41:19.210Z,54,13.9,,51.3,,,30
2018-02-14T00:41:28.855Z,54,13.9,,,,,29
2018-02-14T00:41:38.875Z,54,13.9,,51.4,,,30
2018-02-14T00:41:48.897Z,54,13.9,,,,,
2018-02-14T00:41:59.141Z,54,13.9,,51.5,,,29
2018-02-14T00:42:08.869Z,54,13.9,,,,,30
2018-02-14T00:42:18.980Z,54,13.9,,51.6,,,29
2018-02-14T00:42:28.900Z,54,13.9,,,,,
2018-02-14T00:42:38.858Z,54,13.7,,,,,30
2018-02-14T00:42:48.862Z,54,13.9,,51.7,,,29
2018-02-14T00:42:59.061Z,54,14,,51.8,,,
2018-02-14T00:43:08.882Z,54,14,,,,,
2018-02-14T00:43:19.011Z,54,14,,51.9,,,30
2018-02-14T00:43:29.327Z,54,14,,52,,,29
2018-02-14T00:43:38.943Z,54,14,,,,,
2018-02-14T00:43:48.939Z,54,14,,52.1,,,
2018-02-14T00:43:58.954Z,54,14,,52.2,,,
2018-02-14T00:44:08.997Z,54,14,,52.3,,,
2018-02-14T00:44:19.017Z,54,14,,52.4,,,
2018-02-14T00:44:28.952Z,54,14,,,,,
2018-02-14T00:44:39.435Z,54,14,,52.6,,,
2018-02-14T00:44:48.865Z,54,14,,52.7,,,
2018-02-14T00:44:58.860Z,54,14.3,,,,,
2018-02-14T00:45:08.883Z,54,14.2,,52.8,,,
2018-02-14T00:45:19.041Z,54,14.2,,52.9,,,
2018-02-14T00:45:28.966Z,54,14.2,,53,,,30
2018-02-14T00:45:38.854Z,54,14.2,,,,,29
2018-02-14T00:45:48.926Z,54,14.3,,53.1,,,
2018-02-14T00:45:58.883Z,54,14.2,,,,,
2018-02-14T00:46:08.863Z,54,14.2,,53.2,,,
2018-02-14T00:46:19.138Z,54,14.2,,,,,
2018-02-14T00:46:28.907Z,54,14.2,,53.3,,,
2018-02-14T00:46:38.877Z,54,14.2,,53.4,,,
2018-02-14T00:46:49.005Z,54,14.2,,,,,
2018-02-14T00:46:58.857Z,54,14.2,,53.5,,,
2018-02-14T00:47:08.858Z,54,14.2,,53.6,,,
2018-02-14T00:47:19.303Z,54,14.5,,,,,
2018-02-14T00:47:28.861Z,54,14.3,,53.7,,,
2018-02-14T00:47:38.856Z,54,14.3,,,,,
2018-02-14T00:47:48.872Z,54,14.3,,53.8,,,
2018-02-14T00:47:59.053Z,54,14.3,,,,,
2018-02-14T00:48:09.033Z,54,14.3,,53.9,,,
2018-02-14T00:48:19.038Z,54,14.3,,54,,,30
2018-02-14T00:48:28.959Z,54,14.2,,,,,29
