Time,PrimTSet,ActPow,HwActive,PrimT,HwTSet,ChActive,HwTOutlet
2018-01-03T00:17:06.322Z,,,,40.9,54,,30.3
2018-01-03T00:17:16.318Z,,,,40.5,54,,30.3
2018-01-03T00:17:26.320Z,,,,40.2,54,,30.2
2018-01-03T00:17:36.321Z,,,,39.8,54,,30.1
2018-01-03T00:17:46.318Z,,,,39.5,54,,30
2018-01-03T00:17:56.317Z,,,,39.3,54,,29.8
2018-01-03T00:18:06.322Z,,,,39.1,54,,29.8
2018-01-03T00:18:16.323Z,,,,38.9,,,
2018-01-03T00:18:26.323Z,,,,38.6,54,,29.6
2018-01-03T00:18:36.324Z,,42,0,41.3,54,2,29.5
2018-01-03T00:18:46.320Z,,30,,43.3,54,,29.5
2018-01-03T00:18:56.324Z,,29,,43.4,54,,29.5
2018-01-03T00:19:06.319Z,,,,44.5,54,,29.6
2018-01-03T00:19:16.332Z,,,,45,54,,29.6
2018-01-03T00:19:26.320Z,,,,45.6,54,,29.7
2018-01-03T00:19:36.323Z,,0,0,43.7,54,2,29.8
2018-01-03T00:19:46.320Z,,,,42.3,54,,30
2018-01-03T00:19:56.324Z,,,,41.8,54,,30.1
2018-01-03T00:20:06.320Z,,,,41.1,54,,30.1
2018-01-03T00:20:16.325Z,,,,40.5,54,,30.1
2018-01-03T00:20:26.322Z,,,,40.2,54,,30
2018-01-03T00:20:36.322Z,,,,39.8,54,,29.8
2018-01-03T00:20:46.333Z,,,,39.5,54,,29.7
2018-01-03T00:20:56.326Z,,,,39.2,54,,29.7
2018-01-03T00:21:06.325Z,,,,38.8,54,,29.6
2018-01-03T00:21:16.329Z,,,,38.6,,,
2018-01-03T00:21:26.336Z,,,,38.4,54,,29.3
2018-01-03T00:21:36.326Z,,,,38.2,54,,29.3
2018-01-03T00:21:46.323Z,,,,38,54,,29.2
2018-01-03T00:21:56.320Z,,,,37.9,54,,29.2
2018-01-03T00:22:06.322Z,,,,37.7,54,,29.1
2018-01-03T00:22:16.328Z,,,,37.6,54,,29
2018-01-03T00:22:26.331Z,,,,37.5,54,,29
2018-01-03T00:22:36.322Z,,,,,54,,28.9
2018-01-03T00:22:46.332Z,,,,37.4,54,,28.7
2018-01-03T00:22:56.326Z,,,,,54,,28.7
2018-01-03T00:23:06.324Z,,,,37.2,54,,28.7
2018-01-03T00:23:16.321Z,,,,37.1,54,,28.9
2018-01-03T00:23:26.324Z,,,,36.9,54,,29
2018-01-03T00:23:36.322Z,,42,0,39.6,54,2,29.1
2018-01-03T00:23:46.323Z,,30,,41.5,54,,29.1
2018-01-03T00:23:56.324Z,,29,,41.8,54,,29.2
2018-01-03T00:24:06.325Z,,,,43,54,,29.2
2018-01-03T00:24:16.334Z,,,,43.6,54,,29.3
2018-01-03T00:24:26.327Z,,0,0,41.7,54,2,29.3
2018-01-03T00:24:36.327Z,,,,40.5,54,,29.5
2018-01-03T00:24:46.328Z,,,,40,54,,29.5
2018-01-03T00:24:56.330Z,,,,39.4,54,,29.3
2018-01-03T00:25:06.322Z,,,,38.8,54,,29.2
2018-01-03T00:25:16.332Z,,,,38.4,54,,29.1
2018-01-03T00:25:26.331Z,,,,38.1,54,,29
2018-01-03T00:25:36.332Z,,,,37.8,54,,29
2018-01-03T00:25:46.322Z,,,,37.6,54,,28.9
2018-01-03T00:25:56.324Z,,,,37.3,54,,28.7
2018-01-03T00:26:06.341Z,,,,37.1,54,,28.6
2018-01-03T00:26:16.330Z,,,,36.9,,,
2018-01-03T00:26:26.326Z,,,,36.7,54,,28.4
2018-01-03T00:26:36.349Z,,,,36.5,54,,28.3
2018-01-03T00:26:46.324Z,,,,36.3,54,,28.1
2018-01-03T00:26:56.329Z,,,,36.2,54,,28.1
2018-01-03T00:27:06.332Z,,,,36,54,,28
2018-01-03T00:27:16.332Z,,,,35.9,54,,28
2018-01-03T00:27:26.340Z,,,,35.8,54,,28
2018-01-03T00:27:36.333Z,,,,35.7,54,,27.9
2018-01-03T00:27:46.332Z,,,,35.6,54,,27.9
2018-01-03T00:27:56.339Z,,,,35.5,54,,27.8
2018-01-03T00:28:06.336Z,,,,,54,,27.8
2018-01-03T00:28:16.336Z,,,,35.4,,,
2018-01-03T00:28:26.332Z,,,,35.3,54,,27.7
2018-01-03T00:28:36.335Z,,,,,54,,27.5
2018-01-03T00:28:46.334Z,,,,35.2,54,,27.4
2018-01-03T00:28:56.332Z,,,,,54,,27.4
2018-01-03T00:29:06.342Z,,,,35.1,54,,27.3
2018-01-03T00:29:16.367Z,,,,34.9,54,,27.3
2018-01-03T00:29:26.328Z,,,,34.8,54,,27.2
2018-01-03T00:29:36.324Z,,,,,54,,27.2
2018-01-03T00:29:46.325Z,,,,34.7,54,,27.2
2018-01-03T00:29:56.324Z,61,0,0,34.6,54,2,27.2
2018-01-03T00:30:06.325Z,,,,34.5,54,,27.2
2018-01-03T00:30:16.331Z,,,,34.4,54,,27.2
2018-01-03T00:30:26.326Z,,,,34.3,54,,27.2
2018-01-03T00:30:36.323Z,,,,,54,,27.1
2018-01-03T00:30:46.324Z,,,,34.2,54,,27.1
2018-01-03T00:30:56.327Z,,,,34.1,54,,27.1
2018-01-03T00:31:06.324Z,,,,34,54,,27.1
2018-01-03T00:31:16.327Z,,,,,54,,26.9
2018-01-03T00:31:26.326Z,,,,,54,,26.9
2018-01-03T00:31:36.331Z,,,,,54,,26.8
2018-01-03T00:31:46.329Z,,,0,,54,2,26.9
2018-01-03T00:31:56.326Z,,37,,39.2,54,,26.9
2018-01-03T00:32:06.342Z,,29,,40.6,54,,26.9
2018-01-03T00:32:16.332Z,,,,39.6,,,
2018-01-03T00:32:26.335Z,,,,41.1,54,,27.2
2018-01-03T00:32:36.332Z,,,,41.5,54,,27.2
2018-01-03T00:32:46.331Z,,,,41.7,54,,27.3
2018-01-03T00:32:56.326Z,,,,42.1,54,,27.5
2018-01-03T00:33:06.349Z,,30,,42.4,54,,27.7
2018-01-03T00:33:16.331Z,,,,42.7,54,,27.8
2018-01-03T00:33:26.363Z,,29,,42.9,54,,28
2018-01-03T00:33:36.329Z,,,,43.1,54,,28
2018-01-03T00:33:46.332Z,,30,,43.2,54,,28.1
2018-01-03T00:33:56.331Z,,29,,43.4,54,,28.1
2018-01-03T00:34:06.330Z,,,,,54,,28.3
2018-01-03T00:34:16.330Z,,,,43.5,54,,28.3
2018-01-03T00:34:26.344Z,,30,,,54,,28.4
2018-01-03T00:34:36.328Z,,29,,43.6,54,,28.4
2018-01-03T00:34:46.335Z,,,,,54,,28.4
2018-01-03T00:34:56.329Z,,,,43.7,54,,28.4
2018-01-03T00:35:06.331Z,,,,43.8,54,,28.4
2018-01-03T00:35:16.330Z,,,,43.7,,,
2018-01-03T00:35:26.335Z,,,,43.8,54,,28.5
2018-01-03T00:35:36.328Z,,,,44,54,,28.5
2018-01-03T00:35:46.340Z,,,,44.1,54,,28.6
2018-01-03T00:35:56.329Z,,,,44.2,54,,28.6
2018-01-03T00:36:06.342Z,,,,44.3,54,,28.7
2018-01-03T00:36:16.328Z,,,,44.4,54,,28.7
2018-01-03T00:36:26.332Z,,,,44.5,54,,28.7
2018-01-03T00:36:36.329Z,,,,44.6,54,,28.9
2018-01-03T00:36:46.330Z,,,,44.7,54,,28.9
2018-01-03T00:36:56.335Z,,,,44.8,54,,29
2018-01-03T00:37:06.330Z,,,,44.9,54,,29.1
2018-01-03T00:37:16.333Z,,30,,,54,,29.1
2018-01-03T00:37:26.333Z,,29,,45.1,54,,29.2
2018-01-03T00:37:36.331Z,,,,45.2,54,,29.2
2018-01-03T00:37:46.335Z,,,,45.3,54,,29.3
2018-01-03T00:37:56.330Z,,30,,45.4,54,,29.5
2018-01-03T00:38:06.331Z,,29,,45.5,54,,29.5
2018-01-03T00:38:16.333Z,,,,45.6,54,,29.6
2018-01-03T00:38:26.333Z,,30,,45.7,54,,29.7
2018-01-03T00:38:36.328Z,,29,,45.8,54,,29.7
2018-01-03T00:38:46.331Z,,,,45.9,,,
2018-01-03T00:38:56.335Z,,30,,46.1,54,,29.8
2018-01-03T00:39:06.337Z,,29,,46.2,54,,30
2018-01-03T00:39:16.341Z,,,,,54,,30.1
2018-01-03T00:39:26.330Z,,,,46.4,54,,30.2
2018-01-03T00:39:36.347Z,,,,46.5,54,,30.3
2018-01-03T00:39:46.330Z,,0,,46.6,54,,30.4
2018-01-03T00:39:56.341Z,,,0,44.5,54,2,30.4
2018-01-03T00:40:06.330Z,,,,43.2,54,,30.6
2018-01-03T00:40:16.337Z,,,,42.6,,,
2018-01-03T00:40:26.339Z,,,,41.7,54,,30.6
2018-01-03T00:40:36.343Z,,,,41.1,54,,30.6
2018-01-03T00:40:46.330Z,,,,40.7,54,,30.4
2018-01-03T00:40:56.336Z,,,,40.2,54,,30.3
2018-01-03T00:41:06.339Z,,,,39.9,54,,30.3
2018-01-03T00:41:16.372Z,,44,0,40.6,,2,
2018-01-03T00:41:26.346Z,,31,,46,54,,30.1
2018-01-03T00:41:36.343Z,,29,,45.1,54,,30
2018-01-03T00:41:46.331Z,,,,45,54,,30
2018-01-03T00:41:56.338Z,,,,46.1,54,,30
2018-01-03T00:42:06.338Z,,,,46.2,54,,30.1
2018-01-03T00:42:16.340Z,,30,,46.6,,,
2018-01-03T00:42:26.341Z,,29,,46.8,54,,30.2
2018-01-03T00:42:36.346Z,,29,,47,54,,30.4
2018-01-03T00:42:46.332Z,,,,47.3,54,,30.6
2018-01-03T00:42:56.351Z,,30,,47.6,54,,30.6
2018-01-03T00:43:06.331Z,,29,,47.7,54,,30.7
2018-01-03T00:43:16.332Z,,,,47.9,54,,30.8
