Time,HwActive,HwTOutlet,PrimTSet,ActPow,PrimT,ChActive,HwTSet
2017-11-03T00:16:57.983Z,,32.2,,,54.7,,54
2017-11-03T00:17:07.987Z,,32,,,54.3,,54
2017-11-03T00:17:17.978Z,,32,,,53.8,,54
2017-11-03T00:17:27.975Z,,31.9,,,53.3,,54
2017-11-03T00:17:37.981Z,0,31.9,,41,56,2,54
2017-11-03T00:17:47.980Z,,31.8,,33,57.4,,54
2017-11-03T00:17:57.978Z,,31.5,,30,58,,54
2017-11-03T00:18:07.984Z,,31.4,,30,59,,54
2017-11-03T00:18:17.989Z,,31.4,,29,59.6,,54
2017-11-03T00:18:27.985Z,,31.5,,,60.4,,54
2017-11-03T00:18:37.979Z,,31.6,,29,61.2,,54
2017-11-03T00:18:47.977Z,,31.6,,29,62,,54
2017-11-03T00:18:57.974Z,,31.9,,,62.4,,54
2017-11-03T00:19:07.976Z,,32.1,,,62.8,,54
2017-11-03T00:19:17.980Z,,32.2,,,63.3,,54
2017-11-03T00:19:27.975Z,,32.2,,30,63.6,,54
2017-11-03T00:19:37.980Z,,32.2,,29,64,,54
2017-11-03T00:19:47.976Z,,32.2,,,64.2,,54
2017-11-03T00:19:57.977Z,,32.2,,,64.6,,54
2017-11-03T00:20:07.981Z,,32.1,,,64.8,,54
2017-11-03T00:20:17.980Z,0,32.2,,0,63.8,2,54
2017-11-03T00:20:27.984Z,,32.2,,,61.9,,54
2017-11-03T00:20:37.980Z,,32.2,,,60.9,,54
2017-11-03T00:20:47.986Z,,32,,,59.8,,54
2017-11-03T00:20:57.979Z,,32,,,58.8,,54
2017-11-03T00:21:07.979Z,,32,,,57.9,,54
2017-11-03T00:21:17.979Z,,31.9,,,56.9,,54
2017-11-03T00:21:27.986Z,,32.3,,,56.6,,54
2017-11-03T00:21:37.979Z,,32.3,,,55.9,,54
2017-11-03T00:21:47.977Z,,32.2,,,55.4,,54
2017-11-03T00:21:57.995Z,,32.1,,,54.9,,54
2017-11-03T00:22:07.979Z,,32.1,,,54.4,,54
2017-11-03T00:22:17.984Z,,31.9,,,53.9,,54
2017-11-03T00:22:27.979Z,,31.5,,,53.4,,54
2017-11-03T00:22:37.980Z,0,31.8,,42,56.2,2,54
2017-11-03T00:22:47.985Z,,31.5,,33,57.6,,54
2017-11-03T00:22:57.996Z,,31.4,,29,58.1,,54
2017-11-03T00:23:07.992Z,,31.3,,,59,,54
2017-11-03T00:23:17.980Z,,31.4,,30,59.7,,54
2017-11-03T00:23:27.981Z,,31.5,,29,60.4,,54
2017-11-03T00:23:37.979Z,,31.6,,30,61.2,,54
2017-11-03T00:23:47.986Z,,31.8,,29,62,,54
2017-11-03T00:23:57.982Z,,31.9,,,62.4,,54
2017-11-03T00:24:07.978Z,,31.8,,,63.1,,54
2017-11-03T00:24:17.981Z,,32,,,63.3,,54
2017-11-03T00:24:27.981Z,,32,,,63.6,,54
2017-11-03T00:24:37.980Z,,32,,,64,,54
2017-11-03T00:24:47.980Z,,32.1,,,64.4,,54
2017-11-03T00:24:57.982Z,,32.2,,,64.6,,54
2017-11-03T00:25:07.986Z,,32.2,,,64.9,,54
2017-11-03T00:25:17.985Z,0,32.3,,0,62.9,2,54
2017-11-03T00:25:27.983Z,,32.2,,,61.8,,54
2017-11-03T00:25:37.983Z,,32.2,,,60.8,,54
2017-11-03T00:25:47.984Z,,31.9,,,59.6,,54
2017-11-03T00:25:57.979Z,,31.9,,,58.7,,54
2017-11-03T00:26:07.980Z,,32,,,57.8,,54
2017-11-03T00:26:17.990Z,,31.8,,,56.9,,54
2017-11-03T00:26:27.980Z,,31.9,,,56.5,,54
2017-11-03T00:26:37.983Z,,32,,,55.9,,54
2017-11-03T00:26:47.984Z,,32,,,55.3,,54
2017-11-03T00:26:57.985Z,,32,,,54.8,,54
2017-11-03T00:27:07.980Z,,31.8,,,54.4,,54
2017-11-03T00:27:17.984Z,,31.8,,,53.9,,54
2017-11-03T00:27:27.981Z,,31.8,,,53.4,,54
2017-11-03T00:27:37.987Z,0,31.6,,42,56.1,2,54
2017-11-03T00:27:47.981Z,,31.5,,34,57.6,,54
2017-11-03T00:27:57.986Z,,31.4,,29,58,,54
2017-11-03T00:28:07.984Z,,31.3,,29,59,,54
2017-11-03T00:28:17.984Z,,31.3,,,59.7,,54
2017-11-03T00:28:27.981Z,,31.6,,,60.5,,54
2017-11-03T00:28:37.986Z,,31.4,,,61.2,,54
2017-11-03T00:28:47.986Z,,31.6,,30,62,,54
2017-11-03T00:28:57.985Z,,31.6,,29,62.4,,54
2017-11-03T00:29:07.988Z,,31.8,,,63.1,,54
2017-11-03T00:29:17.992Z,,31.8,,,63.3,,54
2017-11-03T00:29:27.988Z,,31.6,,,63.6,,54
2017-11-03T00:29:37.982Z,,31.9,,,64,,54
2017-11-03T00:29:47.987Z,,32,,,64.4,,54
2017-11-03T00:29:57.987Z,,32.1,,30,64.6,,54
2017-11-03T00:30:07.984Z,,32.1,,29,64.8,,54
2017-11-03T00:30:17.991Z,0,32.1,,0,62.7,2,54
2017-11-03T00:30:27.984Z,,32.2,,,61.8,,54
