Time,HwTOutlet,HwActive,PrimTSet,ActPow,HwTSet,ChActive,PrimT
2018-01-07T00:17:59.625Z,21.3,,,,54,,
2018-01-07T00:18:09.625Z,21.7,,,,54,,41.6
2018-01-07T00:18:19.622Z,22,,,30,54,,
2018-01-07T00:18:29.626Z,22.1,,,29,54,,41.7
2018-01-07T00:18:39.620Z,22.2,,,,54,,41.8
2018-01-07T00:18:49.624Z,22.2,,,,54,,
2018-01-07T00:18:59.620Z,22.4,,,,54,,41.9
2018-01-07T00:19:09.621Z,22.5,,,,54,,
2018-01-07T00:19:19.622Z,22.6,,,,54,,42
2018-01-07T00:19:29.632Z,22.7,,,,54,,
2018-01-07T00:19:39.624Z,22.7,,,,54,,42.1
2018-01-07T00:19:49.622Z,22.8,,,,54,,42.3
2018-01-07T00:19:59.622Z,23,,,30,54,,42.4
2018-01-07T00:20:09.626Z,23.1,,,29,54,,42.6
2018-01-07T00:20:19.619Z,23.2,,,,54,,42.7
2018-01-07T00:20:29.619Z,23.3,,,,54,,42.9
2018-01-07T00:20:39.627Z,23.4,,,29,54,,43
2018-01-07T00:20:49.623Z,23.6,,,,54,,43.1
2018-01-07T00:20:59.618Z,23.7,,,,54,,43.3
2018-01-07T00:21:09.638Z,23.8,,,,54,,43.4
2018-01-07T00:21:19.634Z,23.9,,,,54,,43.5
2018-01-07T00:21:29.632Z,24,,,,54,,43.7
2018-01-07T00:21:39.639Z,24.3,,,,54,,43.8
2018-01-07T00:21:49.631Z,24.4,,,,54,,43.9
2018-01-07T00:21:59.621Z,24.5,,,30,54,,44
2018-01-07T00:22:09.629Z,24.7,,,29,54,,44.2
2018-01-07T00:22:19.624Z,24.8,,,,54,,44.3
2018-01-07T00:22:29.625Z,24.8,,,,54,,44.4
2018-01-07T00:22:39.626Z,24.9,,,,54,,44.5
2018-01-07T00:22:49.626Z,25,,,,54,,44.7
2018-01-07T00:22:59.623Z,25.1,,,,54,,44.8
2018-01-07T00:23:09.624Z,25.3,,,,54,,44.9
2018-01-07T00:23:19.622Z,25.4,,,,54,,45
2018-01-07T00:23:29.629Z,25.4,,,,54,,45.2
2018-01-07T00:23:39.625Z,25.5,,,,54,,45.3
2018-01-07T00:23:49.624Z,,,,,,,45.4
2018-01-07T00:23:59.626Z,25.7,,,,54,,45.5
2018-01-07T00:24:09.622Z,25.7,,,30,54,,45.6
2018-01-07T00:24:19.626Z,25.9,,,29,54,,45.7
2018-01-07T00:24:29.622Z,26,,,,54,,45.8
2018-01-07T00:24:39.624Z,26,,,,54,,45.9
2018-01-07T00:24:49.629Z,,,,,,,46.1
2018-01-07T00:24:59.627Z,26.1,,,,54,,46.2
2018-01-07T00:25:09.622Z,26.2,,,,54,,46.3
2018-01-07T00:25:19.626Z,26.2,,,,54,,46.4
2018-01-07T00:25:29.623Z,26.3,,,,54,,46.5
2018-01-07T00:25:39.625Z,26.5,,,,54,,46.6
2018-01-07T00:25:49.623Z,26.6,,,,54,,46.7
2018-01-07T00:25:59.624Z,26.6,,,,54,,46.8
2018-01-07T00:26:09.629Z,26.6,,,30,54,,46.9
2018-01-07T00:26:19.624Z,26.7,,,29,54,,47
2018-01-07T00:26:29.644Z,26.7,,,,54,,47.1
2018-01-07T00:26:39.624Z,26.8,,,,54,,47.2
2018-01-07T00:26:49.625Z,26.8,,,30,54,,47.3
2018-01-07T00:26:59.625Z,26.9,,,29,54,,
2018-01-07T00:27:09.624Z,26.9,,,,54,,47.4
2018-01-07T00:27:19.622Z,27.1,,,,54,,47.6
2018-01-07T00:27:29.644Z,27.1,,,,54,,47.7
2018-01-07T00:27:39.626Z,27.2,,,,54,,47.8
2018-01-07T00:27:49.625Z,27.2,,,,54,,47.9
2018-01-07T00:27:59.638Z,27.3,,,30,54,,48
2018-01-07T00:28:09.626Z,27.3,0,,0,54,2,45.7
2018-01-07T00:28:19.626Z,27.2,,,,54,,44.3
2018-01-07T00:28:29.631Z,27.1,,,,54,,43.6
2018-01-07T00:28:39.623Z,26.9,,,,54,,42.8
2018-01-07T00:28:49.627Z,26.8,,,,54,,42
2018-01-07T00:28:59.629Z,26.6,,,,54,,41.6
2018-01-07T00:29:09.626Z,26.5,,,,54,,41.1
2018-01-07T00:29:19.627Z,26.3,,,,54,,40.7
2018-01-07T00:29:29.628Z,26.2,,,,54,,40.4
2018-01-07T00:29:39.631Z,26.1,,,,54,,40
2018-01-07T00:29:49.629Z,,,,,,,39.7
2018-01-07T00:29:59.628Z,25.9,,,,54,,39.5
2018-01-07T00:30:09.628Z,25.7,,,,54,,39.2
2018-01-07T00:30:19.625Z,25.6,,,,54,,38.9
2018-01-07T00:30:29.626Z,25.6,,,,54,,38.7
2018-01-07T00:30:39.624Z,25.5,,,,54,,38.6
2018-01-07T00:30:49.625Z,25.4,,,,54,,38.4
2018-01-07T00:30:59.627Z,25.3,,,,54,,38.2
2018-01-07T00:31:09.625Z,25.3,,,,54,,
2018-01-07T00:31:19.628Z,25.1,,,,54,,38.1
2018-01-07T00:31:29.625Z,25,,,,54,,
2018-01-07T00:31:39.629Z,25.1,,,,54,,
2018-01-07T00:31:49.630Z,25.1,,,,54,,
2018-01-07T00:32:04.751Z,25,,,,54,,
2018-01-07T00:32:09.631Z,24.7,,,,54,,
2018-01-07T00:32:19.630Z,24.3,,,,54,,
2018-01-07T00:32:29.630Z,24,,,,54,,
2018-01-07T00:32:39.626Z,23.7,,,,54,,
2018-01-07T00:32:49.636Z,23.4,,,,54,,
2018-01-07T00:32:59.635Z,23.1,,,,54,,
2018-01-07T00:33:09.632Z,22.8,,,,54,,
2018-01-07T00:33:19.636Z,22.7,,,,54,,
2018-01-07T00:33:29.629Z,22.5,,,,54,,
2018-01-07T00:33:39.629Z,22.2,,,,54,,38.2
2018-01-07T00:33:49.633Z,22.1,,,,54,,
2018-01-07T00:33:59.631Z,21.9,,,,54,,38.3
2018-01-07T00:34:09.630Z,21.7,,,,54,,
2018-01-07T00:34:19.630Z,21.6,,,,54,,38.4
2018-01-07T00:34:29.637Z,21.3,,,,54,,
2018-01-07T00:34:39.627Z,21.2,,,,54,,38.5
2018-01-07T00:34:49.627Z,21.1,,,,54,,
2018-01-07T00:34:59.629Z,20.9,,,,54,,
2018-01-07T00:35:09.630Z,20.8,,,,54,,38.6
2018-01-07T00:35:19.630Z,20.8,,,,54,,
2018-01-07T00:35:29.627Z,20.8,,,,54,,
2018-01-07T00:35:39.634Z,20.6,,,,54,,
2018-01-07T00:35:49.630Z,20.5,,,,54,,38.7
2018-01-07T00:35:59.633Z,20.4,,,,54,,
2018-01-07T00:36:09.629Z,20.2,,,,54,,
2018-01-07T00:36:19.629Z,20.2,,,,54,,
2018-01-07T00:36:29.636Z,20.1,,,,54,,
2018-01-07T00:36:39.636Z,20.1,0,61,0,54,2,38.7
2018-01-07T00:36:49.636Z,20,,,,54,,
2018-01-07T00:36:59.629Z,20,,,,54,,
2018-01-07T00:37:09.636Z,20,,,,54,,
2018-01-07T00:37:19.637Z,19.8,0,,43,54,2,40.7
2018-01-07T00:37:29.635Z,19.8,,,30,54,,44.3
2018-01-07T00:37:39.633Z,20.1,,,29,54,,42.4
2018-01-07T00:37:49.633Z,,,,,,,43.3
2018-01-07T00:37:59.637Z,21.2,,,,54,,43.7
2018-01-07T00:38:09.631Z,21.7,,,,54,,43.8
2018-01-07T00:38:19.645Z,22.2,,,,54,,44
2018-01-07T00:38:29.636Z,22.6,,,,54,,
2018-01-07T00:38:39.661Z,23.1,,,,54,,44.1
2018-01-07T00:38:49.643Z,23.4,,,,54,,
2018-01-07T00:38:59.643Z,23.7,,,,54,,44.3
2018-01-07T00:39:09.638Z,23.9,,,,54,,44.4
2018-01-07T00:39:19.638Z,24,,,,54,,44.5
2018-01-07T00:39:29.630Z,24.2,,,,54,,44.6
2018-01-07T00:39:39.630Z,,,,,,,44.7
2018-01-07T00:39:49.632Z,24.3,,,,54,,
2018-01-07T00:39:59.638Z,,,,,,,44.8
2018-01-07T00:40:09.632Z,24.5,,,,54,,
2018-01-07T00:40:19.630Z,24.7,,,,54,,44.9
2018-01-07T00:40:29.633Z,24.7,,,,54,,
2018-01-07T00:40:39.635Z,24.8,,,,54,,45
2018-01-07T00:40:49.630Z,24.9,,,,54,,45.1
2018-01-07T00:40:59.636Z,25,,,,54,,
2018-01-07T00:41:09.637Z,25,,,,54,,45.3
2018-01-07T00:41:19.636Z,25.1,,,,54,,45.4
2018-01-07T00:41:29.638Z,25.1,,,,54,,45.5
