Time,HwTSet,PrimTSet,HwActive,ChActive,ActPow,HwTOutlet,PrimT
2017-12-30T00:19:03.033Z,54,,,,,32.8,35.4
2017-12-30T00:19:13.029Z,54,,,,,32.7,35.2
2017-12-30T00:19:23.032Z,,,,,,,34.9
2017-12-30T00:19:33.033Z,54,,,,,32.7,
2017-12-30T00:19:43.031Z,54,,,,,32.7,
2017-12-30T00:19:53.040Z,54,,,,,32.6,
2017-12-30T00:20:03.033Z,54,,,,,32.6,
2017-12-30T00:20:13.031Z,54,,,,,32.5,34.8
2017-12-30T00:20:23.032Z,54,,,,,32.5,
2017-12-30T00:20:33.033Z,54,,,,,32.5,
2017-12-30T00:20:43.036Z,54,,,,,32.5,
2017-12-30T00:20:53.034Z,54,,,,,32.5,
2017-12-30T00:21:03.033Z,54,,,,,32.4,
2017-12-30T00:21:23.030Z,54,,,,,32.4,
2017-12-30T00:21:33.036Z,54,,,,,32.4,
2017-12-30T00:21:43.035Z,54,,,,,32.3,
2017-12-30T00:21:53.045Z,54,,,,,32.3,
2017-12-30T00:22:03.038Z,54,,,,,32.2,
2017-12-30T00:22:13.035Z,54,,,,,32.2,
2017-12-30T00:22:23.035Z,54,,,,,32.1,34.9
2017-12-30T00:22:33.032Z,54,,,,,32.1,
2017-12-30T00:22:43.031Z,54,,,,,32,
2017-12-30T00:22:53.037Z,54,,,,,32,35.1
2017-12-30T00:23:03.033Z,54,61,0,2,0,31.9,35.1
2017-12-30T00:23:13.035Z,54,,,,,31.8,
2017-12-30T00:23:23.031Z,54,,,,,31.8,
2017-12-30T00:23:33.035Z,54,,,,,31.6,35.2
2017-12-30T00:23:43.034Z,54,,,,,31.5,
2017-12-30T00:23:53.035Z,54,,,,,31.4,
2017-12-30T00:24:03.031Z,54,,,,,31.4,35.3
2017-12-30T00:24:13.037Z,54,,,,,31.3,
2017-12-30T00:24:23.035Z,54,,,,,31.2,
2017-12-30T00:24:33.034Z,54,,,,,31.2,35.4
2017-12-30T00:24:43.041Z,54,,,,,31,
2017-12-30T00:24:53.038Z,54,,,,,30.9,
2017-12-30T00:25:03.034Z,54,,,,,30.8,
2017-12-30T00:25:13.038Z,54,,,,,30.8,
2017-12-30T00:25:23.033Z,54,,,,,30.7,
2017-12-30T00:25:33.032Z,54,,,,,30.6,
2017-12-30T00:25:43.039Z,54,,,,,30.6,35.5
2017-12-30T00:25:53.037Z,54,,,,,30.4,
2017-12-30T00:26:03.039Z,54,,,,,30.3,
2017-12-30T00:26:13.034Z,54,,,,,30.3,
2017-12-30T00:26:23.035Z,54,,,,,30.2,
2017-12-30T00:26:33.040Z,54,,,,,30.1,
2017-12-30T00:26:43.035Z,54,,,,,30,
2017-12-30T00:26:53.052Z,54,,,,,30,
2017-12-30T00:27:03.036Z,54,,,,,29.8,
2017-12-30T00:27:13.038Z,54,,,,,29.8,
2017-12-30T00:27:23.035Z,54,,,,,29.7,
2017-12-30T00:27:33.036Z,54,,,,,29.6,35.4
2017-12-30T00:27:43.038Z,54,,,,,29.6,
2017-12-30T00:27:53.038Z,54,,,,,29.5,
2017-12-30T00:28:03.034Z,54,,,,,29.5,
2017-12-30T00:28:13.034Z,54,,,,,29.3,
2017-12-30T00:28:23.037Z,54,,,,,29.2,
2017-12-30T00:28:33.042Z,54,,,,,29.2,
2017-12-30T00:28:43.035Z,54,,,,,29.1,
2017-12-30T00:28:53.040Z,54,,,,,29.1,
