Time,PrimT,PrimTSet,ActPow,HwTSet,ChActive,HwTOutlet,HwActive
2017-12-18T00:20:46.184Z,35.9,,,54,,26.1,
2017-12-18T00:20:56.184Z,34.9,,,54,,26.1,
2017-12-18T00:21:06.286Z,33.9,,,54,,26.2,
2017-12-18T00:21:16.184Z,33.7,,,54,,26.3,
2017-12-18T00:21:26.181Z,32.9,,,54,,26.5,
2017-12-18T00:21:36.186Z,32.5,,,54,,26.5,
2017-12-18T00:21:46.182Z,31.9,,,54,,26.6,
2017-12-18T00:21:56.192Z,31.8,,,54,,26.6,
2017-12-18T00:22:06.283Z,31.5,,,54,,26.6,
2017-12-18T00:22:16.183Z,30.9,,,54,,26.6,
2017-12-18T00:22:26.182Z,,,,54,,26.6,
2017-12-18T00:22:36.181Z,30.6,,,54,,26.6,
2017-12-18T00:22:46.183Z,30.5,,,54,,26.6,
2017-12-18T00:22:56.182Z,30.3,,,54,,26.6,
2017-12-18T00:23:06.276Z,30.2,,,54,,26.6,
2017-12-18T00:23:16.190Z,29.9,,,54,,26.6,
2017-12-18T00:23:26.183Z,,,,54,,26.6,
2017-12-18T00:23:36.185Z,29.6,,,54,,26.6,
2017-12-18T00:23:46.185Z,,,,54,,26.6,
2017-12-18T00:23:56.186Z,,,,54,,26.6,
2017-12-18T00:24:06.282Z,,,,54,,26.5,
2017-12-18T00:24:16.188Z,,,,54,,26.5,
2017-12-18T00:24:26.188Z,,,,54,,26.5,
2017-12-18T00:24:36.184Z,,,,54,,26.5,
2017-12-18T00:24:46.189Z,,,,54,,26.6,
2017-12-18T00:24:56.185Z,,,,54,,26.6,
2017-12-18T00:25:06.286Z,,,,54,,26.6,
2017-12-18T00:25:16.188Z,,,,54,,26.6,
2017-12-18T00:25:26.181Z,,,,54,,26.6,
2017-12-18T00:25:36.183Z,,,,54,,26.6,
2017-12-18T00:25:46.187Z,,,,54,,26.5,
2017-12-18T00:25:56.187Z,,,,54,,26.5,
2017-12-18T00:26:06.285Z,,,,54,,26.5,
2017-12-18T00:26:16.187Z,,,,54,,26.5,
2017-12-18T00:26:26.187Z,,,,54,,26.5,
2017-12-18T00:26:36.186Z,,,,54,,26.3,
2017-12-18T00:26:46.198Z,,,,54,,26.3,
2017-12-18T00:26:56.188Z,,,,54,,26.3,
2017-12-18T00:27:06.297Z,,,,54,,26.2,
2017-12-18T00:27:16.188Z,29.8,,,54,,26.2,
2017-12-18T00:27:26.190Z,,,,54,,26.2,
2017-12-18T00:27:36.183Z,,,,54,,26.2,
2017-12-18T00:27:46.190Z,,,,54,,26.1,
2017-12-18T00:27:56.313Z,,,,54,,26.1,
2017-12-18T00:28:06.248Z,,,,54,,26.1,
2017-12-18T00:28:16.183Z,29.9,,,54,,26,
2017-12-18T00:28:26.184Z,,,,54,,26,
2017-12-18T00:28:36.186Z,,,,54,,25.9,
2017-12-18T00:28:46.190Z,30,,,54,,25.9,
2017-12-18T00:28:56.185Z,,,,54,,25.9,
2017-12-18T00:29:06.287Z,,,,54,,25.7,
2017-12-18T00:29:16.188Z,,,,54,,25.7,
2017-12-18T00:29:26.185Z,,,,54,,25.6,
2017-12-18T00:29:36.184Z,,,,54,,25.6,
2017-12-18T00:29:46.190Z,,,,54,,25.6,
2017-12-18T00:29:56.189Z,30.1,,,54,,25.5,
2017-12-18T00:30:06.285Z,,,,54,,25.5,
2017-12-18T00:30:16.191Z,,,,54,,25.4,
2017-12-18T00:30:26.192Z,,,,54,,25.4,
2017-12-18T00:30:36.191Z,,,,54,,25.4,
2017-12-18T00:30:46.186Z,,,,54,,25.3,
2017-12-18T00:30:56.187Z,,,,54,,25.3,
2017-12-18T00:31:06.277Z,,,,54,,25.1,
2017-12-18T00:31:16.186Z,,,,54,,25.1,
2017-12-18T00:31:26.187Z,30.2,,,54,,25,
2017-12-18T00:31:36.186Z,,,,54,,25,
2017-12-18T00:31:46.186Z,,,,54,,24.9,
2017-12-18T00:31:56.187Z,30.1,,,54,,24.9,
2017-12-18T00:32:06.512Z,,,,54,,24.9,
2017-12-18T00:32:16.187Z,30.2,,,54,,24.8,
2017-12-18T00:32:26.187Z,,,,54,,24.8,
2017-12-18T00:32:36.191Z,,,,54,,24.7,
2017-12-18T00:32:46.187Z,30.1,,,54,,24.7,
2017-12-18T00:32:56.188Z,,,,54,,24.7,
2017-12-18T00:33:06.287Z,,,,54,,24.7,
2017-12-18T00:33:16.188Z,,,,54,,24.5,
2017-12-18T00:33:26.189Z,,,,54,,24.5,
2017-12-18T00:33:36.189Z,,,,54,,24.4,
2017-12-18T00:33:46.189Z,,,,54,,24.4,
2017-12-18T00:33:56.196Z,,,,54,,24.4,
2017-12-18T00:34:06.312Z,,,,54,,24.3,
2017-12-18T00:34:16.193Z,,,,54,,24.3,
2017-12-18T00:34:26.188Z,,,,54,,24.3,
2017-12-18T00:34:36.189Z,,,,54,,24.2,
2017-12-18T00:34:46.191Z,,,,54,,24.2,
2017-12-18T00:34:56.190Z,30,,,54,,24.2,
2017-12-18T00:35:06.299Z,,,,54,,24,
2017-12-18T00:35:16.211Z,,,,54,,24,
2017-12-18T00:35:26.187Z,,,,54,,24,
2017-12-18T00:35:36.189Z,,,,54,,24,
2017-12-18T00:35:46.194Z,,,,54,,23.9,
2017-12-18T00:35:56.190Z,,,,54,,23.9,
2017-12-18T00:36:06.281Z,,,,54,,23.9,
2017-12-18T00:36:16.190Z,,,,54,,23.8,
2017-12-18T00:36:26.191Z,,,,54,,23.8,
2017-12-18T00:36:36.187Z,30,,,54,,23.8,
2017-12-18T00:36:46.193Z,30,,,54,,23.7,
2017-12-18T00:36:56.188Z,29.9,,,54,,23.7,
2017-12-18T00:37:06.279Z,,,,54,,23.7,
2017-12-18T00:37:16.190Z,,,,54,,23.7,
2017-12-18T00:37:26.200Z,,,,54,,23.6,
2017-12-18T00:37:36.192Z,,,,54,,23.6,
2017-12-18T00:37:46.192Z,,,,54,,23.6,
2017-12-18T00:37:56.198Z,,,,54,,23.4,
2017-12-18T00:38:06.293Z,,,,54,,23.4,
2017-12-18T00:38:16.194Z,,,,54,,23.4,
2017-12-18T00:38:26.204Z,,,,54,,23.4,
2017-12-18T00:38:36.194Z,,,,54,,23.3,
2017-12-18T00:38:46.194Z,,,,54,,23.3,
2017-12-18T00:38:56.203Z,29.8,,,54,,23.3,
2017-12-18T00:39:06.298Z,,,,54,,23.3,
2017-12-18T00:39:16.194Z,,,,54,,23.3,
2017-12-18T00:39:26.194Z,,,,54,,23.2,
2017-12-18T00:39:36.193Z,,,,54,,23.2,
2017-12-18T00:39:46.190Z,,,,54,,23.2,
2017-12-18T00:39:56.195Z,,,,54,,23.2,
2017-12-18T00:40:06.292Z,,,,54,,23.1,
2017-12-18T00:40:16.196Z,,,,54,,23.1,
2017-12-18T00:40:26.190Z,,,,54,,23.1,
2017-12-18T00:40:36.191Z,29.6,,,54,,23.1,
2017-12-18T00:40:46.195Z,,,,54,,23.1,
2017-12-18T00:40:56.195Z,,,,54,,23,
2017-12-18T00:41:06.291Z,,,,54,,23,
2017-12-18T00:41:16.197Z,,,,54,,23,
2017-12-18T00:41:26.196Z,,,,54,,23,
2017-12-18T00:41:36.192Z,,,,54,,23,
2017-12-18T00:41:46.196Z,,,,54,,22.8,
2017-12-18T00:41:56.197Z,,,,54,,22.8,
2017-12-18T00:42:06.297Z,,,,54,,22.8,
2017-12-18T00:42:16.197Z,,,,54,,22.8,
2017-12-18T00:42:26.193Z,,,,54,,22.8,
2017-12-18T00:42:36.193Z,,,,54,,22.7,
2017-12-18T00:42:46.193Z,,,,54,,22.7,
2017-12-18T00:42:56.197Z,29.5,,,54,,22.7,
2017-12-18T00:43:06.284Z,,,,54,,22.7,
2017-12-18T00:43:16.205Z,,,,54,,22.7,
2017-12-18T00:43:26.195Z,,,,54,,22.7,
2017-12-18T00:43:36.196Z,,,,54,,22.6,
2017-12-18T00:43:46.197Z,,,,54,,22.6,
2017-12-18T00:43:56.193Z,,,,54,,22.6,
2017-12-18T00:44:06.318Z,30,,45,54,1,22.6,0
2017-12-18T00:44:16.209Z,35.1,,34,54,,22.6,
2017-12-18T00:44:26.192Z,34.9,,29,54,,22.5,
2017-12-18T00:44:36.198Z,34,,30,54,,22.5,
2017-12-18T00:44:46.200Z,,,,54,,22.5,
2017-12-18T00:44:56.199Z,34.5,,29,54,,22.5,
2017-12-18T00:45:06.298Z,34.6,,30,54,,22.6,
2017-12-18T00:45:16.206Z,34.7,,29,54,,22.7,
2017-12-18T00:45:26.200Z,34.8,,,54,,22.8,
2017-12-18T00:45:36.199Z,35.1,,,54,,23.1,
2017-12-18T00:45:46.194Z,,,,54,,23.3,
2017-12-18T00:45:56.195Z,35.3,,,54,,23.6,
2017-12-18T00:46:06.296Z,35.4,,,54,,23.7,
2017-12-18T00:46:16.199Z,35.5,,,54,,23.9,
2017-12-18T00:46:26.196Z,35.6,,,54,,24.2,
2017-12-18T00:46:36.198Z,,,,54,,24.3,
2017-12-18T00:46:46.198Z,,,,54,,24.4,
2017-12-18T00:46:56.198Z,35.8,,,54,,24.5,
2017-12-18T00:47:06.308Z,36,,,54,,24.7,
2017-12-18T00:47:16.201Z,,,,54,,24.8,
2017-12-18T00:47:26.198Z,36.2,,,54,,24.8,
2017-12-18T00:47:36.202Z,36.3,,30,54,,24.9,
2017-12-18T00:47:46.202Z,36.5,,29,54,,25,
2017-12-18T00:47:56.203Z,36.6,,,54,,25,
2017-12-18T00:48:06.304Z,36.8,,,54,,25.1,
2017-12-18T00:48:16.203Z,37.1,,,54,,25.1,
2017-12-18T00:48:26.204Z,37.2,,,54,,25.3,
2017-12-18T00:48:36.204Z,37.3,,,54,,25.3,
2017-12-18T00:48:46.197Z,37.5,,30,54,,25.4,
2017-12-18T00:48:56.198Z,37.6,,29,54,,25.4,
2017-12-18T00:49:06.298Z,37.8,,,54,,25.5,
2017-12-18T00:49:16.205Z,38,,,54,,25.6,
2017-12-18T00:49:26.199Z,,,,54,,25.6,
2017-12-18T00:49:36.202Z,38.2,,,54,,25.7,
2017-12-18T00:49:46.202Z,38.3,,,54,,25.9,
2017-12-18T00:49:56.201Z,38.5,,,54,,26,
2017-12-18T00:50:06.297Z,38.6,,,54,,26,
2017-12-18T00:50:16.202Z,38.8,,,54,,26.1,
2017-12-18T00:50:26.203Z,39.1,,,54,,26.2,
2017-12-18T00:50:36.198Z,,,,54,,26.3,
2017-12-18T00:50:46.196Z,39.3,,,54,,26.5,
2017-12-18T00:50:56.200Z,39.4,,,54,,26.6,
2017-12-18T00:51:06.291Z,39.6,,,54,,26.7,
2017-12-18T00:51:16.197Z,39.7,,,54,,26.8,
2017-12-18T00:51:26.197Z,40,,,54,,26.9,
2017-12-18T00:51:36.198Z,,,,54,,27.1,
2017-12-18T00:51:46.200Z,40.2,,,54,,27.2,
2017-12-18T00:51:56.197Z,40.3,,30,54,,27.3,
2017-12-18T00:52:06.290Z,40.4,,29,54,,27.4,
2017-12-18T00:52:16.198Z,40.6,,30,54,,27.5,
2017-12-18T00:52:26.200Z,40.7,,29,54,,27.7,
2017-12-18T00:52:36.202Z,41,,,54,,27.8,
2017-12-18T00:52:46.198Z,,,,54,,28,
2017-12-18T00:52:56.201Z,41.1,,30,54,,28.1,
2017-12-18T00:53:06.288Z,41.3,,29,54,,28.3,
2017-12-18T00:53:16.199Z,40.7,,0,54,1,28.4,0
2017-12-18T00:53:26.200Z,38.9,,,54,,28.5,
2017-12-18T00:53:36.200Z,37.9,,,54,,28.6,
2017-12-18T00:53:46.207Z,36.9,,,54,,28.7,
2017-12-18T00:53:56.207Z,36.7,,,54,,28.9,
2017-12-18T00:54:06.330Z,35.9,,,54,,28.9,
2017-12-18T00:54:16.199Z,35.6,,,54,,29,
2017-12-18T00:54:26.211Z,34.9,,,54,,29,
2017-12-18T00:54:36.202Z,34.8,,,54,,29.1,
2017-12-18T00:54:46.201Z,34.5,,,54,,29.1,
2017-12-18T00:54:56.210Z,34.2,,,54,,29.1,
2017-12-18T00:55:06.291Z,33.9,,,54,,29.1,
2017-12-18T00:55:16.206Z,33.7,,,54,,29.1,
2017-12-18T00:55:26.211Z,33.5,,,54,,29.1,
2017-12-18T00:55:36.204Z,33.3,,,54,,29.1,
2017-12-18T00:55:46.202Z,32.9,,,54,,29.1,
2017-12-18T00:55:56.201Z,,,,54,,29.1,
2017-12-18T00:56:06.301Z,32.7,,,54,,29.1,
2017-12-18T00:56:16.200Z,32.5,,,54,,29.1,
2017-12-18T00:56:26.207Z,32.6,,,54,,29.1,
2017-12-18T00:56:36.200Z,32.5,,,54,,29.1,
2017-12-18T00:56:46.202Z,,,,54,,29.1,
2017-12-18T00:56:56.204Z,,,,54,,29.1,
2017-12-18T00:57:06.300Z,,,,54,,29.1,
2017-12-18T00:57:16.201Z,,,,54,,29.1,
2017-12-18T00:57:26.211Z,,,,54,,29.1,
2017-12-18T00:57:36.202Z,,,,54,,29.1,
2017-12-18T00:57:46.202Z,,,,54,,29.1,
2017-12-18T00:57:56.203Z,32.4,,,54,,29.1,
2017-12-18T00:58:06.303Z,,,,54,,29.1,
2017-12-18T00:58:16.209Z,,,,54,,29.1,
2017-12-18T00:58:26.207Z,,,,54,,29,
2017-12-18T00:58:36.204Z,,,,54,,29,
2017-12-18T00:58:46.207Z,,,,54,,29,
2017-12-18T00:58:56.201Z,,,,54,,28.9,
2017-12-18T00:59:06.305Z,,,,54,,28.9,
2017-12-18T00:59:16.209Z,32.5,,,54,,28.7,
2017-12-18T00:59:26.205Z,,,,54,,28.7,
2017-12-18T00:59:36.205Z,,,,54,,28.6,
2017-12-18T00:59:46.205Z,,,,54,,28.6,
2017-12-18T00:59:56.205Z,,,,54,,28.5,
2017-12-18T01:00:06.306Z,,,,54,,28.5,
2017-12-18T01:00:16.217Z,32.6,,,54,,28.4,
2017-12-18T01:00:26.203Z,,,,54,,28.3,
2017-12-18T01:00:36.204Z,,,,54,,28.3,
2017-12-18T01:00:46.215Z,32.7,,,54,,28.1,
2017-12-18T01:00:56.203Z,,,,54,,28,
2017-12-18T01:01:06.306Z,,,,54,,28,
2017-12-18T01:01:16.210Z,32.8,,,54,,27.9,
2017-12-18T01:01:26.209Z,,,,54,,27.8,
2017-12-18T01:01:36.207Z,,,,54,,27.8,
2017-12-18T01:01:46.203Z,,,,54,,27.7,
2017-12-18T01:01:56.207Z,,,,54,,27.7,
2017-12-18T01:02:06.307Z,,,,54,,27.5,
2017-12-18T01:02:16.208Z,32.9,,,54,,27.5,
2017-12-18T01:02:26.204Z,,,,54,,27.4,
2017-12-18T01:02:36.212Z,,5,,54,0,27.3,0
2017-12-18T01:02:46.204Z,,,,54,,27.3,
2017-12-18T01:02:56.209Z,32.9,61,0,54,1,27.2,0
2017-12-18T01:03:06.304Z,,,,54,,27.1,
2017-12-18T01:03:16.214Z,,,,54,,27.1,
2017-12-18T01:03:26.205Z,,,,54,,27.1,
2017-12-18T01:03:36.206Z,,,,54,,26.9,
2017-12-18T01:03:46.209Z,,,,54,,26.8,
2017-12-18T01:03:56.205Z,,,,54,,26.8,
2017-12-18T01:04:16.212Z,,,,54,,26.7,
2017-12-18T01:04:26.209Z,,,,54,,26.6,
2017-12-18T01:04:36.210Z,,,,54,,26.6,
2017-12-18T01:04:46.213Z,,,,54,,26.5,
2017-12-18T01:04:56.213Z,,,,54,,26.5,
2017-12-18T01:05:06.306Z,,,,54,,26.3,
2017-12-18T01:05:16.219Z,32.8,,,54,,26.3,
2017-12-18T01:05:26.211Z,,,,54,,26.2,
2017-12-18T01:05:36.214Z,,,,54,,26.2,
2017-12-18T01:05:46.206Z,,,,54,,26.1,
2017-12-18T01:05:56.205Z,,,,54,,26.1,
2017-12-18T01:06:06.298Z,,,,54,,26.1,
2017-12-18T01:06:16.209Z,,,,54,,26,
2017-12-18T01:06:26.207Z,,,,54,,26,
2017-12-18T01:06:36.208Z,,,,54,,25.9,
2017-12-18T01:06:46.208Z,32.7,,,54,,25.9,
2017-12-18T01:06:56.210Z,,,,54,,25.7,
2017-12-18T01:07:06.296Z,,,,54,,25.7,
2017-12-18T01:07:16.211Z,,,,54,,25.7,
2017-12-18T01:07:26.208Z,,,,54,,25.6,
2017-12-18T01:07:36.211Z,,,,54,,25.6,
2017-12-18T01:07:46.209Z,,,,54,,25.5,
2017-12-18T01:07:56.213Z,,,,54,,25.5,
2017-12-18T01:08:06.299Z,32.6,,,54,,25.5,
2017-12-18T01:08:16.212Z,,,,54,,25.4,
2017-12-18T01:08:26.210Z,,,,54,,25.4,
2017-12-18T01:08:36.214Z,,,,54,,25.4,
2017-12-18T01:08:46.214Z,,,,54,,25.3,
2017-12-18T01:08:56.210Z,,,,54,,25.3,
2017-12-18T01:09:06.310Z,,,,54,,25.3,
2017-12-18T01:09:16.217Z,,,,54,,25.1,
2017-12-18T01:09:26.209Z,32.5,,,54,,25.1,
2017-12-18T01:09:36.211Z,,,,54,,25.1,
2017-12-18T01:09:46.211Z,,,,54,,25,
2017-12-18T01:09:56.214Z,,,,54,,25,
2017-12-18T01:10:06.310Z,,,,54,,25,
2017-12-18T01:10:16.213Z,,,,54,,24.9,
2017-12-18T01:10:26.210Z,,,,54,,24.9,
2017-12-18T01:10:36.214Z,,,,54,,24.9,
2017-12-18T01:10:46.215Z,32.4,,,54,,24.8,
2017-12-18T01:10:56.212Z,,,,54,,24.8,
2017-12-18T01:11:06.312Z,,,,54,,24.8,
2017-12-18T01:11:16.217Z,,,,54,,24.7,
2017-12-18T01:11:26.218Z,,,,54,,24.7,
2017-12-18T01:11:36.208Z,,,,54,,24.7,
2017-12-18T01:11:46.215Z,,,,54,,24.7,
2017-12-18T01:11:56.210Z,,,,54,,24.5,
2017-12-18T01:12:06.310Z,,,,54,,24.5,
2017-12-18T01:12:16.214Z,,,,54,,24.5,
2017-12-18T01:12:26.214Z,32.3,,,54,,24.5,
2017-12-18T01:12:36.212Z,,,,54,,24.4,
2017-12-18T01:12:46.211Z,,,,54,,24.4,
2017-12-18T01:12:56.223Z,,,,54,,24.4,
2017-12-18T01:13:06.311Z,,,,54,,24.4,
2017-12-18T01:13:16.214Z,,,,54,,24.3,
2017-12-18T01:13:26.216Z,,,,54,,24.3,
2017-12-18T01:13:36.216Z,,,,54,,24.3,
2017-12-18T01:13:46.216Z,,,,54,,24.3,
2017-12-18T01:13:56.211Z,,,,54,,24.2,
2017-12-18T01:14:06.330Z,32.2,,,54,,24.2,
2017-12-18T01:14:16.219Z,,,,54,,24.2,
