Time,ActPow,PrimTSet,ChActive,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-07T00:17:43.074Z,,,,,54,51.7,56.2
2018-02-07T00:17:53.075Z,,,,,54,51.6,55.6
2018-02-07T00:18:03.071Z,,,,,54,51.6,55.2
2018-02-07T00:18:13.077Z,44,,1,0,54,51.5,55
2018-02-07T00:18:23.157Z,37,,,,54,51.4,58.3
2018-02-07T00:18:33.075Z,30,,,,54,51.3,58.8
2018-02-07T00:18:43.097Z,30,,,,54,51.2,59.5
2018-02-07T00:18:53.090Z,29,,,,54,51.1,60.2
2018-02-07T00:19:03.109Z,,,,,54,51,60.7
2018-02-07T00:19:13.090Z,,,,,54,51,61.3
2018-02-07T00:19:23.138Z,,,,,54,50.9,61.6
2018-02-07T00:19:33.071Z,,,,,54,50.9,62
2018-02-07T00:19:43.078Z,,,,,54,50.9,62.2
2018-02-07T00:19:53.076Z,30,,,,54,50.9,62.5
2018-02-07T00:20:03.079Z,29,,,,54,50.9,62.7
2018-02-07T00:20:13.074Z,,,,,54,50.9,62.8
2018-02-07T00:20:23.089Z,30,,,,54,50.9,62.9
2018-02-07T00:20:33.079Z,29,,,,54,50.9,63.1
2018-02-07T00:20:43.076Z,,,,,54,50.9,
2018-02-07T00:20:53.090Z,30,,,,54,50.9,63.2
2018-02-07T00:21:03.073Z,29,,,,54,50.9,63.3
2018-02-07T00:21:13.083Z,30,,,,54,51,
2018-02-07T00:21:23.079Z,29,,,,54,51,63.4
2018-02-07T00:21:33.073Z,,,,,54,51,
2018-02-07T00:21:43.086Z,,,,,54,51,63.5
2018-02-07T00:21:53.097Z,30,,,,54,51,
2018-02-07T00:22:03.073Z,29,,,,54,51,
2018-02-07T00:22:13.075Z,,,,,54,51,63.6
2018-02-07T00:22:23.080Z,30,,,,54,51,
2018-02-07T00:22:33.168Z,29,,,,54,51.1,
2018-02-07T00:22:43.091Z,,,,,54,51.1,
2018-02-07T00:22:53.097Z,30,,,,54,51.1,
2018-02-07T00:23:03.090Z,29,,,,54,51.1,63.8
2018-02-07T00:23:13.089Z,,,,,54,51.1,
2018-02-07T00:23:23.092Z,,,,,54,51.1,
2018-02-07T00:23:33.075Z,,,,,54,51.1,
2018-02-07T00:23:43.079Z,30,,,,54,51.1,
2018-02-07T00:23:53.089Z,29,,,,54,51.1,
2018-02-07T00:24:03.078Z,,,,,54,51.1,
2018-02-07T00:24:13.073Z,,,,,54,51.2,63.9
2018-02-07T00:24:23.083Z,,,,,54,51.2,
2018-02-07T00:24:33.078Z,30,,,,54,51.2,
2018-02-07T00:24:43.103Z,29,,,,54,51.2,
2018-02-07T00:24:53.089Z,,,,,54,51.2,63.9
2018-02-07T00:25:03.085Z,,,,,54,51.2,64
2018-02-07T00:25:13.145Z,,,,,54,51.2,
2018-02-07T00:25:23.082Z,,,,,54,51.2,
2018-02-07T00:25:33.085Z,,,,,54,51.3,
2018-02-07T00:25:43.116Z,,,,,54,51.3,64.1
2018-02-07T00:25:53.096Z,30,,,,54,51.3,
2018-02-07T00:26:03.077Z,29,,,,54,51.3,
2018-02-07T00:26:13.076Z,,,,,54,51.3,
2018-02-07T00:26:23.096Z,30,,,,54,51.4,64.2
2018-02-07T00:26:33.081Z,29,,,,54,51.4,
2018-02-07T00:26:43.082Z,,,,,54,51.4,
2018-02-07T00:26:53.132Z,,,,,54,51.4,
2018-02-07T00:27:03.077Z,,,,,54,51.4,64.4
2018-02-07T00:27:13.084Z,,,,,54,51.5,
2018-02-07T00:27:23.184Z,,,,,54,51.5,
2018-02-07T00:27:33.084Z,,,,,54,51.5,
2018-02-07T00:27:43.098Z,,,,,54,51.5,64.5
2018-02-07T00:27:53.078Z,,,,,54,51.5,
2018-02-07T00:28:03.170Z,,,,,54,51.5,
2018-02-07T00:28:13.108Z,,,,,54,51.5,
2018-02-07T00:28:23.083Z,,,,,54,51.5,64.6
2018-02-07T00:28:33.085Z,30,,,,54,51.5,
2018-02-07T00:28:43.084Z,29,,,,54,51.6,
2018-02-07T00:28:53.079Z,,,,,54,51.6,
2018-02-07T00:29:03.128Z,,,,,54,51.6,64.7
2018-02-07T00:29:13.080Z,,,,,54,51.6,
2018-02-07T00:29:23.096Z,,,,,54,51.6,
2018-02-07T00:29:33.079Z,,,,,54,51.6,
2018-02-07T00:29:43.079Z,,,,,54,51.7,64.8
2018-02-07T00:29:53.106Z,,,,,54,51.7,
2018-02-07T00:30:03.080Z,,,,,54,51.7,
2018-02-07T00:30:13.111Z,,,,,54,51.7,
2018-02-07T00:30:23.079Z,,,,,54,51.7,64.9
2018-02-07T00:30:33.081Z,,,,,54,51.8,
2018-02-07T00:30:43.082Z,30,,,,54,51.8,
2018-02-07T00:30:53.114Z,29,,,,54,51.8,
2018-02-07T00:31:03.150Z,0,,1,0,54,51.8,62.9
2018-02-07T00:31:13.077Z,,,,,54,51.9,61.4
