Time,PrimT,PrimTSet,HwActive,HwTOutlet,ActPow,ChActive,HwTSet
2018-01-29T00:18:08.727Z,37.6,,,30.2,,,54
2018-01-29T00:18:18.612Z,36.9,,,30.2,,,54
2018-01-29T00:18:28.633Z,36.4,,,30.3,,,54
2018-01-29T00:18:38.742Z,35.9,,,30.4,,,54
2018-01-29T00:18:48.652Z,35.6,,,30.4,,,54
2018-01-29T00:18:58.611Z,35.3,,,30.6,,,54
2018-01-29T00:19:08.610Z,34.9,,,30.6,,,54
2018-01-29T00:19:18.614Z,34.6,,,30.6,,,54
2018-01-29T00:19:28.634Z,34.4,,,30.6,,,54
2018-01-29T00:19:38.728Z,34.2,,,30.7,,,54
2018-01-29T00:19:48.607Z,34,,,30.7,,,54
2018-01-29T00:19:58.615Z,33.9,,,30.7,,,54
2018-01-29T00:20:08.625Z,33.7,,,30.7,,,54
2018-01-29T00:20:18.691Z,33.6,,,30.7,,,54
2018-01-29T00:20:28.613Z,33.4,,,30.7,,,54
2018-01-29T00:20:38.719Z,,,,30.7,,,54
2018-01-29T00:20:48.609Z,,,,30.7,,,54
2018-01-29T00:20:58.609Z,,,,30.7,,,54
2018-01-29T00:21:08.610Z,,,,30.7,,,54
2018-01-29T00:21:18.616Z,,,,30.7,,,54
2018-01-29T00:21:28.609Z,,,,30.7,,,54
2018-01-29T00:21:38.737Z,,,,30.7,,,54
2018-01-29T00:21:48.624Z,,,,30.7,,,54
2018-01-29T00:21:58.647Z,,,,30.7,,,54
2018-01-29T00:22:08.639Z,,,,30.7,,,54
2018-01-29T00:22:18.626Z,,,,30.7,,,54
2018-01-29T00:22:28.611Z,,,,30.7,,,54
2018-01-29T00:22:38.737Z,,,,30.7,,,54
2018-01-29T00:22:48.620Z,,,,30.7,,,54
2018-01-29T00:22:58.614Z,,,,30.7,,,54
2018-01-29T00:23:08.638Z,,,,30.7,,,54
2018-01-29T00:23:18.608Z,,,,30.7,,,54
2018-01-29T00:23:28.621Z,,,,30.7,,,54
2018-01-29T00:23:38.710Z,,,,30.7,,,54
2018-01-29T00:23:48.638Z,33.5,,,30.7,,,54
2018-01-29T00:23:58.607Z,,,,30.6,,,54
2018-01-29T00:24:08.613Z,,,,30.6,,,54
2018-01-29T00:24:18.623Z,,,,30.6,,,54
2018-01-29T00:24:28.632Z,33.6,,,30.6,,,54
2018-01-29T00:24:38.719Z,,,,30.6,,,54
2018-01-29T00:24:48.616Z,,,,30.4,,,54
2018-01-29T00:24:58.610Z,,,,30.4,,,54
2018-01-29T00:25:08.612Z,33.7,,,30.4,,,54
2018-01-29T00:25:18.630Z,,,,30.4,,,54
2018-01-29T00:25:28.621Z,,,,30.3,,,54
2018-01-29T00:25:38.720Z,33.8,,,30.3,,,54
2018-01-29T00:25:48.619Z,,,,30.3,,,54
2018-01-29T00:25:58.611Z,,,,30.2,,,54
2018-01-29T00:26:08.611Z,,,,30.2,,,54
2018-01-29T00:26:18.647Z,,,,30.2,,,54
2018-01-29T00:26:28.613Z,33.9,,,30.1,,,54
2018-01-29T00:26:38.727Z,,,,30.1,,,54
2018-01-29T00:26:48.611Z,,,,30.1,,,54
2018-01-29T00:26:58.650Z,,,,30,,,54
2018-01-29T00:27:08.618Z,,,,30,,,54
2018-01-29T00:27:18.620Z,,,,30,,,54
2018-01-29T00:27:28.633Z,,,,29.8,,,54
2018-01-29T00:27:38.739Z,,,,29.8,,,54
2018-01-29T00:27:48.615Z,,,,29.7,,,54
2018-01-29T00:27:58.614Z,,,,29.7,,,54
2018-01-29T00:28:08.631Z,,,,29.7,,,54
2018-01-29T00:28:18.630Z,,,,29.6,,,54
2018-01-29T00:28:28.611Z,,,,29.6,,,54
2018-01-29T00:28:38.762Z,,,,29.6,,,54
2018-01-29T00:28:48.637Z,,,,29.5,,,54
2018-01-29T00:28:58.613Z,,,,29.5,,,54
2018-01-29T00:29:08.619Z,,,,29.3,,,54
2018-01-29T00:29:18.632Z,,,,29.3,,,54
2018-01-29T00:29:28.625Z,,,,29.3,,,54
2018-01-29T00:29:38.754Z,,,,29.2,,,54
2018-01-29T00:29:48.615Z,,,,29.2,,,54
2018-01-29T00:29:58.613Z,,,,29.2,,,54
2018-01-29T00:30:08.676Z,,,,29.1,,,54
2018-01-29T00:30:18.616Z,,,,29.1,,,54
2018-01-29T00:30:28.639Z,,,,29,,,54
2018-01-29T00:30:38.723Z,,,,29,,,54
2018-01-29T00:30:48.613Z,33.8,,,29,,,54
2018-01-29T00:30:58.623Z,33.9,,,28.9,,,54
2018-01-29T00:31:08.880Z,33.8,,,28.9,,,54
2018-01-29T00:31:18.676Z,,,,28.9,,,54
2018-01-29T00:31:28.616Z,,,,28.7,,,54
2018-01-29T00:31:38.715Z,,,,28.7,,,54
2018-01-29T00:31:48.637Z,,,,28.7,,,54
2018-01-29T00:31:58.626Z,,,,28.6,,,54
2018-01-29T00:32:08.656Z,,,,28.6,,,54
2018-01-29T00:32:18.639Z,,,,28.6,,,54
2018-01-29T00:32:28.629Z,,,,28.5,,,54
2018-01-29T00:32:38.741Z,,,,28.5,,,54
2018-01-29T00:32:48.616Z,33.7,,,28.5,,,54
2018-01-29T00:32:58.633Z,,,,28.4,,,54
2018-01-29T00:33:08.664Z,,,,28.4,,,54
2018-01-29T00:33:18.616Z,,,,28.4,,,54
2018-01-29T00:33:28.636Z,,,,28.3,,,54
2018-01-29T00:33:38.737Z,,,,28.3,,,54
2018-01-29T00:33:48.645Z,,,,28.3,,,54
2018-01-29T00:33:58.740Z,,,,28.1,,,54
2018-01-29T00:34:08.619Z,33.6,,,28.1,,,54
2018-01-29T00:34:18.657Z,,,,28.1,,,54
2018-01-29T00:34:28.618Z,,,,28.1,,,54
2018-01-29T00:34:38.727Z,,,,28,,,54
2018-01-29T00:34:48.623Z,,,,28,,,54
2018-01-29T00:34:58.643Z,,,,28,,,54
2018-01-29T00:35:08.617Z,,,,28,,,54
2018-01-29T00:35:18.621Z,,,,27.9,,,54
2018-01-29T00:35:28.644Z,,,,27.9,,,54
2018-01-29T00:35:38.740Z,,,,27.9,,,54
2018-01-29T00:35:48.633Z,33.5,,,27.8,,,54
2018-01-29T00:35:58.626Z,,,,27.8,,,54
2018-01-29T00:36:08.617Z,,,,27.8,,,54
2018-01-29T00:36:18.622Z,,,,27.8,,,54
2018-01-29T00:36:28.648Z,,,,27.7,,,54
2018-01-29T00:36:38.740Z,,,,27.7,,,54
2018-01-29T00:36:48.619Z,,,,27.7,,,54
2018-01-29T00:36:58.620Z,,,,27.7,,,54
2018-01-29T00:37:08.640Z,,,,27.5,,,54
2018-01-29T00:37:18.621Z,,,,27.5,,,54
2018-01-29T00:37:28.622Z,33.4,,0,27.5,,2,54
2018-01-29T00:37:38.724Z,38.3,,,27.5,38,,54
2018-01-29T00:37:48.623Z,38.8,,,27.4,29,,54
2018-01-29T00:37:58.617Z,37.1,,,27.4,,,54
2018-01-29T00:38:08.627Z,38.2,,,27.4,30,,54
2018-01-29T00:38:18.630Z,38.5,,,27.4,29,,54
2018-01-29T00:38:28.636Z,,,,27.4,,,54
2018-01-29T00:38:38.757Z,38.6,,,27.4,,,54
2018-01-29T00:38:48.623Z,38.7,,,27.5,,,54
2018-01-29T00:38:58.632Z,38.8,,,27.5,,,54
2018-01-29T00:39:08.637Z,38.9,,,27.7,,,54
2018-01-29T00:39:18.618Z,39.1,,,27.9,,,54
2018-01-29T00:39:28.630Z,39.2,,,28,30,,54
2018-01-29T00:39:38.717Z,39.3,,,28.1,29,,54
2018-01-29T00:39:48.651Z,39.4,,,28.3,,,54
2018-01-29T00:39:58.624Z,39.5,,,28.4,30,,54
2018-01-29T00:40:08.642Z,39.6,,,28.6,29,,54
