Time,HwActive,PrimT,HwTSet,ChActive,PrimTSet,HwTOutlet,ActPow
2018-02-01T00:17:51.221Z,,,54,,,27.5,
2018-02-01T00:18:01.112Z,,,54,,,27.4,
2018-02-01T00:18:11.163Z,,,54,,,27.5,30
2018-02-01T00:18:21.131Z,,64.5,54,,,27.7,29
2018-02-01T00:18:31.112Z,,,54,,,27.4,
2018-02-01T00:18:41.112Z,,,54,,,27.7,30
2018-02-01T00:18:51.220Z,,,54,,,27.5,29
2018-02-01T00:19:01.123Z,,,54,,,27.5,
2018-02-01T00:19:11.151Z,,,54,,,27.4,
2018-02-01T00:19:21.112Z,,,54,,,27.7,
2018-02-01T00:19:31.113Z,,,54,,,27.5,
2018-02-01T00:19:41.123Z,,,54,,,27.7,30
2018-02-01T00:19:51.222Z,,,54,,,27.7,
2018-02-01T00:20:01.124Z,,,54,,,27.5,29
2018-02-01T00:20:11.166Z,,64.6,54,,,27.7,
2018-02-01T00:20:21.111Z,,64.5,54,,,27.8,
2018-02-01T00:20:31.125Z,,64.6,54,,,27.5,
2018-02-01T00:20:41.109Z,,,54,,,27.7,
2018-02-01T00:20:51.235Z,,,54,,,27.5,
2018-02-01T00:21:01.126Z,,,54,,,27.4,
2018-02-01T00:21:11.111Z,,,54,,,27.5,
2018-02-01T00:21:21.200Z,,,54,,,27.7,
2018-02-01T00:21:31.113Z,,,54,,,27.7,
2018-02-01T00:21:41.111Z,,,54,,,27.9,
2018-02-01T00:21:51.216Z,,,54,,,27.8,30
2018-02-01T00:22:01.168Z,,,54,,,27.5,
2018-02-01T00:22:11.122Z,,,54,,,27.8,29
2018-02-01T00:22:21.164Z,,,54,,,27.7,
2018-02-01T00:22:31.117Z,,,54,,,27.8,
2018-02-01T00:22:41.177Z,,,54,,,27.7,
2018-02-01T00:22:51.232Z,,,54,,,27.7,
2018-02-01T00:23:01.178Z,,,54,,,27.8,
2018-02-01T00:23:11.136Z,,,54,,,27.9,
2018-02-01T00:23:21.118Z,,,54,,,27.5,30
2018-02-01T00:23:31.138Z,,,54,,,27.8,29
2018-02-01T00:23:41.122Z,,,54,,,27.5,30
2018-02-01T00:23:51.218Z,,,54,,,27.7,29
2018-02-01T00:24:01.162Z,,,54,,,27.8,
2018-02-01T00:24:11.114Z,,,54,,,27.9,
2018-02-01T00:24:21.116Z,,,54,,,27.8,
