Time,HwActive,PrimT,ActPow,ChActive,HwTSet,PrimTSet,HwTOutlet
2017-12-26T00:17:42.744Z,,38.4,,,54,,30.2
2017-12-26T00:17:52.746Z,,37.7,,,54,,30.3
2017-12-26T00:18:02.744Z,,36.9,,,54,,30.3
2017-12-26T00:18:12.749Z,,36.6,,,54,,30.4
2017-12-26T00:18:22.746Z,,36.2,,,54,,30.4
2017-12-26T00:18:32.747Z,,35.9,,,54,,30.4
2017-12-26T00:18:42.743Z,,35.5,,,54,,30.6
2017-12-26T00:18:52.749Z,,35.3,,,54,,30.6
2017-12-26T00:19:02.746Z,,34.9,,,54,,30.6
2017-12-26T00:19:12.749Z,,34.7,,,54,,30.6
2017-12-26T00:19:22.744Z,,34.5,,,54,,30.6
2017-12-26T00:19:32.745Z,,34.3,,,54,,30.6
2017-12-26T00:19:42.750Z,,34.1,,,54,,30.6
2017-12-26T00:19:52.749Z,,33.9,,,54,,30.6
2017-12-26T00:20:02.752Z,,33.8,,,54,,30.6
2017-12-26T00:20:12.756Z,,33.7,,,54,,30.4
2017-12-26T00:20:22.749Z,,33.6,,,54,,30.4
2017-12-26T00:20:32.745Z,,,,,54,,30.4
2017-12-26T00:20:42.746Z,,,,,54,,30.4
2017-12-26T00:20:52.744Z,,33.5,,,54,,30.4
2017-12-26T00:21:02.743Z,,,,,54,,30.4
2017-12-26T00:21:12.748Z,,,,,54,,30.4
2017-12-26T00:21:22.748Z,,,,,54,,30.4
2017-12-26T00:21:32.745Z,,,,,54,,30.4
2017-12-26T00:21:42.746Z,,,,,54,,30.4
2017-12-26T00:21:52.750Z,,,,,54,,30.4
2017-12-26T00:22:02.749Z,,,,,54,,30.4
2017-12-26T00:22:12.753Z,,,,,54,,30.4
2017-12-26T00:22:22.747Z,,,,,54,,30.3
2017-12-26T00:22:32.747Z,,,,,54,,30.3
2017-12-26T00:22:42.752Z,,,,,54,,30.3
2017-12-26T00:22:52.751Z,,,,,54,,30.2
2017-12-26T00:23:02.748Z,,,,,54,,30.2
2017-12-26T00:23:12.752Z,,,,,54,,30.1
2017-12-26T00:23:22.747Z,,,,,54,,30.1
2017-12-26T00:23:32.747Z,,,,,54,,30
2017-12-26T00:23:42.747Z,,33.6,,,54,,30
