Time,ChActive,PrimT,ActPow,HwActive,HwTOutlet,PrimTSet,HwTSet
2018-02-11T00:00:06.468Z,,,,,21.6,,54
2018-02-11T00:00:16.395Z,,52.4,,,21.5,,54
2018-02-11T00:00:26.397Z,,,,,21.5,,54
2018-02-11T00:00:36.489Z,1,,,0,21.3,,54
2018-02-11T00:00:46.412Z,,54.7,35,,21.3,,54
2018-02-11T00:00:56.436Z,,47.6,30,,21.3,,54
2018-02-11T00:01:06.402Z,,47.4,29,,22,,54
2018-02-11T00:01:16.360Z,,48.6,,,22.7,,54
2018-02-11T00:01:26.451Z,0,46.9,,2,23.3,0,54
2018-02-11T00:01:36.431Z,0,51.1,0,2,14.5,,54
2018-02-11T00:01:46.373Z,0,43.2,63,2,39.9,,54
2018-02-11T00:01:56.425Z,,44.1,57,,39.7,,54
2018-02-11T00:02:06.390Z,,48,93,,42.1,,54
2018-02-11T00:02:16.394Z,,51.1,92,,45.8,,54
2018-02-11T00:02:26.382Z,,54,81,,49,,54
2018-02-11T00:02:36.374Z,,55.1,77,,51.3,,54
2018-02-11T00:02:46.368Z,,56,64,,52.5,,54
2018-02-11T00:02:56.449Z,,,61,,53.2,,54
2018-02-11T00:03:06.384Z,,56.1,62,,53.4,,54
2018-02-11T00:03:16.365Z,,56.3,,,53.6,,54
2018-02-11T00:03:26.365Z,,56.4,,,53.8,,54
2018-02-11T00:03:36.381Z,,56.6,61,,54,,54
2018-02-11T00:03:46.435Z,,56.7,63,,54.1,,54
2018-02-11T00:03:56.572Z,,56.8,62,,54.1,,54
2018-02-11T00:04:06.396Z,,,61,,54.2,,54
2018-02-11T00:04:16.564Z,,,,,54.2,,54
2018-02-11T00:04:26.369Z,,56.7,,,54.2,,54
2018-02-11T00:04:36.390Z,,,,,54.2,,54
2018-02-11T00:04:46.366Z,,56.6,,,54.1,,54
2018-02-11T00:04:56.609Z,,56.5,60,,54,,54
2018-02-11T00:05:06.487Z,,,,,54,,54
2018-02-11T00:05:16.366Z,,56.4,61,,53.9,,54
2018-02-11T00:05:26.578Z,,,,,53.8,,54
2018-02-11T00:05:36.374Z,,,,,53.9,,54
2018-02-11T00:05:46.450Z,,56.5,,,54,,54
2018-02-11T00:05:56.379Z,,,,,54,,54
2018-02-11T00:06:06.402Z,,,,,54.1,,54
2018-02-11T00:06:16.408Z,,,,,54.1,,54
2018-02-11T00:06:26.370Z,,,,,54,,54
2018-02-11T00:06:36.402Z,,,,,54,,54
2018-02-11T00:06:46.365Z,,56.4,,,54.1,,54
2018-02-11T00:06:56.489Z,,56.5,60,,54,,54
2018-02-11T00:07:06.406Z,,,61,,53.9,,54
2018-02-11T00:07:16.368Z,,56.4,62,,53.9,,54
2018-02-11T00:07:26.529Z,0,,48,0,54,,54
2018-02-11T00:07:36.508Z,0,55,0,0,53.8,,54
2018-02-11T00:07:46.419Z,,49.9,,,53.7,,54
2018-02-11T00:07:56.400Z,,48.4,,,53.9,,54
2018-02-11T00:08:06.463Z,,52,,,53.9,,54
2018-02-11T00:08:16.371Z,,54,,,53.3,,54
2018-02-11T00:08:26.384Z,1,55,,0,52.5,61,54
2018-02-11T00:08:36.463Z,,55.1,,,51.6,,54
2018-02-11T00:08:46.397Z,,55.3,,,50.9,,54
2018-02-11T00:08:56.486Z,,55.4,,,50.2,,54
2018-02-11T00:09:06.432Z,,,,,49.8,,54
2018-02-11T00:09:16.488Z,,55.5,,,49.6,,54
2018-02-11T00:09:26.449Z,,,,,49.3,,54
2018-02-11T00:09:36.440Z,,,,,49.2,,54
2018-02-11T00:09:46.371Z,,,,,49.1,,54
2018-02-11T00:09:56.381Z,,,,,48.7,,54
2018-02-11T00:10:06.394Z,,,,,47.7,,54
2018-02-11T00:10:16.370Z,,,,,46.7,,54
2018-02-11T00:10:26.378Z,,,,,45.6,,54
2018-02-11T00:10:36.383Z,,,,,44.4,,54
2018-02-11T00:10:46.383Z,,,,,43.3,,54
2018-02-11T00:10:56.374Z,,,,,42.4,,54
2018-02-11T00:11:06.390Z,,,,,41.3,,54
2018-02-11T00:11:16.404Z,,,,,40.3,,54
2018-02-11T00:11:26.414Z,1,58,39,0,39.3,,54
2018-02-11T00:11:36.405Z,,50.7,29,,38.5,,54
2018-02-11T00:11:46.382Z,,47,,,38,,54
2018-02-11T00:11:56.392Z,,48.5,,,37.7,,54
2018-02-11T00:12:06.444Z,,46.8,,,37.6,,54
2018-02-11T00:12:16.372Z,,45.7,,,37.4,,54
2018-02-11T00:12:26.369Z,,44.9,,,37.3,,54
2018-02-11T00:12:36.387Z,,43.9,,,37.1,,54
2018-02-11T00:12:46.367Z,,43.7,,,36.7,,54
2018-02-11T00:12:56.387Z,,43.2,,,36.4,,54
2018-02-11T00:13:06.382Z,,42.9,,,36,,54
2018-02-11T00:13:16.378Z,,42.8,,,35.7,,54
2018-02-11T00:13:26.370Z,,42.7,,,35.3,,54
2018-02-11T00:13:36.376Z,,,,,34.8,,54
2018-02-11T00:13:46.382Z,,42.6,30,,34.5,,54
2018-02-11T00:13:56.381Z,,42.7,29,,34.2,,54
2018-02-11T00:14:06.422Z,,,,,33.9,,54
2018-02-11T00:14:16.406Z,,42.8,,,33.6,,54
2018-02-11T00:14:26.391Z,,43,30,,33.4,,54
2018-02-11T00:14:36.370Z,,,29,,33.2,,54
2018-02-11T00:14:46.368Z,,43.1,30,,32.9,,54
2018-02-11T00:14:56.381Z,,43.3,29,,32.7,,54
2018-02-11T00:15:06.378Z,,43.4,30,,32.5,,54
2018-02-11T00:15:16.402Z,1,43.5,29,0,32.4,61,54
2018-02-11T00:15:26.379Z,,43.6,,,32.2,,54
2018-02-11T00:15:36.404Z,,43.7,,,32.1,,54
2018-02-11T00:15:46.375Z,,43.8,,,32,,54
2018-02-11T00:15:56.385Z,,44,,,31.9,,54
2018-02-11T00:16:06.369Z,1,43.8,0,0,31.8,,54
2018-02-11T00:16:16.401Z,,41.6,,,31.8,,54
2018-02-11T00:16:26.392Z,,40.4,,,31.5,,54
2018-02-11T00:16:36.396Z,,39.8,,,31.3,,54
2018-02-11T00:16:46.415Z,,38.8,,,31,,54
2018-02-11T00:16:56.378Z,,38.3,,,30.8,,54
2018-02-11T00:17:06.391Z,,37.9,,,30.4,,54
2018-02-11T00:17:16.376Z,,37.4,,,30.2,,54
2018-02-11T00:17:26.374Z,,36.9,,,30,,54
2018-02-11T00:17:36.412Z,,36.7,,,29.6,,54
2018-02-11T00:17:46.390Z,,36.4,,,29.3,,54
2018-02-11T00:17:56.392Z,,36.2,,,29.1,,54
2018-02-11T00:18:06.386Z,,35.9,,,28.7,,54
2018-02-11T00:18:16.408Z,,,,,28.5,,54
2018-02-11T00:18:26.395Z,,35.7,,,28.3,,54
2018-02-11T00:18:36.390Z,,35.6,,,28,,54
2018-02-11T00:18:46.382Z,,35.4,,,27.8,,54
2018-02-11T00:18:56.416Z,,35.3,,,27.5,,54
2018-02-11T00:19:06.393Z,,35.3,,,27.4,,54
2018-02-11T00:19:16.418Z,0,,,0,27.2,5,54
2018-02-11T00:19:26.437Z,1,,,0,26.9,61,54
2018-02-11T00:19:36.381Z,0,,,0,26.9,5,54
2018-02-11T00:19:46.379Z,,,,,27.1,,54
2018-02-11T00:19:56.393Z,,,,,26.9,,54
2018-02-11T00:20:06.385Z,,,,,26.7,,54
2018-02-11T00:20:16.383Z,1,,,0,26.3,61,54
2018-02-11T00:20:26.396Z,,,,,25.9,,54
2018-02-11T00:20:36.379Z,,,,,25.5,,54
2018-02-11T00:20:46.380Z,,,,,25.1,,54
2018-02-11T00:20:56.403Z,,,,,24.8,,54
2018-02-11T00:21:06.396Z,,,,,24.4,,54
2018-02-11T00:21:16.372Z,,,,,24,,54
2018-02-11T00:21:26.375Z,,,,,23.8,,54
2018-02-11T00:21:36.394Z,,,,,23.4,,54
2018-02-11T00:21:46.374Z,,,,,23.2,,54
2018-02-11T00:21:56.379Z,,,,,23,,54
2018-02-11T00:22:06.387Z,,,,,22.7,,54
2018-02-11T00:22:16.371Z,,35.4,,,22.5,,54
2018-02-11T00:22:26.406Z,,,,,22.4,,54
2018-02-11T00:22:36.385Z,,,,,22.1,,54
2018-02-11T00:22:46.380Z,,,,,22,,54
2018-02-11T00:22:56.377Z,,35.5,,,21.7,,54
2018-02-11T00:23:06.430Z,,,,,21.6,,54
2018-02-11T00:23:16.378Z,,35.6,,,21.5,,54
2018-02-11T00:23:26.397Z,,,,,21.3,,54
2018-02-11T00:23:36.371Z,,35.7,,,21.2,,54
2018-02-11T00:23:46.372Z,,,,,21.1,,54
2018-02-11T00:23:56.381Z,,35.8,,,20.9,,54
2018-02-11T00:24:06.385Z,,,,,20.8,,54
2018-02-11T00:24:16.378Z,,35.9,,,20.6,,54
2018-02-11T00:24:26.379Z,,,,,20.6,,54
2018-02-11T00:24:36.389Z,,36,,,20.5,,54
2018-02-11T00:24:46.389Z,,,,,20.4,,54
2018-02-11T00:24:56.383Z,,,,,20.4,,54
2018-02-11T00:25:06.400Z,,36.1,,,20.2,,54
2018-02-11T00:25:16.389Z,,,,,20.1,,54
2018-02-11T00:25:26.378Z,,,,,20.1,,54
2018-02-11T00:25:36.380Z,,,,,20,,54
2018-02-11T00:25:46.393Z,,,,,20,,54
2018-02-11T00:25:56.416Z,,36.2,,,19.8,,54
2018-02-11T00:26:06.421Z,,,,,19.8,,54
2018-02-11T00:26:17.324Z,,,,,19.7,,54
2018-02-11T00:26:26.380Z,,,,,19.6,,54
2018-02-11T00:26:36.394Z,,,,,19.6,,54
2018-02-11T00:26:46.379Z,,,,,19.4,,54
2018-02-11T00:26:56.382Z,0,,,0,19.4,5,54
2018-02-11T00:27:06.378Z,,,,,19.3,,54
2018-02-11T00:27:16.378Z,1,,,0,19.2,61,54
2018-02-11T00:27:26.384Z,,,,,19.2,,54
2018-02-11T00:27:36.387Z,,,,,19,,54
2018-02-11T00:27:46.380Z,,,,,19,,54
2018-02-11T00:27:56.383Z,,,,,18.9,,54
2018-02-11T00:28:06.428Z,,,,,18.8,,54
2018-02-11T00:28:16.518Z,,,,,18.8,,54
2018-02-11T00:28:26.449Z,,,,,18.6,,54
2018-02-11T00:28:36.374Z,,,,,18.6,,54
2018-02-11T00:28:46.473Z,,36.1,,,18.5,,54
2018-02-11T00:28:56.377Z,,,,,18.5,,54
2018-02-11T00:29:06.375Z,,,,,18.4,,54
2018-02-11T00:29:16.377Z,,,,,18.2,,54
2018-02-11T00:29:26.385Z,,,,,18.2,,54
2018-02-11T00:29:36.374Z,,,,,18.1,,54
2018-02-11T00:29:46.381Z,,,,,18.1,,54
2018-02-11T00:29:56.425Z,,,,,17.9,,54
2018-02-11T00:30:06.377Z,,,,,17.9,,54
2018-02-11T00:30:16.379Z,0,36,,0,17.8,5,54
2018-02-11T00:30:26.386Z,,,,,17.8,,54
2018-02-11T00:30:36.380Z,,,,,17.7,,54
2018-02-11T00:30:46.392Z,,,,,17.7,,54
2018-02-11T00:30:56.382Z,,,,,17.5,,54
2018-02-11T00:31:06.376Z,,,,,17.5,,54
2018-02-11T00:31:16.382Z,,,,,17.5,,54
2018-02-11T00:31:26.386Z,,,,,17.4,,54
2018-02-11T00:31:36.465Z,,35.9,,,17.3,,54
2018-02-11T00:31:46.507Z,,,,,17.3,,54
2018-02-11T00:31:56.399Z,,,,,17.3,,54
2018-02-11T00:32:06.402Z,,,,,17.3,,54
2018-02-11T00:32:16.410Z,,,,,17.1,,54
2018-02-11T00:32:26.381Z,,,,,17.1,,54
