Time,HwActive,ActPow,HwTSet,PrimT,PrimTSet,ChActive,HwTOutlet
2017-11-11T00:17:05.622Z,,,54,60,,,30.7
2017-11-11T00:17:15.713Z,,,54,60.5,,,30.9
2017-11-11T00:17:25.623Z,,29,54,61.1,,,31
2017-11-11T00:17:35.629Z,,,54,61.4,,,31
2017-11-11T00:17:45.621Z,,,54,61.8,,,31
2017-11-11T00:17:55.620Z,,,54,62.1,,,31.2
2017-11-11T00:18:05.630Z,,,54,62.4,,,31.3
2017-11-11T00:18:15.805Z,,,54,62.6,,,31.3
2017-11-11T00:18:25.621Z,,,54,62.7,,,31
2017-11-11T00:18:35.622Z,,29,54,63.1,,,31
2017-11-11T00:18:45.624Z,,,54,63.2,,,31.2
2017-11-11T00:18:55.634Z,,,54,63.3,,,31.2
2017-11-11T00:19:05.630Z,,,54,63.4,,,31.3
2017-11-11T00:19:15.715Z,,,54,63.5,,,31.5
2017-11-11T00:19:25.626Z,,,54,63.6,,,31.4
2017-11-11T00:19:35.631Z,,30,54,63.8,,,31.5
2017-11-11T00:19:45.626Z,,29,54,64,,,31.5
2017-11-11T00:19:55.625Z,,,54,,,,31.8
2017-11-11T00:20:05.626Z,,30,54,64.1,,,31.8
2017-11-11T00:20:15.717Z,,29,54,64.2,,,31.6
2017-11-11T00:20:25.629Z,,,54,64.4,,,31.8
2017-11-11T00:20:35.624Z,,,54,64.5,,,31.9
2017-11-11T00:20:45.624Z,,,54,64.6,,,31.8
2017-11-11T00:20:55.628Z,,,54,64.7,,,32
2017-11-11T00:21:05.625Z,,30,54,64.8,,,32.2
2017-11-11T00:21:15.728Z,,29,54,64.9,,,32.2
2017-11-11T00:21:25.624Z,0,0,54,62.9,,2,32.1
2017-11-11T00:21:35.633Z,,,54,61.5,,,32.2
2017-11-11T00:21:45.625Z,,,54,60.6,,,32.1
2017-11-11T00:21:55.637Z,,,54,58.9,,,32.1
2017-11-11T00:22:05.623Z,,,54,58.4,,,32.2
2017-11-11T00:22:15.730Z,,,54,57.6,,,32.4
2017-11-11T00:22:25.627Z,,,54,56.8,,,32.3
2017-11-11T00:22:35.623Z,,,54,56.2,,,32.2
2017-11-11T00:22:45.635Z,,,54,55.6,,,32.2
2017-11-11T00:22:55.629Z,,,54,55.1,,,32
2017-11-11T00:23:05.633Z,0,42,54,57,,2,32
2017-11-11T00:23:20.781Z,,31,54,59,,,32
2017-11-11T00:23:30.725Z,,30,54,59,,,31.6
2017-11-11T00:23:35.633Z,,29,54,60,,,31.6
2017-11-11T00:23:45.631Z,,,54,60.7,,,31.6
2017-11-11T00:23:55.629Z,,,54,61.4,,,31.8
2017-11-11T00:24:05.626Z,,,54,62,,,31.9
2017-11-11T00:24:15.730Z,,,54,62.6,,,31.9
2017-11-11T00:24:30.717Z,,,54,63.1,,,31.9
2017-11-11T00:24:35.627Z,,,54,63.5,,,32
2017-11-11T00:24:45.628Z,,,54,63.8,,,32.1
2017-11-11T00:24:55.629Z,,30,54,64.1,,,32.1
2017-11-11T00:25:05.629Z,,29,54,64.4,,,32.1
2017-11-11T00:25:20.780Z,,,54,64.6,,,32.1
2017-11-11T00:25:30.780Z,,,54,64.7,,,32.1
2017-11-11T00:25:35.631Z,,30,54,65.1,,,32.2
2017-11-11T00:25:45.637Z,0,0,54,62.7,,2,32.1
2017-11-11T00:26:00.723Z,,,54,61.4,,,32
2017-11-11T00:26:05.633Z,,,54,60.6,,,32
2017-11-11T00:26:15.724Z,,,54,58.9,,,31.9
2017-11-11T00:26:30.824Z,,,54,58.4,,,32
2017-11-11T00:26:35.634Z,,,54,57.6,,,31.9
2017-11-11T00:26:45.627Z,,,54,56.9,,,32.1
2017-11-11T00:26:55.631Z,,,54,56.2,,,32
2017-11-11T00:27:05.634Z,,,54,55.6,,,32.1
2017-11-11T00:27:15.740Z,,,54,54.9,,,32
2017-11-11T00:27:25.627Z,,,54,54.7,,,31.9
2017-11-11T00:27:35.629Z,,,54,54.3,,,32
2017-11-11T00:27:46.362Z,,,54,53.9,,,31.8
2017-11-11T00:27:55.631Z,,,54,53.6,,,31.8
2017-11-11T00:28:05.633Z,0,44,54,55.2,,2,31.6
2017-11-11T00:28:15.722Z,,35,54,57.7,,,31.5
2017-11-11T00:28:25.634Z,,29,54,58,,,31.3
2017-11-11T00:28:35.633Z,,30,54,59.1,,,31.2
2017-11-11T00:28:45.639Z,,29,54,60,,,31.2
2017-11-11T00:28:55.627Z,,,54,60.6,,,31.5
2017-11-11T00:29:05.636Z,,,54,61.4,,,31.4
2017-11-11T00:29:15.721Z,,,54,62,,,31.5
2017-11-11T00:29:25.638Z,,,54,62.5,,,31.8
2017-11-11T00:29:35.630Z,,,54,63.1,,,31.9
2017-11-11T00:29:45.634Z,,,54,63.4,,,31.9
2017-11-11T00:29:55.630Z,,,54,63.8,,,31.8
2017-11-11T00:30:05.633Z,,30,54,64,,,32
2017-11-11T00:30:15.721Z,,29,54,64.2,,,32.1
2017-11-11T00:30:25.631Z,,30,54,64.5,,,31.9
2017-11-11T00:30:35.629Z,,29,54,64.7,,,32
2017-11-11T00:30:45.630Z,,30,54,64.9,,,32
2017-11-11T00:30:55.629Z,0,0,54,62.8,,2,32.2
2017-11-11T00:31:05.632Z,,,54,61.5,,,32
2017-11-11T00:31:15.720Z,,,54,60.7,,,32
2017-11-11T00:31:25.636Z,,,54,59.5,,,32
2017-11-11T00:31:35.632Z,,,54,58.6,,,31.9
