Time,ActPow,PrimT,HwTSet,HwTOutlet,PrimTSet,HwActive,ChActive
2017-11-07T00:00:01.301Z,,64.7,54,46.8,,,
2017-11-07T00:00:11.296Z,0,63.1,54,46.9,,0,2
2017-11-07T00:00:21.295Z,,61.8,54,47,,,
2017-11-07T00:00:31.304Z,,60.5,54,47,,,
2017-11-07T00:00:41.297Z,,59.9,54,47.1,,,
2017-11-07T00:00:51.297Z,,58.4,54,47.1,,,
2017-11-07T00:01:01.294Z,,57.6,54,47.2,,,
2017-11-07T00:01:11.295Z,,56.9,54,47.1,,,
2017-11-07T00:01:21.307Z,,56.8,54,47.1,,,
2017-11-07T00:01:31.300Z,,55.5,,,,,
2017-11-07T00:01:41.308Z,,54.9,54,47,,,
2017-11-07T00:01:51.297Z,,54.5,54,47,,,
2017-11-07T00:02:01.313Z,,,54,46.9,,,
2017-11-07T00:02:11.295Z,,53.5,54,46.9,,,
2017-11-07T00:02:21.301Z,42,55.5,54,46.8,,0,2
2017-11-07T00:02:31.293Z,37,57.1,54,46.7,,,
2017-11-07T00:02:41.309Z,29,57.9,54,46.6,,,
2017-11-07T00:02:51.303Z,,59.1,54,46.6,,,
2017-11-07T00:03:01.296Z,,,54,46.4,,,
2017-11-07T00:03:11.305Z,,60,,,,,
2017-11-07T00:03:21.297Z,,61.2,54,46.4,,,
2017-11-07T00:03:31.295Z,,,54,46.5,,,
2017-11-07T00:03:41.295Z,,62,54,46.5,,,
2017-11-07T00:03:51.295Z,,62.4,54,46.5,,,
2017-11-07T00:04:01.301Z,,63.1,54,46.5,,,
2017-11-07T00:04:11.297Z,,63.3,54,46.5,,,
2017-11-07T00:04:21.300Z,,64,54,46.5,,,
2017-11-07T00:04:31.307Z,,,54,46.6,,,
2017-11-07T00:04:41.300Z,,64.4,54,46.6,,,
2017-11-07T00:04:51.300Z,,64.6,54,46.7,,,
2017-11-07T00:05:01.299Z,0,64.7,54,46.8,,0,2
2017-11-07T00:05:11.305Z,,61.9,54,46.8,,,
2017-11-07T00:05:21.295Z,,61.8,54,46.9,,,
2017-11-07T00:05:31.297Z,,59.7,54,47,,,
2017-11-07T00:05:41.298Z,,58.8,54,47,,,
2017-11-07T00:05:51.300Z,,,54,47.1,,,
2017-11-07T00:06:01.298Z,,57.1,54,47.1,,,
2017-11-07T00:06:11.301Z,,56.5,54,47,,,
2017-11-07T00:06:21.297Z,,,54,47,,,
2017-11-07T00:06:31.320Z,,55.3,54,47,,,
2017-11-07T00:06:41.301Z,,54.9,54,47,,,
2017-11-07T00:06:51.298Z,,54.8,54,46.8,,,
2017-11-07T00:07:01.297Z,,53.8,,,,,
2017-11-07T00:07:11.299Z,,,54,46.8,,,
2017-11-07T00:07:21.308Z,45,54.1,54,46.7,,0,2
2017-11-07T00:07:31.303Z,29,57.7,54,46.6,,,
2017-11-07T00:07:41.310Z,,,54,46.5,,,
2017-11-07T00:07:51.303Z,29,59,54,46.5,,,
2017-11-07T00:08:01.300Z,30,59.1,54,46.4,,,
2017-11-07T00:08:11.298Z,29,60,54,46.4,,,
2017-11-07T00:08:21.305Z,29,61.1,54,46.3,,,
2017-11-07T00:08:31.302Z,30,61.3,54,46.3,,,
2017-11-07T00:08:41.301Z,29,62,54,46.4,,,
2017-11-07T00:08:51.300Z,,62.5,54,46.4,,,
2017-11-07T00:09:01.300Z,,63.1,54,46.5,,,
2017-11-07T00:09:11.355Z,30,63.4,54,46.5,,,
2017-11-07T00:09:21.300Z,29,64.1,54,46.5,,,
2017-11-07T00:09:31.299Z,,,54,46.6,,,
2017-11-07T00:09:41.314Z,,64.5,54,46.6,,,
2017-11-07T00:09:51.298Z,,64.7,54,46.7,,,
2017-11-07T00:10:01.298Z,0,63.8,54,46.7,,0,2
2017-11-07T00:10:11.304Z,,61.9,54,46.8,,,
2017-11-07T00:10:21.297Z,,60.9,54,46.8,,,
2017-11-07T00:10:31.299Z,,59.9,54,46.9,,,
2017-11-07T00:10:41.305Z,,58.9,54,47,,,
2017-11-07T00:10:51.304Z,,57.9,54,47,,,
2017-11-07T00:11:01.298Z,,56.9,54,47,,,
2017-11-07T00:11:11.307Z,,56.8,54,47,,,
2017-11-07T00:11:21.297Z,,55.9,54,46.9,,,
2017-11-07T00:11:31.304Z,,55.5,54,46.9,,,
2017-11-07T00:11:46.455Z,,54.9,54,46.9,,,
2017-11-07T00:11:51.297Z,,54.6,54,46.8,,,
2017-11-07T00:12:01.306Z,,53.9,54,46.8,,,
2017-11-07T00:12:16.477Z,,53.7,54,46.7,,,
2017-11-07T00:12:21.303Z,45,54,54,46.6,,0,2
2017-11-07T00:12:36.416Z,36,57.1,54,46.6,,,
2017-11-07T00:12:41.302Z,29,57.7,54,46.5,,,
2017-11-07T00:12:51.305Z,,58,54,46.4,,,
2017-11-07T00:13:01.305Z,29,59.1,54,46.4,,,
2017-11-07T00:13:11.303Z,,60,54,46.4,,,
2017-11-07T00:13:21.312Z,,61.1,54,46.4,,,
2017-11-07T00:13:31.302Z,,61.2,54,46.4,,,
2017-11-07T00:13:41.305Z,,62,54,46.4,,,
2017-11-07T00:13:51.306Z,30,62.4,54,46.4,,,
2017-11-07T00:14:01.302Z,29,63.1,54,46.5,,,
2017-11-07T00:14:11.301Z,,63.3,54,46.5,,,
2017-11-07T00:14:21.302Z,,64,54,46.6,,,
2017-11-07T00:14:31.304Z,,,54,46.6,,,
2017-11-07T00:14:41.304Z,30,64.4,54,46.7,,,
2017-11-07T00:14:51.306Z,,64.6,54,46.7,,,
2017-11-07T00:15:01.300Z,0,64.8,54,46.8,,0,2
2017-11-07T00:15:11.300Z,,61.8,54,46.9,,,
2017-11-07T00:15:21.304Z,,60.9,54,47,,,
2017-11-07T00:15:31.309Z,,59.9,54,47,,,
2017-11-07T00:15:41.312Z,,58.9,54,47.1,,,
2017-11-07T00:15:51.301Z,,57.9,54,47.1,,,
2017-11-07T00:16:01.303Z,,57.8,54,47.1,,,
2017-11-07T00:16:11.301Z,,56.9,54,47.1,,,
2017-11-07T00:16:21.303Z,,55.9,54,47.1,,,
2017-11-07T00:16:31.311Z,,55.7,54,47.1,,,
2017-11-07T00:16:41.330Z,,54.9,54,47,,,
2017-11-07T00:16:51.301Z,,54.7,54,46.9,,,
