Time,HwTOutlet,ChActive,HwTSet,PrimT,PrimTSet,HwActive,ActPow
2017-11-15T00:16:53.955Z,29.6,1,54,64.9,,0,0
2017-11-15T00:17:03.944Z,29.6,,54,62.5,,,
2017-11-15T00:17:13.948Z,29.2,,54,60.9,,,
2017-11-15T00:17:23.952Z,29,,54,59.8,,,
2017-11-15T00:17:33.950Z,28.9,,54,58.9,,,
2017-11-15T00:17:43.949Z,29.1,,54,57.9,,,
2017-11-15T00:17:53.946Z,29.6,,54,57.2,,,
2017-11-15T00:18:03.950Z,30,,54,56.6,,,
2017-11-15T00:18:13.948Z,29.6,,54,55.9,,,
2017-11-15T00:18:23.952Z,29.8,,54,55.3,,,
2017-11-15T00:18:33.950Z,29.5,1,54,56.1,,0,44
2017-11-15T00:18:43.947Z,29.2,,54,58.4,,,37
2017-11-15T00:18:53.948Z,28.6,,54,58.6,,,29
2017-11-15T00:19:03.942Z,28.5,,54,59.5,,,
2017-11-15T00:19:13.948Z,28.6,,54,60.4,,,
2017-11-15T00:19:23.945Z,28.9,,54,61.1,,,
2017-11-15T00:19:33.944Z,29,,54,61.5,,,
2017-11-15T00:19:43.944Z,29.2,,54,62,,,
2017-11-15T00:19:53.950Z,29.1,,54,62.6,,,30
2017-11-15T00:20:03.946Z,29.2,,54,63.1,,,29
2017-11-15T00:20:13.949Z,29.1,,54,63.3,,,
2017-11-15T00:20:23.948Z,28.9,,54,63.6,,,
2017-11-15T00:20:33.943Z,29,,54,64,,,
2017-11-15T00:20:43.958Z,29.1,,54,64.1,,,
2017-11-15T00:20:53.951Z,29.2,,54,64.4,,,
2017-11-15T00:21:03.950Z,29.1,,54,64.6,,,30
2017-11-15T00:21:13.947Z,29,,54,64.8,,,29
2017-11-15T00:21:23.957Z,29.2,,54,65.1,,,0
2017-11-15T00:21:33.951Z,29.1,1,54,62.7,,0,
2017-11-15T00:21:43.950Z,29,,54,61.4,,,
2017-11-15T00:21:53.954Z,29.1,,54,59.9,,,
2017-11-15T00:22:03.948Z,29.6,,54,58.9,,,
2017-11-15T00:22:13.950Z,30.2,,54,58.4,,,
2017-11-15T00:22:23.946Z,29.7,,54,57.6,,,
2017-11-15T00:22:33.948Z,29.7,,54,56.8,,,
2017-11-15T00:22:43.951Z,29.6,,54,55.9,,,
2017-11-15T00:22:53.967Z,28.9,,54,55.5,,,
2017-11-15T00:23:03.951Z,29,,54,54.9,,,
2017-11-15T00:23:13.949Z,29.5,,54,54.6,,,
2017-11-15T00:23:23.950Z,29.3,,54,53.9,,,
2017-11-15T00:23:33.951Z,29.2,1,54,54.3,,0,44
2017-11-15T00:23:43.953Z,28.9,,54,58,,,33
2017-11-15T00:23:53.949Z,28.4,,54,58,,,29
2017-11-15T00:24:03.953Z,28.3,,54,59,,,29
2017-11-15T00:24:13.946Z,28.6,,54,59.7,,,
2017-11-15T00:24:23.949Z,28.6,,54,60.4,,,
2017-11-15T00:24:33.954Z,28.6,,54,61.1,,,
2017-11-15T00:24:43.953Z,28.6,,54,61.6,,,
2017-11-15T00:24:53.948Z,28.7,,54,62.1,,,30
2017-11-15T00:25:03.948Z,28.7,,54,62.6,,,29
2017-11-15T00:25:13.955Z,28.9,,54,63.1,,,30
2017-11-15T00:25:23.948Z,29.1,,54,63.3,,,29
2017-11-15T00:25:33.947Z,29.3,,54,63.6,,,30
2017-11-15T00:25:43.948Z,29.3,,54,64,,,30
2017-11-15T00:25:53.954Z,29,,54,64.1,,,29
2017-11-15T00:26:03.954Z,29,,54,64.4,,,
2017-11-15T00:26:13.947Z,29,,54,64.6,,,
2017-11-15T00:26:23.951Z,29.2,,54,64.8,,,
2017-11-15T00:26:33.951Z,29.1,,54,65.1,,,0
2017-11-15T00:26:43.954Z,29.1,1,54,62.8,,0,
2017-11-15T00:26:53.956Z,29.2,,54,61.4,,,
2017-11-15T00:27:03.950Z,29.6,,54,59.9,,,
2017-11-15T00:27:13.955Z,29.3,,54,58.9,,,
2017-11-15T00:27:23.951Z,29.1,,54,58.4,,,
2017-11-15T00:27:33.961Z,29,,54,57.6,,,
2017-11-15T00:27:43.953Z,29.3,,54,56.8,,,
2017-11-15T00:27:53.948Z,29.8,,54,55.9,,,
2017-11-15T00:28:03.957Z,29.5,,54,55.5,,,
2017-11-15T00:28:13.949Z,29,,54,54.9,,,
2017-11-15T00:28:23.948Z,29.2,,54,54.6,,,
2017-11-15T00:28:33.949Z,29,1,54,55.4,,0,44
2017-11-15T00:28:43.958Z,28.6,,54,58.2,,,36
2017-11-15T00:28:53.948Z,28.9,,54,,,,29
2017-11-15T00:29:03.950Z,28.7,,54,59.3,,,
2017-11-15T00:29:13.949Z,28.6,,54,60,,,
2017-11-15T00:29:23.952Z,28.6,,54,60.7,,,
2017-11-15T00:29:33.955Z,28.4,,54,61.4,,,
2017-11-15T00:29:43.953Z,28.5,,54,62,,,
2017-11-15T00:29:53.951Z,28.9,,54,62.5,,,
2017-11-15T00:30:03.950Z,29.2,,54,63.1,,,
2017-11-15T00:30:13.950Z,29.3,,54,63.4,,,
2017-11-15T00:30:23.950Z,28.9,,54,63.8,,,30
2017-11-15T00:30:33.950Z,28.9,,54,64,,,29
2017-11-15T00:30:43.952Z,29,,54,64.2,,,
2017-11-15T00:30:53.949Z,29,,54,64.6,,,
2017-11-15T00:31:03.960Z,29.1,,54,64.8,,,
2017-11-15T00:31:13.958Z,29.1,1,54,64.9,,0,0
2017-11-15T00:31:23.955Z,29.6,,54,61.9,,,
2017-11-15T00:31:33.952Z,29.3,,54,60.9,,,
2017-11-15T00:31:43.949Z,29.2,,54,59.9,,,
2017-11-15T00:31:53.956Z,28.9,,54,58.9,,,
2017-11-15T00:32:03.958Z,28.9,,54,57.9,,,
2017-11-15T00:32:13.952Z,28.7,,54,57.4,,,
2017-11-15T00:32:23.953Z,29,,54,56.7,,,
2017-11-15T00:32:33.953Z,29,,54,55.9,,,
2017-11-15T00:32:43.961Z,29.1,,54,55.5,,,
2017-11-15T00:32:53.961Z,28.5,,54,54.9,,,
2017-11-15T00:33:03.959Z,28.9,,54,54.6,,,
2017-11-15T00:33:13.953Z,29.1,,54,54.1,,,
2017-11-15T00:33:23.960Z,29,,54,53.8,,,
2017-11-15T00:33:33.968Z,28.1,1,54,54.1,,0,44
2017-11-15T00:33:43.956Z,28.3,,54,57.3,,,37
2017-11-15T00:33:53.971Z,28.3,,54,57.7,,,29
2017-11-15T00:34:03.956Z,28,,54,59,,,
2017-11-15T00:34:19.055Z,28.3,,54,59.7,,,
2017-11-15T00:34:23.953Z,28.4,,54,60.2,,,
2017-11-15T00:34:33.954Z,28.4,,54,61.1,,,
2017-11-15T00:34:43.955Z,28.5,,54,61.5,,,
2017-11-15T00:34:53.959Z,28.6,,54,62.1,,,
2017-11-15T00:35:03.959Z,28.9,,54,62.6,,,
2017-11-15T00:35:13.954Z,28.6,,54,63.1,,,
2017-11-15T00:35:23.956Z,28.7,,54,63.3,,,
2017-11-15T00:35:33.961Z,28.7,,54,63.6,,,
2017-11-15T00:35:43.955Z,28.9,,54,64,,,29
2017-11-15T00:35:53.957Z,28.7,,54,64.1,,,
2017-11-15T00:36:03.957Z,28.9,,54,64.4,,,30
2017-11-15T00:36:13.956Z,29.1,,54,64.5,,,29
2017-11-15T00:36:23.952Z,29.2,,54,64.7,,,
2017-11-15T00:36:33.954Z,29.1,,54,64.8,,,
2017-11-15T00:36:43.956Z,29.2,1,54,64.8,,0,0
2017-11-15T00:36:53.964Z,29.7,,54,61.8,,,
