Time,ChActive,HwTOutlet,ActPow,PrimTSet,HwTSet,PrimT,HwActive
2018-01-11T00:17:32.790Z,,19.6,,,54,40,
2018-01-11T00:17:43.601Z,,19.7,,,54,41,
2018-01-11T00:17:52.769Z,,20,,,54,41.4,
2018-01-11T00:18:02.838Z,,20.2,,,54,42,
2018-01-11T00:18:12.728Z,,20.4,,,54,42.4,
2018-01-11T00:18:22.857Z,,20.6,,,54,43,
2018-01-11T00:18:32.750Z,,20.9,,,54,43.3,
2018-01-11T00:18:43.640Z,,21.1,,,54,43.6,
2018-01-11T00:18:52.741Z,,21.2,30,,54,44,
2018-01-11T00:19:02.776Z,,21.3,,,54,,
2018-01-11T00:19:13.663Z,,21.5,29,,54,44.2,
2018-01-11T00:19:22.743Z,,21.6,30,,54,44.3,
2018-01-11T00:19:32.736Z,,21.7,29,,54,44.4,
2018-01-11T00:19:42.845Z,,21.9,,,54,44.5,
2018-01-11T00:19:52.733Z,,21.9,,,54,,
2018-01-11T00:20:02.810Z,,22,,,54,44.6,
2018-01-11T00:20:12.758Z,,22.1,,,54,44.7,
2018-01-11T00:20:22.856Z,,22.2,30,,54,44.8,
2018-01-11T00:20:32.833Z,,22.5,29,,54,44.9,
2018-01-11T00:20:43.623Z,,22.5,30,,54,45,
2018-01-11T00:20:52.733Z,,22.5,29,,54,,
2018-01-11T00:21:03.638Z,,22.6,30,,54,45.1,
2018-01-11T00:21:12.745Z,,22.6,29,,54,45.2,
2018-01-11T00:21:23.696Z,,22.7,,,54,45.3,
2018-01-11T00:21:33.640Z,,22.7,30,,54,45.4,
2018-01-11T00:21:42.764Z,,22.8,,,54,,
2018-01-11T00:21:52.789Z,1,22.8,0,,54,45.6,0
2018-01-11T00:22:02.833Z,,22.8,,,54,42.9,
2018-01-11T00:22:12.754Z,,22.8,,,54,41.9,
2018-01-11T00:22:22.804Z,,22.5,,,54,40.9,
2018-01-11T00:22:32.850Z,,22.2,,,54,40.6,
2018-01-11T00:22:42.864Z,,22.1,,,54,39.8,
2018-01-11T00:22:52.789Z,,21.9,,,54,39.4,
2018-01-11T00:23:03.644Z,,21.9,,,54,38.8,
2018-01-11T00:23:12.753Z,,21.9,,,54,38.4,
2018-01-11T00:23:22.777Z,,21.7,,,54,37.9,
2018-01-11T00:23:32.809Z,,21.6,,,54,37.7,
2018-01-11T00:23:42.741Z,,21.5,,,54,37.4,
2018-01-11T00:23:53.621Z,,21.5,,,54,37.2,
2018-01-11T00:24:02.732Z,,21.3,,,54,36.9,
2018-01-11T00:24:12.737Z,,21.2,,,54,36.7,
2018-01-11T00:24:22.798Z,,21.1,,,54,36.6,
2018-01-11T00:24:32.741Z,,20.9,,,54,36.4,
2018-01-11T00:24:42.751Z,,20.8,,,54,36.3,
2018-01-11T00:24:53.740Z,,20.8,,,54,36.1,
2018-01-11T00:25:02.775Z,,20.6,,,54,,
2018-01-11T00:25:13.689Z,,20.4,,,54,,
2018-01-11T00:25:22.860Z,,20.6,,,54,,
2018-01-11T00:25:32.736Z,,20.5,,,54,,
2018-01-11T00:25:44.834Z,,20.2,,,54,,
2018-01-11T00:25:52.910Z,,20,,,54,,
2018-01-11T00:26:03.703Z,,19.7,,,54,36,
2018-01-11T00:26:18.000Z,,19.4,,,54,,
2018-01-11T00:26:23.749Z,,19,,,54,,
2018-01-11T00:26:32.742Z,,18.8,,,54,36.1,
2018-01-11T00:26:43.608Z,,18.5,,,54,,
2018-01-11T00:26:52.798Z,,18.4,,,54,,
2018-01-11T00:27:02.749Z,,18.1,,,54,36.2,
2018-01-11T00:27:13.818Z,,17.9,,,54,,
2018-01-11T00:27:22.907Z,,17.7,,,54,36.3,
2018-01-11T00:27:32.956Z,,17.5,,,54,,
2018-01-11T00:27:47.934Z,,17.4,,,54,,
2018-01-11T00:27:57.924Z,,17.3,,,54,36.4,
2018-01-11T00:28:07.939Z,,17.1,,,54,,
2018-01-11T00:28:13.616Z,,17,,,54,36.5,
2018-01-11T00:28:27.906Z,,16.8,,,54,,
2018-01-11T00:28:32.746Z,,16.7,,,54,,
2018-01-11T00:28:42.924Z,,16.5,,,54,36.6,
2018-01-11T00:28:53.597Z,,16.4,,,54,,
2018-01-11T00:29:04.877Z,,16.2,,,54,,
2018-01-11T00:29:13.005Z,,16.2,,,54,36.7,
2018-01-11T00:29:23.667Z,,16.1,,,54,36.6,
2018-01-11T00:29:32.748Z,,15.9,,,54,36.7,
2018-01-11T00:29:43.113Z,,15.9,,,54,,
2018-01-11T00:29:53.606Z,,15.7,,,54,,
2018-01-11T00:30:02.773Z,,15.7,,,54,,
2018-01-11T00:30:13.631Z,,15.6,,,54,,
2018-01-11T00:30:23.599Z,,15.6,,,54,,
2018-01-11T00:30:32.760Z,,15.4,,,54,,
2018-01-11T00:30:43.161Z,,15.4,,,54,,
2018-01-11T00:30:57.965Z,,15.4,,,54,,
2018-01-11T00:31:02.881Z,,15.3,,,54,,
2018-01-11T00:31:13.006Z,,15.3,,,54,,
2018-01-11T00:31:23.263Z,,15.3,,,54,,
2018-01-11T00:31:32.764Z,,15.1,,,54,36.6,
2018-01-11T00:31:42.778Z,,15.1,,,54,,
2018-01-11T00:31:53.020Z,1,15.1,43,,54,38.3,0
2018-01-11T00:32:02.784Z,,15,33,,54,42,
2018-01-11T00:32:13.757Z,,15.3,29,,54,40.9,
2018-01-11T00:32:22.746Z,,16.1,29,,54,41,
