Time,HwActive,HwTSet,HwTOutlet,ChActive,PrimTSet,ActPow,PrimT
2017-11-09T00:00:03.959Z,,54,49,,,29,60
2017-11-09T00:00:13.953Z,,54,49,,,,60.6
2017-11-09T00:00:23.956Z,,54,48.9,,,,61.3
2017-11-09T00:00:33.952Z,,54,48.9,,,,62
2017-11-09T00:00:43.956Z,,54,48.9,,,,62.4
2017-11-09T00:00:53.955Z,,54,48.9,,,,62.8
2017-11-09T00:01:03.957Z,,54,48.9,,,,63.2
2017-11-09T00:01:13.953Z,,54,49,,,,63.5
2017-11-09T00:01:23.954Z,,54,49,,,,63.9
2017-11-09T00:01:33.958Z,,54,49.1,,,29,64.1
2017-11-09T00:01:43.953Z,,54,49.1,,,,64.4
2017-11-09T00:01:53.958Z,,54,49.1,,,,64.6
2017-11-09T00:02:03.962Z,,54,49.2,,,30,64.7
2017-11-09T00:02:13.951Z,,54,49.2,,,29,64.9
2017-11-09T00:02:23.952Z,0,54,49.2,2,,0,62.8
2017-11-09T00:02:33.959Z,,54,49.3,,,,61.4
2017-11-09T00:02:43.959Z,,54,49.3,,,,60.6
2017-11-09T00:02:53.970Z,,54,49.3,,,,58.9
2017-11-09T00:03:09.067Z,,54,49.4,,,,58.4
2017-11-09T00:03:13.964Z,,54,49.4,,,,57.6
2017-11-09T00:03:23.952Z,,54,49.4,,,,56.8
2017-11-09T00:03:33.953Z,,54,49.4,,,,56.1
2017-11-09T00:03:43.962Z,,54,49.4,,,,55.5
2017-11-09T00:03:53.961Z,,54,49.3,,,,54.9
2017-11-09T00:04:03.959Z,,54,49.2,,,,54.5
2017-11-09T00:04:13.959Z,,54,49.2,,,,53.9
2017-11-09T00:04:23.954Z,0,54,49.1,2,,39,57
2017-11-09T00:04:33.960Z,,54,49,,,30,58.1
2017-11-09T00:04:43.954Z,,54,48.9,,,29,58.2
2017-11-09T00:04:53.961Z,,54,48.9,,,,59.5
2017-11-09T00:05:03.960Z,,54,48.8,,,30,60
2017-11-09T00:05:13.960Z,,54,48.8,,,29,60.8
2017-11-09T00:05:23.952Z,,54,48.8,,,29,61.5
2017-11-09T00:05:33.952Z,,54,48.8,,,,62
2017-11-09T00:05:43.953Z,,54,48.8,,,,62.6
