Time,ChActive,HwTOutlet,HwTSet,HwActive,PrimTSet,ActPow,PrimT
2017-11-05T00:16:59.663Z,,46.5,54,,,29,61.1
2017-11-05T00:17:09.647Z,,46.5,54,,,,62
2017-11-05T00:17:19.642Z,,46.5,54,,,,62.4
2017-11-05T00:17:29.737Z,,46.5,54,,,,63.1
2017-11-05T00:17:40.076Z,,46.5,54,,,,64
2017-11-05T00:17:49.647Z,,46.5,54,,,30,64.1
2017-11-05T00:17:59.650Z,,46.5,54,,,29,64.6
2017-11-05T00:18:09.657Z,1,46.5,54,0,,0,63.5
2017-11-05T00:18:19.645Z,,46.5,54,,,,61.9
2017-11-05T00:18:29.759Z,,46.5,54,,,,60.9
2017-11-05T00:18:39.647Z,,46.5,54,,,,59.9
2017-11-05T00:18:49.651Z,,46.5,54,,,,59.6
2017-11-05T00:18:59.651Z,,46.5,54,,,,58.8
2017-11-05T00:19:09.646Z,,46.5,54,,,,57.9
2017-11-05T00:19:19.646Z,,46.5,54,,,,56.9
2017-11-05T00:19:29.772Z,,46.5,54,,,,56.7
2017-11-05T00:19:39.647Z,,46.5,54,,,,55.9
2017-11-05T00:19:49.648Z,,46.5,54,,,,55.5
2017-11-05T00:19:59.649Z,,46.5,54,,,,54.9
2017-11-05T00:20:09.652Z,,46.5,54,,,,54.5
2017-11-05T00:20:19.647Z,,46.6,54,,,,53.9
2017-11-05T00:20:29.746Z,,46.5,54,,,,53.6
2017-11-05T00:20:39.648Z,,46.6,54,,,,53.2
2017-11-05T00:20:49.648Z,1,46.6,54,0,,,52.7
2017-11-05T00:20:59.660Z,,46.6,54,,,39,56.1
2017-11-05T00:21:09.648Z,,46.6,54,,,29,57
2017-11-05T00:21:19.655Z,,46.6,54,,,29,58.1
2017-11-05T00:21:29.756Z,,46.6,54,,,29,58.9
2017-11-05T00:21:39.651Z,,46.6,54,,,,59.4
2017-11-05T00:21:49.652Z,,46.6,54,,,29,60.1
2017-11-05T00:21:59.651Z,,46.6,54,,,,61.2
2017-11-05T00:22:09.648Z,,46.6,54,,,,62
2017-11-05T00:22:19.654Z,,46.6,54,,,,63.1
2017-11-05T00:22:29.752Z,,46.6,54,,,,63.2
2017-11-05T00:22:39.652Z,,46.6,54,,,29,64
2017-11-05T00:22:49.650Z,,46.6,54,,,,64.4
2017-11-05T00:22:59.652Z,1,46.6,54,0,,0,64.8
2017-11-05T00:23:09.648Z,,46.6,54,,,,62.8
2017-11-05T00:23:19.654Z,,46.6,54,,,,61.9
2017-11-05T00:23:29.748Z,,46.6,54,,,,60.7
2017-11-05T00:23:39.648Z,,46.6,54,,,,59.8
2017-11-05T00:23:49.651Z,,46.6,54,,,,58.9
2017-11-05T00:23:59.650Z,,46.6,54,,,,57.9
2017-11-05T00:24:09.652Z,,46.6,54,,,,57.7
