Time,PrimTSet,ActPow,HwActive,PrimT,ChActive,HwTSet,HwTOutlet
2018-01-30T00:18:09.446Z,,29,,,,54,29.2
2018-01-30T00:18:19.729Z,,,,,,54,29.3
2018-01-30T00:18:29.457Z,,,,64.4,,54,29.3
2018-01-30T00:18:39.544Z,,,,,,54,29.6
2018-01-30T00:18:49.478Z,,,,,,54,29.5
2018-01-30T00:18:59.464Z,,,,,,54,29.5
2018-01-30T00:19:09.449Z,,,,,,54,29.3
2018-01-30T00:19:19.440Z,,30,,64.5,,54,29.3
2018-01-30T00:19:29.441Z,,29,,,,54,29.3
2018-01-30T00:19:39.541Z,,30,,,,54,29.3
2018-01-30T00:19:49.466Z,,,,,,54,29.3
2018-01-30T00:19:59.468Z,,29,,,,54,29.3
2018-01-30T00:20:09.442Z,,,,64.6,,54,29.6
2018-01-30T00:20:19.443Z,,,,,,54,29.7
2018-01-30T00:20:29.476Z,,,,,,54,29.5
2018-01-30T00:20:39.562Z,,,,,,54,29.6
2018-01-30T00:20:49.452Z,,,,,,54,29.5
2018-01-30T00:20:59.443Z,,,,64.7,,54,29.5
2018-01-30T00:21:09.442Z,,,,,,54,29.5
2018-01-30T00:21:19.728Z,,30,,,,54,29.5
2018-01-30T00:21:29.447Z,,29,,,,54,29.5
2018-01-30T00:21:39.555Z,,,,,,54,30
2018-01-30T00:21:49.451Z,,,,,,54,29.7
2018-01-30T00:21:59.757Z,,,,64.8,,54,29.5
2018-01-30T00:22:09.441Z,,,,,,54,29.6
2018-01-30T00:22:19.452Z,,,,,,54,29.6
2018-01-30T00:22:29.443Z,,,,,,54,29.7
2018-01-30T00:22:39.554Z,,,,,,54,29.6
2018-01-30T00:22:49.451Z,,,,,,54,29.6
2018-01-30T00:22:59.742Z,,,,64.9,,54,29.5
2018-01-30T00:23:09.476Z,,,,,,54,29.6
2018-01-30T00:23:19.456Z,,,,,,54,29.6
2018-01-30T00:23:29.444Z,,,,,,54,29.6
2018-01-30T00:23:39.546Z,,,,,,54,29.6
2018-01-30T00:23:49.445Z,,0,0,64.9,2,54,29.6
2018-01-30T00:23:59.447Z,,,,61.9,,54,29.8
2018-01-30T00:24:09.478Z,,,,60.9,,54,29.6
2018-01-30T00:24:19.477Z,,,,59.7,,54,29.6
2018-01-30T00:24:29.447Z,,,,58.9,,54,29.6
2018-01-30T00:24:40.550Z,,,,57.9,,54,30
2018-01-30T00:24:49.454Z,,,,57.3,,54,29.5
2018-01-30T00:24:59.458Z,,,,56.7,,54,30.2
2018-01-30T00:25:09.448Z,,,,55.9,,54,30.3
2018-01-30T00:25:19.444Z,,,,55.6,,54,29.8
2018-01-30T00:25:29.447Z,,,,55.2,,54,29.1
2018-01-30T00:25:39.549Z,,44,0,56.2,2,54,29.7
2018-01-30T00:25:49.474Z,,31,,59,,54,30.1
2018-01-30T00:25:59.511Z,,29,,59,,54,29.8
2018-01-30T00:26:09.496Z,,,,60,,54,29.3
2018-01-30T00:26:19.449Z,,,,60.4,,54,28.9
2018-01-30T00:26:29.447Z,,,,61.1,,54,28.9
2018-01-30T00:26:39.599Z,,,,61.4,,54,28.9
2018-01-30T00:26:49.450Z,,,,61.8,,54,29.3
2018-01-30T00:26:59.460Z,,,,62.1,,54,28.4
2018-01-30T00:27:09.448Z,,,,62.4,,54,28.7
2018-01-30T00:27:19.483Z,,,,62.6,,54,29
2018-01-30T00:27:29.450Z,,,,62.7,,54,29.2
2018-01-30T00:27:39.575Z,,,,62.9,,54,29.3
2018-01-30T00:27:49.450Z,,,,63.1,,54,29.2
2018-01-30T00:27:59.446Z,,,,63.2,,54,29.3
2018-01-30T00:28:09.448Z,,,,63.3,,54,30.4
2018-01-30T00:28:19.447Z,,,,,,54,29.6
2018-01-30T00:28:29.449Z,,30,,63.4,,54,29.3
2018-01-30T00:28:39.614Z,,29,,,,54,29.3
2018-01-30T00:28:49.490Z,,,,63.5,,54,29.2
2018-01-30T00:28:59.461Z,,,,,,54,29.2
2018-01-30T00:29:09.518Z,,,,,,54,29.3
2018-01-30T00:29:19.447Z,,,,63.6,,54,29
2018-01-30T00:29:29.486Z,,,,,,54,29.1
2018-01-30T00:29:39.546Z,,,,,,54,29.1
2018-01-30T00:29:49.474Z,,30,,,,54,28.9
2018-01-30T00:29:59.489Z,,29,,,,54,28.7
2018-01-30T00:30:09.469Z,,,,,,54,28.6
2018-01-30T00:30:24.467Z,,,,,,54,28.6
2018-01-30T00:30:29.446Z,,,,,,54,28.6
2018-01-30T00:30:39.575Z,,,,63.8,,54,28.5
2018-01-30T00:30:49.445Z,,,,,,54,28.5
2018-01-30T00:30:59.496Z,,,,,,54,28.3
2018-01-30T00:31:09.454Z,,,,,,54,28.4
2018-01-30T00:31:19.467Z,,,,,,54,28.1
2018-01-30T00:31:29.450Z,,,,,,54,28.3
2018-01-30T00:31:39.552Z,,,,,,54,28.3
2018-01-30T00:31:49.749Z,,30,,,,54,28.1
2018-01-30T00:31:59.453Z,,29,,,,54,28
2018-01-30T00:32:09.484Z,,,,63.9,,54,28.1
2018-01-30T00:32:19.446Z,,30,,,,54,28
2018-01-30T00:32:29.446Z,,,,,,54,28
2018-01-30T00:32:39.566Z,,29,,,,54,28.4
2018-01-30T00:32:49.467Z,,,,64,,54,28.1
2018-01-30T00:32:59.513Z,,29,,64,,54,28
2018-01-30T00:33:09.749Z,,,,,,54,28
2018-01-30T00:33:19.449Z,,,,,,54,28
2018-01-30T00:33:29.513Z,,,,,,54,28
2018-01-30T00:33:39.587Z,,30,,64.1,,54,28.1
2018-01-30T00:33:49.500Z,,29,,,,54,28.1
2018-01-30T00:33:59.463Z,,30,,,,54,28.1
2018-01-30T00:34:09.471Z,,29,,,,54,28.1
2018-01-30T00:34:19.448Z,,,,64.2,,54,28.1
2018-01-30T00:34:29.449Z,,,,,,54,28.4
2018-01-30T00:34:39.568Z,,,,,,54,28.3
2018-01-30T00:34:49.490Z,,,,,,54,28.4
2018-01-30T00:34:59.747Z,,,,64.4,,54,28.3
2018-01-30T00:35:09.502Z,,30,,,,54,28.4
2018-01-30T00:35:19.449Z,,29,,,,54,28.4
2018-01-30T00:35:29.448Z,,,,,,54,28.5
2018-01-30T00:35:39.569Z,,,,,,54,28.5
2018-01-30T00:35:49.480Z,,,,64.5,,54,28.4
2018-01-30T00:35:59.477Z,,,,,,54,28.4
2018-01-30T00:36:09.465Z,,,,,,54,28.5
2018-01-30T00:36:19.451Z,,,,,,54,28.5
2018-01-30T00:36:29.451Z,,,,,,54,28.6
2018-01-30T00:36:39.573Z,,,,64.6,,54,28.6
2018-01-30T00:36:49.473Z,,,,,,54,28.6
2018-01-30T00:36:59.486Z,,,,,,54,28.6
2018-01-30T00:37:09.459Z,,,,,,54,28.6
2018-01-30T00:37:19.456Z,,,,,,54,28.6
2018-01-30T00:37:29.457Z,,,,,,54,28.7
2018-01-30T00:37:39.573Z,,,,64.7,,54,28.9
2018-01-30T00:37:49.458Z,,,,,,54,28.7
2018-01-30T00:37:59.468Z,,30,,,,54,28.9
2018-01-30T00:38:09.450Z,,29,,,,54,28.9
2018-01-30T00:38:19.521Z,,,,,,54,28.9
2018-01-30T00:38:29.456Z,,,,64.8,,54,29.1
2018-01-30T00:38:39.551Z,,,,,,54,28.9
2018-01-30T00:38:49.462Z,,,,,,54,29
2018-01-30T00:38:59.575Z,,,,,,54,29.1
2018-01-30T00:39:09.463Z,,,,,,54,28.9
2018-01-30T00:39:19.455Z,,,,,,54,28.9
2018-01-30T00:39:29.475Z,,,,64.9,,54,28.9
2018-01-30T00:39:39.555Z,,,,,,54,29
2018-01-30T00:39:49.466Z,,,,,,54,28.9
2018-01-30T00:39:59.457Z,,,,,,54,29.1
2018-01-30T00:40:09.475Z,,,,,,54,29.3
2018-01-30T00:40:19.473Z,,0,0,,2,54,29.2
2018-01-30T00:40:29.467Z,,,,61.9,,54,29.1
2018-01-30T00:40:39.623Z,,,,60.9,,54,29
2018-01-30T00:40:49.477Z,,,,59.6,,54,29.1
2018-01-30T00:40:59.465Z,,,,58.7,,54,29.1
2018-01-30T00:41:09.501Z,,,,57.9,,54,29.1
2018-01-30T00:41:19.461Z,,,,56.9,,54,29.2
2018-01-30T00:41:29.457Z,,,,56.6,,54,29.2
2018-01-30T00:41:39.557Z,,,,55.9,,54,30
2018-01-30T00:41:49.457Z,,,,55.5,,54,28.6
2018-01-30T00:41:59.518Z,,,,55.2,,54,28.6
2018-01-30T00:42:09.462Z,,43,0,57,2,54,28.4
2018-01-30T00:42:19.458Z,,33,,59,,54,28.5
2018-01-30T00:42:29.480Z,,29,,59,,54,28.5
2018-01-30T00:42:39.616Z,,,,60,,54,28.1
2018-01-30T00:42:49.473Z,,,,60.5,,54,28.3
2018-01-30T00:42:59.482Z,,,,61.1,,54,28.1
2018-01-30T00:43:09.764Z,,,,61.4,,54,28.1
2018-01-30T00:43:19.469Z,,,,62,,54,28.1
2018-01-30T00:43:29.460Z,,,,62.1,,54,28.3
2018-01-30T00:43:39.576Z,,,,62.5,,54,28.3
2018-01-30T00:43:49.482Z,,,,62.6,,54,28.3
2018-01-30T00:43:59.473Z,,,,62.8,,54,28.4
2018-01-30T00:44:09.470Z,,30,,63.1,,54,28.3
2018-01-30T00:44:19.456Z,,29,,,,54,28.4
2018-01-30T00:44:29.496Z,,,,63.2,,54,28.5
2018-01-30T00:44:39.600Z,,,,63.3,,54,28.6
2018-01-30T00:44:49.459Z,,,,,,54,28.5
2018-01-30T00:44:59.763Z,,,,63.4,,54,28.5
2018-01-30T00:45:09.472Z,,,,63.5,,54,28.5
2018-01-30T00:45:19.471Z,,,,,,54,28.9
2018-01-30T00:45:29.476Z,,,,,,54,28.7
2018-01-30T00:45:39.595Z,,,,63.6,,54,28.5
2018-01-30T00:45:49.472Z,,30,,,,54,28.6
2018-01-30T00:45:59.455Z,,29,,,,54,28.5
2018-01-30T00:46:09.460Z,,,,,,54,28.6
2018-01-30T00:46:19.472Z,,,,,,54,28.6
2018-01-30T00:46:29.458Z,,,,,,54,28.9
2018-01-30T00:46:39.589Z,,,,,,54,28.7
2018-01-30T00:46:49.473Z,,,,,,54,28.6
2018-01-30T00:46:59.726Z,,,,63.8,,54,28.6
2018-01-30T00:47:09.483Z,,,,,,54,28.6
2018-01-30T00:47:19.481Z,,,,,,54,28.7
2018-01-30T00:47:29.671Z,,,,,,54,28.7
2018-01-30T00:47:39.532Z,,,,,,54,28.7
2018-01-30T00:47:49.461Z,,30,,,,54,28.7
2018-01-30T00:47:59.458Z,,29,,,,54,28.6
2018-01-30T00:48:09.464Z,,,,,,54,28.6
2018-01-30T00:48:19.465Z,,,,63.9,,54,28.9
2018-01-30T00:48:29.470Z,,,,,,54,28.9
2018-01-30T00:48:39.575Z,,,,,,54,28.7
2018-01-30T00:48:49.466Z,,,,,,54,28.9
2018-01-30T00:48:59.467Z,,30,,,,54,29
2018-01-30T00:49:09.459Z,,29,,64,,54,29
2018-01-30T00:49:19.466Z,,,,64,,54,29
2018-01-30T00:49:29.466Z,,,,,,54,29
2018-01-30T00:49:39.606Z,,,,,,54,29
2018-01-30T00:49:49.497Z,,,,,,54,28.9
2018-01-30T00:49:59.457Z,,,,64.1,,54,28.9
2018-01-30T00:50:09.457Z,,,,,,54,28.9
2018-01-30T00:50:19.458Z,,,,,,54,28.9
2018-01-30T00:50:29.472Z,,,,,,54,28.9
2018-01-30T00:50:39.608Z,,,,,,54,29.1
2018-01-30T00:50:49.478Z,,30,,64.2,,54,29
2018-01-30T00:50:59.480Z,,29,,,,54,29
