Time,ActPow,PrimT,HwTOutlet,HwActive,ChActive,PrimTSet,HwTSet
2017-11-04T00:00:08.800Z,,52.6,49.8,,,,54
2017-11-04T00:00:18.801Z,,52.1,49.7,,,,54
2017-11-04T00:00:28.902Z,,52,49.7,,,,54
2017-11-04T00:00:38.799Z,,,49.6,,,,54
2017-11-04T00:00:48.802Z,,,49.6,,,,54
2017-11-04T00:00:58.798Z,,51.9,49.4,,,,54
2017-11-04T00:01:08.812Z,,,49.3,,,,54
2017-11-04T00:01:18.799Z,,,49.3,,,,54
2017-11-04T00:01:28.890Z,,,49.2,,,,54
2017-11-04T00:01:38.804Z,,51.8,49.2,,,,54
2017-11-04T00:01:48.801Z,,,49.2,,,,54
2017-11-04T00:01:58.803Z,,,49.1,,,,54
2017-11-04T00:02:08.801Z,,,49.1,,,,54
2017-11-04T00:02:18.803Z,,,49,,,,54
2017-11-04T00:02:28.894Z,,,48.9,,,,54
2017-11-04T00:02:38.802Z,,,48.9,,,,54
2017-11-04T00:02:48.804Z,,,48.8,,,,54
2017-11-04T00:02:58.805Z,,,48.7,,,,54
2017-11-04T00:03:08.802Z,,51.9,48.6,,,,54
2017-11-04T00:03:18.803Z,,52,48.5,,,,54
2017-11-04T00:03:28.894Z,,,48.4,,,,54
2017-11-04T00:03:38.807Z,,,48.3,,,,54
2017-11-04T00:03:48.800Z,,52.1,48.2,,,,54
2017-11-04T00:03:58.805Z,,,48.1,,,,54
2017-11-04T00:04:08.801Z,,,48,,,,54
2017-11-04T00:04:18.803Z,,52.2,47.9,,,,54
2017-11-04T00:04:28.895Z,,,47.8,,,,54
2017-11-04T00:04:38.807Z,,,47.7,,,,54
2017-11-04T00:04:48.804Z,,,47.6,,,,54
2017-11-04T00:04:58.806Z,,52.3,47.4,,,,54
2017-11-04T00:05:08.806Z,,,47.3,,,,54
2017-11-04T00:05:23.896Z,,,47.2,,,,54
2017-11-04T00:05:28.903Z,,,47.1,,,,54
2017-11-04T00:05:38.807Z,,,47,,,,54
2017-11-04T00:05:48.807Z,,,46.9,,,,54
2017-11-04T00:05:58.806Z,,,46.8,,,,54
2017-11-04T00:06:08.806Z,,,46.7,,,,54
2017-11-04T00:06:18.822Z,,52.2,46.6,,,,54
2017-11-04T00:06:28.908Z,,,46.5,,,,54
2017-11-04T00:06:38.817Z,39,56.2,46.4,0,2,,54
2017-11-04T00:06:48.804Z,33,57.4,46.4,,,,54
2017-11-04T00:06:58.806Z,29,55.7,46.3,,,,54
2017-11-04T00:07:08.809Z,,57,46.2,,,,54
2017-11-04T00:07:18.808Z,,57.6,46.1,,,,54
2017-11-04T00:07:28.915Z,,,46.1,,,,54
2017-11-04T00:07:38.809Z,,58.2,46.1,,,,54
2017-11-04T00:07:48.810Z,,58.6,46.1,,,,54
2017-11-04T00:07:58.804Z,,59,46.1,,,,54
2017-11-04T00:08:08.804Z,,59.1,46.1,,,,54
2017-11-04T00:08:18.804Z,30,59.4,46.2,,,,54
2017-11-04T00:08:28.895Z,29,59.5,46.2,,,,54
2017-11-04T00:08:38.805Z,,59.7,46.3,,,,54
2017-11-04T00:08:48.805Z,,59.8,46.4,,,,54
2017-11-04T00:08:58.816Z,,60,46.4,,,,54
2017-11-04T00:09:08.808Z,,60.2,46.5,,,,54
2017-11-04T00:09:18.808Z,,60.5,46.5,,,,54
2017-11-04T00:09:28.909Z,,60.6,46.6,,,,54
2017-11-04T00:09:38.808Z,,60.9,46.7,,,,54
2017-11-04T00:09:48.809Z,,61.1,46.7,,,,54
2017-11-04T00:09:58.811Z,30,61.3,46.8,,,,54
2017-11-04T00:10:08.811Z,29,61.5,46.8,,,,54
2017-11-04T00:10:23.904Z,,61.6,46.9,,,,54
2017-11-04T00:10:28.918Z,29,62,47,,,,54
2017-11-04T00:10:38.813Z,,,47.1,,,,54
2017-11-04T00:10:48.809Z,30,62.2,47.2,,,,54
2017-11-04T00:10:58.805Z,29,62.4,47.2,,,,54
2017-11-04T00:11:08.805Z,,62.6,47.3,,,,54
2017-11-04T00:11:18.804Z,,62.7,47.4,,,,54
2017-11-04T00:11:28.897Z,,63.1,47.4,,,,54
2017-11-04T00:11:38.805Z,,,47.5,,,,54
2017-11-04T00:11:48.840Z,30,63.3,47.6,,,,54
2017-11-04T00:11:58.806Z,29,63.4,47.7,,,,54
2017-11-04T00:12:08.805Z,,63.6,47.8,,,,54
2017-11-04T00:12:18.808Z,,63.9,47.9,,,,54
2017-11-04T00:12:28.896Z,,64,47.9,,,,54
2017-11-04T00:12:38.812Z,,64.2,48,,,,54
2017-11-04T00:12:48.807Z,,64.4,48.1,,,,54
2017-11-04T00:12:58.806Z,,64.6,48.2,,,,54
2017-11-04T00:13:08.815Z,30,64.8,48.2,,,,54
2017-11-04T00:13:18.813Z,0,64.9,48.4,0,2,,54
2017-11-04T00:13:28.900Z,,61.9,48.5,,,,54
