Time,PrimTSet,ChActive,HwTOutlet,ActPow,PrimT,HwTSet,HwActive
2017-11-10T00:16:54.793Z,,,27.1,,61.9,54,
2017-11-10T00:17:04.788Z,,,26.9,,61.3,54,
2017-11-10T00:17:14.792Z,,,26.7,,59.9,54,
2017-11-10T00:17:24.793Z,,,26.7,,58.9,54,
2017-11-10T00:17:34.788Z,,,26.1,,58.3,54,
2017-11-10T00:17:44.794Z,,,25.9,,57.6,54,
2017-11-10T00:17:54.791Z,,,26.1,,56.9,54,
2017-11-10T00:18:04.788Z,,,26.3,,56.3,54,
2017-11-10T00:18:14.792Z,,,26,,55.7,54,
2017-11-10T00:18:24.793Z,,,25.7,,55.2,54,
2017-11-10T00:18:34.807Z,,,25.7,,54.8,54,
2017-11-10T00:18:44.794Z,,,26,,54.5,54,
2017-11-10T00:18:54.795Z,,,25.9,,53.9,54,
2017-11-10T00:19:04.796Z,,,25.5,,53.7,54,
2017-11-10T00:19:14.796Z,,1,25.3,44,54.1,54,0
2017-11-10T00:19:24.797Z,,,25.1,32,58,54,
2017-11-10T00:19:34.797Z,,,25.1,29,58,54,
2017-11-10T00:19:44.793Z,,,25.5,,59.1,54,
2017-11-10T00:19:54.789Z,,,25.5,,60,54,
2017-11-10T00:20:04.794Z,,,25.6,,60.7,54,
2017-11-10T00:20:14.788Z,,,25.9,,61.5,54,
2017-11-10T00:20:24.803Z,,,26,,62.1,54,
2017-11-10T00:20:34.795Z,,,25.9,,62.7,54,
2017-11-10T00:20:44.789Z,,,26,30,63.2,54,
2017-11-10T00:20:54.792Z,,,26.3,29,63.6,54,
2017-11-10T00:21:04.791Z,,,26.3,,64,54,
2017-11-10T00:21:14.791Z,,,26.5,,64.4,54,
2017-11-10T00:21:24.790Z,,,26.6,,64.7,54,
2017-11-10T00:21:34.802Z,,1,26.7,0,64.9,54,0
2017-11-10T00:21:44.791Z,,,26.7,,62.6,54,
2017-11-10T00:21:54.792Z,,,26.8,,61.4,54,
2017-11-10T00:22:04.793Z,,,26.7,,60.1,54,
2017-11-10T00:22:14.951Z,,,26.7,,59.3,54,
2017-11-10T00:22:24.792Z,,,26.3,,58.5,54,
2017-11-10T00:22:34.791Z,,,26.2,,57.7,54,
2017-11-10T00:22:44.790Z,,,26.2,,56.9,54,
2017-11-10T00:22:54.790Z,,,26.3,,56.4,54,
2017-11-10T00:23:04.795Z,,,25.7,,55.9,54,
2017-11-10T00:23:14.791Z,,,25.6,,55.3,54,
2017-11-10T00:23:24.792Z,,,25.4,,54.9,54,
2017-11-10T00:23:34.793Z,,,25.5,,54.4,54,
2017-11-10T00:23:44.793Z,,,25.3,,53.9,54,
2017-11-10T00:23:54.792Z,,,25.3,,53.7,54,
2017-11-10T00:24:04.792Z,,,25.1,,53.4,54,
2017-11-10T00:24:14.797Z,,1,25.1,45,54.5,54,0
2017-11-10T00:24:24.803Z,,,25.3,36,57.4,54,
2017-11-10T00:24:34.798Z,,,24.9,29,57.7,54,
2017-11-10T00:24:44.793Z,,,25.4,,59,54,
2017-11-10T00:24:54.812Z,,,25.4,,59.8,54,
2017-11-10T00:25:04.794Z,,,25.6,29,60.5,54,
2017-11-10T00:25:14.794Z,,,25.7,30,61.3,54,
2017-11-10T00:25:24.796Z,,,25.7,29,62,54,
2017-11-10T00:25:34.798Z,,,26.1,30,62.5,54,
2017-11-10T00:25:44.794Z,,,26.2,29,63.1,54,
2017-11-10T00:25:54.802Z,,,26.1,,63.4,54,
2017-11-10T00:26:04.799Z,,,26.2,,64,54,
2017-11-10T00:26:14.797Z,,,26.1,,64.2,54,
2017-11-10T00:26:24.796Z,,,26.5,,64.5,54,
2017-11-10T00:26:34.798Z,,,26.6,,64.8,54,
2017-11-10T00:26:44.796Z,,1,26.7,0,64.9,54,0
2017-11-10T00:26:54.796Z,,,26.5,,61.9,54,
2017-11-10T00:27:04.795Z,,,26.5,,60.9,54,
2017-11-10T00:27:14.796Z,,,26.7,,59.9,54,
2017-11-10T00:27:24.797Z,,,26.6,,58.9,54,
2017-11-10T00:27:34.798Z,,,26.2,,58.2,54,
2017-11-10T00:27:44.795Z,,,26.2,,57.4,54,
2017-11-10T00:27:54.797Z,,,26,,56.8,54,
2017-11-10T00:28:04.797Z,,,26,,56.1,54,
2017-11-10T00:28:14.797Z,,,26.2,,55.5,54,
2017-11-10T00:28:24.796Z,,,25.5,,54.9,54,
2017-11-10T00:28:34.795Z,,,25.5,,54.6,54,
2017-11-10T00:28:44.798Z,,,25.6,,54.1,54,
2017-11-10T00:28:54.806Z,,,25.7,,53.8,54,
2017-11-10T00:29:04.797Z,,,25.4,,53.5,54,
2017-11-10T00:29:14.804Z,,1,24.9,45,54.6,54,0
2017-11-10T00:29:24.799Z,,,24.9,36,57.3,54,
2017-11-10T00:29:34.803Z,,,25,30,57.6,54,
2017-11-10T00:29:44.803Z,,,25.3,29,59,54,
2017-11-10T00:29:54.803Z,,,25.4,,59.6,54,
2017-11-10T00:30:04.800Z,,,25.4,,60.2,54,
2017-11-10T00:30:14.802Z,,,25.4,,61.2,54,
2017-11-10T00:30:24.799Z,,,25.4,,61.6,54,
2017-11-10T00:30:34.802Z,,,25.5,30,62.2,54,
2017-11-10T00:30:44.799Z,,,25.6,29,62.7,54,
2017-11-10T00:30:54.799Z,,,25.9,30,63.1,54,
2017-11-10T00:31:04.804Z,,,26,29,63.4,54,
2017-11-10T00:31:14.796Z,,,26.3,,63.8,54,
2017-11-10T00:31:24.798Z,,,26.7,,64,54,
2017-11-10T00:31:34.797Z,,,26.7,,64.2,54,
2017-11-10T00:31:44.797Z,,,26.7,,64.5,54,
2017-11-10T00:31:54.796Z,,,26.6,,64.7,54,
2017-11-10T00:32:04.796Z,,,26.8,,64.8,54,
2017-11-10T00:32:14.798Z,,,26.8,,64.9,54,
2017-11-10T00:32:24.801Z,,1,26.8,0,62.9,54,0
2017-11-10T00:32:34.807Z,,,26.8,,61.4,54,
2017-11-10T00:32:44.802Z,,,26.8,,60.5,54,
2017-11-10T00:32:54.799Z,,,26.7,,58.9,54,
2017-11-10T00:33:04.803Z,,,26.2,,57.9,54,
2017-11-10T00:33:14.802Z,,,26.5,,57.2,54,
2017-11-10T00:33:24.803Z,,,26.1,,56.4,54,
2017-11-10T00:33:34.802Z,,,26.2,,55.6,54,
2017-11-10T00:33:44.806Z,,,26,,54.9,54,
2017-11-10T00:33:54.797Z,,,26,,54.4,54,
2017-11-10T00:34:04.802Z,,,25.7,,53.7,54,
2017-11-10T00:34:14.808Z,,1,25.5,45,54.6,54,0
2017-11-10T00:34:24.799Z,,,25.4,36,57.2,54,
2017-11-10T00:34:34.805Z,,,25.1,29,,54,
2017-11-10T00:34:44.799Z,,,25.6,,58.3,54,
2017-11-10T00:34:54.801Z,,,25.5,,59,54,
2017-11-10T00:35:04.803Z,,,25.5,,59.6,54,
2017-11-10T00:35:14.806Z,,,25.9,,60.2,54,
2017-11-10T00:35:24.807Z,,,25.9,,60.7,54,
2017-11-10T00:35:34.803Z,,,26,,61.2,54,
2017-11-10T00:35:44.801Z,,,26.2,,61.6,54,
2017-11-10T00:35:54.798Z,,,26.2,,62,54,
2017-11-10T00:36:04.802Z,,,26,,62.4,54,
2017-11-10T00:36:14.803Z,,,26.1,,62.6,54,
2017-11-10T00:36:24.800Z,,,26,,62.8,54,
2017-11-10T00:36:34.805Z,,,26.3,29,63.1,54,
2017-11-10T00:36:44.798Z,,,26.6,,63.3,54,
2017-11-10T00:36:54.799Z,,,26.6,,63.5,54,
2017-11-10T00:37:04.799Z,,,26.6,,63.8,54,
2017-11-10T00:37:14.800Z,,,26.5,,64,54,
2017-11-10T00:37:24.800Z,,,26.5,,64.1,54,
2017-11-10T00:37:34.802Z,,,26.6,,64.4,54,
2017-11-10T00:37:44.803Z,,,26.7,,64.5,54,
2017-11-10T00:37:54.801Z,,,26.7,30,64.6,54,
2017-11-10T00:38:04.804Z,,,26.8,29,64.8,54,
2017-11-10T00:38:14.802Z,,,26.8,,64.9,54,
2017-11-10T00:38:24.812Z,,1,26.9,0,63.8,54,0
2017-11-10T00:38:34.806Z,,,26.8,,61.6,54,
2017-11-10T00:38:44.801Z,,,26.9,,60.7,54,
2017-11-10T00:38:54.810Z,,,26.8,,59.4,54,
2017-11-10T00:39:04.804Z,,,26.7,,58.5,54,
2017-11-10T00:39:14.812Z,,,26.6,,57.7,54,
2017-11-10T00:39:24.808Z,,,26.3,,56.9,54,
2017-11-10T00:39:34.799Z,,,26.2,,56.2,54,
2017-11-10T00:39:44.813Z,,,26.2,,55.6,54,
2017-11-10T00:39:54.811Z,,,26.1,,55.1,54,
2017-11-10T00:40:04.820Z,,1,25.9,43,57,54,0
2017-11-10T00:40:14.804Z,,,25.7,30,58.9,54,
2017-11-10T00:40:24.806Z,,,25.5,29,59.1,54,
2017-11-10T00:40:34.808Z,,,25.7,,60.2,54,
2017-11-10T00:40:44.806Z,,,25.7,,61.1,54,
2017-11-10T00:40:54.806Z,,,26.1,,61.5,54,
2017-11-10T00:41:04.801Z,,,26.1,,62.2,54,
2017-11-10T00:41:14.802Z,,,26.1,,63.1,54,
2017-11-10T00:41:24.804Z,,,26.2,,63.4,54,
2017-11-10T00:41:34.808Z,,,26.1,,64,54,
2017-11-10T00:41:44.801Z,,,26.3,,64.2,54,
2017-11-10T00:41:54.804Z,,,26.3,,64.6,54,
2017-11-10T00:42:04.803Z,,,26.6,,64.9,54,
2017-11-10T00:42:14.806Z,,1,26.7,0,62.7,54,0
2017-11-10T00:42:24.804Z,,,26.6,,61.5,54,
2017-11-10T00:42:34.813Z,,,26.6,,60.7,54,
2017-11-10T00:42:44.806Z,,,26.6,,59.5,54,
2017-11-10T00:42:54.809Z,,,26.6,,58.7,54,
2017-11-10T00:43:04.802Z,,,26.3,,57.9,54,
2017-11-10T00:43:14.805Z,,,26.2,,57.2,54,
2017-11-10T00:43:24.816Z,,,26.1,,56.6,54,
2017-11-10T00:43:34.808Z,,,25.5,,55.9,54,
2017-11-10T00:43:44.809Z,,,25.6,,55.5,54,
2017-11-10T00:43:54.805Z,,,25.6,,55.1,54,
2017-11-10T00:44:04.805Z,,,25.4,,54.7,54,
2017-11-10T00:44:14.804Z,,,25.3,,54.3,54,
2017-11-10T00:44:24.808Z,,,25.1,,53.9,54,
2017-11-10T00:44:34.804Z,,,25.1,,53.7,54,
2017-11-10T00:44:44.803Z,,,25,,53.4,54,
2017-11-10T00:44:54.805Z,,,25,,53.2,54,
2017-11-10T00:45:04.808Z,,1,24.8,42,55.3,54,0
2017-11-10T00:45:14.806Z,,,24.9,33,57.4,54,
2017-11-10T00:45:24.804Z,,,24.9,29,57.6,54,
2017-11-10T00:45:34.805Z,,,25.3,,59.1,54,
2017-11-10T00:45:44.814Z,,,25.3,,59.7,54,
2017-11-10T00:45:54.806Z,,,25.5,,60.5,54,
2017-11-10T00:46:04.805Z,,,25.6,,61.2,54,
2017-11-10T00:46:14.808Z,,,25.9,29,62,54,
2017-11-10T00:46:24.807Z,,,25.9,,62.4,54,
2017-11-10T00:46:34.807Z,,,25.9,,62.9,54,
2017-11-10T00:46:44.817Z,,,26.1,,63.3,54,
2017-11-10T00:46:54.807Z,,,26.2,,63.6,54,
2017-11-10T00:47:04.815Z,,,26.3,,64,54,
2017-11-10T00:47:14.811Z,,,26.5,,64.4,54,
2017-11-10T00:47:24.808Z,,,26.5,,64.6,54,
2017-11-10T00:47:34.809Z,,,26.6,,64.8,54,
2017-11-10T00:47:44.812Z,,1,26.5,0,63.6,54,0
2017-11-10T00:47:54.807Z,,,26.5,,61.6,54,
2017-11-10T00:48:04.809Z,,,26.6,,60.9,54,
2017-11-10T00:48:14.813Z,,,26.5,,59.7,54,
2017-11-10T00:48:24.807Z,,,26.5,,58.8,54,
2017-11-10T00:48:34.809Z,,,26.2,,57.9,54,
2017-11-10T00:48:44.806Z,,,26,,57.2,54,
2017-11-10T00:48:54.811Z,,,26,,56.6,54,
2017-11-10T00:49:04.813Z,,,25.7,,55.9,54,
2017-11-10T00:49:14.810Z,,,26,,55.4,54,
2017-11-10T00:49:24.810Z,,,25.3,,54.9,54,
2017-11-10T00:49:34.811Z,,,25.7,,54.6,54,
2017-11-10T00:49:44.811Z,,,25.4,,54.1,54,
2017-11-10T00:49:54.810Z,,,25.3,,53.8,54,
2017-11-10T00:50:04.824Z,,1,25.4,43,55.2,54,0
2017-11-10T00:50:14.812Z,,,25.3,32,58,54,
2017-11-10T00:50:24.811Z,,,24.9,29,58,54,
2017-11-10T00:50:34.815Z,,,25.3,,59.3,54,
2017-11-10T00:50:44.812Z,,,25.6,29,60,54,
2017-11-10T00:50:54.811Z,,,25.9,,61.1,54,
2017-11-10T00:51:04.812Z,,,25.7,,61.6,54,
2017-11-10T00:51:14.814Z,,,26,,62.2,54,
2017-11-10T00:51:24.808Z,,,26.1,,63.1,54,
2017-11-10T00:51:34.808Z,,,26.2,,63.4,54,
2017-11-10T00:51:44.811Z,,,26.3,,63.8,54,
2017-11-10T00:51:54.812Z,,,26.5,,64.2,54,
2017-11-10T00:52:04.811Z,,,26.6,,64.6,54,
2017-11-10T00:52:14.812Z,,,26.6,30,64.9,54,
2017-11-10T00:52:24.814Z,,1,26.8,0,62.9,54,0
2017-11-10T00:52:34.813Z,,,26.7,,61.6,54,
2017-11-10T00:52:44.814Z,,,26.6,,60.7,54,
2017-11-10T00:52:54.814Z,,,26.6,,59.7,54,
2017-11-10T00:53:04.813Z,,,26.6,,58.8,54,
2017-11-10T00:53:14.808Z,,,26.3,,57.9,54,
2017-11-10T00:53:29.902Z,,,26.2,,57.3,54,
2017-11-10T00:53:34.811Z,,,26,,56.7,54,
2017-11-10T00:53:44.817Z,,,25.9,,56.1,54,
2017-11-10T00:53:54.810Z,,,25.4,,55.5,54,
2017-11-10T00:54:04.809Z,,,25.5,,55.1,54,
2017-11-10T00:54:14.811Z,,,25.4,,54.7,54,
2017-11-10T00:54:24.808Z,,,25.5,,54.3,54,
2017-11-10T00:54:34.814Z,,,25.5,,53.9,54,
2017-11-10T00:54:44.812Z,,,25.3,,53.6,54,
2017-11-10T00:54:54.811Z,,,25.4,,53.4,54,
2017-11-10T00:55:04.823Z,,1,25.1,42,55.5,54,0
2017-11-10T00:55:14.814Z,,,25.1,33,57.7,54,
2017-11-10T00:55:24.814Z,,,25.1,29,57.8,54,
2017-11-10T00:55:34.822Z,,,25,,59.3,54,
2017-11-10T00:55:44.812Z,,,25.3,,60,54,
2017-11-10T00:55:54.817Z,,,25.4,30,60.7,54,
2017-11-10T00:56:04.816Z,,,25.6,29,61.5,54,
2017-11-10T00:56:14.812Z,,,25.7,,62.1,54,
2017-11-10T00:56:24.811Z,,,26,,62.7,54,
2017-11-10T00:56:34.816Z,,,26,,63.3,54,
2017-11-10T00:56:44.811Z,,,26,,63.8,54,
2017-11-10T00:56:54.825Z,,,26.2,30,64.1,54,
2017-11-10T00:57:04.811Z,,,26.3,29,64.5,54,
2017-11-10T00:57:14.814Z,,,26.3,,64.8,54,
2017-11-10T00:57:24.812Z,,1,26.5,0,64.5,54,0
2017-11-10T00:57:34.822Z,,,26.6,,61.8,54,
2017-11-10T00:57:44.814Z,,,26.6,,61.2,54,
2017-11-10T00:57:54.815Z,,,26.6,,59.8,54,
2017-11-10T00:58:04.818Z,,,26.3,,58.9,54,
2017-11-10T00:58:14.814Z,,,25.7,,58.2,54,
2017-11-10T00:58:24.820Z,,,25.9,,57.4,54,
2017-11-10T00:58:34.817Z,,,26,,56.8,54,
