Time,PrimT,HwTOutlet,HwTSet,ActPow,HwActive,ChActive,PrimTSet
2017-11-19T00:17:17.261Z,64.2,48.9,54,,,,
2017-11-19T00:17:27.260Z,64.4,48.9,54,,,,
2017-11-19T00:17:37.259Z,64.6,49,54,,,,
2017-11-19T00:17:47.263Z,64.7,49,54,,,,
2017-11-19T00:17:57.258Z,64.8,49,54,,,,
2017-11-19T00:18:07.270Z,63.9,49.1,54,0,0,2,
2017-11-19T00:18:22.358Z,61.9,49.1,54,,,,
2017-11-19T00:18:27.260Z,60.9,49.1,54,,,,
2017-11-19T00:18:37.262Z,59.8,49.2,54,,,,
2017-11-19T00:18:47.268Z,58.9,49.2,54,,,,
2017-11-19T00:18:57.258Z,57.9,49.3,54,,,,
2017-11-19T00:19:07.258Z,56.9,49.3,54,,,,
2017-11-19T00:19:17.262Z,56.8,49.4,54,,,,
2017-11-19T00:19:27.260Z,55.9,49.4,54,,,,
2017-11-19T00:19:37.259Z,55.6,49.4,54,,,,
2017-11-19T00:19:47.263Z,54.8,49.6,54,,,,
2017-11-19T00:19:57.265Z,58.3,49.6,54,38,0,2,
2017-11-19T00:20:07.269Z,58.7,49.7,54,36,,,
2017-11-19T00:20:17.261Z,59,49.7,54,29,,,
2017-11-19T00:20:27.260Z,60,49.7,54,,,,
2017-11-19T00:20:42.375Z,61.1,49.7,54,,,,
2017-11-19T00:20:47.261Z,62,49.8,54,30,,,
2017-11-19T00:20:57.260Z,62.1,49.8,54,29,,,
2017-11-19T00:21:07.262Z,63.1,49.8,54,29,,,
2017-11-19T00:21:17.266Z,63.3,49.8,54,,,,
2017-11-19T00:21:32.425Z,64,49.8,54,,,,
2017-11-19T00:21:37.261Z,64.2,49.8,54,,,,
2017-11-19T00:21:47.268Z,64.6,49.8,54,,,,
2017-11-19T00:21:57.268Z,62.9,49.9,54,0,0,2,
2017-11-19T00:22:07.262Z,61.9,49.9,54,,,,
2017-11-19T00:22:17.262Z,60.9,49.9,54,,,,
2017-11-19T00:22:27.262Z,59.9,49.9,54,,,,
2017-11-19T00:22:37.268Z,58.9,49.9,54,,,,
2017-11-19T00:22:47.267Z,58.7,49.9,54,,,,
2017-11-19T00:22:57.264Z,57.9,49.9,54,,,,
2017-11-19T00:23:07.264Z,56.7,49.9,54,,1,0,0
2017-11-19T00:23:17.264Z,59,54.6,54,43,1,0,
2017-11-19T00:23:27.264Z,56.4,34,54,42,,,
2017-11-19T00:23:37.893Z,55.9,54.4,54,34,,,
2017-11-19T00:23:47.267Z,54.9,54.4,54,30,,,
2017-11-19T00:23:57.261Z,54.8,54.1,54,29,,,
2017-11-19T00:24:07.268Z,53.9,54.1,54,0,0,0,
2017-11-19T00:24:17.333Z,54,53.8,54,,,,
2017-11-19T00:24:27.267Z,55,53.5,54,,,,
2017-11-19T00:24:37.269Z,55.3,53.4,54,,,,
2017-11-19T00:24:47.270Z,55.6,53.2,54,,,,
2017-11-19T00:24:57.270Z,55.7,53,54,,,,
2017-11-19T00:25:07.264Z,56,52.7,54,43,0,2,61
2017-11-19T00:25:17.267Z,60.2,52.5,54,33,,,
2017-11-19T00:25:27.269Z,60.9,52.3,54,29,,,
2017-11-19T00:25:42.369Z,60,52.1,54,,,,
2017-11-19T00:25:47.266Z,61.1,52,54,,,,
2017-11-19T00:25:57.266Z,61.6,51.8,54,30,,,
2017-11-19T00:26:07.269Z,62,51.7,54,29,,,
2017-11-19T00:26:17.266Z,62.2,51.5,54,,,,
2017-11-19T00:26:27.266Z,62.6,51.4,54,,,,
2017-11-19T00:26:37.265Z,63.1,51.3,54,,,,
2017-11-19T00:26:47.269Z,63.3,51.1,54,,,,
2017-11-19T00:26:57.269Z,63.5,51,54,,,,
2017-11-19T00:27:07.272Z,64,50.9,54,,,,
2017-11-19T00:27:17.264Z,,50.8,54,,,,
2017-11-19T00:27:27.268Z,64.2,50.7,54,,,,
2017-11-19T00:27:37.269Z,64.5,50.6,54,,,,
2017-11-19T00:27:47.264Z,64.7,50.6,54,30,,,
2017-11-19T00:27:57.267Z,64.8,50.5,54,0,0,2,
2017-11-19T00:28:07.267Z,61.9,50.5,54,,,,
2017-11-19T00:28:17.266Z,60.9,50.4,54,,,,
2017-11-19T00:28:27.263Z,59.9,50.4,54,,,,
2017-11-19T00:28:37.271Z,58.9,50.3,54,,,,
2017-11-19T00:28:47.356Z,57.9,50.3,54,,,,
2017-11-19T00:28:57.271Z,56.9,50.2,54,,,,
2017-11-19T00:29:07.268Z,,50.2,54,,,,
2017-11-19T00:29:17.271Z,55.9,50.2,54,,,,
2017-11-19T00:29:27.270Z,55.5,50.1,54,,,,
2017-11-19T00:29:37.271Z,54.9,50.1,54,,,,
2017-11-19T00:29:47.267Z,54.5,50.1,54,,,,
2017-11-19T00:29:57.271Z,53.9,50.1,54,,,,
2017-11-19T00:30:07.272Z,56,50,54,42,0,2,
2017-11-19T00:30:17.266Z,57.1,50,54,38,,,
2017-11-19T00:30:27.271Z,58,50,54,29,,,
2017-11-19T00:30:42.455Z,59,50,54,,,,
2017-11-19T00:30:47.272Z,60,49.9,54,,,,
2017-11-19T00:31:02.449Z,60.1,49.9,54,,,,
2017-11-19T00:31:12.335Z,61.1,49.9,54,,,,
2017-11-19T00:31:22.539Z,62,49.8,54,,,,
2017-11-19T00:31:32.366Z,62.4,49.8,54,,,,
2017-11-19T00:31:42.437Z,63.1,49.7,54,,,,
2017-11-19T00:31:52.444Z,63.5,49.7,54,,,,
2017-11-19T00:31:57.270Z,64,49.6,54,,,,
2017-11-19T00:32:07.272Z,64.5,49.6,54,,,,
2017-11-19T00:32:17.274Z,64.7,49.6,54,0,0,2,
2017-11-19T00:32:27.269Z,62.8,49.4,54,,,,
2017-11-19T00:32:37.273Z,61.8,49.4,54,,,,
2017-11-19T00:32:47.279Z,60.4,49.4,54,,,,
2017-11-19T00:32:57.267Z,59.9,49.4,54,,,,
2017-11-19T00:33:07.273Z,58.9,49.4,54,,,,
2017-11-19T00:33:17.275Z,57.9,49.3,54,,,,
2017-11-19T00:33:27.268Z,56.9,49.3,54,,,,
2017-11-19T00:33:37.274Z,56.8,49.3,54,,,,
2017-11-19T00:33:47.269Z,55.9,49.3,54,,,,
2017-11-19T00:33:57.268Z,55.5,49.3,54,,,,
2017-11-19T00:34:07.276Z,54.9,49.3,54,,,,
2017-11-19T00:34:17.268Z,54.6,49.2,54,,,,
2017-11-19T00:34:27.273Z,53.9,49.2,54,,,,
2017-11-19T00:34:37.272Z,53.7,49.2,54,,,,
2017-11-19T00:34:47.304Z,53.3,49.2,54,,,,
2017-11-19T00:34:57.268Z,52.9,49.2,54,,,,
2017-11-19T00:35:07.275Z,55.2,49.2,54,42,0,2,
2017-11-19T00:35:17.275Z,57,49.1,54,33,,,
2017-11-19T00:35:27.269Z,57.1,49.1,54,29,,,
2017-11-19T00:35:37.276Z,58.1,49.1,54,,,,
2017-11-19T00:35:47.268Z,59,49.1,54,29,,,
2017-11-19T00:35:57.277Z,60,49,54,,,,
2017-11-19T00:36:07.275Z,61.1,49,54,,,,
2017-11-19T00:36:22.361Z,61.2,49,54,,,,
2017-11-19T00:36:27.271Z,62,49,54,,,,
