Time,HwTOutlet,ChActive,PrimT,HwTSet,ActPow,HwActive,PrimTSet
2017-12-27T00:00:03.559Z,28.6,,,54,,,
2017-12-27T00:00:13.557Z,28.6,,,54,,,
2017-12-27T00:00:23.558Z,28.5,,,54,,,
2017-12-27T00:00:33.559Z,28.5,,,54,,,
2017-12-27T00:00:43.559Z,28.4,,33.2,54,,,
2017-12-27T00:00:53.563Z,28.3,,,54,,,
2017-12-27T00:01:03.564Z,28.3,,,54,,,
2017-12-27T00:01:13.557Z,28.1,,,54,,,
2017-12-27T00:01:23.563Z,28.1,,,54,,,
2017-12-27T00:01:33.558Z,28,,,54,,,
2017-12-27T00:01:43.562Z,27.9,,,54,,,
2017-12-27T00:01:53.561Z,27.9,,,54,,,
2017-12-27T00:02:03.564Z,27.8,,,54,,,
2017-12-27T00:02:13.562Z,27.8,,,54,,,
2017-12-27T00:02:23.557Z,27.7,,,54,,,
2017-12-27T00:02:33.554Z,27.7,,,54,,,
2017-12-27T00:02:43.557Z,27.5,,,54,,,
2017-12-27T00:02:53.555Z,27.5,,,54,,,
2017-12-27T00:03:03.559Z,27.4,,,54,,,
2017-12-27T00:03:13.559Z,27.4,,,54,,,
2017-12-27T00:03:23.556Z,27.3,,33.1,54,,,
2017-12-27T00:03:33.560Z,27.3,,,54,,,
2017-12-27T00:03:43.561Z,27.2,,,54,,,
2017-12-27T00:03:53.556Z,27.2,,,54,,,
2017-12-27T00:04:03.557Z,27.1,,,54,,,
2017-12-27T00:04:13.562Z,27.1,,,54,,,
2017-12-27T00:04:23.557Z,26.9,,,54,,,
2017-12-27T00:04:33.570Z,26.9,1,32.9,54,44,0,
2017-12-27T00:04:43.557Z,26.8,,37.4,54,37,,
2017-12-27T00:04:53.566Z,26.8,,37.8,54,29,,
2017-12-27T00:05:03.557Z,26.7,,36.4,54,,,
2017-12-27T00:05:13.561Z,26.7,,37.2,54,,,
2017-12-27T00:05:23.560Z,26.7,,37.5,54,,,
2017-12-27T00:05:33.559Z,26.8,,37.6,54,,,
2017-12-27T00:05:43.558Z,26.8,,37.7,54,,,
2017-12-27T00:05:53.562Z,26.9,,37.8,54,,,
2017-12-27T00:06:03.558Z,27.1,,,54,,,
2017-12-27T00:06:13.559Z,27.3,,37.9,54,,,
2017-12-27T00:06:23.564Z,27.4,,38,54,,,
2017-12-27T00:06:33.564Z,27.7,,38.1,54,,,
2017-12-27T00:06:43.559Z,27.8,,,54,,,
2017-12-27T00:06:53.559Z,27.9,,38.2,54,,,
2017-12-27T00:07:03.565Z,28,,,54,,,
2017-12-27T00:07:13.560Z,28,,38.3,54,,,
2017-12-27T00:07:23.560Z,28.1,,38.4,54,,,
2017-12-27T00:07:33.563Z,28.3,,38.5,54,30,,
2017-12-27T00:07:43.560Z,28.3,,38.6,54,29,,
2017-12-27T00:07:53.563Z,28.4,,38.7,54,,,
2017-12-27T00:08:03.563Z,28.4,,38.8,54,,,
2017-12-27T00:08:13.560Z,28.4,,39.1,54,30,,
2017-12-27T00:08:23.560Z,28.5,,39.2,54,29,,
2017-12-27T00:08:33.571Z,28.5,,39.3,54,,,
2017-12-27T00:08:43.561Z,28.5,,39.4,54,,,
2017-12-27T00:08:53.566Z,28.6,,39.6,54,,,
2017-12-27T00:09:03.562Z,28.6,,39.7,54,30,,
2017-12-27T00:09:13.561Z,28.7,,39.8,54,29,,
2017-12-27T00:09:23.562Z,28.7,,40,54,,,
2017-12-27T00:09:33.559Z,28.9,,40.1,54,,,
2017-12-27T00:09:43.559Z,28.9,,40.2,54,,,
2017-12-27T00:09:53.564Z,29,,40.3,54,,,
2017-12-27T00:10:03.563Z,29.1,,40.4,54,,,
2017-12-27T00:10:13.563Z,29.1,,40.6,54,,,
2017-12-27T00:10:23.560Z,29.2,,40.7,54,30,,
2017-12-27T00:10:33.563Z,29.3,,40.8,54,29,,
2017-12-27T00:10:43.566Z,29.3,,40.9,54,30,,
2017-12-27T00:10:53.559Z,29.5,,41,54,29,,
2017-12-27T00:11:03.564Z,29.6,,41.2,54,0,,
2017-12-27T00:11:13.567Z,29.7,1,39.8,54,,0,
2017-12-27T00:11:23.565Z,29.7,,37.9,54,,,
2017-12-27T00:11:33.562Z,29.8,,37.3,54,,,
2017-12-27T00:11:43.563Z,30,,36.8,54,,,
2017-12-27T00:11:53.565Z,30,,36.2,54,,,
2017-12-27T00:12:03.564Z,30.1,,35.8,54,,,
2017-12-27T00:12:13.562Z,30.1,,35.3,54,,,
2017-12-27T00:12:23.564Z,30.1,,34.9,54,,,
2017-12-27T00:12:33.565Z,30.1,,34.6,54,,,
2017-12-27T00:12:43.565Z,30.1,,34.3,54,,,
2017-12-27T00:12:53.577Z,30.1,,33.9,54,,,
2017-12-27T00:13:03.567Z,30.1,,33.8,54,,,
2017-12-27T00:13:13.566Z,30.1,,33.6,54,,,
2017-12-27T00:13:23.568Z,30.1,,33.4,54,,,
2017-12-27T00:13:33.572Z,30.1,,33.3,54,,,
2017-12-27T00:13:43.572Z,30.1,,32.9,54,,,
2017-12-27T00:13:53.566Z,30,,,54,,,
2017-12-27T00:14:03.563Z,30,,32.7,54,,,
2017-12-27T00:14:13.563Z,30,,,54,,,
2017-12-27T00:14:23.563Z,30,,,54,,,
2017-12-27T00:14:33.565Z,30,,32.6,54,,,
2017-12-27T00:14:43.565Z,29.8,,,54,,,
2017-12-27T00:14:53.567Z,29.8,,,54,,,
2017-12-27T00:15:03.567Z,29.8,,,54,,,
2017-12-27T00:15:13.568Z,29.8,,,54,,,
2017-12-27T00:15:23.568Z,29.8,,,54,,,
2017-12-27T00:15:33.568Z,29.8,,,54,,,
2017-12-27T00:15:43.565Z,29.8,,,54,,,
2017-12-27T00:15:53.569Z,29.8,,,54,,,
2017-12-27T00:16:03.568Z,29.8,,,54,,,
2017-12-27T00:16:13.563Z,29.8,,,54,,,
2017-12-27T00:16:23.564Z,29.7,,,54,,,
2017-12-27T00:16:33.563Z,29.7,,,54,,,
2017-12-27T00:16:43.566Z,29.6,,,54,,,
2017-12-27T00:16:53.565Z,29.6,,,54,,,
2017-12-27T00:17:03.565Z,29.6,,,54,,,
2017-12-27T00:17:13.565Z,29.5,,,54,,,
2017-12-27T00:17:23.567Z,29.5,,,54,,,
2017-12-27T00:17:33.567Z,29.3,,32.7,54,,,
2017-12-27T00:17:43.567Z,29.3,,,54,,,
2017-12-27T00:17:53.569Z,29.2,,,54,,,
2017-12-27T00:18:03.569Z,29.2,1,32.7,54,0,0,61
2017-12-27T00:18:13.569Z,29.1,,32.8,54,,,
2017-12-27T00:18:23.570Z,29,,,54,,,
2017-12-27T00:18:33.571Z,29,,,54,,,
2017-12-27T00:18:43.567Z,28.9,,,54,,,
2017-12-27T00:18:53.571Z,28.9,,32.9,54,,,
2017-12-27T00:19:03.572Z,28.7,,,54,,,
2017-12-27T00:19:13.568Z,28.6,,,54,,,
2017-12-27T00:19:23.565Z,28.6,,33.1,54,,,
2017-12-27T00:19:33.568Z,28.5,,,54,,,
2017-12-27T00:19:43.571Z,28.5,,,54,,,
2017-12-27T00:19:53.570Z,28.4,,,54,,,
2017-12-27T00:20:03.567Z,28.3,,,54,,,
2017-12-27T00:20:13.568Z,28.3,,,54,,,
2017-12-27T00:20:23.569Z,28.1,,,54,,,
2017-12-27T00:20:33.566Z,28,,,54,,,
2017-12-27T00:20:43.573Z,28,,,54,,,
2017-12-27T00:20:53.569Z,27.9,,,54,,,
2017-12-27T00:21:03.567Z,27.9,,33.2,54,,,
2017-12-27T00:21:13.569Z,27.8,,,54,,,
2017-12-27T00:21:23.573Z,27.8,,,54,,,
2017-12-27T00:21:33.570Z,27.7,,,54,,,
2017-12-27T00:21:43.568Z,27.5,,,54,,,
2017-12-27T00:21:53.575Z,27.5,,,54,,,
2017-12-27T00:22:03.577Z,27.4,,,54,,,
2017-12-27T00:22:13.570Z,27.4,,,54,,,
2017-12-27T00:22:23.567Z,27.3,,33.1,54,,,
2017-12-27T00:22:33.575Z,27.3,,,54,,,
2017-12-27T00:22:43.568Z,27.2,,,54,,,
2017-12-27T00:22:53.569Z,27.2,,,54,,,
2017-12-27T00:23:03.569Z,27.1,,,54,,,
2017-12-27T00:23:13.566Z,27.1,,,54,,,
2017-12-27T00:23:23.570Z,26.9,,,54,,,
2017-12-27T00:23:33.572Z,26.9,,,54,,,
2017-12-27T00:23:43.567Z,26.8,,,54,,,
2017-12-27T00:23:53.572Z,26.8,,,54,,,
2017-12-27T00:24:03.573Z,26.8,,,54,,,
2017-12-27T00:24:13.567Z,26.7,,32.9,54,,,
2017-12-27T00:24:23.578Z,26.7,1,36.5,54,40,0,
2017-12-27T00:24:33.572Z,26.6,,38.3,54,33,,
2017-12-27T00:24:43.568Z,26.6,,36.8,54,29,,
2017-12-27T00:24:53.576Z,26.5,,37.2,54,,,
2017-12-27T00:25:03.573Z,26.5,,37.5,54,30,,
2017-12-27T00:25:13.568Z,26.6,,,54,29,,
2017-12-27T00:25:23.578Z,26.6,,37.7,54,,,
2017-12-27T00:25:33.572Z,26.7,,37.8,54,,,
2017-12-27T00:25:43.569Z,26.8,,37.9,54,30,,
2017-12-27T00:25:53.569Z,26.9,,38,54,30,,
2017-12-27T00:26:03.574Z,27.2,,38.1,54,,,
2017-12-27T00:26:13.569Z,27.3,,38.2,54,29,,
2017-12-27T00:26:23.571Z,27.5,,38.3,54,,,
2017-12-27T00:26:33.570Z,27.7,,,54,,,
2017-12-27T00:26:43.570Z,27.8,,,54,,,
2017-12-27T00:26:53.574Z,27.9,,,54,30,,
2017-12-27T00:27:03.570Z,27.9,,,54,29,,
2017-12-27T00:27:13.570Z,28,,38.4,54,,,
2017-12-27T00:27:23.575Z,28.1,,38.5,54,,,
2017-12-27T00:27:33.570Z,28.1,,38.6,54,,,
2017-12-27T00:27:43.575Z,28.3,,38.7,54,30,,
2017-12-27T00:27:53.578Z,28.3,,38.8,54,29,,
2017-12-27T00:28:03.568Z,28.4,,39.1,54,30,,
2017-12-27T00:28:13.575Z,28.4,,39.2,54,29,,
2017-12-27T00:28:23.572Z,28.4,,39.3,54,,,
2017-12-27T00:28:33.571Z,28.5,,39.5,54,,,
2017-12-27T00:28:43.571Z,28.5,,39.6,54,,,
2017-12-27T00:28:53.585Z,28.5,,39.7,54,,,
2017-12-27T00:29:03.572Z,28.6,,39.8,54,,,
2017-12-27T00:29:13.574Z,28.6,,40,54,,,
2017-12-27T00:29:23.583Z,28.7,,40.1,54,,,
2017-12-27T00:29:33.663Z,28.9,,40.2,54,,,
2017-12-27T00:29:43.573Z,28.9,,40.3,54,,,
2017-12-27T00:29:53.577Z,29,,40.4,54,,,
2017-12-27T00:30:03.573Z,29.1,,40.5,54,30,,
2017-12-27T00:30:13.573Z,29.1,,40.6,54,,,
2017-12-27T00:30:23.573Z,29.2,,40.8,54,29,,
2017-12-27T00:30:33.578Z,29.2,,40.9,54,,,
2017-12-27T00:30:43.573Z,29.3,,41,54,,,
2017-12-27T00:30:53.575Z,29.5,1,40.8,54,0,0,
2017-12-27T00:31:03.578Z,29.5,,38.7,54,,,
2017-12-27T00:31:13.574Z,29.6,,37.7,54,,,
2017-12-27T00:31:23.579Z,29.7,,36.9,54,,,
2017-12-27T00:31:33.572Z,29.7,,36.3,54,,,
2017-12-27T00:31:43.575Z,29.8,,35.8,54,,,
2017-12-27T00:31:53.580Z,29.8,,35.4,54,,,
2017-12-27T00:32:03.571Z,29.8,,34.9,54,,,
2017-12-27T00:32:13.575Z,29.8,,34.7,54,,,
2017-12-27T00:32:23.579Z,30,,34.4,54,,,
2017-12-27T00:32:33.579Z,30,,34.1,54,,,
2017-12-27T00:32:43.575Z,30,,33.9,54,,,
2017-12-27T00:32:53.576Z,30,,33.6,54,,,
2017-12-27T00:33:03.572Z,30,,33.4,54,,,
2017-12-27T00:33:13.576Z,30,,33.3,54,,,
2017-12-27T00:33:23.576Z,30,,33.1,54,,,
2017-12-27T00:33:33.582Z,29.8,,32.9,54,,,
2017-12-27T00:33:43.572Z,29.8,,32.8,54,,,
2017-12-27T00:33:53.573Z,29.8,,32.6,54,,,
2017-12-27T00:34:03.575Z,29.8,,,54,,,
2017-12-27T00:34:13.576Z,29.8,,,54,,,
2017-12-27T00:34:23.575Z,29.8,,,54,,,
2017-12-27T00:34:33.580Z,29.8,,,54,,,
2017-12-27T00:34:43.586Z,29.8,,,54,,,
2017-12-27T00:34:53.582Z,29.8,,,54,,,
2017-12-27T00:35:03.578Z,29.7,,,54,,,
2017-12-27T00:35:13.578Z,29.8,,,54,,,
2017-12-27T00:35:23.574Z,29.8,,,54,,,
2017-12-27T00:35:33.574Z,29.7,,,54,,,
2017-12-27T00:35:43.574Z,29.7,,,54,,,
2017-12-27T00:35:53.585Z,29.7,,32.5,54,,,
2017-12-27T00:36:03.577Z,29.7,,32.6,54,,,
2017-12-27T00:36:13.577Z,29.6,,32.5,54,,,
2017-12-27T00:36:23.581Z,29.6,,32.6,54,,,
2017-12-27T00:36:33.583Z,29.6,,,54,,,
2017-12-27T00:36:43.577Z,29.5,,,54,,,
2017-12-27T00:36:53.578Z,29.5,,,54,,,
2017-12-27T00:37:03.575Z,29.5,,,54,,,
2017-12-27T00:37:13.576Z,29.3,,,54,,,
2017-12-27T00:37:23.574Z,29.3,,,54,,,
2017-12-27T00:37:33.578Z,29.2,,32.7,54,,,
2017-12-27T00:37:43.583Z,29.1,,,54,,,
2017-12-27T00:37:53.578Z,29.1,,,54,,,
2017-12-27T00:38:03.578Z,29,,,54,,,
2017-12-27T00:38:13.585Z,29,,32.8,54,,,
2017-12-27T00:38:23.581Z,28.9,,,54,,,
2017-12-27T00:38:33.584Z,28.9,,,54,,,
2017-12-27T00:38:43.586Z,28.7,,32.9,54,,,
2017-12-27T00:38:53.582Z,28.7,,,54,,,
2017-12-27T00:39:03.582Z,28.6,,,54,,,
2017-12-27T00:39:13.585Z,28.6,,,54,,,
2017-12-27T00:39:23.586Z,28.5,,33.1,54,,,
2017-12-27T00:39:33.576Z,28.4,,33.1,54,,,
2017-12-27T00:39:43.577Z,28.4,,,54,,,
2017-12-27T00:39:53.584Z,28.3,,,54,,,
2017-12-27T00:40:03.578Z,28.3,,,54,,,
2017-12-27T00:40:13.583Z,28.1,,,54,,,
2017-12-27T00:40:23.579Z,28,,,54,,,
2017-12-27T00:40:33.580Z,28,,,54,,,
2017-12-27T00:40:43.580Z,27.9,,,54,,,
2017-12-27T00:40:53.580Z,27.9,,,54,,,
2017-12-27T00:41:03.582Z,27.8,,,54,,,
2017-12-27T00:41:13.583Z,27.8,,,54,,,
2017-12-27T00:41:23.582Z,27.7,,,54,,,
2017-12-27T00:41:33.581Z,27.5,,,54,,,
2017-12-27T00:41:43.585Z,27.5,,,54,,,
2017-12-27T00:41:53.585Z,27.4,,,54,,,
2017-12-27T00:42:03.584Z,27.4,,,54,,,
2017-12-27T00:42:13.585Z,27.3,,,54,,,
2017-12-27T00:42:23.581Z,27.3,,,54,,,
