Time,ActPow,HwTOutlet,PrimT,ChActive,HwTSet,PrimTSet,HwActive
2017-12-24T00:17:41.101Z,,24,,,54,,
2017-12-24T00:17:51.102Z,,24,25.3,,54,,
2017-12-24T00:18:01.103Z,,23.9,25.2,,54,,
2017-12-24T00:18:11.103Z,,23.9,,,54,,
2017-12-24T00:18:21.104Z,,23.9,,,54,,
2017-12-24T00:18:31.103Z,,23.8,,,54,,
2017-12-24T00:18:41.109Z,,23.8,,,54,,
2017-12-24T00:18:51.096Z,,23.8,,,54,,
2017-12-24T00:19:01.104Z,,23.8,,,54,,
2017-12-24T00:19:11.097Z,,23.8,,,54,,
2017-12-24T00:19:21.097Z,,23.7,,,54,,
2017-12-24T00:19:31.104Z,,23.8,,,54,,
2017-12-24T00:19:41.098Z,,23.7,,,54,,
2017-12-24T00:19:51.096Z,,23.7,,,54,,
2017-12-24T00:20:01.105Z,,23.7,,,54,,
2017-12-24T00:20:11.099Z,,23.7,,,54,,
2017-12-24T00:20:21.099Z,,23.7,,,54,,
2017-12-24T00:20:31.097Z,,23.7,,,54,,
2017-12-24T00:20:41.103Z,,23.6,,,54,,
2017-12-24T00:20:51.102Z,,23.6,,,54,,
2017-12-24T00:21:01.109Z,,23.6,,,54,,
2017-12-24T00:21:11.108Z,,23.6,,,54,,
2017-12-24T00:21:21.106Z,,23.4,,,54,,
2017-12-24T00:21:31.102Z,,23.4,,,54,,
2017-12-24T00:21:41.100Z,,23.4,,,54,,
2017-12-24T00:21:51.099Z,,23.4,,,54,,
2017-12-24T00:22:01.102Z,,23.3,,,54,,
2017-12-24T00:22:11.103Z,,23.3,,,54,,
2017-12-24T00:22:21.100Z,,23.3,,,54,,
2017-12-24T00:22:31.098Z,,23.2,25.3,,54,,
2017-12-24T00:22:41.098Z,,23.2,,,54,,
2017-12-24T00:22:51.098Z,,23.2,,,54,,
2017-12-24T00:23:01.104Z,,23.2,,,54,,
2017-12-24T00:23:11.099Z,,23.2,,,54,,
2017-12-24T00:23:21.109Z,,23.1,,,54,,
2017-12-24T00:23:31.104Z,,23.1,,,54,,
2017-12-24T00:23:41.107Z,,23.1,,,54,,
2017-12-24T00:23:51.100Z,,23.1,,,54,,
2017-12-24T00:24:01.108Z,,23,,,54,,
2017-12-24T00:24:11.105Z,,23,,,54,,
2017-12-24T00:24:21.103Z,,23,,,54,,
2017-12-24T00:24:31.100Z,,23,,,54,,
2017-12-24T00:24:41.109Z,,22.8,,,54,,
2017-12-24T00:24:51.111Z,,22.8,,,54,,
2017-12-24T00:25:01.100Z,,22.8,,,54,,
2017-12-24T00:25:11.100Z,,22.8,,,54,,
2017-12-24T00:25:21.110Z,,22.7,,,54,,
2017-12-24T00:25:31.103Z,,22.7,,,54,,
