Time,HwTOutlet,HwTSet,PrimT,HwActive,PrimTSet,ChActive,ActPow
2018-02-06T00:00:05.262Z,29.6,54,60.4,,,,
2018-02-06T00:00:15.346Z,29.3,54,60.6,,,,
2018-02-06T00:00:25.249Z,29,54,60.7,1,0,0,32
2018-02-06T00:00:35.253Z,21.5,54,64.4,0,,0,0
2018-02-06T00:00:45.242Z,23.6,54,61.9,,,,
2018-02-06T00:00:55.243Z,49.8,54,61.8,,,,
2018-02-06T00:01:05.286Z,57.5,54,61.5,,,,
2018-02-06T00:01:15.353Z,58.5,54,61.4,,,,
2018-02-06T00:01:25.238Z,55.6,54,61.3,,,,
2018-02-06T00:01:35.244Z,50.3,54,59.7,0,61,2,
2018-02-06T00:01:45.280Z,45.4,54,54.7,0,,2,
2018-02-06T00:01:55.289Z,42.9,54,59,,,,39
2018-02-06T00:02:05.261Z,40.9,54,59.9,,,,32
2018-02-06T00:02:15.362Z,38.9,54,58.5,,,,29
2018-02-06T00:02:25.232Z,37.2,54,59.1,,,,30
2018-02-06T00:02:35.265Z,35.7,54,58.9,,,,29
2018-02-06T00:02:45.264Z,33.9,54,58.8,,,,
2018-02-06T00:02:55.294Z,32.6,54,,,,,
2018-02-06T00:03:05.232Z,31,54,58.7,,,,
2018-02-06T00:03:15.335Z,29.6,54,,,,,30
2018-02-06T00:03:25.324Z,28.6,54,,,,,29
2018-02-06T00:03:35.242Z,27.9,54,,,,,
2018-02-06T00:03:45.264Z,26.9,54,58.8,,,,30
2018-02-06T00:03:55.237Z,26.2,54,58.9,,,,
2018-02-06T00:04:05.256Z,25.7,54,59,,,,
2018-02-06T00:04:15.420Z,25.4,54,59.1,,,,
2018-02-06T00:04:25.233Z,25,54,59.4,,,,31
2018-02-06T00:04:35.237Z,24.8,54,59.5,,,,32
2018-02-06T00:04:45.241Z,24.7,54,59.7,,,,31
2018-02-06T00:04:55.284Z,24.5,54,59.8,,,,32
2018-02-06T00:05:05.240Z,24.5,54,60,,,,
2018-02-06T00:05:15.419Z,24.3,54,60.1,0,61,2,32
2018-02-06T00:05:30.404Z,24.2,54,60.2,,,,
2018-02-06T00:05:35.234Z,24.2,54,60.4,,,,
2018-02-06T00:05:45.324Z,24.2,54,60.5,,,,
2018-02-06T00:05:55.247Z,24,54,60.6,,,,
2018-02-06T00:06:05.262Z,23.9,54,60.7,,,,
2018-02-06T00:06:15.352Z,23.8,54,60.8,,,,
2018-02-06T00:06:25.248Z,23.7,54,,,,,
2018-02-06T00:06:35.279Z,23.6,54,61.1,,,,
2018-02-06T00:06:45.249Z,23.4,54,,,,,
2018-02-06T00:06:55.317Z,23.4,54,,,,,31
2018-02-06T00:07:05.250Z,23.4,54,60.9,,,,29
2018-02-06T00:07:15.336Z,23.2,54,,,,,29
2018-02-06T00:07:25.237Z,23.1,54,,,,,30
2018-02-06T00:07:35.261Z,23,54,,,,,
2018-02-06T00:07:45.256Z,23.2,54,,,,,
2018-02-06T00:07:55.314Z,23.1,54,,,,,
2018-02-06T00:08:05.258Z,23.1,54,,,,,29
2018-02-06T00:08:15.572Z,22.8,54,61.1,,,,29
2018-02-06T00:08:25.284Z,22.8,54,60.9,,,,
2018-02-06T00:08:35.245Z,23,54,61.1,,,,
2018-02-06T00:08:45.258Z,23,54,,,,,
2018-02-06T00:08:55.298Z,22.7,54,,,,,
2018-02-06T00:09:05.325Z,22.7,54,61.2,,,,
2018-02-06T00:09:15.367Z,22.8,54,,,,,
2018-02-06T00:09:25.332Z,22.6,54,,,,,
2018-02-06T00:09:35.272Z,22.7,54,,,,,
2018-02-06T00:09:45.323Z,22.6,54,,,,,
2018-02-06T00:09:55.326Z,22.6,54,61.3,,,,
2018-02-06T00:10:05.295Z,22.6,54,,,,,
2018-02-06T00:10:15.569Z,22.6,54,61.4,,,,
2018-02-06T00:10:25.265Z,22.7,54,,,,,
2018-02-06T00:10:35.281Z,22.6,54,,,,,
2018-02-06T00:10:45.294Z,22.6,54,61.5,,,,
2018-02-06T00:10:55.296Z,22.8,54,,,,,
2018-02-06T00:11:05.238Z,22.6,54,,,,,
2018-02-06T00:11:15.362Z,22.6,54,61.6,,,,
2018-02-06T00:11:25.259Z,22.7,54,,,,,
2018-02-06T00:11:35.240Z,22.7,54,,,,,
2018-02-06T00:11:45.251Z,22.6,54,61.8,,,,
2018-02-06T00:11:55.249Z,22.6,54,,,,,
2018-02-06T00:12:05.283Z,22.7,54,,,,,30
2018-02-06T00:12:15.519Z,22.7,54,61.9,,,,
2018-02-06T00:12:25.298Z,22.6,54,,,,,29
2018-02-06T00:12:35.300Z,22.6,54,61.9,,,,30
2018-02-06T00:12:45.255Z,22.7,54,62,,,,29
2018-02-06T00:12:55.248Z,22.7,54,,,,,
2018-02-06T00:13:05.248Z,22.7,54,,,,,30
2018-02-06T00:13:15.398Z,22.8,54,62.1,,,,29
2018-02-06T00:13:25.243Z,22.8,54,,,,,
2018-02-06T00:13:35.328Z,22.7,54,,,,,
2018-02-06T00:13:45.251Z,22.6,54,62.2,,,,
2018-02-06T00:13:55.240Z,22.6,54,,,,,
2018-02-06T00:14:05.273Z,22.6,54,,,,,
2018-02-06T00:14:15.358Z,22.6,54,,,,,
2018-02-06T00:14:25.242Z,22.7,54,62.4,,,,
2018-02-06T00:14:35.302Z,22.6,54,,,,,30
2018-02-06T00:14:45.303Z,22.7,54,,,,,29
2018-02-06T00:14:55.281Z,22.7,54,,,,,30
2018-02-06T00:15:05.250Z,22.6,54,62.5,,,,
2018-02-06T00:15:15.349Z,22.6,54,,,,,29
2018-02-06T00:15:25.261Z,22.6,54,,,,,30
2018-02-06T00:15:35.250Z,22.7,54,,,,,29
2018-02-06T00:15:45.242Z,22.6,54,62.6,,,,
2018-02-06T00:15:55.251Z,22.6,54,,,,,
2018-02-06T00:16:05.279Z,22.7,54,,,,,
2018-02-06T00:16:15.357Z,22.7,54,,,,,
2018-02-06T00:16:25.251Z,22.6,54,,,,,
2018-02-06T00:16:35.272Z,22.7,54,62.7,,,,30
2018-02-06T00:16:45.246Z,22.8,54,,,,,29
2018-02-06T00:16:55.272Z,22.7,54,,,,,30
