Time,PrimTSet,HwTOutlet,HwActive,ChActive,PrimT,ActPow,HwTSet
2017-12-12T00:17:46.274Z,,22.4,,,53.1,30,54
2017-12-12T00:17:56.282Z,,22.5,,,,29,54
2017-12-12T00:18:06.274Z,,22.5,,,53.2,,54
2017-12-12T00:18:16.273Z,,22.2,,,53.3,,54
2017-12-12T00:18:26.278Z,,22.5,,,,,54
2017-12-12T00:18:36.280Z,,22.4,,,53.4,30,54
2017-12-12T00:18:46.278Z,,22.4,,,,29,54
2017-12-12T00:18:56.273Z,,22.4,,,53.5,,54
2017-12-12T00:19:06.279Z,,22.1,,,,,54
2017-12-12T00:19:16.337Z,,22.5,,,53.6,,54
2017-12-12T00:19:26.275Z,,22.2,,,,,54
2017-12-12T00:19:36.276Z,,22.5,,,53.7,30,54
2017-12-12T00:19:46.277Z,,22.7,,,,29,54
2017-12-12T00:19:56.275Z,,22.5,,,53.8,,54
2017-12-12T00:20:06.275Z,,22.2,,,,,54
2017-12-12T00:20:16.275Z,,22.6,,,53.9,,54
2017-12-12T00:20:26.284Z,,22.4,,,54,29,54
2017-12-12T00:20:36.276Z,,22.7,,,,,54
2017-12-12T00:20:46.278Z,,22.8,,,,,54
2017-12-12T00:20:56.282Z,,22.8,,,54.1,,54
2017-12-12T00:21:06.276Z,,22.7,,,,,54
2017-12-12T00:21:16.277Z,,23,,,54.3,,54
2017-12-12T00:21:26.281Z,,22.6,,,,,54
2017-12-12T00:21:36.275Z,,22.6,,,54.4,,54
2017-12-12T00:21:46.278Z,,23,,,,,54
2017-12-12T00:21:56.277Z,,22.6,,,54.5,,54
2017-12-12T00:22:06.279Z,,22.7,,,,,54
2017-12-12T00:22:16.276Z,,22.7,,,54.6,30,54
2017-12-12T00:22:31.388Z,,22.7,,,,30,54
2017-12-12T00:22:36.278Z,,23.1,,,54.7,29,54
2017-12-12T00:22:46.278Z,,23,,,,,54
2017-12-12T00:22:56.278Z,,22.4,,,,,54
2017-12-12T00:23:06.289Z,,22.7,,,54.8,30,54
2017-12-12T00:23:16.292Z,,23.2,,,,29,54
2017-12-12T00:23:26.282Z,,22.8,,,54.9,,54
2017-12-12T00:23:36.278Z,,23,,,,,54
2017-12-12T00:23:46.289Z,,23,,,54.9,,54
2017-12-12T00:23:56.281Z,,23.2,,,55,,54
2017-12-12T00:24:06.279Z,,23.1,,,,,54
2017-12-12T00:24:16.279Z,,23.2,,,55.1,30,54
2017-12-12T00:24:26.277Z,,22.7,,,,29,54
2017-12-12T00:24:36.454Z,,23.2,,,,30,54
2017-12-12T00:24:46.279Z,,23.3,,,55.2,29,54
2017-12-12T00:24:56.281Z,,23.6,,,,,54
2017-12-12T00:25:06.280Z,,23.3,,,,,54
2017-12-12T00:25:16.278Z,,23.1,,,55.3,,54
2017-12-12T00:25:26.282Z,,23.1,,,,,54
2017-12-12T00:25:36.277Z,,23.2,,,,,54
2017-12-12T00:25:46.282Z,,23.4,,,55.4,,54
2017-12-12T00:25:56.280Z,,23.3,,,,,54
2017-12-12T00:26:06.280Z,,23.6,,,,,54
2017-12-12T00:26:16.281Z,,23.4,,,55.5,,54
2017-12-12T00:26:26.292Z,,23.4,,,,,54
2017-12-12T00:26:36.278Z,,23.4,,,,30,54
2017-12-12T00:26:46.285Z,,23.4,,,55.6,29,54
2017-12-12T00:26:56.283Z,,23.3,,,,30,54
2017-12-12T00:27:06.280Z,,23.6,,,,,54
2017-12-12T00:27:16.281Z,,23.3,,,55.7,29,54
2017-12-12T00:27:26.284Z,,23.6,,,,,54
2017-12-12T00:27:36.290Z,,23.3,,,,,54
2017-12-12T00:27:46.286Z,,23.2,,,55.9,,54
2017-12-12T00:27:56.283Z,,23.3,,,,,54
2017-12-12T00:28:06.289Z,,23.6,,,55.9,29,54
2017-12-12T00:28:16.280Z,,23.3,,,56,,54
2017-12-12T00:28:26.281Z,,23.3,,,,,54
2017-12-12T00:28:36.279Z,,23.3,,,,,54
2017-12-12T00:28:46.282Z,,23.2,,,,,54
2017-12-12T00:28:56.283Z,,23.3,,,56.1,,54
2017-12-12T00:29:06.282Z,,22.8,,,,,54
2017-12-12T00:29:16.280Z,,23.2,,,,,54
2017-12-12T00:29:26.285Z,,23.1,0,2,56.1,0,54
2017-12-12T00:29:36.284Z,,23,,,53.8,,54
2017-12-12T00:29:46.283Z,,23.4,,,52.8,,54
2017-12-12T00:29:56.287Z,,22.5,,,51.7,,54
2017-12-12T00:30:06.283Z,,22.4,,,50.9,,54
2017-12-12T00:30:16.285Z,,22.4,,,50.5,,54
2017-12-12T00:30:26.282Z,,21.9,,,49.5,,54
2017-12-12T00:30:36.285Z,,21.6,0,2,53.1,39,54
2017-12-12T00:30:46.285Z,,21.5,,,55,33,54
2017-12-12T00:30:56.284Z,,20.8,,,53.8,29,54
2017-12-12T00:31:06.291Z,,20.5,,,54,,54
2017-12-12T00:31:16.289Z,,20.5,,,54.6,,54
2017-12-12T00:31:26.282Z,,21.1,,,54.5,,54
2017-12-12T00:31:36.283Z,,21.9,,,54.7,,54
2017-12-12T00:31:46.280Z,,22.4,,,54.8,,54
2017-12-12T00:31:56.292Z,,22.8,,,55,,54
2017-12-12T00:32:06.280Z,,23,,,55.1,,54
2017-12-12T00:32:16.287Z,,23.1,,,55.2,30,54
2017-12-12T00:32:26.287Z,,23,,,55.3,29,54
2017-12-12T00:32:36.284Z,,23.2,,,55.4,30,54
2017-12-12T00:32:46.288Z,,23.2,,,55.5,29,54
2017-12-12T00:32:56.286Z,,22.7,,,55.6,,54
2017-12-12T00:33:06.287Z,,22.7,,,,,54
2017-12-12T00:33:16.394Z,,22.8,,,55.7,,54
2017-12-12T00:33:26.301Z,,23.1,,,55.9,,54
2017-12-12T00:33:36.290Z,,23,,,,30,54
2017-12-12T00:33:46.282Z,,23.2,,,,,54
2017-12-12T00:33:56.290Z,,23,,,56,29,54
2017-12-12T00:34:06.291Z,,23.2,,,,,54
2017-12-12T00:34:16.284Z,,22.8,,,,,54
2017-12-12T00:34:26.286Z,,23,,,,30,54
2017-12-12T00:34:36.286Z,,23,,,56.1,29,54
2017-12-12T00:34:46.283Z,,23.1,,,,,54
2017-12-12T00:34:56.288Z,,23.3,,,,,54
2017-12-12T00:35:06.288Z,,23.1,,,,,54
2017-12-12T00:35:16.289Z,,23.1,,,,30,54
2017-12-12T00:35:26.289Z,,23.2,,,,29,54
2017-12-12T00:35:36.283Z,,23.3,,,,,54
2017-12-12T00:35:46.283Z,,23.1,,,56.2,30,54
2017-12-12T00:35:56.290Z,,23.4,,,,29,54
2017-12-12T00:36:06.284Z,,23.4,,,,,54
2017-12-12T00:36:16.293Z,,23.4,,,,,54
2017-12-12T00:36:26.291Z,,23.4,,,,30,54
2017-12-12T00:36:36.284Z,,23.4,,,,29,54
2017-12-12T00:36:46.293Z,,23.6,,,,,54
2017-12-12T00:36:56.284Z,,23.7,,,,,54
2017-12-12T00:37:06.286Z,,23.6,,,56.3,,54
2017-12-12T00:37:16.285Z,,23.6,,,,30,54
2017-12-12T00:37:26.285Z,,23.2,,,,29,54
2017-12-12T00:37:36.287Z,,23.3,,,,,54
2017-12-12T00:37:46.285Z,,23.8,,,,,54
2017-12-12T00:37:56.290Z,,23.3,,,,,54
2017-12-12T00:38:06.285Z,,23.4,,,56.4,30,54
2017-12-12T00:38:16.291Z,,23.8,,,,29,54
2017-12-12T00:38:26.294Z,,23.7,,,,,54
2017-12-12T00:38:36.285Z,,23.2,,,,,54
2017-12-12T00:38:46.288Z,,23.6,,,,30,54
2017-12-12T00:38:56.284Z,,23.3,,,,29,54
2017-12-12T00:39:06.293Z,,23.8,,,,30,54
2017-12-12T00:39:16.287Z,,23.9,,,,,54
2017-12-12T00:39:26.288Z,,23.7,,,,29,54
2017-12-12T00:39:36.287Z,,23.4,,,,,54
2017-12-12T00:39:46.295Z,,23.1,,,56.5,,54
2017-12-12T00:39:56.285Z,,23.4,,,,,54
2017-12-12T00:40:06.295Z,,23.4,,,,,54
2017-12-12T00:40:21.398Z,,23.7,,,,,54
2017-12-12T00:40:26.289Z,,23.6,,,,,54
2017-12-12T00:40:36.291Z,,23.4,,,,,54
