Time,ActPow,PrimT,HwTSet,ChActive,HwTOutlet,PrimTSet,HwActive
2017-11-27T00:00:06.889Z,,57.8,54,,36.6,,
2017-11-27T00:00:16.899Z,0,56.7,54,1,36.7,,0
2017-11-27T00:00:26.893Z,,54.9,54,,36.7,,
2017-11-27T00:00:36.893Z,,53.9,54,,36.7,,
2017-11-27T00:00:46.890Z,,53.6,54,,36.7,,
2017-11-27T00:00:56.889Z,,52.7,54,,36.6,,
2017-11-27T00:01:06.899Z,,51.9,54,,36.5,,
2017-11-27T00:01:16.891Z,,51.4,54,,36.4,,
2017-11-27T00:01:26.895Z,,50.9,54,,36.3,,
2017-11-27T00:01:36.892Z,,50.3,54,,36.2,,
2017-11-27T00:01:46.896Z,,49.9,54,,36.1,,
2017-11-27T00:01:56.895Z,,49.6,54,,36,,
2017-11-27T00:02:06.895Z,,49.1,54,,35.8,,
2017-11-27T00:02:16.892Z,,48.8,54,,35.7,,
2017-11-27T00:02:26.893Z,,48.4,54,,35.7,,
2017-11-27T00:02:36.956Z,,47.9,54,,35.7,,
2017-11-27T00:02:46.900Z,,47.8,54,,35.8,,
2017-11-27T00:02:56.891Z,,47.3,54,,35.8,,
2017-11-27T00:03:06.896Z,42,50.1,54,1,35.8,,0
2017-11-27T00:03:16.897Z,33,51.7,54,,35.8,,
2017-11-27T00:03:26.895Z,29,52,54,,35.8,,
2017-11-27T00:03:36.900Z,,53.1,54,,35.8,,
2017-11-27T00:03:46.892Z,29,54,54,,35.8,,
2017-11-27T00:04:01.943Z,,54.5,54,,36,,
2017-11-27T00:04:06.934Z,30,55.1,54,,36.1,,
2017-11-27T00:04:16.893Z,29,55.5,54,,36.2,,
2017-11-27T00:04:26.947Z,,56,54,,36.3,,
2017-11-27T00:04:36.894Z,30,56.2,54,,36.4,,
2017-11-27T00:04:46.894Z,,56.5,54,,36.5,,
2017-11-27T00:04:56.891Z,29,56.7,54,,36.6,,
2017-11-27T00:05:06.896Z,0,54.8,54,1,36.7,,0
2017-11-27T00:05:16.897Z,,52.9,54,,36.8,,
2017-11-27T00:05:26.891Z,,52.3,54,,36.7,,
2017-11-27T00:05:36.899Z,,51.8,54,,36.6,,
2017-11-27T00:05:46.899Z,,50.9,54,,36.5,,
2017-11-27T00:05:56.967Z,,50.4,54,,36.4,,
2017-11-27T00:06:06.896Z,,49.9,54,,36.2,,
2017-11-27T00:06:16.899Z,,49.4,54,,36.1,,
2017-11-27T00:06:26.896Z,,48.9,54,,36,,
2017-11-27T00:06:36.898Z,,48.6,54,,35.9,,
2017-11-27T00:06:46.893Z,,47.9,54,,35.8,,
2017-11-27T00:06:56.900Z,,47.7,54,,35.7,,
2017-11-27T00:07:06.894Z,,47.2,54,,35.5,,
2017-11-27T00:07:16.901Z,,46.9,54,,35.5,,
2017-11-27T00:07:26.903Z,,46.5,54,,35.4,,
2017-11-27T00:07:36.896Z,,46.3,54,,35.4,,
2017-11-27T00:07:46.894Z,,45.9,54,,35.4,,
2017-11-27T00:07:56.896Z,,45.8,54,,35.3,,
2017-11-27T00:08:06.898Z,40,49,54,1,35.2,,0
2017-11-27T00:08:16.899Z,34,50.2,54,,35.2,,
2017-11-27T00:08:26.898Z,29,51.1,54,,35.1,,
2017-11-27T00:08:36.900Z,29,52,54,,35.1,,
2017-11-27T00:08:46.901Z,,52.4,54,,35.1,,
2017-11-27T00:08:56.896Z,,53.1,54,,35.2,,
2017-11-27T00:09:06.893Z,,53.7,54,,35.3,,
2017-11-27T00:09:16.893Z,,54.1,54,,35.4,,
2017-11-27T00:09:26.895Z,,54.6,54,,35.5,,
2017-11-27T00:09:36.898Z,,55,54,,35.6,,
2017-11-27T00:09:51.991Z,,55.2,54,,35.7,,
2017-11-27T00:09:56.906Z,,55.4,54,,35.8,,
2017-11-27T00:10:06.896Z,30,55.6,54,,35.9,,
2017-11-27T00:10:16.898Z,29,55.9,54,,35.9,,
2017-11-27T00:10:31.953Z,,56,54,,36,,
2017-11-27T00:10:36.937Z,,56.2,54,,36,,
2017-11-27T00:10:46.900Z,,56.3,54,,36.1,,
