Time,ChActive,PrimT,HwTOutlet,HwActive,HwTSet,ActPow,PrimTSet
2017-12-08T09:47:24.303Z,,62,45.1,,54,29,
2017-12-08T09:47:34.310Z,,62.2,45.1,,54,,
2017-12-08T09:47:44.330Z,,62.5,45.2,,54,30,
2017-12-08T09:47:54.335Z,,62.7,45.2,,54,29,
2017-12-08T09:48:04.303Z,,62.8,45.3,,54,,
2017-12-08T09:48:14.339Z,,62.9,45.3,,54,,
2017-12-08T09:48:24.302Z,,63.1,45.3,,54,,
2017-12-08T09:48:34.307Z,,63.2,45.3,,54,,
2017-12-08T09:48:44.306Z,1,63.3,45.3,0,54,0,
2017-12-08T09:48:54.355Z,,60.9,45.3,,54,,
2017-12-08T09:49:04.306Z,,59.8,45.3,,54,,
2017-12-08T09:49:14.302Z,,58.9,45.3,,54,,
2017-12-08T09:49:24.301Z,,57.9,45.1,,54,,
2017-12-08T09:49:34.301Z,,57.3,45,,54,,
2017-12-08T09:49:44.305Z,,56.7,44.9,,54,,
2017-12-08T09:49:54.300Z,,55.9,44.7,,54,,
2017-12-08T09:50:04.304Z,,55.4,44.6,,54,,
2017-12-08T09:50:14.304Z,,54.9,44.3,,54,,
2017-12-08T09:50:24.301Z,,54.5,44.2,,54,,
2017-12-08T09:50:34.311Z,,53.9,44,,54,,
2017-12-08T09:50:44.315Z,,53.5,43.8,,54,,
2017-12-08T09:50:54.305Z,,53.2,43.7,,54,,
2017-12-08T09:51:04.325Z,1,53,43.5,0,54,44,
2017-12-08T09:51:14.304Z,,57.1,43.3,,54,37,
2017-12-08T09:51:24.305Z,,56.9,43.2,,54,30,
2017-12-08T09:51:34.299Z,,57.3,43.1,,54,29,
2017-12-08T09:51:44.303Z,,58.4,43,,54,,
2017-12-08T09:51:54.316Z,,58.7,42.9,,54,,
2017-12-08T09:52:04.304Z,,59.1,42.9,,54,,
2017-12-08T09:52:14.305Z,,59.5,43,,54,,
2017-12-08T09:52:24.303Z,,59.8,43,,54,,
2017-12-08T09:52:34.303Z,,60.1,43,,54,29,
2017-12-08T09:52:44.304Z,,60.4,43.1,,54,,
2017-12-08T09:52:54.310Z,,60.6,43.1,,54,,
2017-12-08T09:53:04.305Z,,60.8,43.2,,54,,
2017-12-08T09:53:14.303Z,,61.1,43.2,,54,,
2017-12-08T09:53:24.307Z,,61.2,43.3,,54,,
2017-12-08T09:53:34.301Z,,61.3,43.3,,54,,
2017-12-08T09:53:44.307Z,,61.5,43.3,,54,,
2017-12-08T09:53:54.306Z,,61.6,43.4,,54,,
2017-12-08T09:54:04.330Z,,61.8,43.4,,54,,
2017-12-08T09:54:14.395Z,,61.9,43.4,,54,,
2017-12-08T09:54:24.334Z,,62,43.5,,54,,
2017-12-08T09:54:34.305Z,,62.1,43.5,,54,,
2017-12-08T09:54:44.311Z,,62.2,43.5,,54,,
2017-12-08T09:54:54.325Z,,62.4,43.5,,54,,
2017-12-08T09:55:04.338Z,,62.5,43.5,,54,,
2017-12-08T09:55:14.313Z,,,43.5,,54,,
2017-12-08T09:55:24.315Z,,62.6,43.5,,54,,
2017-12-08T09:55:34.307Z,,,43.6,,54,,
2017-12-08T09:55:44.405Z,,62.7,43.6,,54,,
2017-12-08T09:55:54.312Z,,,43.6,,54,,
2017-12-08T09:56:04.326Z,,62.8,43.6,,54,,
2017-12-08T09:56:14.315Z,,,43.7,,54,,
2017-12-08T09:56:24.313Z,,62.9,43.7,,54,30,
2017-12-08T09:56:34.322Z,,63.1,43.7,,54,29,
2017-12-08T09:56:44.383Z,,,43.7,,54,,
2017-12-08T09:56:54.330Z,,,43.8,,54,,
2017-12-08T09:57:05.330Z,,63.2,43.8,,54,,
2017-12-08T09:57:14.302Z,,,43.9,,54,,
2017-12-08T09:57:29.459Z,,63.3,44,,54,,
2017-12-08T09:57:34.346Z,,,44,,54,,
2017-12-08T09:57:44.305Z,,63.4,44.1,,54,,
2017-12-08T09:57:54.316Z,,63.5,44.1,,54,,
2017-12-08T09:58:04.309Z,,,44.2,,54,,
2017-12-08T09:58:14.304Z,,63.6,44.3,,54,,
2017-12-08T09:58:24.308Z,,,44.3,,54,,
2017-12-08T09:58:34.322Z,,63.8,44.4,,54,,
2017-12-08T09:58:44.312Z,,,44.4,,54,,
2017-12-08T09:58:54.346Z,,63.9,44.4,,54,,
2017-12-08T09:59:04.310Z,,64,44.4,,54,,
2017-12-08T09:59:14.311Z,,,44.4,,54,,
2017-12-08T09:59:24.316Z,,64.1,44.4,,54,,
2017-12-08T09:59:34.345Z,,,44.6,,54,,
2017-12-08T09:59:44.325Z,,64.2,44.6,,54,,
2017-12-08T09:59:54.333Z,,,44.7,,54,,
2017-12-08T10:00:04.304Z,,64.4,44.8,,54,,
2017-12-08T10:00:14.332Z,,,44.8,,54,,
2017-12-08T10:00:24.316Z,,64.5,44.8,,54,,
2017-12-08T10:00:34.307Z,,,44.8,,54,,
2017-12-08T10:00:44.305Z,,64.6,44.8,,54,,
2017-12-08T10:00:54.324Z,,,44.8,,54,,
2017-12-08T10:01:04.333Z,,64.7,44.9,,54,,
2017-12-08T10:01:14.322Z,,,44.9,,54,,
2017-12-08T10:01:29.439Z,,64.8,44.9,,54,30,
2017-12-08T10:01:34.310Z,,,45,,54,29,
2017-12-08T10:01:44.366Z,,64.9,45.1,,54,,
2017-12-08T10:01:54.334Z,,,45.1,,54,,
2017-12-08T10:02:04.389Z,1,64.6,45.1,0,54,0,
2017-12-08T10:02:14.317Z,,61.8,45.2,,54,,
2017-12-08T10:02:25.337Z,,60.9,45.2,,54,,
2017-12-08T10:02:34.316Z,,59.6,45.2,,54,,
2017-12-08T10:02:49.408Z,,58.6,45.2,,54,,
2017-12-08T10:02:54.330Z,,57.8,45.2,,54,,
2017-12-08T10:03:04.328Z,,56.9,45.1,,54,,
2017-12-08T10:03:14.310Z,,56.6,45.1,,54,,
2017-12-08T10:03:24.324Z,,55.9,45,,54,,
2017-12-08T10:03:34.317Z,,55.5,44.9,,54,,
2017-12-08T10:03:44.316Z,,54.9,44.8,,54,,
2017-12-08T10:03:54.309Z,1,57.1,44.7,0,54,42,
2017-12-08T10:04:04.314Z,,58.9,44.6,,54,33,
2017-12-08T10:04:14.315Z,,59,44.4,,54,29,
2017-12-08T10:04:24.330Z,,60,44.4,,54,,
2017-12-08T10:04:34.333Z,,60.5,44.4,,54,,
2017-12-08T10:04:44.367Z,,61.1,44.4,,54,,
2017-12-08T10:04:54.326Z,,61.5,44.4,,54,,
2017-12-08T10:05:04.347Z,,62,44.6,,54,,
2017-12-08T10:05:14.420Z,,62.4,44.6,,54,,
2017-12-08T10:05:24.424Z,,62.6,44.6,,54,,
2017-12-08T10:05:34.371Z,,62.8,44.6,,54,,
2017-12-08T10:05:44.324Z,,63.1,44.7,,54,,
2017-12-08T10:05:54.319Z,,63.2,44.7,,54,,
2017-12-08T10:06:04.352Z,,63.4,44.7,,54,30,
2017-12-08T10:06:19.487Z,,63.5,44.7,,54,29,
2017-12-08T10:06:24.398Z,,63.6,44.8,,54,,
2017-12-08T10:06:34.433Z,,63.8,44.8,,54,,
2017-12-08T10:06:44.310Z,,63.9,44.8,,54,,
2017-12-08T10:06:54.311Z,,64,44.9,,54,,
2017-12-08T10:07:04.310Z,,64.1,44.9,,54,30,
2017-12-08T10:07:14.318Z,,64.2,44.9,,54,29,
2017-12-08T10:07:24.326Z,,64.4,44.8,,54,,
2017-12-08T10:07:34.316Z,,,44.8,,54,,
2017-12-08T10:07:44.331Z,,64.5,44.8,,54,,
2017-12-08T10:07:54.311Z,,64.6,44.9,,54,,
2017-12-08T10:08:04.323Z,,,44.9,,54,,
2017-12-08T10:08:14.359Z,,64.7,44.9,,54,,
2017-12-08T10:08:24.319Z,,,44.9,,54,,
2017-12-08T10:08:34.367Z,,64.8,45,,54,,
2017-12-08T10:08:44.357Z,,,45,,54,,
2017-12-08T10:08:59.397Z,,64.9,45,,54,,
2017-12-08T10:09:04.315Z,,,45.1,,54,,
2017-12-08T10:09:14.322Z,1,62.9,45.1,0,54,0,
2017-12-08T10:09:24.332Z,,61.3,45.1,,54,,
2017-12-08T10:09:34.319Z,,59.9,45.2,,54,,
2017-12-08T10:09:44.318Z,,58.9,45.2,,54,,
2017-12-08T10:09:54.316Z,,58.3,45.2,,54,,
2017-12-08T10:10:04.320Z,,57.4,45.1,,54,,
2017-12-08T10:10:14.314Z,,56.8,45,,54,,
2017-12-08T10:10:24.325Z,,56.3,45,,54,,
2017-12-08T10:10:34.369Z,,55.7,44.9,,54,,
2017-12-08T10:10:44.422Z,,55.3,44.8,,54,,
2017-12-08T10:10:54.368Z,1,54.8,44.7,0,54,,
2017-12-08T10:11:04.349Z,,58.5,44.6,,54,37,
2017-12-08T10:11:14.324Z,,58.9,44.6,,54,29,
2017-12-08T10:11:24.345Z,,59.4,44.4,,54,,
2017-12-08T10:11:39.442Z,,60.4,44.4,,54,,
2017-12-08T10:11:44.317Z,,61.1,44.4,,54,30,
2017-12-08T10:11:54.327Z,,61.4,44.4,,54,29,
2017-12-08T10:12:04.350Z,,62,44.4,,54,,
2017-12-08T10:12:14.323Z,,62.2,44.4,,54,,
2017-12-08T10:12:24.322Z,,62.6,44.6,,54,,
2017-12-08T10:12:34.322Z,,62.8,44.6,,54,,
2017-12-08T10:12:44.343Z,,63.1,44.7,,54,,
2017-12-08T10:12:59.422Z,,63.3,44.7,,54,,
2017-12-08T10:13:04.326Z,,63.4,44.8,,54,,
2017-12-08T10:13:14.337Z,,63.6,44.8,,54,,
2017-12-08T10:13:24.326Z,,63.8,44.8,,54,,
2017-12-08T10:13:34.369Z,,63.9,44.8,,54,,
2017-12-08T10:13:44.349Z,,64,44.8,,54,,
2017-12-08T10:13:54.343Z,,64.1,44.8,,54,,
2017-12-08T10:14:04.329Z,,64.2,44.8,,54,,
2017-12-08T10:14:14.341Z,,64.4,44.9,,54,,
2017-12-08T10:14:24.373Z,,64.5,44.9,,54,,
2017-12-08T10:14:34.338Z,,64.6,44.9,,54,,
2017-12-08T10:14:44.318Z,,,45,,54,30,
2017-12-08T10:14:54.320Z,,64.7,45,,54,29,
2017-12-08T10:15:04.346Z,,64.8,45.1,,54,,
2017-12-08T10:15:14.348Z,,,45.2,,54,,
2017-12-08T10:15:24.348Z,,64.9,45.2,,54,,
2017-12-08T10:15:34.331Z,,,45.3,,54,,
