Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2018-01-01T00:18:14.680Z,54,,30,,50.8,,
2018-01-01T00:18:24.709Z,54,,29,,50.8,,
2018-01-01T00:18:34.716Z,54,,,,50.8,,
2018-01-01T00:18:44.675Z,54,,,,50.8,,
2018-01-01T00:18:54.677Z,54,,,,50.8,,
2018-01-01T00:19:04.680Z,54,,30,,50.8,,64.1
2018-01-01T00:19:14.685Z,54,,29,,50.9,,
2018-01-01T00:19:24.688Z,54,,,,50.9,,
2018-01-01T00:19:34.673Z,54,,,,50.9,,
2018-01-01T00:19:44.679Z,54,,,,50.9,,
2018-01-01T00:19:54.683Z,54,,,,50.9,,
2018-01-01T00:20:04.685Z,54,,,,50.9,,
2018-01-01T00:20:14.675Z,54,,,,50.9,,
2018-01-01T00:20:24.683Z,54,,,,50.9,,64
2018-01-01T00:20:34.680Z,54,,,,50.9,,
2018-01-01T00:20:44.679Z,54,,,,50.9,,
2018-01-01T00:20:54.678Z,54,,,,50.9,,
2018-01-01T00:21:04.682Z,54,,,,50.9,,
2018-01-01T00:21:14.682Z,54,,,,50.9,,64
2018-01-01T00:21:24.680Z,54,,30,,50.9,,
2018-01-01T00:21:34.679Z,54,,29,,50.9,,63.9
2018-01-01T00:21:44.676Z,54,,30,,51,,
2018-01-01T00:21:54.683Z,54,,29,,50.9,,
2018-01-01T00:22:04.676Z,54,,,,50.9,,
2018-01-01T00:22:14.677Z,54,,,,51,,
2018-01-01T00:22:24.677Z,54,,,,50.9,,
2018-01-01T00:22:34.678Z,54,,,,51,,
2018-01-01T00:22:44.677Z,54,,30,,51,,
2018-01-01T00:22:54.686Z,54,,,,51,,
2018-01-01T00:23:04.681Z,54,,29,,51.1,,
2018-01-01T00:23:14.680Z,54,,,,51.1,,
2018-01-01T00:23:24.681Z,54,,30,,51.1,,
2018-01-01T00:23:34.682Z,54,,29,,51.1,,
2018-01-01T00:23:44.677Z,54,,,,51.1,,
