Time,PrimTSet,HwTOutlet,PrimT,HwTSet,HwActive,ActPow,ChActive
2017-12-13T00:18:17.091Z,,37.3,,54,,29,
2017-12-13T00:18:27.100Z,,37.3,,54,,30,
2017-12-13T00:18:37.096Z,,37.3,,54,,29,
2017-12-13T00:18:47.092Z,,37.3,,54,,,
2017-12-13T00:18:57.243Z,,37.3,,54,,,
2017-12-13T00:19:07.092Z,,37.3,,54,,,
2017-12-13T00:19:17.091Z,,37.4,,54,,,
2017-12-13T00:19:27.103Z,,37.3,,54,,30,
2017-12-13T00:19:37.094Z,,37.3,,54,,,
2017-12-13T00:19:47.106Z,,37.3,62.1,54,,29,
2017-12-13T00:19:57.096Z,,37.3,,54,,,
2017-12-13T00:20:07.111Z,,37.3,,54,,,
2017-12-13T00:20:17.097Z,,37.3,,54,,,
2017-12-13T00:20:27.095Z,,37.3,,54,,,
2017-12-13T00:20:37.097Z,,37.3,,54,,,
2017-12-13T00:20:47.097Z,,37.3,,54,,,
2017-12-13T00:20:57.100Z,,37.4,,54,,,
2017-12-13T00:21:07.097Z,,37.5,,54,,,
2017-12-13T00:21:17.097Z,,37.5,,54,,30,
2017-12-13T00:21:27.093Z,,37.5,,54,,29,
2017-12-13T00:21:37.094Z,,37.6,,54,,,
2017-12-13T00:21:47.097Z,,37.6,62.2,54,,,
2017-12-13T00:21:57.094Z,,37.6,,54,,,
2017-12-13T00:22:07.096Z,,37.6,,54,,,
2017-12-13T00:22:17.097Z,,37.6,,54,,,
2017-12-13T00:22:27.098Z,,37.6,,54,,30,
2017-12-13T00:22:37.098Z,,37.5,,54,,29,
2017-12-13T00:22:47.100Z,,37.5,,54,,,
2017-12-13T00:22:57.100Z,,37.5,,54,,,
2017-12-13T00:23:07.095Z,,37.5,,54,,,
2017-12-13T00:23:17.099Z,,37.5,,54,,,
2017-12-13T00:23:27.099Z,,37.5,,54,,,
2017-12-13T00:23:37.100Z,,37.5,62.4,54,,30,
2017-12-13T00:23:47.100Z,,37.4,,54,,29,
2017-12-13T00:23:57.104Z,,37.4,,54,,,
2017-12-13T00:24:07.105Z,,37.5,,54,,,
2017-12-13T00:24:17.107Z,,37.5,,54,,,
2017-12-13T00:24:27.101Z,,37.5,,54,,,
2017-12-13T00:24:37.099Z,,37.5,,54,,30,
2017-12-13T00:24:47.110Z,,37.5,,54,,29,
2017-12-13T00:24:57.099Z,,37.5,,54,,,
2017-12-13T00:25:07.101Z,,37.5,,54,,,
2017-12-13T00:25:17.101Z,,37.5,,54,,30,
2017-12-13T00:25:27.100Z,,37.5,,54,,,
2017-12-13T00:25:37.102Z,,37.5,,54,,29,
2017-12-13T00:25:47.096Z,,37.5,,54,,,
2017-12-13T00:25:57.098Z,,37.5,,54,,,
2017-12-13T00:26:07.098Z,,37.6,62.5,54,,,
2017-12-13T00:26:17.104Z,,37.6,,54,,30,
2017-12-13T00:26:27.100Z,,37.7,,54,,29,
2017-12-13T00:26:37.097Z,,37.7,,54,,,
2017-12-13T00:26:47.101Z,,37.7,,54,,30,
2017-12-13T00:26:57.098Z,,37.7,,54,,29,
2017-12-13T00:27:07.099Z,,37.7,,54,,,
2017-12-13T00:27:17.097Z,,37.7,,54,,,
2017-12-13T00:27:27.099Z,,37.7,,54,,,
2017-12-13T00:27:37.101Z,,37.7,,54,,,
2017-12-13T00:27:47.099Z,,37.7,,54,,,
2017-12-13T00:27:57.103Z,,37.7,,54,,,
2017-12-13T00:28:07.097Z,,37.7,,54,,,
2017-12-13T00:28:17.104Z,,37.7,62.6,54,,,
2017-12-13T00:28:27.101Z,,37.7,,54,,,
2017-12-13T00:28:37.098Z,,37.7,,54,,,
2017-12-13T00:28:47.106Z,,37.8,,54,,,
2017-12-13T00:28:57.106Z,,,,,,30,
2017-12-13T00:29:07.104Z,,37.8,,54,,29,
2017-12-13T00:29:17.102Z,,37.8,,54,,,
2017-12-13T00:29:27.098Z,,37.8,,54,,30,
2017-12-13T00:29:37.100Z,,37.8,,54,,29,
2017-12-13T00:29:47.100Z,,37.8,,54,,,
2017-12-13T00:29:57.102Z,,37.9,,54,,,
2017-12-13T00:30:07.118Z,,37.8,,54,,,
2017-12-13T00:30:17.098Z,,37.9,,54,,30,
2017-12-13T00:30:27.098Z,,37.9,,54,,29,
2017-12-13T00:30:37.100Z,,37.9,,54,,,
2017-12-13T00:30:47.099Z,,37.9,,54,,,
2017-12-13T00:30:57.105Z,,37.9,,54,,,
2017-12-13T00:31:07.099Z,,37.9,,54,,,
2017-12-13T00:31:17.099Z,,37.9,,54,,,
2017-12-13T00:34:43.148Z,,37.9,62.7,54,,29,
2017-12-13T00:34:53.097Z,,38.1,,54,,29,
2017-12-13T00:35:03.098Z,,38.1,,54,,,
2017-12-13T00:35:13.099Z,,38.1,,54,,,
2017-12-13T00:35:23.102Z,,38.1,,54,,30,
2017-12-13T00:35:33.100Z,,38,,54,,29,
2017-12-13T00:35:43.099Z,,37.9,,54,,,
2017-12-13T00:35:53.104Z,,37.9,,54,,,
2017-12-13T00:36:03.099Z,,37.9,,54,,,
2017-12-13T00:36:13.101Z,,37.9,,54,,,
2017-12-13T00:36:23.103Z,,37.9,,54,,30,
2017-12-13T00:36:33.109Z,,37.9,,54,,29,
2017-12-13T00:36:43.117Z,,37.9,,54,,,
2017-12-13T00:36:53.117Z,,37.9,,54,,,
2017-12-13T00:37:03.105Z,,37.9,,54,,,
2017-12-13T00:37:13.107Z,,37.9,,54,,,
2017-12-13T00:37:23.108Z,,37.9,,54,,30,
2017-12-13T00:37:33.120Z,,37.9,,54,,,
2017-12-13T00:37:43.106Z,,38,,54,,29,
2017-12-13T00:37:53.105Z,,38,,54,,,
2017-12-13T00:38:03.109Z,,38,,54,,30,
2017-12-13T00:38:13.108Z,,38.1,,54,,,
2017-12-13T00:38:23.106Z,,38.1,62.9,54,,29,
2017-12-13T00:38:33.102Z,,38.1,62.8,54,,,
2017-12-13T00:38:43.104Z,,38.1,62.9,54,,,
2017-12-13T00:38:53.104Z,,38.1,,54,,30,
2017-12-13T00:39:03.105Z,,38.1,,54,,29,
2017-12-13T00:39:13.104Z,,38.1,,54,,,
2017-12-13T00:39:23.101Z,,38.1,,54,,,
2017-12-13T00:39:33.108Z,,38.2,,54,,,
2017-12-13T00:39:43.103Z,,38.2,,54,,30,
2017-12-13T00:39:53.109Z,,38.2,,54,,29,
2017-12-13T00:40:03.110Z,,38.2,,54,,,
2017-12-13T00:40:13.107Z,,38.2,,54,,,
2017-12-13T00:40:23.111Z,,38.2,,54,,,
2017-12-13T00:40:33.107Z,,38.3,,54,,,
2017-12-13T00:40:43.101Z,,38.2,,54,,,
2017-12-13T00:40:53.107Z,,38.2,,54,,,
2017-12-13T00:41:03.105Z,,38.2,,54,,,
2017-12-13T00:41:13.102Z,,38.2,,54,,,
2017-12-13T00:41:23.104Z,,38.1,,54,,,
2017-12-13T00:41:33.101Z,,38.1,,54,,,
2017-12-13T00:41:43.103Z,,38,62.9,54,,29,
2017-12-13T00:41:53.103Z,,38,,54,,,
2017-12-13T00:42:03.107Z,,38,,54,,,
2017-12-13T00:42:13.107Z,,38,62.9,54,,,
2017-12-13T00:42:23.103Z,,38,63.1,54,,,
2017-12-13T00:42:33.113Z,,38,62.9,54,,,
2017-12-13T00:42:43.104Z,,38,63.1,54,,,
2017-12-13T00:42:53.104Z,,38,63.1,54,,,
2017-12-13T00:43:03.111Z,,38,,54,,,
2017-12-13T00:43:13.105Z,,38,62.9,54,,,
2017-12-13T00:43:23.103Z,,38,63.1,54,,,
2017-12-13T00:43:33.104Z,,38.1,,54,,,
2017-12-13T00:43:43.104Z,,38,,54,,,
2017-12-13T00:43:53.105Z,,38.1,,54,,,
2017-12-13T00:44:03.121Z,,38.1,,54,,,
2017-12-13T00:44:13.106Z,,38.1,,54,,30,
2017-12-13T00:44:23.109Z,,38.1,,54,,29,
2017-12-13T00:44:33.114Z,,38.1,,54,,,
2017-12-13T00:44:43.106Z,,38.1,,54,,,
2017-12-13T00:44:53.108Z,,38.1,,54,,,
2017-12-13T00:45:03.112Z,,38.1,,54,,,
2017-12-13T00:45:13.111Z,,38.1,,54,,,
2017-12-13T00:45:23.107Z,,37.9,,54,,,
2017-12-13T00:45:33.109Z,,37.9,,54,,,
2017-12-13T00:45:43.113Z,,37.9,,54,,,
2017-12-13T00:45:53.109Z,,37.9,,54,,,
2017-12-13T00:46:03.123Z,,38,,54,,,
2017-12-13T00:46:13.105Z,,38,,54,,,
2017-12-13T00:46:23.108Z,,38,,54,,,
2017-12-13T00:46:33.108Z,,38,,54,,,
2017-12-13T00:46:43.107Z,,38,,54,,,
2017-12-13T00:46:53.106Z,,37.9,,54,,,
2017-12-13T00:47:03.109Z,,37.9,,54,,,
2017-12-13T00:47:13.110Z,,37.9,,54,,,
2017-12-13T00:47:23.107Z,,38,63.2,54,,,
2017-12-13T00:47:33.107Z,,38,,54,,,
2017-12-13T00:47:43.109Z,,38,,54,,,
2017-12-13T00:47:53.109Z,,38.1,,54,,,
2017-12-13T00:48:03.112Z,,38.1,,54,,,
2017-12-13T00:48:13.110Z,,38.1,,54,,,
2017-12-13T00:48:23.106Z,,38,,54,,,
2017-12-13T00:48:33.115Z,,38,,54,,,
2017-12-13T00:48:43.110Z,,38,,54,,,
2017-12-13T00:48:53.110Z,,38,,54,,,
2017-12-13T00:49:03.111Z,,38,,54,,30,
2017-12-13T00:49:13.116Z,,38.1,,54,,29,
2017-12-13T00:49:23.111Z,,38.1,,54,,,
2017-12-13T00:49:33.107Z,,38.1,,54,,,
2017-12-13T00:49:43.108Z,,38.1,,54,,,
2017-12-13T00:49:53.108Z,,38.1,,54,,,
2017-12-13T00:50:03.114Z,,38.1,,54,,,
2017-12-13T00:50:13.110Z,,38.1,,54,,,
2017-12-13T00:50:23.108Z,,38.1,,54,,,
2017-12-13T00:50:33.112Z,,38,,54,,,
2017-12-13T00:50:43.112Z,,38,,54,,,
2017-12-13T00:50:53.110Z,,38,,54,,,
2017-12-13T00:51:03.113Z,,38.1,,54,,30,
2017-12-13T00:51:13.109Z,,38.2,,54,,29,
2017-12-13T00:51:23.112Z,,38.3,,54,,,
2017-12-13T00:51:33.109Z,,38.3,63.3,54,,30,
2017-12-13T00:51:43.108Z,,38.2,,54,,29,
2017-12-13T00:51:53.114Z,,38.3,,54,,,
2017-12-13T00:52:03.115Z,,38.3,,54,,,
2017-12-13T00:52:13.107Z,,38.4,,54,,,
2017-12-13T00:52:23.110Z,,38.4,,54,,,
2017-12-13T00:52:33.110Z,,38.4,,54,,,
2017-12-13T00:52:43.110Z,,38.4,,54,,,
2017-12-13T00:52:53.111Z,,38.4,,54,,,
2017-12-13T00:53:03.112Z,,38.3,,54,,30,
2017-12-13T00:53:13.116Z,,38.3,,54,,29,
2017-12-13T00:53:23.113Z,,38.4,,54,,,
2017-12-13T00:53:33.111Z,,38.4,,54,,,
2017-12-13T00:53:43.114Z,,38.4,,54,,,
2017-12-13T00:53:53.114Z,,38.4,,54,,,
2017-12-13T00:54:03.113Z,,38.4,,54,,,
2017-12-13T00:54:13.112Z,,38.4,,54,,,
2017-12-13T00:54:23.113Z,,38.5,,54,,,
2017-12-13T00:54:33.116Z,61,38.5,63.3,54,0,30,2
2017-12-13T00:54:43.114Z,,38.5,,54,,29,
2017-12-13T00:54:53.112Z,,38.6,,54,,,
2017-12-13T00:55:03.117Z,,38.6,,54,,,
2017-12-13T00:55:13.110Z,,38.6,,54,,,
2017-12-13T00:55:23.112Z,,38.6,,54,,,
2017-12-13T00:55:33.112Z,,38.6,,54,,,
2017-12-13T00:55:43.113Z,,38.6,,54,,,
2017-12-13T00:55:53.115Z,,38.6,,54,,,
2017-12-13T00:56:03.124Z,,38.6,,54,,,
2017-12-13T00:56:13.118Z,,38.6,,54,,,
2017-12-13T00:56:23.113Z,,38.6,63.4,54,,,
2017-12-13T00:56:33.111Z,,38.5,,54,,,
2017-12-13T00:56:43.117Z,,38.4,,54,,,
2017-12-13T00:56:53.118Z,,38.4,,54,,30,
2017-12-13T00:57:03.115Z,,38.4,,54,,29,
2017-12-13T00:57:13.110Z,,38.4,,54,,,
2017-12-13T00:57:23.116Z,,38.4,,54,,,
2017-12-13T00:57:33.117Z,,38.5,,54,,,
2017-12-13T00:57:43.111Z,,38.5,,54,,,
2017-12-13T00:57:53.111Z,,38.4,,54,,,
2017-12-13T00:58:03.117Z,,38.3,,54,,,
2017-12-13T00:58:13.113Z,,38.3,,54,,,
2017-12-13T00:58:23.111Z,,38.3,,54,,,
2017-12-13T00:58:33.113Z,,38.3,,54,,,
2017-12-13T00:58:43.112Z,,38.3,,54,,,
2017-12-13T00:58:53.117Z,,38.3,,54,,,
2017-12-13T00:59:03.118Z,,38.4,,54,,30,
2017-12-13T00:59:13.111Z,,38.3,,54,,29,
2017-12-13T00:59:23.113Z,,38.4,,54,,,
2017-12-13T00:59:33.113Z,,38.5,,54,,,
2017-12-13T00:59:43.113Z,,38.4,,54,,,
2017-12-13T00:59:53.115Z,,38.4,,54,,,
2017-12-13T01:00:03.112Z,,38.3,,54,,,
2017-12-13T01:00:13.114Z,,38.3,,54,,,
2017-12-13T01:00:23.114Z,,38.4,,54,,,
2017-12-13T01:00:33.115Z,,38.4,,54,,,
2017-12-13T01:00:43.114Z,,38.4,,54,,,
2017-12-13T01:00:53.113Z,,38.4,,54,,,
2017-12-13T01:01:03.115Z,,38.5,,54,,,
2017-12-13T01:01:13.115Z,,38.5,,54,,,
2017-12-13T01:01:23.114Z,,38.4,63.3,54,,,
2017-12-13T01:01:33.115Z,,38.4,,54,,,
