Time,ActPow,PrimT,HwActive,ChActive,HwTOutlet,PrimTSet,HwTSet
2017-11-21T00:16:57.912Z,35,57.8,,,51.6,,54
2017-11-21T00:17:07.917Z,29,58,,,51.6,,54
2017-11-21T00:17:23.025Z,,59.3,,,51.6,,54
2017-11-21T00:17:33.030Z,,60,,,51.6,,54
2017-11-21T00:17:43.125Z,30,60.8,,,51.5,,54
2017-11-21T00:17:47.933Z,29,61.5,,,51.5,,54
2017-11-21T00:18:03.126Z,,62.1,,,51.5,,54
2017-11-21T00:18:13.131Z,30,62.7,,,51.5,,54
2017-11-21T00:18:17.932Z,29,63.2,,,51.4,,54
2017-11-21T00:18:33.127Z,30,63.6,,,51.4,,54
2017-11-21T00:18:43.112Z,29,64,,,51.4,,54
2017-11-21T00:18:47.919Z,29,64.4,0,2,51.4,61,54
2017-11-21T00:18:57.920Z,,64.6,,,51.4,,54
2017-11-21T00:19:07.916Z,,64.9,,,51.4,,54
2017-11-21T00:19:17.912Z,0,63.5,0,2,51.4,,54
2017-11-21T00:19:27.930Z,,61.8,,,51.4,,54
2017-11-21T00:19:38.014Z,,60.8,,,51.4,,54
2017-11-21T00:19:47.919Z,,59.7,,,51.4,,54
2017-11-21T00:19:57.915Z,,58.8,,,51.4,,54
2017-11-21T00:20:07.951Z,,58.2,,,51.5,,54
2017-11-21T00:20:17.915Z,,57.4,,,51.5,,54
2017-11-21T00:20:27.922Z,,56.9,,,51.5,,54
2017-11-21T00:20:38.008Z,,56.3,,,51.5,,54
2017-11-21T00:20:47.911Z,,55.9,,,51.6,,54
2017-11-21T00:20:57.912Z,,55.4,,,51.6,,54
2017-11-21T00:21:07.918Z,,54.9,,,51.6,,54
2017-11-21T00:21:17.916Z,,54.7,,,51.6,,54
2017-11-21T00:21:27.915Z,,54.4,,,51.6,,54
2017-11-21T00:21:38.004Z,,54,,,51.6,,54
2017-11-21T00:21:47.920Z,,53.8,0,2,51.6,,54
2017-11-21T00:21:57.921Z,34,58,,,51.6,,54
2017-11-21T00:22:07.917Z,29,58.1,,,51.6,,54
