Time,ChActive,HwTSet,HwActive,ActPow,HwTOutlet,PrimT,PrimTSet
2017-11-13T00:17:07.295Z,1,54,0,42,52.3,57,
2017-11-13T00:17:17.290Z,,54,,37,52.2,58.4,
2017-11-13T00:17:27.291Z,,54,,29,51.9,58.6,
2017-11-13T00:17:37.291Z,,54,,29,51.7,60,
2017-11-13T00:17:47.291Z,,54,,,51.6,60.1,
2017-11-13T00:17:57.377Z,,54,,,51.4,61.1,
2017-11-13T00:18:07.287Z,,54,,,51.3,61.2,
2017-11-13T00:18:17.287Z,,54,,,51.2,61.5,
2017-11-13T00:18:27.292Z,,54,,,51.1,62,
2017-11-13T00:18:37.289Z,,54,,,51.1,62.4,
2017-11-13T00:18:47.288Z,,54,,,51,62.7,
2017-11-13T00:18:57.386Z,,54,,29,50.9,63.1,
2017-11-13T00:19:07.290Z,,54,,,50.9,63.2,
2017-11-13T00:19:17.293Z,,54,,,50.8,63.4,
2017-11-13T00:19:27.291Z,,54,,,50.7,63.6,
2017-11-13T00:19:37.294Z,,54,,,50.7,63.8,
2017-11-13T00:19:47.298Z,,54,,30,50.6,64,
2017-11-13T00:20:02.443Z,,54,,29,50.5,64.1,
2017-11-13T00:20:12.394Z,,54,,,50.5,64.2,
2017-11-13T00:20:17.294Z,,54,,,50.4,64.4,
2017-11-13T00:20:27.289Z,,54,,,50.3,64.5,
2017-11-13T00:20:37.295Z,,54,,,50.3,64.6,
2017-11-13T00:20:47.288Z,,54,,30,50.2,,
2017-11-13T00:20:57.378Z,,54,,,50.2,64.7,
2017-11-13T00:21:07.289Z,,54,,29,50.1,,
2017-11-13T00:21:17.290Z,,54,,,50,64.8,
2017-11-13T00:21:27.296Z,,54,,30,50,64.9,
2017-11-13T00:21:42.388Z,,54,,29,49.9,,
2017-11-13T00:21:47.292Z,1,54,0,0,49.9,62.8,
2017-11-13T00:21:57.423Z,,54,,,49.8,61.9,
2017-11-13T00:22:07.291Z,,54,,,49.8,60.9,
2017-11-13T00:22:17.290Z,,54,,,49.8,58.9,
2017-11-13T00:22:27.298Z,,54,,,49.7,58.6,
2017-11-13T00:22:37.295Z,,54,,,49.6,57.8,
2017-11-13T00:22:47.297Z,,54,,,49.4,56.9,
2017-11-13T00:22:57.401Z,,54,,,49.3,55.9,
2017-11-13T00:23:07.296Z,,54,,,49.2,55.6,
2017-11-13T00:23:17.301Z,,54,,,49.1,54.8,
2017-11-13T00:23:27.289Z,1,54,0,39,49,58.1,
2017-11-13T00:23:37.295Z,,54,,33,48.8,58.9,
2017-11-13T00:23:47.294Z,,54,,29,48.7,59,
2017-11-13T00:23:57.406Z,,54,,,48.6,60,
2017-11-13T00:24:07.294Z,,54,,,48.5,60.6,
2017-11-13T00:24:17.293Z,,54,,,48.4,61.2,
2017-11-13T00:24:27.301Z,,54,,30,48.4,62,
2017-11-13T00:24:37.294Z,,54,,29,48.3,62.2,
2017-11-13T00:24:47.296Z,,54,,,48.3,62.7,
2017-11-13T00:25:02.452Z,,54,,29,48.3,63.1,
2017-11-13T00:25:12.387Z,,54,,30,48.2,63.4,
2017-11-13T00:25:17.291Z,,54,,29,48.2,63.8,
2017-11-13T00:25:28.100Z,,54,,29,48.2,64,
2017-11-13T00:25:37.297Z,,54,,30,48.2,64.2,
2017-11-13T00:25:47.294Z,,54,,29,48.1,64.5,
2017-11-13T00:25:57.389Z,,54,,,48.1,64.6,
2017-11-13T00:26:07.292Z,,54,,,48.1,64.8,
2017-11-13T00:26:17.294Z,1,54,0,0,48.2,64.9,
2017-11-13T00:26:27.291Z,,54,,,48.2,61.9,
2017-11-13T00:26:37.302Z,,54,,,48.2,60.9,
2017-11-13T00:26:47.295Z,,54,,,48.2,59.8,
2017-11-13T00:26:57.387Z,,54,,,48.2,58.9,
2017-11-13T00:27:07.294Z,,54,,,48.1,57.9,
2017-11-13T00:27:17.295Z,,54,,,48.1,56.9,
2017-11-13T00:27:27.293Z,,54,,,48,56.7,
2017-11-13T00:27:37.295Z,,54,,,47.9,55.9,
2017-11-13T00:27:47.297Z,,54,,,47.8,55.5,
2017-11-13T00:27:57.397Z,,54,,,47.7,54.9,
2017-11-13T00:28:08.057Z,,54,,,47.6,54.6,
2017-11-13T00:28:17.296Z,,54,,,47.5,53.9,
2017-11-13T00:28:32.502Z,1,54,0,40,47.3,57.3,
2017-11-13T00:28:47.611Z,,54,,33,47.2,58.2,
2017-11-13T00:28:52.803Z,,54,,29,47.1,59,
2017-11-13T00:29:02.503Z,,54,,,47,60,
2017-11-13T00:29:07.294Z,,54,,,46.9,60.1,
2017-11-13T00:29:17.293Z,,54,,,46.8,61.1,
2017-11-13T00:29:27.293Z,,54,,,46.8,61.5,
2017-11-13T00:29:37.300Z,,54,,29,46.8,62.1,
2017-11-13T00:29:52.400Z,,54,,30,46.8,62.6,
2017-11-13T00:29:57.405Z,,54,,29,46.8,63.1,
2017-11-13T00:30:07.295Z,,54,,,46.9,63.4,
2017-11-13T00:30:17.296Z,,54,,,46.9,63.8,
2017-11-13T00:30:27.297Z,,54,,,46.9,64,
2017-11-13T00:30:37.297Z,,54,,,46.9,64.4,
2017-11-13T00:30:47.296Z,,54,,,46.9,64.6,
2017-11-13T00:30:57.386Z,,54,,,46.9,64.7,
2017-11-13T00:31:07.301Z,1,54,0,0,47,64.9,
2017-11-13T00:31:17.297Z,,54,,,47,61.9,
2017-11-13T00:31:27.295Z,,54,,,47,60.9,
2017-11-13T00:31:42.396Z,,54,,,47,59.8,
2017-11-13T00:31:47.300Z,,54,,,47,58.9,
2017-11-13T00:31:57.385Z,,54,,,47,57.9,
