Time,HwActive,ActPow,HwTOutlet,PrimT,HwTSet,PrimTSet,ChActive
2017-12-24T00:19:36.001Z,,,25.1,,50,,
2017-12-24T00:19:46.006Z,,,25.1,,50,,
2017-12-24T00:19:56.001Z,,,25.1,,50,,
2017-12-24T00:20:06.000Z,,,25,31.5,50,,
2017-12-24T00:20:16.001Z,,,25.1,,50,,
2017-12-24T00:20:26.001Z,,,25,,50,,
2017-12-24T00:20:46.000Z,,,25,,50,,
2017-12-24T00:20:56.001Z,,,25,,50,,
2017-12-24T00:21:16.001Z,,,25,,50,,
2017-12-24T00:21:26.001Z,,,25,,50,,
2017-12-24T00:21:46.001Z,,,25,,50,,
2017-12-24T00:21:56.001Z,,,25,,50,,
2017-12-24T00:22:16.001Z,,,25,,50,,
2017-12-24T00:22:26.001Z,,,25,,50,,
2017-12-24T00:22:46.001Z,,,25,,50,,
2017-12-24T00:22:56.001Z,,,25,,50,,
2017-12-24T00:23:16.000Z,,,25,31.4,50,,
2017-12-24T00:23:26.001Z,,,25,,50,,
2017-12-24T00:23:46.001Z,,,25,,50,,
2017-12-24T00:23:56.001Z,,,25,31.5,50,,
2017-12-24T00:24:06.001Z,,,,31.4,,,
2017-12-24T00:24:16.001Z,,,25,,50,,
2017-12-24T00:24:26.001Z,,,25,,50,,
2017-12-24T00:24:46.006Z,,,25,,50,,
2017-12-24T00:25:06.001Z,,,25,,50,,
2017-12-24T00:25:16.001Z,,,25,,50,,
2017-12-24T00:25:26.001Z,,,25,,50,,
2017-12-24T00:25:46.000Z,,,24.9,,50,,
2017-12-24T00:25:56.001Z,,,24.9,,50,,
2017-12-24T00:26:16.001Z,,,24.9,,50,,
2017-12-24T00:26:26.000Z,,,24.9,,50,,
2017-12-24T00:26:46.006Z,,,24.9,,50,,
2017-12-24T00:26:56.002Z,,,24.9,,50,,
2017-12-24T00:27:16.000Z,,,24.9,,50,,
2017-12-24T00:27:26.004Z,,,24.9,,50,,
2017-12-24T00:27:46.000Z,,,24.9,,50,,
2017-12-24T00:27:56.002Z,,,,31.3,,,
2017-12-24T00:28:06.001Z,,,24.9,,50,,
2017-12-24T00:28:16.005Z,,,24.9,,50,,
2017-12-24T00:28:36.004Z,,,24.9,,50,,
2017-12-24T00:28:46.005Z,,,24.9,,50,,
2017-12-24T00:29:06.000Z,,,24.9,,50,,
2017-12-24T00:29:16.001Z,,,24.9,,50,,
2017-12-24T00:29:36.000Z,,,24.9,,50,,
2017-12-24T00:29:46.000Z,,,24.9,,50,,
2017-12-24T00:30:06.000Z,,,24.9,,50,,
2017-12-24T00:30:16.016Z,,,24.9,,50,,
2017-12-24T00:30:36.000Z,,,24.9,,50,,
2017-12-24T00:30:46.000Z,,,24.8,,50,,
2017-12-24T00:31:06.001Z,,,24.8,31.2,50,,
2017-12-24T00:31:16.001Z,,,24.8,,50,,
2017-12-24T00:31:26.000Z,,,,31.3,,,
2017-12-24T00:31:36.000Z,,,24.8,,50,,
2017-12-24T00:31:46.001Z,,,24.8,,50,,
2017-12-24T00:32:06.000Z,,,24.8,31.2,50,,
2017-12-24T00:32:16.001Z,,,24.8,,50,,
2017-12-24T00:32:36.000Z,,,24.8,,50,,
2017-12-24T00:32:46.001Z,,,24.8,,50,,
2017-12-24T00:33:06.004Z,,,24.8,,50,,
